rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.73516095344004,76.61775675675676,600106,重庆路桥,bottom_area,2024-12-31,5.59,2024-12-25,5.55,0.7207207207207215,7.567567567567567,30.88418430884184,True,-2.9514,1.6911,1,1,1,100.0,48.50000000000001,48.50000000000001,19.27927927927928,0.7207207207207215,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
22,67.69322881751458,56.44921228859147,688001,华兴源创,bottom_area,2024-12-31,27.1,2024-12-31,27.09,0.036913990402368264,5.72166851236619,29.945694336695116,False,-4.3079,0.8012,2,5,2,40.0,31.093420358649794,35.3639240506329,19.96308600959763,0.036913990402368264,历史2/5次成功; 当前距低点0.04%; 最新日涨幅-4.31%; 状态bottom_area; 底部未确认
23,67.33818770503468,57.25930233491133,002167,东方锆业,bottom_area,2024-12-31,7.34,2024-12-25,7.26,1.1019283746556485,6.198347107438019,30.259365994236315,False,-3.4211,2.6503,1,4,1,25.0,41.1650485436893,41.1650485436893,18.898071625344354,1.1019283746556485,历史1/4次成功; 当前距低点1.10%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
24,66.99955120428788,57.01306855154884,002343,慈文传媒,bottom_area,2024-12-31,6.2,2024-12-25,6.13,1.1419249592169702,6.851549755301793,27.7122641509434,False,-4.1731,3.0049,1,4,1,25.0,40.33149171270718,40.33149171270718,18.85807504078303,1.1419249592169702,历史1/4次成功; 当前距低点1.14%; 最新日涨幅-4.17%; 状态bottom_area; 底部未确认
25,66.81137751254671,56.27775659824047,000691,亚太实业,bottom_area,2024-12-31,3.43,2024-12-26,3.41,0.5865102639296192,8.504398826979473,30.691056910569102,True,-2.0,3.714,1,4,1,25.0,76.05633802816902,76.05633802816902,19.41348973607038,0.5865102639296192,历史1/4次成功; 当前距低点0.59%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
26,66.65666887602133,55.775088864655174,300705,九典制药,bottom_area,2024-12-31,17.95,2024-12-31,17.91,0.22333891680624873,7.091010608598546,32.87106446776612,False,-10.1152,11.784,1,2,1,50.0,41.42097631706138,41.42097631706138,19.77666108319375,0.22333891680624873,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-10.12%; 状态bottom_area; 底部未确认
27,66.16585720270665,55.13821433558888,300651,金陵体育,bottom_area,2024-12-31,12.66,2024-12-31,12.66,0.0,3.5545023696682407,32.98041291688724,False,-1.7081,4.6944,2,5,2,40.0,25.635560944026203,25.720461095100855,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
28,65.04371754614647,54.42189945145466,688133,泰坦科技,bottom_area,2024-12-31,18.24,2024-12-31,18.2,0.21978021978021509,6.208791208791204,29.402637703646246,False,-3.6959,2.1952,1,2,1,50.0,34.10214168039539,34.10214168039539,19.780219780219785,0.21978021978021509,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
29,64.8702664639754,54.14203764261318,000688,国城矿业,bottom_area,2024-12-31,11.89,2024-12-31,11.88,0.08417508417508238,5.8080808080808035,31.090487238979108,False,-4.7276,0.9377,1,2,1,50.0,30.935251798561143,30.935251798561143,19.91582491582492,0.08417508417508238,历史1/2次成功; 当前距低点0.08%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
30,63.77422211186481,53.557308488374304,300340,科恒股份,bottom_area,2024-12-31,9.53,2024-12-25,9.49,0.42149631190726183,6.95468914646997,29.703703703703706,False,-2.9532,2.4691,1,4,1,25.0,42.54473161033797,42.54473161033797,19.578503688092738,0.42149631190726183,历史1/4次成功; 当前距低点0.42%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
31,63.736862294712786,54.351879393266735,603123,翠微股份,bottom_area,2024-12-31,8.05,2024-12-25,7.95,1.2578616352201324,7.924528301886791,29.770318021201415,True,-3.4772,1.8876,1,5,1,20.0,29.08496732026144,29.08496732026144,18.74213836477987,1.2578616352201324,历史1/5次成功; 当前距低点1.26%; 最新日涨幅-3.48%; 状态bottom_area; 底部已确认
32,63.496000000000016,52.91333333333335,600255,鑫科材料,bottom_area,2024-12-31,3.42,2024-12-31,3.42,0.0,9.356725146198839,27.388535031847134,False,-10.0,22.4321,1,2,1,50.0,35.55555555555555,35.55555555555555,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
33,63.366405619166464,53.16367158671586,000717,中南股份,bottom_area,2024-12-31,2.72,2024-12-31,2.71,0.3690036900369089,6.273062730627303,27.73333333333333,False,-3.5461,2.3048,1,4,1,25.0,56.020942408376975,56.020942408376975,19.63099630996309,0.3690036900369089,历史1/4次成功; 当前距低点0.37%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
34,62.235349520350034,52.57235681911825,300468,四方精创,bottom_area,2024-12-31,16.3,2024-12-31,16.18,0.7416563658838133,6.922126081582207,28.501988510826337,False,-5.562,4.9202,1,3,1,33.33333333333333,105.06912442396315,105.06912442396315,19.258343634116187,0.7416563658838133,历史1/3次成功; 当前距低点0.74%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
35,61.03017313624678,50.85847761353899,300546,雄帝科技,bottom_area,2024-12-31,16.82,2024-12-31,16.82,0.0,7.015457788347204,28.75900042354934,False,-5.0254,5.2704,2,6,2,33.33333333333333,27.285721936589546,33.791666666666664,20.0,0.0,历史2/6次成功; 当前距低点0.00%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
36,59.87421929375056,50.64702796423421,300533,冰川网络,bottom_area,2024-12-31,19.76,2024-12-30,19.6,0.8163265306122455,6.428571428571418,30.049964311206274,False,-4.4487,2.4607,1,3,1,33.33333333333333,40.564081294068856,40.564081294068856,19.183673469387756,0.8163265306122455,历史1/3次成功; 当前距低点0.82%; 最新日涨幅-4.45%; 状态bottom_area; 底部未确认
37,59.4853240037318,50.32114754098358,300749,顶固集创,bottom_area,2024-12-31,6.15,2024-12-25,6.1,0.8196721311475527,8.032786885245907,31.690929451287797,True,-2.8436,2.8364,1,4,1,25.0,20.833333333333336,20.833333333333336,19.180327868852448,0.8196721311475527,历史1/4次成功; 当前距低点0.82%; 最新日涨幅-2.84%; 状态bottom_area; 底部已确认
38,59.42941427048206,49.94164024644261,688280,精进电动,bottom_area,2024-12-31,4.39,2024-12-30,4.37,0.4576659038901504,5.949656750572077,27.166666666666668,False,-3.0905,1.0111,1,3,1,33.33333333333333,32.37518910741301,32.37518910741301,19.54233409610985,0.4576659038901504,历史1/3次成功; 当前距低点0.46%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
39,59.290566037735836,49.40880503144653,600400,红豆股份,bottom_area,2024-12-31,2.49,2024-12-31,2.49,0.0,3.2128514056224744,27.405247813411076,False,-1.1905,1.5079,1,3,1,33.33333333333333,25.943396226415082,25.943396226415082,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
40,58.99263592284711,49.52985504791244,300769,德方纳米,bottom_area,2024-12-31,36.88,2024-12-31,36.73,0.40838551592705064,5.771848625102109,27.310508608747284,False,-4.7275,4.4047,2,8,2,25.0,30.946096904441454,41.300000000000004,19.59161448407295,0.40838551592705064,历史2/8次成功; 当前距低点0.41%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
41,57.86434554973821,48.22028795811518,002374,中锐股份,bottom_area,2024-12-31,2.74,2024-12-31,2.74,0.0,5.474452554744522,32.843137254901954,False,-1.4388,2.0759,1,4,1,25.0,20.94240837696336,20.94240837696336,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
42,57.5528051758607,51.33354835582773,002858,力盛体育,bottom_area,2024-12-31,11.44,2024-12-25,11.03,3.7171350861287413,8.612873980054408,29.430582213691626,True,-2.8037,4.3581,1,3,1,33.33333333333333,20.566037735849065,20.566037735849065,16.282864913871258,3.7171350861287413,历史1/3次成功; 当前距低点3.72%; 最新日涨幅-2.80%; 状态bottom_area; 底部已确认
43,56.366377235772354,47.499756097560976,002146,荣盛发展,bottom_area,2024-12-31,1.65,2024-12-31,1.64,0.6097560975609762,6.097560975609762,31.380753138075324,False,-3.5088,3.731,1,5,1,20.0,33.33333333333333,33.33333333333333,19.390243902439025,0.6097560975609762,历史1/5次成功; 当前距低点0.61%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
44,55.53486455147807,47.07076388888889,000545,金浦钛业,bottom_area,2024-12-31,2.18,2024-12-31,2.16,0.9259259259259267,3.703703703703707,27.27272727272727,False,-0.9091,2.0734,1,5,1,20.0,24.6875,24.6875,19.074074074074073,0.9259259259259267,历史1/5次成功; 当前距低点0.93%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
45,55.2657847531856,46.14628172657219,002786,银宝山新,bottom_area,2024-12-31,9.25,2024-12-31,9.24,0.1082251082251059,3.679653679653678,27.92511700468019,False,-2.9381,2.1802,1,7,1,14.285714285714285,22.074688796680498,22.074688796680498,19.891774891774897,0.1082251082251059,历史1/7次成功; 当前距低点0.11%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
