rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.37234240363188,82.33480480585804,688206,概伦电子,bottom_area,2023-05-15,26.99,2023-05-15,26.33,2.506646410938094,2.506646410938094,28.6449864498645,False,0.9727,1.2235,2,2,2,100.0,31.34386356342422,39.570720968629594,17.493353589061908,2.506646410938094,历史2/2次成功; 当前距低点2.51%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
14,71.00560491964214,61.54250213891266,002405,四维图新,bottom_area,2023-05-15,11.42,2023-05-15,11.18,2.146690518783544,2.3255813953488356,27.496757457846954,False,1.0619,0.8407,1,2,1,50.0,23.478260869565215,23.478260869565215,17.853309481216456,2.146690518783544,历史1/2次成功; 当前距低点2.15%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
15,70.98004841348417,61.646780343765364,000059,华锦股份,bottom_area,2023-05-15,6.79,2023-05-15,6.64,2.2590361445783187,2.40963855421687,30.543933054393314,False,1.3433,0.9186,1,2,1,50.0,25.41603630862328,25.41603630862328,17.740963855421683,2.2590361445783187,历史1/2次成功; 当前距低点2.26%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
16,70.91042294152346,62.41688975884312,688350,富淼科技,bottom_area,2023-05-15,16.52,2023-05-05,16.04,2.992518703241898,4.301745635910232,32.774518021793796,False,1.4119,1.2855,1,2,1,50.0,38.54748603351957,38.54748603351957,17.007481296758105,2.992518703241898,历史1/2次成功; 当前距低点2.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
17,69.68339475365606,61.20305709023942,601369,陕鼓动力,bottom_area,2023-05-15,9.31,2023-05-10,9.05,2.872928176795577,4.972375690607726,32.31114435302916,False,0.9761,0.5297,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,17.127071823204425,2.872928176795577,历史1/3次成功; 当前距低点2.87%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
18,68.94852210850136,59.41021708257252,002317,众生药业,bottom_area,2023-05-15,16.73,2023-05-15,16.43,1.8259281801582514,3.3475349969567905,27.938596491228076,False,-1.1813,3.8219,1,3,1,33.33333333333333,58.31999999999999,58.31999999999999,18.17407181984175,1.8259281801582514,历史1/3次成功; 当前距低点1.83%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
19,68.1561658996129,59.35731661339236,002724,海洋王,bottom_area,2023-05-15,8.5,2023-04-25,8.3,2.4096385542168584,8.192771084337345,28.999144568006834,True,0.9501,1.483,1,3,1,33.33333333333333,25.204081632653047,25.204081632653047,17.59036144578314,2.4096385542168584,历史1/3次成功; 当前距低点2.41%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
20,67.91534493739194,58.76217726480836,300727,润禾材料,bottom_area,2023-05-15,26.36,2023-05-15,25.83,2.0518776616337635,2.1293070073557905,30.527165142549762,False,1.3846,1.4484,1,3,1,33.33333333333333,26.812499999999993,26.812499999999993,17.948122338366236,2.0518776616337635,历史1/3次成功; 当前距低点2.05%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
21,67.28190402518483,59.133892150467474,002309,中利集团,bottom_area,2023-05-15,3.89,2023-05-10,3.78,2.9100529100529187,8.730158730158744,31.021897810218984,True,0.5168,0.7448,1,3,1,33.33333333333333,30.136986301369873,30.136986301369873,17.08994708994708,2.9100529100529187,历史1/3次成功; 当前距低点2.91%; 最新日涨幅0.52%; 状态bottom_area; 底部已确认
22,67.27711827081876,59.28671345995045,002079,苏州固锝,bottom_area,2023-05-15,12.48,2023-05-10,12.11,3.0553261767134683,4.624277456647404,28.512396694214885,False,1.0526,1.4795,1,2,1,50.0,22.488479262672804,22.488479262672804,16.944673823286532,3.0553261767134683,历史1/2次成功; 当前距低点3.06%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
23,65.33138635002311,58.28173889131333,300758,七彩化学,bottom_area,2023-05-15,10.02,2023-04-26,9.66,3.726708074534155,7.349896480331253,30.252707581227433,True,-0.0997,1.5551,1,2,1,50.0,38.59480269489894,38.59480269489894,16.273291925465845,3.726708074534155,历史1/2次成功; 当前距低点3.73%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
24,65.11594000602207,57.87583116564991,002802,洪汇新材,bottom_area,2023-05-15,10.28,2023-05-12,9.93,3.524672708962736,3.625377643504526,31.1373092926491,False,2.4925,1.0752,1,2,1,50.0,20.65637065637066,20.65637065637066,16.475327291037264,3.524672708962736,历史1/2次成功; 当前距低点3.52%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
25,64.04913668993753,58.441094696410104,002553,南方精工,bottom_area,2023-05-15,10.15,2023-04-26,9.67,4.963805584281287,7.445708376421931,28.844738778513612,True,1.3986,1.6035,1,2,1,50.0,32.14285714285715,32.14285714285715,15.036194415718715,4.963805584281287,历史1/2次成功; 当前距低点4.96%; 最新日涨幅1.40%; 状态bottom_area; 底部已确认
26,61.66340612984255,55.480316741992795,002455,百川股份,bottom_area,2023-05-15,7.95,2023-05-05,7.63,4.193971166448234,4.587155963302759,28.691588785046722,False,2.9793,1.2167,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,15.806028833551766,4.193971166448234,历史1/3次成功; 当前距低点4.19%; 最新日涨幅2.98%; 状态bottom_area; 底部未确认
27,56.55693815562917,50.69680172738602,000721,西安饮食,bottom_area,2023-05-15,12.25,2023-05-10,11.78,3.989813242784386,8.23429541595926,31.43189755529686,True,-2.1565,9.0312,1,3,1,33.33333333333333,20.485175202156327,20.485175202156327,16.010186757215617,3.989813242784386,历史1/3次成功; 当前距低点3.99%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
