rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
37,74.27647644995966,69.18099432446873,601888,中国中免,bottom_area,2023-04-21,167.17,2023-04-21,166.66,0.3060122404896142,2.892115684627381,30.555439809992084,False,-2.2398,0.8546,1,1,1,100.0,12.627431359059372,12.627431359059372,7.693987759510386,0.3060122404896142,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
38,74.15557447401585,69.06687804878048,600400,红豆股份,bottom_area,2023-04-21,3.29,2023-04-21,3.28,0.3048780487804949,4.268292682926833,28.695652173913043,False,-2.6627,0.5711,1,1,1,100.0,12.00000000000001,12.00000000000001,7.695121951219505,0.3048780487804949,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
39,73.85574639646107,68.83129371077239,001227,兰州银行,bottom_area,2023-04-21,2.97,2023-04-21,2.96,0.33783783783784566,2.7027027027027053,29.52380952380953,False,-2.3026,1.3333,1,1,1,100.0,11.137440758293856,11.137440758293856,7.662162162162154,0.33783783783784566,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
40,73.74988309568117,68.5963232592486,000546,金圆股份,bottom_area,2023-04-21,8.54,2023-04-21,8.52,0.2347417840375537,3.521126760563389,31.40096618357488,False,-2.4,1.8998,1,1,1,100.0,8.610400682011933,8.610400682011933,7.765258215962446,0.2347417840375537,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
41,73.55849947762918,68.5921021006981,688209,英集芯,confirmed_rebound,2023-04-21,19.17,2023-04-21,19.1,0.36649214659686014,11.727748691099467,27.348801825789266,False,-9.6181,5.7064,2,2,2,100.0,13.966151585693265,17.590497737556557,7.63350785340314,0.36649214659686014,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-9.62%; 状态confirmed_rebound; 底部未确认
42,73.4321734772812,68.59049170954835,600366,宁波韵升,bottom_area,2023-04-21,8.84,2023-04-21,8.8,0.4545454545454448,4.545454545454529,29.880478087649397,False,-3.5987,2.0695,1,1,1,100.0,21.488469601677156,21.488469601677156,7.545454545454556,0.4545454545454448,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
43,73.38608242451551,68.68419206695128,300712,永福股份,bottom_area,2023-04-21,37.84,2023-04-20,37.63,0.5580653733723115,4.01275577996279,27.911877394636015,False,-1.4327,1.452,1,1,1,100.0,13.046135044301874,13.046135044301874,7.441934626627688,0.5580653733723115,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
44,72.77573748570214,68.0271739694063,002748,世龙实业,bottom_area,2023-04-21,10.2,2023-04-21,10.15,0.49261083743841316,3.251231527093597,27.499999999999996,False,-1.354,0.7428,1,1,1,100.0,8.711433756805816,8.711433756805816,7.507389162561587,0.49261083743841316,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
45,70.76247037752692,66.40880261114116,603255,鼎际得,bottom_area,2023-04-21,47.53,2023-04-21,47.2,0.6991525423728777,5.0847457627118615,30.893118594436302,False,-3.6879,6.2316,1,1,1,100.0,12.757367783609205,12.757367783609205,7.300847457627123,0.6991525423728777,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
46,70.60432186046512,65.37437209302325,300423,昇辉科技,bottom_area,2023-04-21,10.33,2023-04-21,10.33,0.0,4.065827686350435,27.457865168539325,False,-3.0047,2.3896,1,1,1,100.0,10.883720930232558,10.883720930232558,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
47,69.40220152671756,64.26129770992367,603138,海量数据,confirmed_rebound,2023-04-21,20.75,2023-04-21,20.75,0.0,8.433734939759036,31.29139072847682,False,-8.023,6.4421,1,1,1,100.0,15.114503816793897,15.114503816793897,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.02%; 状态confirmed_rebound; 底部未确认
48,67.9100868849669,63.102293123199324,002786,银宝山新,bottom_area,2023-04-21,5.46,2023-04-21,5.45,0.1834862385321062,3.8532110091743115,27.041499330655956,False,-2.6738,2.4872,2,3,2,66.66666666666666,17.33319935691319,18.75000000000001,7.816513761467895,0.1834862385321062,历史2/3次成功; 当前距低点0.18%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
49,67.21334892782991,62.55585686472802,002355,兴民智通,bottom_area,2023-04-21,3.75,2023-04-21,3.74,0.2673796791443793,4.545454545454543,27.799227799227793,False,-2.5974,1.0943,2,3,2,66.66666666666666,15.423741217798595,15.624999999999991,7.732620320855621,0.2673796791443793,历史2/3次成功; 当前距低点0.27%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
50,57.760284730195174,53.48174512055108,001319,铭科精技,bottom_area,2023-04-21,19.2,2023-04-21,19.2,0.0,3.3333333333333366,31.59957249732811,False,-2.2403,2.4887,1,2,1,50.0,28.396479142747793,28.396479142747793,8.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
51,57.61564038202883,53.45472049779739,603029,天鹅股份,bottom_area,2023-04-21,19.26,2023-04-21,19.24,0.10395010395012019,4.417879417879425,27.258979206049155,False,-2.0346,3.2154,1,2,1,50.0,17.26734803657881,17.26734803657881,7.896049896049879,0.10395010395012019,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
52,55.549565217391304,51.43478260869565,002622,皓宸医疗,bottom_area,2023-04-21,3.03,2023-04-21,3.03,0.0,3.3003300330033034,27.33812949640288,False,-2.2581,1.2969,1,2,1,50.0,17.391304347826082,17.391304347826082,8.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
53,54.66783079749775,50.654188590285145,002623,亚玛顿,bottom_area,2023-04-21,27.23,2023-04-21,27.22,0.03673769287289333,5.363703159441591,27.024128686327074,False,-3.2682,1.5943,1,2,1,50.0,11.601884570082444,11.601884570082444,7.963262307127107,0.03673769287289333,历史1/2次成功; 当前距低点0.04%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
