rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.5912809912274,87.00952766967949,601127,赛力斯,bottom_area,2025-12-09,124.0,2025-11-24,122.37,1.332025823322706,7.232164746261334,28.854651162790695,True,-1.2582,1.0497,9,9,9,100.0,22.02444380029711,42.19143576826195,6.667974176677294,1.332025823322706,历史9/9次成功; 当前距低点1.33%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
24,70.7681070582428,69.53615030915977,301349,信德新材,bottom_area,2025-12-09,48.09,2025-12-05,46.65,3.086816720257245,5.787781350482321,28.472861085556577,False,-1.2931,4.3026,1,1,1,100.0,8.785443179281096,8.785443179281096,4.913183279742755,3.086816720257245,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
25,70.35727614663479,70.88765862845923,603938,三孚股份,confirmed_rebound,2025-12-09,18.07,2025-11-21,17.31,4.390525707683429,8.08781051415368,27.45180217937972,False,0.1663,1.8938,1,1,1,100.0,19.774501300954046,19.774501300954046,3.609474292316571,4.390525707683429,历史1/1次成功; 当前距低点4.39%; 最新日涨幅0.17%; 状态confirmed_rebound; 底部未确认
26,69.31532185512106,67.53300743216897,002706,良信股份,bottom_area,2025-12-09,9.7,2025-11-24,9.45,2.6455026455026456,6.560846560846572,27.083333333333343,False,-2.2177,2.8016,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,5.354497354497354,2.6455026455026456,历史4/6次成功; 当前距低点2.65%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
27,67.93168617706584,68.04245296095576,002291,遥望科技,bottom_area,2025-12-09,6.88,2025-12-05,6.61,4.084720121028738,5.597579425113466,28.77155172413792,False,-0.1451,5.1299,3,4,3,75.0,17.153843209146633,27.107438016528935,3.9152798789712624,4.084720121028738,历史3/4次成功; 当前距低点4.08%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
28,67.17399439190456,65.90356423792053,688051,佳华科技,confirmed_rebound,2025-12-09,43.16,2025-12-09,41.9,3.0071599045346016,9.880668257756566,27.256944444444446,False,-13.3681,7.5733,1,1,1,100.0,8.709079678814083,8.709079678814083,4.992840095465398,3.0071599045346016,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-13.37%; 状态confirmed_rebound; 底部未确认
29,66.19882201695886,62.36362112131451,000695,滨海能源,bottom_area,2025-12-09,13.49,2025-12-09,13.37,0.8975317875841511,6.133133881824984,30.545454545454547,False,-4.7316,10.5595,4,6,4,66.66666666666666,15.663048012579045,21.910112359550556,7.102468212415849,0.8975317875841511,历史4/6次成功; 当前距低点0.90%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
30,66.01661620962685,65.36237293175074,002017,东信和平,bottom_area,2025-12-09,21.1,2025-12-04,20.39,3.4820990681706756,5.394801373222157,29.373051610668515,False,-0.7059,1.3744,2,3,2,66.66666666666666,30.080065271576377,50.390015600624025,4.517900931829325,3.4820990681706756,历史2/3次成功; 当前距低点3.48%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
31,63.124194157393255,62.35042180478303,688348,昱能科技,bottom_area,2025-12-09,51.7,2025-12-05,50.02,3.3586565373850448,5.497800879648141,30.796900940785832,False,-1.317,0.6936,2,3,2,66.66666666666666,12.37361313631329,16.27422813482398,4.641343462614955,3.3586565373850448,历史2/3次成功; 当前距低点3.36%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
32,59.69515793431114,57.09542393386429,002468,申通快递,bottom_area,2025-12-09,13.88,2025-11-21,13.65,1.684981684981688,6.2271062271062245,31.988041853512705,False,-2.4596,1.4943,1,2,1,50.0,16.382699868938413,16.382699868938413,6.315018315018311,1.684981684981688,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
33,58.20490627852367,57.16351161154115,600104,上汽集团,bottom_area,2025-12-09,15.15,2025-11-21,14.7,3.0612244897959258,7.959183673469387,28.74454677653902,True,-0.5906,0.4611,1,2,1,50.0,24.425287356321842,24.425287356321842,4.938775510204074,3.0612244897959258,历史1/2次成功; 当前距低点3.06%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
