rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.58495741286268,83.8207138718079,000532,华金资本,bottom_area,2024-09-03,10.45,2024-09-03,10.28,1.653696498054474,2.1400778210116793,27.50352609308886,False,0.0,2.7827,2,2,2,100.0,28.877106921355356,32.044198895027606,18.346303501945528,1.653696498054474,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,76.99822142998619,69.43454545454549,000957,中通客车,bottom_area,2024-09-03,9.18,2024-08-29,8.8,4.318181818181807,7.159090909090897,31.25,True,0.4376,2.8382,2,4,2,50.0,190.25905745148648,354.54545454545456,15.681818181818194,4.318181818181807,历史2/4次成功; 当前距低点4.32%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
13,76.84270047200337,65.47651031564097,603132,金徽股份,bottom_area,2024-09-03,10.83,2024-09-03,10.7,1.2149532710280448,2.4299065420560897,28.61907938625751,False,0.6506,1.3599,1,2,1,50.0,33.20754716981132,33.20754716981132,18.785046728971956,1.2149532710280448,历史1/2次成功; 当前距低点1.21%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
14,74.00944371536892,63.19907553222514,300562,乐心医疗,bottom_area,2024-09-03,12.16,2024-09-03,12.0,1.3333333333333344,6.916666666666667,29.988331388564767,False,-5.4432,37.2332,2,4,2,50.0,21.769223291533006,22.71604938271605,18.666666666666668,1.3333333333333344,历史2/4次成功; 当前距低点1.33%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
15,71.73383016794159,61.95977780207744,603069,海汽集团,bottom_area,2024-09-03,15.1,2024-08-29,14.81,1.958136394328151,6.819716407832543,27.966926070038905,False,-1.8205,1.5651,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,18.04186360567185,1.958136394328151,历史2/6次成功; 当前距低点1.96%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
16,71.20763438892112,64.2897375452342,600183,生益科技,bottom_area,2024-09-03,17.62,2024-08-29,16.88,4.383886255924183,7.2274881516587826,29.519832985386223,True,1.5562,0.8977,2,4,2,50.0,23.14515165989969,25.158227848101262,15.616113744075818,4.383886255924183,历史2/4次成功; 当前距低点4.38%; 最新日涨幅1.56%; 状态bottom_area; 底部已确认
17,70.62607694170464,62.05572153754273,000983,山西焦煤,bottom_area,2024-09-03,7.82,2024-08-26,7.6,2.8947368421052717,6.578947368421052,29.95391705069125,False,-1.6352,0.5553,2,4,2,50.0,24.546889986789015,27.212389380530986,17.10526315789473,2.8947368421052717,历史2/4次成功; 当前距低点2.89%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
18,69.83083865439258,61.1331742176025,600956,新天绿能,bottom_area,2024-09-03,6.86,2024-08-29,6.68,2.694610778443123,7.035928143712584,28.860489882854107,True,-2.8329,0.354,1,2,1,50.0,41.27358490566036,41.27358490566036,17.305389221556876,2.694610778443123,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
19,68.21442380021429,59.63271818096989,000037,深南电A,bottom_area,2024-09-03,7.06,2024-08-28,6.88,2.6162790697674376,5.087209302325589,28.92561983471074,False,0.2841,1.2297,2,8,2,25.0,39.8001852690304,45.16765285996055,17.383720930232563,2.6162790697674376,历史2/8次成功; 当前距低点2.62%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
20,68.04465557705407,60.47881772964061,603282,亚光股份,bottom_area,2024-09-03,12.63,2024-08-26,12.2,3.524590163934439,6.311475409836078,27.164179104477615,False,1.609,1.4715,1,2,1,50.0,34.64991023339317,34.64991023339317,16.475409836065563,3.524590163934439,历史1/2次成功; 当前距低点3.52%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
21,67.50969087679779,59.910581490581514,000597,东北制药,bottom_area,2024-09-03,4.21,2024-08-26,4.07,3.4398034398034314,5.65110565110564,32.053422370617696,False,0.7177,1.5494,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,16.56019656019657,3.4398034398034314,历史1/3次成功; 当前距低点3.44%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
22,65.00468770227711,58.1780184816034,002682,龙洲股份,bottom_area,2024-09-03,3.46,2024-08-28,3.33,3.9039039039039007,6.606606606606599,30.76923076923076,False,0.5814,1.6039,1,2,1,50.0,26.929674099485425,26.929674099485425,16.0960960960961,3.9039039039039007,历史1/2次成功; 当前距低点3.90%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
23,64.19310353234845,53.86977099236644,002110,三钢闽光,bottom_area,2024-09-03,2.63,2024-09-03,2.62,0.3816793893129689,1.5267175572519098,30.319148936170205,False,-0.7547,0.2717,1,2,1,50.0,22.90322580645161,22.90322580645161,19.618320610687032,0.3816793893129689,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
24,64.09324149695227,56.202712846139576,688287,退市观典,bottom_area,2024-09-03,4.06,2024-08-30,3.95,2.784810126582264,9.87341772151898,31.77892918825561,True,-0.2457,1.7754,1,4,1,25.0,36.70473083197391,36.70473083197391,17.215189873417735,2.784810126582264,历史1/4次成功; 当前距低点2.78%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
25,61.78080830648098,55.681487474563355,002545,东方铁塔,bottom_area,2024-09-03,6.08,2024-07-25,5.83,4.288164665523156,7.375643224699823,29.247572815533985,True,0.1647,0.5592,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,15.711835334476845,4.288164665523156,历史1/3次成功; 当前距低点4.29%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
26,59.81777993983091,54.513461771598614,300653,正海生物,bottom_area,2024-09-03,19.28,2024-08-28,18.38,4.896626768226345,7.83460282916214,27.466456195737965,True,0.4167,0.7218,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,15.103373231773656,4.896626768226345,历史1/3次成功; 当前距低点4.90%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
