rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.56018708425496,81.32755015100939,300411,金盾股份,bottom_area,2024-08-20,10.67,2024-08-20,10.55,1.1374407582938313,5.1184834123222664,27.739726027397253,False,-0.2804,6.5616,2,2,2,100.0,31.617823010318947,33.550488599348526,13.862559241706169,1.1374407582938313,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
12,79.60723684210525,69.22368421052632,002674,兴业科技,bottom_area,2024-08-20,7.96,2024-08-20,7.96,0.0,6.532663316582921,30.05272407732865,False,-9.9548,2.7689,1,1,1,100.0,31.578947368421055,31.578947368421055,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
13,79.44411047412974,69.64797182790106,000708,中信特钢,bottom_area,2024-08-20,11.5,2024-08-20,11.45,0.4366812227074298,2.9694323144104793,29.75460122699387,False,-2.2109,0.1667,1,1,1,100.0,16.739811912225715,16.739811912225715,14.563318777292569,0.4366812227074298,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
14,78.98841008620943,69.76651079957988,600011,华能国际,bottom_area,2024-08-20,7.24,2024-08-20,7.18,0.8356545961002856,3.4818941504178276,27.47474747474748,False,-1.4966,0.4488,1,1,1,100.0,22.267759562841515,22.267759562841515,14.164345403899715,0.8356545961002856,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
15,75.62526230428765,66.87890262509286,000983,山西焦煤,bottom_area,2024-08-20,7.83,2024-08-20,7.76,0.9020618556701068,4.639175257731951,28.47926267281106,False,-3.3333,0.6958,3,4,3,75.0,21.938729333444627,27.212389380530986,14.097938144329891,0.9020618556701068,历史3/4次成功; 当前距低点0.90%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
16,75.58238972292257,69.75887277471311,300564,筑博设计,bottom_area,2024-08-20,9.05,2024-08-19,8.77,3.192702394526809,8.095781071835814,30.452022204599526,True,1.6854,11.0789,2,3,2,66.66666666666666,18.503051438535305,19.006102877070617,11.807297605473192,3.192702394526809,历史2/3次成功; 当前距低点3.19%; 最新日涨幅1.69%; 状态bottom_area; 底部已确认
17,74.84407611007781,65.93190179806366,000597,东北制药,bottom_area,2024-08-20,4.35,2024-08-20,4.32,0.6944444444444295,3.240740740740733,27.879799666110184,False,-0.9112,2.8608,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,14.305555555555568,0.6944444444444295,历史2/3次成功; 当前距低点0.69%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
18,73.87709681721469,69.74366493223975,600027,华电国际,bottom_area,2024-08-20,5.45,2024-08-06,5.22,4.406130268199242,10.536398467432948,27.298050139275766,True,-2.3297,0.7455,1,1,1,100.0,16.87979539641944,16.87979539641944,10.593869731800758,4.406130268199242,历史1/1次成功; 当前距低点4.41%; 最新日涨幅-2.33%; 状态bottom_area; 底部已确认
19,73.10897068300729,64.27853410016642,002651,利君股份,bottom_area,2024-08-20,5.11,2024-08-20,5.08,0.590551181102367,2.559055118110234,30.02754820936639,False,-1.5414,1.995,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,14.409448818897634,0.590551181102367,历史2/3次成功; 当前距低点0.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
20,72.0513283478624,68.76141743627069,002543,万和电气,bottom_area,2024-08-20,9.05,2024-07-25,8.62,4.988399071925772,11.948955916473333,29.632653061224495,True,-1.4161,0.251,1,1,1,100.0,18.736383442265804,18.736383442265804,10.011600928074227,4.988399071925772,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
21,70.97675167215371,63.76731934731933,002685,华东重机,bottom_area,2024-08-20,2.91,2024-08-19,2.86,1.7482517482517577,3.1468531468531578,27.41116751269036,False,0.692,4.4143,1,3,1,33.33333333333333,109.52380952380952,109.52380952380952,13.251748251748241,1.7482517482517577,历史1/3次成功; 当前距低点1.75%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
22,66.5365791102075,57.85789487844131,688327,云从科技,bottom_area,2024-08-20,8.08,2024-08-20,8.08,0.0,3.5891089108910785,28.241563055062162,False,-2.8846,1.7123,3,7,3,42.857142857142854,34.06702315598246,53.56783919597991,15.0,0.0,历史3/7次成功; 当前距低点0.00%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
23,66.00148297784699,62.36081601986885,002044,美年健康,bottom_area,2024-08-20,3.52,2024-07-25,3.37,4.451038575667654,11.869436201780413,31.083844580777086,True,-1.4006,0.4639,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,10.548961424332346,4.451038575667654,历史2/3次成功; 当前距低点4.45%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
24,64.85774962913825,56.74511631516056,000155,川能动力,bottom_area,2024-08-20,9.17,2024-08-20,9.14,0.3282275711159667,2.516411378555784,27.171314741035857,False,-1.3978,0.4828,1,2,1,50.0,37.70685579196216,37.70685579196216,14.671772428884033,0.3282275711159667,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
25,64.74685730341122,59.48087279048022,002833,弘亚数控,bottom_area,2024-08-20,15.74,2024-07-30,15.29,2.9431000654022306,9.875735775016361,31.923419412288517,True,-1.625,0.5495,1,2,1,50.0,35.43624161073825,35.43624161073825,12.05689993459777,2.9431000654022306,历史1/2次成功; 当前距低点2.94%; 最新日涨幅-1.62%; 状态bottom_area; 底部已确认
26,64.30877880976952,56.538823529411765,300424,航新科技,bottom_area,2024-08-20,11.97,2024-08-20,11.9,0.5882352941176494,4.62184873949579,31.76605504587156,False,-3.1553,4.5438,1,2,1,50.0,52.29885057471265,52.29885057471265,14.41176470588235,0.5882352941176494,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
27,61.62080997597589,53.79639750052828,600078,澄星股份,bottom_area,2024-08-20,4.72,2024-08-20,4.71,0.21231422505307404,3.6093418259023338,29.06626506024096,False,-3.0801,0.9961,1,2,1,50.0,30.647709320695093,30.647709320695093,14.787685774946926,0.21231422505307404,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
28,61.55743503093116,53.89867158671585,002110,三钢闽光,bottom_area,2024-08-20,2.72,2024-08-20,2.71,0.3690036900369089,2.583025830258297,27.925531914893615,False,-2.1583,0.4165,1,2,1,50.0,22.90322580645161,22.90322580645161,14.63099630996309,0.3690036900369089,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
29,60.8134460924613,53.16854667843742,688065,凯赛生物,bottom_area,2024-08-20,34.6,2024-08-20,34.5,0.28985507246377223,3.3623188405797007,28.821951722715077,False,-2.6175,0.2523,1,2,1,50.0,18.007614213197968,18.007614213197968,14.710144927536229,0.28985507246377223,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
30,60.40438852550388,55.879450760694894,601163,三角轮胎,bottom_area,2024-08-20,14.64,2024-07-25,14.17,3.3168666196189176,7.480592801693723,27.18396711202467,True,-2.008,0.5723,1,2,1,50.0,20.655412115193645,20.655412115193645,11.683133380381081,3.3168666196189176,历史1/2次成功; 当前距低点3.32%; 最新日涨幅-2.01%; 状态bottom_area; 底部已确认
31,56.45773261508412,52.67472932705049,002545,东方铁塔,bottom_area,2024-08-20,6.05,2024-07-25,5.83,3.773584905660373,7.375643224699823,29.247572815533985,True,-1.3051,0.5201,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,11.226415094339625,3.773584905660373,历史1/3次成功; 当前距低点3.77%; 最新日涨幅-1.31%; 状态bottom_area; 底部已确认
32,56.13008856777881,49.24615460463661,002196,方正电机,bottom_area,2024-08-20,4.21,2024-08-13,4.19,0.47732696897373683,6.205250596658705,28.49829351535836,False,-2.5463,2.8141,1,3,1,33.33333333333333,18.661971830985923,18.661971830985923,14.522673031026262,0.47732696897373683,历史1/3次成功; 当前距低点0.48%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
33,55.95784026874902,49.49047535414694,301510,固高科技,bottom_area,2024-08-20,20.03,2024-08-20,19.85,0.9068010075566737,3.9294710327455795,28.77646214567635,False,-3.1899,1.6938,1,2,1,50.0,16.010654039656714,16.010654039656714,14.093198992443327,0.9068010075566737,历史1/2次成功; 当前距低点0.91%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
34,53.136309057749905,46.97416237429483,000421,南京公用,bottom_area,2024-08-20,4.57,2024-08-20,4.53,0.8830022075055195,3.311258278145683,30.839694656488543,False,-1.9313,3.2361,1,6,1,16.666666666666664,30.864197530864196,30.864197530864196,14.116997792494479,0.8830022075055195,历史1/6次成功; 当前距低点0.88%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
