rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
45,69.46663843659381,62.84047904191614,600186,莲花控股,bottom_area,2024-07-05,3.49,2024-06-24,3.34,4.491017964071867,7.4850299401197615,27.074235807860266,True,1.7493,1.1958,1,2,1,50.0,53.49544072948328,53.49544072948328,15.508982035928135,4.491017964071867,历史1/2次成功; 当前距低点4.49%; 最新日涨幅1.75%; 状态bottom_area; 底部已确认
46,68.23922109826049,58.90208837414648,600955,维远股份,bottom_area,2024-07-05,14.32,2024-07-05,14.05,1.9217081850533775,1.9928825622775754,27.2020725388601,False,0.6325,0.2048,1,3,1,33.33333333333333,25.969084423305596,25.969084423305596,18.078291814946624,1.9217081850533775,历史1/3次成功; 当前距低点1.92%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
47,67.92392779917354,60.09730237375436,600129,太极集团,bottom_area,2024-07-05,28.38,2024-07-05,27.48,3.2751091703056714,4.439592430858802,28.86357753041678,False,1.7569,1.5807,1,2,1,50.0,29.540598290598297,29.540598290598297,16.72489082969433,3.2751091703056714,历史1/2次成功; 当前距低点3.28%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
48,67.83032978357954,60.75095070422536,002803,吉宏股份,bottom_area,2024-07-05,11.07,2024-07-05,10.65,3.9436619718309847,4.413145539906092,27.796610169491526,False,2.5,1.7476,1,2,1,50.0,41.25000000000001,41.25000000000001,16.056338028169016,3.9436619718309847,历史1/2次成功; 当前距低点3.94%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
49,67.6652251962494,59.22921380888976,000404,长虹华意,bottom_area,2024-07-05,5.35,2024-06-28,5.21,2.6871401151631416,6.525911708253357,30.067114093959734,False,-0.1866,1.3025,1,2,1,50.0,40.139211136890964,40.139211136890964,17.312859884836858,2.6871401151631416,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
50,67.4800838311974,58.76229704024958,002129,TCL中环,bottom_area,2024-07-05,8.52,2024-07-05,8.32,2.4038461538461453,3.3653846153846074,30.20134228187919,False,1.4286,1.1554,1,3,1,33.33333333333333,31.12759643916912,31.12759643916912,17.596153846153857,2.4038461538461453,历史1/3次成功; 当前距低点2.40%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
51,67.3138360383137,57.35221129601613,002068,黑猫股份,bottom_area,2024-07-05,6.69,2024-07-05,6.61,1.2102874432677773,2.269288956127072,32.55102040816327,False,-0.8889,1.2395,1,4,1,25.0,32.77777777777777,32.77777777777777,18.789712556732223,1.2102874432677773,历史1/4次成功; 当前距低点1.21%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
52,67.15486296835697,59.523628540134574,605580,恒盛能源,bottom_area,2024-07-05,8.58,2024-07-05,8.3,3.3734939759036062,3.614457831325288,27.192982456140346,False,1.1792,1.3105,1,2,1,50.0,27.66233766233766,27.66233766233766,16.626506024096393,3.3734939759036062,历史1/2次成功; 当前距低点3.37%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
53,65.94202296355809,58.43900432507634,002167,东方锆业,bottom_area,2024-07-05,5.53,2024-07-05,5.35,3.3644859813084222,3.7383177570093498,28.28418230563003,False,1.8416,1.8333,1,3,1,33.33333333333333,41.1650485436893,41.1650485436893,16.635514018691577,3.3644859813084222,历史1/3次成功; 当前距低点3.36%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
54,64.9061391924515,58.56660112470933,688286,敏芯股份,bottom_area,2024-07-05,41.48,2024-07-05,39.75,4.352201257861627,4.98113207547169,32.16723549488055,False,0.1932,2.0656,2,5,2,40.0,22.847419315235673,25.016501650165008,15.647798742138374,4.352201257861627,历史2/5次成功; 当前距低点4.35%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
55,64.84021557447693,57.36464228166294,601388,怡球资源,bottom_area,2024-07-05,2.21,2024-07-05,2.14,3.2710280373831697,3.738317757009349,27.946127946127948,False,1.8433,0.806,1,4,1,25.0,35.632183908045974,35.632183908045974,16.728971962616832,3.2710280373831697,历史1/4次成功; 当前距低点3.27%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
56,64.67851174915957,56.84777626607684,688262,国芯科技,bottom_area,2024-07-05,15.55,2024-07-05,15.11,2.9119788219722125,3.9046988749172726,31.098951208390336,False,1.0396,1.5642,1,3,1,33.33333333333333,27.063197026022312,27.063197026022312,17.08802117802779,2.9119788219722125,历史1/3次成功; 当前距低点2.91%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
57,64.52740828662492,57.8651851851852,002602,世纪华通,bottom_area,2024-07-05,3.37,2024-06-25,3.24,4.012345679012342,8.64197530864197,32.35908141962421,True,0.2976,0.7022,1,3,1,33.33333333333333,36.8279569892473,36.8279569892473,15.98765432098766,4.012345679012342,历史1/3次成功; 当前距低点4.01%; 最新日涨幅0.30%; 状态bottom_area; 底部已确认
58,64.49158895426906,56.29345077778076,601966,玲珑轮胎,bottom_area,2024-07-05,17.4,2024-07-05,16.97,2.5338833235120783,2.9463759575721866,31.434343434343436,False,-0.1148,0.8196,1,2,1,50.0,22.476907287033857,22.476907287033857,17.46611667648792,2.5338833235120783,历史1/2次成功; 当前距低点2.53%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
59,64.27804805802647,56.651838966396205,000697,炼石航空,bottom_area,2024-07-05,5.72,2024-07-05,5.55,3.063063063063062,3.4234234234234306,27.260812581913502,False,2.1429,1.1543,1,3,1,33.33333333333333,27.861771058315338,27.861771058315338,16.936936936936938,3.063063063063062,历史1/3次成功; 当前距低点3.06%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
60,64.26934960551415,55.17266618265542,600933,爱柯迪,bottom_area,2024-07-05,13.78,2024-07-05,13.56,1.6224188790560388,1.991150442477873,32.40279162512462,False,-0.0725,0.5613,1,3,1,33.33333333333333,24.722838137472287,24.722838137472287,18.37758112094396,1.6224188790560388,历史1/3次成功; 当前距低点1.62%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
61,63.55655278101844,56.45242712086469,688156,路德科技,bottom_area,2024-07-05,12.46,2024-07-05,12.04,3.4883720930232704,4.651162790697679,32.54901960784315,False,1.964,1.0063,1,5,1,20.0,44.22535211267606,44.22535211267606,16.51162790697673,3.4883720930232704,历史1/5次成功; 当前距低点3.49%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
62,63.481956272369885,56.525029557589626,000705,浙江震元,bottom_area,2024-07-05,7.15,2024-06-24,6.9,3.6231884057971016,6.666666666666665,29.01234567901235,False,2.4355,1.9,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,16.3768115942029,3.6231884057971016,历史1/3次成功; 当前距低点3.62%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
63,63.401644915733556,54.768753164866894,002299,圣农发展,bottom_area,2024-07-05,12.46,2024-07-05,12.22,1.9639934533551573,3.1096563011456544,29.770114942528725,False,-0.638,0.8417,1,3,1,33.33333333333333,26.73830594184577,26.73830594184577,18.036006546644845,1.9639934533551573,历史1/3次成功; 当前距低点1.96%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
64,62.687701811620116,56.82821253942076,002571,德力股份,bottom_area,2024-07-05,3.86,2024-07-05,3.69,4.607046070460703,5.149051490514904,28.488372093023255,False,1.0471,4.3726,1,2,1,50.0,28.291814946619215,28.291814946619215,15.3929539295393,4.607046070460703,历史1/2次成功; 当前距低点4.61%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
65,61.05654232822009,54.750356668563825,000401,金隅冀东,bottom_area,2024-07-05,4.15,2024-06-24,3.99,4.010025062656645,9.273182957393486,27.848101265822784,True,0.2415,0.4198,1,3,1,33.33333333333333,20.053120849933585,20.053120849933585,15.989974937343357,4.010025062656645,历史1/3次成功; 当前距低点4.01%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
66,60.49487082066872,53.07416666666669,002366,融发核电,bottom_area,2024-07-05,3.29,2024-07-05,3.2,2.8124999999999956,3.7499999999999893,29.978118161925604,False,0.9202,0.8055,1,6,1,16.666666666666664,25.0,25.0,17.187500000000007,2.8124999999999956,历史1/6次成功; 当前距低点2.81%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
67,59.73317862004187,50.44982431940683,000002,万科A,bottom_area,2024-07-05,6.88,2024-07-05,6.83,0.7320644216691043,2.6354319180087806,31.149193548387093,False,-0.8646,1.2049,1,3,1,33.33333333333333,28.255902513328245,28.255902513328245,19.267935578330896,0.7320644216691043,历史1/3次成功; 当前距低点0.73%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
68,59.26143634594664,51.804262284597,603197,保隆科技,bottom_area,2024-07-05,31.4,2024-07-02,30.6,2.614379084967311,6.732026143790834,28.55475134251692,False,-2.5752,2.009,1,4,1,25.0,20.16154085119603,20.16154085119603,17.38562091503269,2.614379084967311,历史1/4次成功; 当前距低点2.61%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
69,57.44770433226812,52.30216225399628,688111,金山办公,bottom_area,2024-07-05,197.66,2024-07-05,188.53,4.842730599904522,5.463321487296458,31.11297866121017,False,3.2598,1.0774,1,4,1,25.0,27.68058076225045,27.68058076225045,15.15726940009548,4.842730599904522,历史1/4次成功; 当前距低点4.84%; 最新日涨幅3.26%; 状态bottom_area; 底部未确认
