rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.77845598084188,84.99351585014412,300735,光弘科技,bottom_area,2024-01-26,17.75,2024-01-24,17.35,2.305475504322758,7.3775216138328386,28.008298755186722,True,-3.794,3.5542,3,3,3,100.0,50.43111523258737,93.48973607038124,17.694524495677243,2.305475504322758,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-3.79%; 状态bottom_area; 底部已确认
25,63.05816982317824,57.246404171399625,002009,天奇股份,bottom_area,2024-01-26,11.17,2024-01-24,10.67,4.686035613870666,7.216494845360821,31.864623243933586,True,-2.2747,1.5318,1,2,1,50.0,44.78798586572438,44.78798586572438,15.313964386129337,4.686035613870666,历史1/2次成功; 当前距低点4.69%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
26,61.39724061810153,55.91666666666666,688319,欧林生物,bottom_area,2024-01-26,12.08,2024-01-24,11.52,4.861111111111115,10.937499999999998,28.447204968944106,True,-4.6567,1.1838,1,2,1,50.0,58.333333333333336,58.333333333333336,15.138888888888886,4.861111111111115,历史1/2次成功; 当前距低点4.86%; 最新日涨幅-4.66%; 状态bottom_area; 底部已确认
27,60.09874057205452,54.22982490449251,301512,智信精密,bottom_area,2024-01-26,49.86,2024-01-24,47.78,4.35328589367936,7.785684386772705,28.225927595012763,True,-1.4625,7.7695,1,2,1,50.0,24.490950226244347,24.490950226244347,15.646714106320642,4.35328589367936,历史1/2次成功; 当前距低点4.35%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
28,59.75423872638313,54.06779791154792,688176,亚虹医药,bottom_area,2024-01-26,8.12,2024-01-24,7.77,4.5045045045045,8.751608751608748,28.84615384615385,True,-2.4038,2.0705,1,2,1,50.0,25.473484848484844,25.473484848484844,15.4954954954955,4.5045045045045,历史1/2次成功; 当前距低点4.50%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
29,59.240729131460924,54.02720861172978,300474,景嘉微,bottom_area,2024-01-26,56.54,2024-01-23,53.88,4.936896807720855,7.980697847067551,27.842507030936115,True,-2.5676,1.4717,1,3,1,33.33333333333333,59.857142857142854,59.857142857142854,15.063103192279147,4.936896807720855,历史1/3次成功; 当前距低点4.94%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
30,58.556681366046696,49.418208070952176,603305,旭升集团,bottom_area,2024-01-26,14.59,2024-01-26,14.49,0.6901311249137312,5.3830227743271175,28.053624627606755,False,-4.8271,1.8306,1,3,1,33.33333333333333,32.41061130334487,32.41061130334487,19.30986887508627,0.6901311249137312,历史1/3次成功; 当前距低点0.69%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
31,58.372342271342134,52.75100016844944,002600,领益智造,bottom_area,2024-01-26,5.18,2024-01-22,4.96,4.435483870967737,9.677419354838717,27.272727272727277,True,-2.6316,0.8384,1,4,1,25.0,38.381201044386415,38.381201044386415,15.564516129032263,4.435483870967737,历史1/4次成功; 当前距低点4.44%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
32,57.55715476675147,51.44033745831669,688095,福昕软件,bottom_area,2024-01-26,53.99,2024-01-24,52.0,3.8269230769230806,7.307692307692302,27.33370598099497,False,-1.8364,1.811,1,3,1,33.33333333333333,31.679509356817103,31.679509356817103,16.17307692307692,3.8269230769230806,历史1/3次成功; 当前距低点3.83%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
33,57.053938899710545,51.81429144973711,603158,腾龙股份,bottom_area,2024-01-26,8.01,2024-01-22,7.65,4.705882352941169,7.581699346405229,29.622815087396496,True,-1.476,2.6239,1,3,1,33.33333333333333,35.270805812417436,35.270805812417436,15.294117647058833,4.705882352941169,历史1/3次成功; 当前距低点4.71%; 最新日涨幅-1.48%; 状态bottom_area; 底部已确认
34,56.257158616696856,51.346739960806474,300602,飞荣达,bottom_area,2024-01-26,13.28,2024-01-24,12.65,4.980237154150189,9.1699604743083,30.149088901159576,True,-3.0657,1.8484,1,2,1,50.0,26.890756302520995,26.890756302520995,15.019762845849813,4.980237154150189,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-3.07%; 状态bottom_area; 底部已确认
35,55.77839021518967,49.18546336682187,603160,汇顶科技,bottom_area,2024-01-26,57.37,2024-01-24,55.65,3.090745732255164,6.77448337825697,30.4375,False,-3.2383,0.7674,1,3,1,33.33333333333333,20.747474747474755,20.747474747474755,16.909254267744835,3.090745732255164,历史1/3次成功; 当前距低点3.09%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
36,54.66376809258601,48.9602799797605,002036,联创电子,bottom_area,2024-01-26,7.64,2024-01-24,7.35,3.9455782312925174,7.482993197278922,28.432327166504383,True,-3.2911,2.508,1,4,1,25.0,22.210743801652896,22.210743801652896,16.054421768707485,3.9455782312925174,历史1/4次成功; 当前距低点3.95%; 最新日涨幅-3.29%; 状态bottom_area; 底部已确认
