rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.62875272035902,84.66723227789839,688111,金山办公,bottom_area,2025-04-01,295.48,2025-03-31,292.44,1.039529476131863,4.270961564765425,27.251921689594273,False,-1.2169,0.9124,5,5,5,100.0,15.039567115478667,27.68058076225045,6.960470523868137,1.039529476131863,历史5/5次成功; 当前距低点1.04%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
12,82.45913850565867,82.06893992822215,000757,浩物股份,bottom_area,2025-04-01,3.87,2025-03-31,3.73,3.7533512064343197,5.361930294906172,28.952380952380953,False,1.3089,2.3535,3,3,3,100.0,28.530003649959063,52.941176470588246,4.24664879356568,3.7533512064343197,历史3/3次成功; 当前距低点3.75%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
13,82.45379916478464,81.76247417984935,002730,电光科技,bottom_area,2025-04-01,15.99,2025-03-31,15.44,3.562176165803114,5.375647668393783,31.071428571428566,False,-0.4978,2.3617,3,3,3,100.0,47.012020633765786,113.1578947368421,4.4378238341968865,3.562176165803114,历史3/3次成功; 当前距低点3.56%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
14,82.20672002582008,78.52640294614923,603081,大丰实业,bottom_area,2025-04-01,11.3,2025-03-31,11.12,1.6187050359712365,5.6654676258992875,32.68765133171913,False,0.5338,4.9411,1,1,1,100.0,16.65080875356803,16.65080875356803,6.381294964028764,1.6187050359712365,历史1/1次成功; 当前距低点1.62%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
15,81.9353359474799,80.26516272648931,603211,晋拓股份,bottom_area,2025-04-01,17.57,2025-03-31,17.07,2.9291154071470418,5.448154657293496,27.36170212765957,False,-0.9024,9.1805,5,5,5,100.0,14.53519276765894,17.962003454231418,5.070884592852959,2.9291154071470418,历史5/5次成功; 当前距低点2.93%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
16,81.63098680282089,80.68376440460949,002401,中远海科,bottom_area,2025-04-01,16.15,2025-03-31,15.62,3.3930857874519806,5.953905249679908,28.414298808432637,False,0.062,3.1883,1,1,1,100.0,68.49925705794946,68.49925705794946,4.60691421254802,3.3930857874519806,历史1/1次成功; 当前距低点3.39%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
17,81.29922729188452,79.06753748916017,600203,福日电子,bottom_area,2025-04-01,9.24,2025-03-31,9.01,2.5527192008879074,4.550499445061045,32.50936329588015,False,-0.5382,3.2947,3,3,3,100.0,20.149125092390385,24.045801526717554,5.447280799112093,2.5527192008879074,历史3/3次成功; 当前距低点2.55%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
18,81.20675443809026,76.14213039982629,002300,太阳电缆,bottom_area,2025-04-01,6.17,2025-04-01,6.13,0.652528548123981,4.567699836867868,30.261660978384526,False,-2.8346,10.7775,2,2,2,100.0,37.633846718005124,38.41584158415842,7.34747145187602,0.652528548123981,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
19,81.17047335046338,78.31245945998275,301596,瑞迪智驱,bottom_area,2025-04-01,126.22,2025-03-31,123.58,2.136268004531478,7.242272212332095,28.151162790697676,False,-2.1399,6.7404,3,3,3,100.0,10.984680162981347,12.830898307536534,5.863731995468522,2.136268004531478,历史3/3次成功; 当前距低点2.14%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
20,81.1096038691158,79.57122681731437,600097,开创国际,bottom_area,2025-04-01,9.6,2025-03-31,9.32,3.0042918454935554,4.07725321888411,27.751937984496124,False,1.5873,3.3273,2,2,2,100.0,22.586087231396153,30.552291421856637,4.9957081545064455,3.0042918454935554,历史2/2次成功; 当前距低点3.00%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
21,81.00032072899117,82.02536733949718,688023,安恒信息,bottom_area,2025-04-01,53.07,2025-03-31,50.71,4.6539144153027,6.487872214553341,29.451864218141345,False,0.151,2.1118,4,4,4,100.0,22.668237668749086,39.261744966442954,3.3460855846973003,4.6539144153027,历史4/4次成功; 当前距低点4.65%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
22,80.63818649139775,78.07048728036474,300386,飞天诚信,bottom_area,2025-04-01,14.57,2025-03-31,14.24,2.3174157303370793,4.494382022471914,30.536585365853657,False,-0.9517,2.792,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,5.682584269662922,2.3174157303370793,历史8/9次成功; 当前距低点2.32%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
23,80.4667775430671,77.71254377235202,000555,神州信息,bottom_area,2025-04-01,11.67,2025-03-31,11.42,2.189141856392294,5.5166374781085885,28.580362726704188,False,-2.0973,2.9975,2,2,2,100.0,25.074124757669058,41.139240506329116,5.810858143607706,2.189141856392294,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
24,79.7827778333829,78.27064479297405,002178,延华智能,bottom_area,2025-04-01,6.17,2025-03-31,5.99,3.005008347245404,4.674457429048403,27.305825242718445,False,0.3252,2.0531,5,6,5,83.33333333333334,18.38027145892594,29.076086956521735,4.994991652754596,3.005008347245404,历史5/6次成功; 当前距低点3.01%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
25,79.75444498973563,77.39080507771865,301366,一博科技,bottom_area,2025-04-01,52.99,2025-03-31,51.73,2.435723951285531,4.117533346220767,31.483443708609276,False,-1.1934,4.3356,2,2,2,100.0,26.366966057256242,36.479591836734706,5.564276048714469,2.435723951285531,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
26,79.60487718045506,78.48805115609949,000665,湖北广电,confirmed_rebound,2025-04-01,5.06,2025-03-31,4.9,3.265306122448964,8.367346938775494,27.83505154639175,True,-3.4351,6.0438,6,6,6,100.0,20.33843610367265,43.606557377049185,4.734693877551036,3.265306122448964,历史6/6次成功; 当前距低点3.27%; 最新日涨幅-3.44%; 状态confirmed_rebound; 底部已确认
27,79.38547704500924,78.77715921324672,605228,神通科技,confirmed_rebound,2025-04-01,10.36,2025-03-31,10.0,3.5999999999999943,8.800000000000008,27.79783393501805,False,1.2708,1.6737,3,3,3,100.0,19.167522651864033,20.32967032967033,4.400000000000006,3.5999999999999943,历史3/3次成功; 当前距低点3.60%; 最新日涨幅1.27%; 状态confirmed_rebound; 底部未确认
28,78.83004935512334,79.71859822522927,603289,泰瑞机器,bottom_area,2025-04-01,8.9,2025-03-31,8.51,4.5828437132785025,5.5229142185664,27.512776831345832,False,1.7143,4.0049,3,3,3,100.0,26.061730599485188,40.702947845804985,3.4171562867214975,4.5828437132785025,历史3/3次成功; 当前距低点4.58%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
29,78.73880590672395,79.35147912756287,300397,天和防务,confirmed_rebound,2025-04-01,12.33,2025-03-31,11.81,4.403048264182892,8.552074513124468,28.42424242424242,True,0.489,6.5005,3,3,3,100.0,22.905533171504533,45.75260804769001,3.5969517358171084,4.403048264182892,历史3/3次成功; 当前距低点4.40%; 最新日涨幅0.49%; 状态confirmed_rebound; 底部已确认
30,78.70422428491835,77.68119915598449,300676,华大基因,bottom_area,2025-04-01,52.91,2025-03-31,51.21,3.3196641280999724,6.22925209919937,27.155049786628734,False,0.4938,1.6387,2,2,2,100.0,16.290501978776426,23.258538343696497,4.680335871900028,3.3196641280999724,历史2/2次成功; 当前距低点3.32%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
31,78.36923068067252,73.51634823950722,300377,赢时胜,bottom_area,2025-04-01,23.79,2025-04-01,23.63,0.677105374523911,7.363520947947533,28.393939393939398,False,-5.0678,9.0939,3,3,3,100.0,17.366389749579177,20.843471208434714,7.322894625476089,0.677105374523911,历史3/3次成功; 当前距低点0.68%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
32,78.31272642689673,77.26865431803736,603163,圣晖集成,bottom_area,2025-04-01,25.34,2025-03-31,24.53,3.3020790868324448,3.791275988585404,27.05917335712162,False,2.0951,3.608,1,1,1,100.0,30.52362707535122,30.52362707535122,4.697920913167556,3.3020790868324448,历史1/1次成功; 当前距低点3.30%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
33,78.25072415627734,76.34138854679804,603280,南方路机,bottom_area,2025-04-01,23.83,2025-03-31,23.2,2.715517241379306,5.6896551724137945,28.240024744819053,False,0.7611,14.6354,1,1,1,100.0,18.348214285714302,18.348214285714302,5.284482758620694,2.715517241379306,历史1/1次成功; 当前距低点2.72%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
34,77.6275859516435,76.23214998580168,000536,华映科技,bottom_area,2025-04-01,4.72,2025-03-31,4.58,3.056768558951958,6.1135371179039355,27.3015873015873,False,-1.6667,1.9494,3,3,3,100.0,11.083775807592168,11.280487804878053,4.943231441048042,3.056768558951958,历史3/3次成功; 当前距低点3.06%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
35,77.40408280980093,76.58715317592441,601798,蓝科高新,bottom_area,2025-04-01,6.6,2025-03-31,6.38,3.448275862068962,5.799373040752353,29.96706915477497,False,1.5385,4.064,5,6,5,83.33333333333334,14.762843054345781,21.74721189591078,4.551724137931038,3.448275862068962,历史5/6次成功; 当前距低点3.45%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
36,77.31893134748674,78.65366012537183,000815,美利云,confirmed_rebound,2025-04-01,12.87,2025-03-31,12.27,4.889975550122247,8.39445802770987,29.76531196336577,True,-1.3793,5.8932,4,4,4,100.0,30.929055804572812,55.703211517165016,3.1100244498777534,4.889975550122247,历史4/4次成功; 当前距低点4.89%; 最新日涨幅-1.38%; 状态confirmed_rebound; 底部已确认
37,76.97366330776141,76.26640147032408,002279,久其软件,bottom_area,2025-04-01,6.47,2025-03-31,6.25,3.519999999999996,6.079999999999998,28.977272727272734,False,-1.2214,2.7303,3,3,3,100.0,16.94624446410791,25.915492957746476,4.480000000000004,3.519999999999996,历史3/3次成功; 当前距低点3.52%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
38,76.00945564629681,70.37912559842297,002163,海南发展,bottom_area,2025-04-01,7.31,2025-04-01,7.31,0.0,0.0,30.90737240075615,False,-9.9754,0.9323,2,2,2,100.0,21.124331174317085,32.54716981132074,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
39,75.41763557153581,72.2584298033877,600960,渤海汽车,bottom_area,2025-04-01,3.44,2025-03-31,3.38,1.7751479289940846,5.917159763313615,30.737704918032787,False,1.7751,4.2977,2,4,2,50.0,43.20304882523773,69.9604743083004,6.224852071005915,1.7751479289940846,历史2/4次成功; 当前距低点1.78%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
40,74.98244867469569,74.79043216080403,600579,中化装备,bottom_area,2025-04-01,7.79,2025-04-01,7.5,3.8666666666666667,6.666666666666667,27.466150870406185,False,1.4323,4.9402,1,1,1,100.0,24.120603015075385,24.120603015075385,4.133333333333333,3.8666666666666667,历史1/1次成功; 当前距低点3.87%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
41,74.70220322429324,73.62291442641904,002599,盛通股份,bottom_area,2025-04-01,9.55,2025-03-31,9.25,3.243243243243251,6.162162162162165,31.53219837157661,False,-0.6243,4.3178,2,2,2,100.0,16.008113016202447,22.107969151670947,4.756756756756749,3.243243243243251,历史2/2次成功; 当前距低点3.24%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
42,74.40006553550502,73.66120089048728,000890,法尔胜,bottom_area,2025-04-01,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,1.2384,3.6104,3,4,3,75.0,17.488762103477214,32.954545454545446,4.518987341772156,3.4810126582278436,历史3/4次成功; 当前距低点3.48%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
43,74.37130089810775,75.51338303255766,300671,富满微,confirmed_rebound,2025-04-01,27.77,2025-03-31,26.5,4.792452830188678,14.943396226415098,30.023765513599148,False,2.8519,3.7783,3,3,3,100.0,16.23750260961202,20.266753415744958,3.2075471698113223,4.792452830188678,历史3/3次成功; 当前距低点4.79%; 最新日涨幅2.85%; 状态confirmed_rebound; 底部未确认
44,74.36013043285689,73.972699605654,300509,新美星,bottom_area,2025-04-01,7.79,2025-03-31,7.51,3.728362183754997,5.858854860186423,30.783410138248847,False,0.9067,1.9422,1,1,1,100.0,18.028846153846153,18.028846153846153,4.271637816245003,3.728362183754997,历史1/1次成功; 当前距低点3.73%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
45,73.34569043764927,70.33148398130751,002123,梦网科技,bottom_area,2025-04-01,14.56,2025-03-31,14.3,1.8181818181818168,4.055944055944057,30.141670737664867,False,-1.4218,3.4492,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,6.181818181818183,1.8181818181818168,历史2/3次成功; 当前距低点1.82%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
46,73.02291270007707,72.65944963844431,301389,隆扬电子,bottom_area,2025-04-01,21.91,2025-03-31,21.12,3.740530303030299,6.250000000000002,31.428571428571427,False,-0.5447,5.078,2,2,2,100.0,16.92397166319034,18.998628257887525,4.259469696969701,3.740530303030299,历史2/2次成功; 当前距低点3.74%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
47,72.84416949152543,67.44830508474577,002427,尤夫股份,bottom_area,2025-04-01,4.63,2025-04-01,4.63,0.0,5.183585313174951,32.801161103047896,False,-9.9222,13.9255,1,1,1,100.0,22.033898305084747,22.033898305084747,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
48,72.44425119096486,72.35986650699168,301428,世纪恒通,confirmed_rebound,2025-04-01,41.16,2025-03-31,39.6,3.9393939393939275,8.005050505050509,27.999999999999996,True,-2.787,6.1605,2,2,2,100.0,18.7724983269346,26.206896551724135,4.060606060606073,3.9393939393939275,历史2/2次成功; 当前距低点3.94%; 最新日涨幅-2.79%; 状态confirmed_rebound; 底部已确认
49,72.22021220889069,71.64035297942824,002335,科华数据,bottom_area,2025-04-01,43.39,2025-03-31,41.89,3.5808068751491997,6.922893291955116,27.53848815083896,False,-1.7214,5.3901,2,2,2,100.0,9.487057283701205,10.596026490066222,4.4191931248508,3.5808068751491997,历史2/2次成功; 当前距低点3.58%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
50,71.1669607176909,67.03087215751525,300183,东软载波,bottom_area,2025-04-01,18.19,2025-03-31,18.03,0.8874098724348316,3.7160288408208437,28.67879746835443,False,-1.8878,2.4503,1,1,1,100.0,8.194444444444441,8.194444444444441,7.112590127565169,0.8874098724348316,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
51,71.03349864573404,70.64860303065663,601789,宁波建工,bottom_area,2025-04-01,5.58,2025-03-31,5.38,3.7174721189591113,7.063197026022302,27.882037533512065,True,-1.0638,5.0781,1,1,1,100.0,13.303437967115093,13.303437967115093,4.282527881040889,3.7174721189591113,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
52,69.59526732717922,70.0623496582341,600693,东百集团,confirmed_rebound,2025-04-01,6.0,2025-03-31,5.75,4.3478260869565215,10.956521739130434,28.571428571428577,False,-2.7553,4.6964,2,2,2,100.0,20.620393206962166,30.632090761750412,3.6521739130434785,4.3478260869565215,历史2/2次成功; 当前距低点4.35%; 最新日涨幅-2.76%; 状态confirmed_rebound; 底部未确认
53,69.17848247849419,68.58181653571872,301608,博实结,bottom_area,2025-04-01,82.85,2025-03-31,80.01,3.5495563054618033,4.786901637295336,29.506607929515415,False,-0.2288,7.1281,1,1,1,100.0,9.326908129954921,9.326908129954921,4.450443694538197,3.5495563054618033,历史1/1次成功; 当前距低点3.55%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
54,54.713561883070945,55.503908804559806,300451,创业慧康,confirmed_rebound,2025-04-01,6.18,2025-03-31,5.9,4.745762711864396,8.3050847457627,27.60736196319018,True,0.6515,4.9351,1,2,1,50.0,23.89380530973452,23.89380530973452,3.2542372881356045,4.745762711864396,历史1/2次成功; 当前距低点4.75%; 最新日涨幅0.65%; 状态confirmed_rebound; 底部已确认
55,49.28663744103201,50.04991192318321,000779,甘咨询,confirmed_rebound,2025-04-01,9.39,2025-03-31,8.96,4.799107142857139,10.491071428571422,31.81126331811263,True,-2.9959,5.6583,1,2,1,50.0,17.69825918762089,17.69825918762089,3.200892857142861,4.799107142857139,历史1/2次成功; 当前距低点4.80%; 最新日涨幅-3.00%; 状态confirmed_rebound; 底部已确认
