rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.79837250083686,80.78328732129489,000735,罗牛山,bottom_area,2026-01-22,7.92,11.38,2026-01-21,7.78,1.7994858611825153,1.9280205655526923,31.634446397188054,30.404217926186295,False,1.4085,2.9591,3,4,3,75.0,35.16728540210225,44.303797468354425,18.200514138817486,1.7994858611825153,历史3/4次成功; 当前距低点1.80%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
12,76.55428982878155,64.53857195983639,688246,嘉和美康,bottom_area,2026-01-22,27.06,39.0,2026-01-22,26.89,0.6322052807735149,4.425436965414644,31.051282051282048,30.615384615384617,False,-1.5642,5.067,2,4,2,50.0,53.820745366240445,58.0508474576271,19.367794719226485,0.6322052807735149,历史2/4次成功; 当前距低点0.63%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
13,75.26747609123258,66.1091635607043,301489,思泉新材,bottom_area,2026-01-22,171.8,231.5,2026-01-20,167.0,2.874251497005995,7.341317365269455,27.861771058315334,25.788336933045354,False,-1.6375,5.1902,2,4,2,50.0,46.08847835418263,71.56118143459918,17.125748502994007,2.874251497005995,历史2/4次成功; 当前距低点2.87%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
14,70.9299518372429,63.51139404538677,000572,海马汽车,bottom_area,2026-01-22,7.14,10.2,2026-01-21,6.87,3.9301310043668063,3.9301310043668063,32.647058823529406,30.0,False,0.7052,3.303,3,8,3,37.5,49.67522975990913,95.5116696588869,16.069868995633197,3.9301310043668063,历史3/8次成功; 当前距低点3.93%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
15,70.56525001998605,62.02981897722406,603069,海汽集团,bottom_area,2026-01-22,23.27,31.58,2026-01-21,22.61,2.9190623617868208,3.272888102609474,28.404053198226727,26.314122862571242,False,0.8669,1.8092,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,17.080937638213182,2.9190623617868208,历史2/7次成功; 当前距低点2.92%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
16,69.96132924728055,63.56800900078281,300629,新劲刚,bottom_area,2026-01-22,26.11,34.17,2026-01-22,24.93,4.733253108704371,8.142799839550745,27.041264266900793,23.587942639742472,False,3.7346,14.088,2,4,2,50.0,32.74100047649878,44.66926070038911,15.266746891295629,4.733253108704371,历史2/4次成功; 当前距低点4.73%; 最新日涨幅3.73%; 状态bottom_area; 底部未确认
17,69.05656745953532,60.732374149517334,002151,北斗星通,bottom_area,2026-01-22,47.54,66.9,2026-01-22,46.18,2.9449978345604144,3.941100043308792,30.971599402092682,28.938714499252622,False,2.0172,11.3917,1,2,1,50.0,28.90843662534986,28.90843662534986,17.055002165439586,2.9449978345604144,历史1/2次成功; 当前距低点2.94%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
18,68.76245955234214,61.14860706732895,603131,上海沪工,bottom_area,2026-01-22,26.23,35.18,2026-01-21,25.33,3.5530990919857968,4.066324516383739,27.99886299033542,25.44059124502558,False,2.7821,5.7226,2,5,2,40.0,26.933725790626717,30.158730158730158,16.446900908014207,3.5530990919857968,历史2/5次成功; 当前距低点3.55%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
19,68.58092532527732,59.49765393014239,300418,昆仑万维,bottom_area,2026-01-22,53.45,72.09,2026-01-21,52.3,2.1988527724665503,4.282982791587002,27.45179636565405,25.856568178665558,False,1.6353,5.4118,1,3,1,33.33333333333333,32.568306010928964,32.568306010928964,17.801147227533452,2.1988527724665503,历史1/3次成功; 当前距低点2.20%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
20,68.22377359521909,62.27712203726634,600325,华发股份,bottom_area,2026-01-22,4.21,5.74,2026-01-19,4.01,4.98753117206983,5.486284289276824,30.13937282229966,26.655052264808365,False,1.2019,1.4155,2,4,2,50.0,28.917704890244938,32.553606237816766,15.01246882793017,4.98753117206983,历史2/4次成功; 当前距低点4.99%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
21,66.63194225891004,59.809559092468746,002173,创新医疗,bottom_area,2026-01-22,28.93,38.31,2026-01-21,27.8,4.064748201438846,5.107913669064741,27.43409031584443,24.48446880709998,False,1.9739,10.915,2,5,2,40.0,26.006370923383365,27.109266943291825,15.935251798561156,4.064748201438846,历史2/5次成功; 当前距低点4.06%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
22,65.71381186950133,57.008771412688894,600990,四创电子,bottom_area,2026-01-22,28.37,38.28,2026-01-21,27.76,2.197406340057635,2.6657060518731934,27.481713688610238,25.888192267502614,False,2.1238,3.7786,1,4,1,25.0,20.55837563451777,20.55837563451777,17.802593659942367,2.197406340057635,历史1/4次成功; 当前距低点2.20%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
23,64.68453178647421,57.78004205768542,600161,天坛生物,bottom_area,2026-01-22,16.67,22.08,2025-12-24,16.06,3.798256537982584,9.464508094645078,27.264492753623188,24.501811594202884,True,-0.1796,0.438,1,2,1,50.0,36.77455357142857,36.77455357142857,16.20174346201742,3.798256537982584,历史1/2次成功; 当前距低点3.80%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
24,62.660149279717146,56.80229892474647,300705,九典制药,bottom_area,2026-01-22,15.67,20.66,2025-12-30,14.98,4.606141522029369,8.277703604806398,27.49273959341723,24.15295256534366,True,-0.1911,1.2002,1,2,1,50.0,41.42097631706138,41.42097631706138,15.393858477970632,4.606141522029369,历史1/2次成功; 当前距低点4.61%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
25,59.1566707611254,52.89594032430354,002347,泰尔股份,bottom_area,2026-01-22,10.24,14.54,2026-01-21,9.86,3.853955375253558,4.462474645030439,32.18707015130674,29.5735900962861,False,2.0937,8.4439,1,5,1,20.0,29.585798816568047,29.585798816568047,16.14604462474644,3.853955375253558,历史1/5次成功; 当前距低点3.85%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
26,58.18027610630191,52.752556427621755,002324,普利特,bottom_area,2026-01-22,19.03,25.66,2026-01-20,18.19,4.617921935129191,5.277625068719061,29.111457521434136,25.837879968823067,False,2.7538,6.8908,1,3,1,33.33333333333333,25.957446808510653,25.957446808510653,15.38207806487081,4.617921935129191,历史1/3次成功; 当前距低点4.62%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
