rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.74642912839674,77.16894108787169,688025,杰普特,bottom_area,2022-10-13,47.49,2022-10-12,46.57,1.975520721494528,8.653639682198841,28.900763358778626,True,-5.5113,3.0759,2,2,2,100.0,20.554453402576446,23.866292660121555,8.024479278505472,1.975520721494528,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-5.51%; 状态bottom_area; 底部已确认
12,73.71190285856949,72.81734093067425,600126,杭钢股份,bottom_area,2022-10-13,4.07,2022-10-11,3.9,4.358974358974368,5.1282051282051215,31.698774080560423,False,0.0,0.2152,1,1,1,100.0,19.54732510288064,19.54732510288064,5.641025641025632,4.358974358974368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,71.9515961416094,71.526620789569,603165,荣晟环保,bottom_area,2022-10-13,10.94,2022-10-11,10.45,4.6889952153110075,6.0287081339713,28.668941979522188,False,0.7366,0.7575,1,1,1,100.0,16.653386454183263,16.653386454183263,5.311004784688993,4.6889952153110075,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
14,71.13005365460678,69.7018438043317,603290,斯达半导,bottom_area,2022-10-13,316.15,2022-10-12,304.18,3.9351699651522027,8.744822144782683,29.522706209453197,True,-1.9994,1.995,1,1,1,100.0,10.881888843434034,10.881888843434034,6.064830034847798,3.9351699651522027,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
15,70.91235847615002,70.5595606727861,002225,濮耐股份,bottom_area,2022-10-13,4.2,2022-10-12,4.01,4.738154613466344,5.236907730673316,29.52548330404219,False,0.2387,1.1114,1,1,1,100.0,12.056737588652476,12.056737588652476,5.261845386533656,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
16,69.76153642281345,69.01466538643963,000683,博源化工,bottom_area,2022-10-13,7.3,2022-10-12,6.99,4.4349070100143,6.43776824034335,28.891149542217697,False,-0.2732,1.0271,1,1,1,100.0,22.50673854447439,22.50673854447439,5.5650929899857005,4.4349070100143,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
17,69.68226188518214,68.53674685279825,002394,联发股份,bottom_area,2022-10-13,7.06,2022-10-12,6.78,4.129793510324474,7.522123893805306,27.79552715654952,False,-1.2587,3.372,1,1,1,100.0,16.197183098591555,16.197183098591555,5.870206489675527,4.129793510324474,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
18,69.47601804415446,68.12875281985177,002374,中锐股份,bottom_area,2022-10-13,4.45,2022-10-12,4.28,3.9719626168224282,6.308411214953261,31.629392971246002,False,-1.1111,2.1696,1,1,1,100.0,12.068965517241388,12.068965517241388,6.028037383177573,3.9719626168224282,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
19,69.10835165339364,68.81219789032139,002221,东华能源,bottom_area,2022-10-13,7.9,2022-10-11,7.54,4.774535809018572,6.233421750663127,27.360308285163782,False,-1.1264,0.3854,1,1,1,100.0,25.581395348837223,25.581395348837223,5.225464190981429,4.774535809018572,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
20,66.93458761826408,66.44601398601398,002555,三七互娱,bottom_area,2022-10-13,14.96,2022-10-12,14.3,4.615384615384617,6.5034965034965015,32.19535324798482,False,-0.8615,2.0405,1,1,1,100.0,10.909090909090905,10.909090909090905,5.384615384615383,4.615384615384617,历史1/1次成功; 当前距低点4.62%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
21,66.66177560451344,66.62670891561046,000889,中嘉博创,bottom_area,2022-10-13,1.9,2022-10-12,1.81,4.972375690607727,7.182320441988945,28.74015748031496,True,0.0,1.8756,2,3,2,66.66666666666666,23.478810879190387,34.408602150537625,5.027624309392274,4.972375690607727,历史2/3次成功; 当前距低点4.97%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
22,65.63848978872353,65.49763466042155,002031,巨轮智能,bottom_area,2022-10-13,2.79,2022-10-11,2.66,4.887218045112777,8.646616541353383,27.717391304347828,True,-3.125,7.0701,1,1,1,100.0,10.163934426229511,10.163934426229511,5.112781954887223,4.887218045112777,历史1/1次成功; 当前距低点4.89%; 最新日涨幅-3.12%; 状态bottom_area; 底部已确认
23,61.38318866204829,58.91901536527022,601919,中远海控,bottom_area,2022-10-13,11.19,2022-10-10,10.88,2.8492647058823413,5.055147058823519,28.13738441215323,False,-1.2357,0.6922,1,2,1,50.0,40.45881126173098,40.45881126173098,7.150735294117659,2.8492647058823413,历史1/2次成功; 当前距低点2.85%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
24,58.65629286358851,56.181100917431195,000530,冰山冷热,bottom_area,2022-10-13,4.88,2022-10-11,4.75,2.7368421052631557,7.578947368421058,28.030303030303028,True,-3.7475,6.0227,1,2,1,50.0,25.382262996941883,25.382262996941883,7.263157894736845,2.7368421052631557,历史1/2次成功; 当前距低点2.74%; 最新日涨幅-3.75%; 状态bottom_area; 底部已确认
25,53.12325379395496,53.11123767683351,000679,大连友谊,bottom_area,2022-10-13,4.42,2022-10-12,4.21,4.988123515439429,6.175771971496432,32.09677419354839,False,1.1442,1.4848,1,2,1,50.0,12.979351032448374,12.979351032448374,5.011876484560572,4.988123515439429,历史1/2次成功; 当前距低点4.99%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
26,52.789157869192884,50.571580540671455,000338,潍柴动力,bottom_area,2022-10-13,9.35,2022-10-12,9.1,2.7472527472527473,4.725274725274723,31.475903614457827,False,-1.8888,0.9341,1,3,1,33.33333333333333,13.774104683195592,13.774104683195592,7.252747252747254,2.7472527472527473,历史1/3次成功; 当前距低点2.75%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
27,49.55672207733067,49.47941049842687,002745,木林森,bottom_area,2022-10-13,8.32,2022-10-11,7.93,4.918032786885253,6.1790668348045426,30.316344463971888,False,-0.3593,1.555,1,2,1,50.0,15.06734006734006,15.06734006734006,5.081967213114747,4.918032786885253,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
