rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.04474885898041,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,10.59515803631472,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
20,67.03766835101058,59.549239543726216,002110,三钢闽光,bottom_area,2024-08-29,2.66,2024-08-29,2.63,1.1406844106463974,1.5209125475285186,30.0531914893617,False,-0.3745,0.2551,1,2,1,50.0,22.90322580645161,22.90322580645161,13.859315589353601,1.1406844106463974,历史1/2次成功; 当前距低点1.14%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
21,66.90813379778588,60.88212756575063,603069,海汽集团,bottom_area,2024-08-29,15.17,2024-08-29,14.81,2.4307900067521904,2.5658338960161986,27.966926070038905,False,-0.5898,1.2634,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,12.56920999324781,2.4307900067521904,历史2/6次成功; 当前距低点2.43%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
22,66.85413773397131,61.506372616324256,600183,生益科技,bottom_area,2024-08-29,17.39,2024-08-29,16.88,3.0213270142180186,4.146919431279617,29.519832985386223,False,-1.7514,1.1146,2,4,2,50.0,23.14515165989969,25.158227848101262,11.978672985781982,3.0213270142180186,历史2/4次成功; 当前距低点3.02%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
23,66.3326078513655,61.226358713247194,603282,亚光股份,bottom_area,2024-08-29,12.59,2024-08-26,12.2,3.1967213114754145,3.4426229508196715,27.164179104477615,False,1.9433,1.8617,1,2,1,50.0,34.64991023339317,34.64991023339317,11.803278688524586,3.1967213114754145,历史1/2次成功; 当前距低点3.20%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
24,65.13821485999006,60.399161913119805,603132,金徽股份,bottom_area,2024-08-29,11.12,2024-08-29,10.75,3.441860465116272,4.558139534883723,28.285523682454972,False,1.7383,1.0897,1,2,1,50.0,33.20754716981132,33.20754716981132,11.558139534883727,3.441860465116272,历史1/2次成功; 当前距低点3.44%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
25,62.97273956021248,59.5612144725018,688262,国芯科技,bottom_area,2024-08-29,14.84,2024-08-29,14.2,4.507042253521131,5.985915492957757,27.142124166239096,False,-0.2017,1.9494,2,4,2,50.0,30.89930543295688,34.73541383989144,10.492957746478867,4.507042253521131,历史2/4次成功; 当前距低点4.51%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
26,62.655904838722144,57.88435653015529,600262,北方股份,bottom_area,2024-08-29,15.91,2024-08-29,15.41,3.244646333549643,3.5042180402336087,31.48065807025344,False,2.0526,2.3639,1,2,1,50.0,17.269624573378834,17.269624573378834,11.755353666450356,3.244646333549643,历史1/2次成功; 当前距低点3.24%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
27,62.220952126160064,58.83628416606901,000155,川能动力,bottom_area,2024-08-29,9.3,2024-08-23,8.9,4.494382022471914,5.280898876404481,29.08366533864542,False,0.6494,0.6824,1,2,1,50.0,37.70685579196216,37.70685579196216,10.505617977528086,4.494382022471914,历史1/2次成功; 当前距低点4.49%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
28,61.89268472508541,57.272416641687826,301509,金凯生科,bottom_area,2024-08-29,26.05,2024-08-28,25.21,3.332011106703688,3.649345497818319,29.6792189679219,False,1.8772,2.7072,1,2,1,50.0,15.05054819877544,15.05054819877544,11.667988893296311,3.332011106703688,历史1/2次成功; 当前距低点3.33%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
29,61.2526538735908,57.042527354765916,688065,凯赛生物,bottom_area,2024-08-29,34.99,2024-08-27,33.75,3.6740740740740803,4.2370370370370365,30.36930059830823,False,0.6038,0.178,1,2,1,50.0,18.007614213197968,18.007614213197968,11.32592592592592,3.6740740740740803,历史1/2次成功; 当前距低点3.67%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
30,58.880985939903155,55.66820965498596,600990,四创电子,bottom_area,2024-08-29,14.91,2024-08-29,14.27,4.484933426769451,5.886475122634898,29.356435643564353,False,1.1533,1.4708,1,2,1,50.0,20.55837563451777,20.55837563451777,10.515066573230548,4.484933426769451,历史1/2次成功; 当前距低点4.48%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
31,58.06500893921519,54.54013206539623,300653,正海生物,bottom_area,2024-08-29,19.14,2024-08-28,18.38,4.13492927094669,4.57018498367791,27.466456195737965,False,1.9712,0.8214,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,10.86507072905331,4.13492927094669,历史1/3次成功; 当前距低点4.13%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
32,56.622615998366484,53.3533936810633,002732,燕塘乳业,bottom_area,2024-08-29,13.57,2024-08-23,13.01,4.304381245196007,5.918524212144502,29.599567099567103,False,1.1177,0.3942,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,10.695618754803993,4.304381245196007,历史1/3次成功; 当前距低点4.30%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
33,56.21131706890852,53.653736320735035,301510,固高科技,bottom_area,2024-08-29,20.8,2024-08-21,19.81,4.997476022211015,5.653710247349829,28.91998564764981,False,2.4631,0.9507,1,2,1,50.0,16.010654039656714,16.010654039656714,10.002523977788986,4.997476022211015,历史1/2次成功; 当前距低点5.00%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
34,55.74416163030407,52.401118570555205,002196,方正电机,bottom_area,2024-08-29,4.24,2024-08-28,4.07,4.176904176904174,4.668304668304655,30.546075085324233,False,2.1687,2.4023,1,3,1,33.33333333333333,18.661971830985923,18.661971830985923,10.823095823095825,4.176904176904174,历史1/3次成功; 当前距低点4.18%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
35,55.2651575669054,51.89256809205906,002545,东方铁塔,bottom_area,2024-08-29,6.07,2024-07-25,5.83,4.116638078902233,7.375643224699823,29.247572815533985,True,-0.9788,1.2785,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,10.883361921097768,4.116638078902233,历史1/3次成功; 当前距低点4.12%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
36,54.78720639648165,51.85620358514724,002403,爱仕达,bottom_area,2024-08-29,6.44,2024-08-28,6.16,4.545454545454549,6.493506493506485,27.444051825677267,False,0.3115,6.4847,1,4,1,25.0,21.63892445582587,21.63892445582587,10.45454545454545,4.545454545454549,历史1/4次成功; 当前距低点4.55%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
