rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.68609565179793,84.53533785680209,000981,山子高科,bottom_area,2024-12-27,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,True,-0.9217,8.7984,4,4,4,100.0,15.632326550100428,22.499999999999993,8.1042654028436,1.8957345971564,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
17,77.79474767868184,74.6166318765332,688196,卓越新能,bottom_area,2024-12-27,34.02,2024-12-27,33.09,2.810516772438802,5.167724388032619,30.860844128708724,False,1.0996,1.1022,3,4,3,75.0,14.406506009105732,19.41979522184301,7.189483227561198,2.810516772438802,历史3/4次成功; 当前距低点2.81%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
18,76.05336679471907,74.01917087568934,000668,荣丰控股,bottom_area,2024-12-27,6.95,2024-12-25,6.71,3.5767511177347275,7.153502235469455,32.085020242914986,False,2.3564,2.9202,1,1,1,100.0,16.420233463035032,16.420233463035032,6.4232488822652725,3.5767511177347275,历史1/1次成功; 当前距低点3.58%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
19,75.14206950508613,74.15665450157424,300651,金陵体育,bottom_area,2024-12-27,13.32,2024-12-25,12.77,4.30696945967111,6.656225528582612,32.398094229751194,False,0.8327,5.9951,4,5,4,80.0,19.443789621636355,25.720461095100855,5.693030540328891,4.30696945967111,历史4/5次成功; 当前距低点4.31%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
20,74.14534307831748,71.43487102181595,002383,合众思壮,bottom_area,2024-12-27,8.46,2024-12-25,8.21,3.045066991473812,6.577344701583423,31.06633081444164,False,-0.4706,4.1128,1,1,1,100.0,18.48184818481848,18.48184818481848,6.954933008526189,3.045066991473812,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
21,73.09860496532866,72.67789356984477,002670,国盛证券,bottom_area,2024-12-27,13.82,2024-12-25,13.2,4.696969696969705,7.121212121212131,31.034482758620697,True,2.7509,6.8743,1,1,1,100.0,13.747228381374727,13.747228381374727,5.303030303030296,4.696969696969705,历史1/1次成功; 当前距低点4.70%; 最新日涨幅2.75%; 状态bottom_area; 底部已确认
22,72.951490995336,72.8827336993932,002370,亚太药业,bottom_area,2024-12-27,3.18,2024-12-25,3.03,4.950495049504963,8.25082508250825,28.70588235294118,False,2.5806,4.6355,5,6,5,83.33333333333334,13.260909026511698,15.633423180592995,5.049504950495037,4.950495049504963,历史5/6次成功; 当前距低点4.95%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
23,72.85753864419456,72.71606769537087,002321,华英农业,bottom_area,2024-12-27,2.57,2024-12-25,2.45,4.897959183673455,7.346938775510193,30.790960451977394,False,3.629,2.9254,1,1,1,100.0,25.609756097560986,25.609756097560986,5.102040816326546,4.897959183673455,历史1/1次成功; 当前距低点4.90%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
24,71.83354027197247,66.704742957657,688165,埃夫特,bottom_area,2024-12-27,26.35,2024-12-27,26.06,1.1128165771297112,9.286262471220267,28.89495225102319,False,-5.4539,7.6584,2,4,2,50.0,37.91378899738032,53.84615384615383,8.88718342287029,1.1128165771297112,历史2/4次成功; 当前距低点1.11%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
25,71.4193485776277,71.24743786963127,603216,梦天家居,bottom_area,2024-12-27,11.19,2024-12-25,10.67,4.873477038425488,5.716963448922206,28.244788164088767,False,1.6349,6.2365,1,1,1,100.0,17.41379310344827,17.41379310344827,5.126522961574512,4.873477038425488,历史1/1次成功; 当前距低点4.87%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
26,70.75710567213218,70.3447399551537,002374,中锐股份,bottom_area,2024-12-27,2.9,2024-12-26,2.77,4.693140794223822,6.498194945848382,32.1078431372549,False,2.1127,1.8548,3,4,3,75.0,14.51667186012914,20.94240837696336,5.306859205776178,4.693140794223822,历史3/4次成功; 当前距低点4.69%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
27,69.80742386577639,67.29879495007467,002238,天威视讯,bottom_area,2024-12-27,8.37,2024-12-25,8.12,3.078817733990148,6.527093596059127,27.10951526032317,False,0.2395,1.4782,2,3,2,66.66666666666666,13.074369445728676,15.169902912621358,6.921182266009852,3.078817733990148,历史2/3次成功; 当前距低点3.08%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
28,68.60413440187159,66.7680792322962,300380,安硕信息,bottom_area,2024-12-27,49.82,2024-12-26,48.1,3.5758835758835734,5.779625779625782,27.799459621735217,False,2.9339,8.9054,2,3,2,66.66666666666666,16.314124293785305,17.599999999999994,6.424116424116427,3.5758835758835734,历史2/3次成功; 当前距低点3.58%; 最新日涨幅2.93%; 状态bottom_area; 底部未确认
29,67.81188723235304,67.32519904647494,601011,宝泰隆,bottom_area,2024-12-27,2.49,2024-12-25,2.38,4.621848739495812,7.14285714285714,27.439024390243897,False,2.8926,2.8028,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,5.378151260504188,4.621848739495812,历史2/3次成功; 当前距低点4.62%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
30,65.98455398127224,64.02671236354405,002162,悦心健康,bottom_area,2024-12-27,3.63,2024-12-24,3.51,3.4188034188034218,7.122507122507122,30.21868787276343,True,1.6807,2.8468,1,2,1,50.0,43.23432343234324,43.23432343234324,6.581196581196578,3.4188034188034218,历史1/2次成功; 当前距低点3.42%; 最新日涨幅1.68%; 状态bottom_area; 底部已确认
31,62.439668368351676,62.17960159362549,002021,中捷资源,bottom_area,2024-12-27,2.63,2024-12-25,2.51,4.780876494023909,8.764940239043833,29.691876750700285,True,1.938,3.5617,1,2,1,50.0,50.76923076923077,50.76923076923077,5.219123505976091,4.780876494023909,历史1/2次成功; 当前距低点4.78%; 最新日涨幅1.94%; 状态bottom_area; 底部已确认
32,62.298899435815926,61.35872541732468,002369,卓翼科技,bottom_area,2024-12-27,7.44,2024-12-27,7.14,4.2016806722689175,8.683473389355745,28.6,False,-1.0638,20.6715,3,5,3,60.0,15.15353414031079,17.345132743362825,5.7983193277310825,4.2016806722689175,历史3/5次成功; 当前距低点4.20%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
33,62.141514296863896,61.83615059024542,002115,三维通信,bottom_area,2024-12-27,7.29,2024-12-25,6.96,4.741379310344829,9.051724137931034,29.55465587044535,True,-0.4098,12.4239,2,3,2,66.66666666666666,17.364670705187947,20.720720720720706,5.258620689655171,4.741379310344829,历史2/3次成功; 当前距低点4.74%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
