rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
56,67.00068541810317,59.27272282228612,603158,腾龙股份,bottom_area,2024-01-24,7.9,2024-01-22,7.65,3.2679738562091507,7.581699346405229,29.622815087396496,True,0.3812,2.8722,1,3,1,33.33333333333333,35.270805812417436,35.270805812417436,16.73202614379085,3.2679738562091507,历史1/3次成功; 当前距低点3.27%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
57,66.99321543290917,59.176878340612774,688286,敏芯股份,bottom_area,2024-01-24,46.97,2024-01-24,45.52,3.185413005272398,9.16080843585236,32.34244946492271,False,-3.1746,2.648,2,4,2,50.0,22.847419315235673,25.016501650165008,16.814586994727605,3.185413005272398,历史2/4次成功; 当前距低点3.19%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
58,66.90617547438856,60.23435179646497,688001,华兴源创,bottom_area,2024-01-24,25.64,2024-01-24,24.6,4.227642276422761,6.829268292682926,32.04419889502763,False,-0.1169,0.3155,2,4,2,50.0,31.093420358649794,35.3639240506329,15.77235772357724,4.227642276422761,历史2/4次成功; 当前距低点4.23%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
59,66.42394293098631,59.07541666666667,688319,欧林生物,bottom_area,2024-01-24,11.93,2024-01-24,11.52,3.559027777777779,7.465277777777788,28.447204968944106,False,-1.8107,1.038,1,2,1,50.0,58.333333333333336,58.333333333333336,16.44097222222222,3.559027777777779,历史1/2次成功; 当前距低点3.56%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
60,65.83433803368744,58.57908053771591,688220,翱捷科技,bottom_area,2024-01-24,53.45,2024-01-23,51.6,3.58527131782946,5.426356589147281,27.067137809187276,False,0.4888,0.6034,1,2,1,50.0,25.180102915951984,25.180102915951984,16.41472868217054,3.58527131782946,历史1/2次成功; 当前距低点3.59%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
61,65.40181246746768,58.61630917874396,002735,王子新材,bottom_area,2024-01-24,11.23,2024-01-23,10.8,3.9814814814814787,7.870370370370367,28.618638466622603,True,0.6272,4.8313,1,2,1,50.0,21.043478260869563,21.043478260869563,16.01851851851852,3.9814814814814787,历史1/2次成功; 当前距低点3.98%; 最新日涨幅0.63%; 状态bottom_area; 底部已确认
62,64.8867005597066,58.450340146668744,002442,龙星科技,bottom_area,2024-01-24,5.14,2024-01-23,4.93,4.259634888438133,5.273833671399608,30.268741159830277,False,1.1811,3.6376,1,2,1,50.0,32.75434243176177,32.75434243176177,15.740365111561868,4.259634888438133,历史1/2次成功; 当前距低点4.26%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
63,64.32318334651856,57.36878402536513,002213,大为股份,bottom_area,2024-01-24,11.45,2024-01-24,11.04,3.713768115942031,5.525362318840591,27.98434442270059,False,0.0,1.5407,1,2,1,50.0,20.248254460822338,20.248254460822338,16.28623188405797,3.713768115942031,历史1/2次成功; 当前距低点3.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
64,64.10401916336613,58.01978251087444,300507,苏奥传感,bottom_area,2024-01-24,5.55,2024-01-24,5.31,4.51977401129944,5.461393596986818,28.532974427994617,False,0.9091,1.912,1,2,1,50.0,33.6283185840708,33.6283185840708,15.48022598870056,4.51977401129944,历史1/2次成功; 当前距低点4.52%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
65,63.641463009831014,57.45555474363657,002272,川润股份,bottom_area,2024-01-24,5.48,2024-01-23,5.25,4.3809523809523885,5.714285714285711,27.083333333333336,False,1.6698,2.6021,1,3,1,33.33333333333333,48.337595907928375,48.337595907928375,15.619047619047613,4.3809523809523885,历史1/3次成功; 当前距低点4.38%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
