rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,60.443589206547756,54.27022452504316,002730,电光科技,bottom_area,2025-03-31,16.07,2025-03-31,15.44,4.080310880829021,4.404145077720218,31.071428571428566,False,-1.2293,4.1429,1,3,1,33.33333333333333,113.1578947368421,113.1578947368421,15.919689119170979,4.080310880829021,历史1/3次成功; 当前距低点4.08%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
25,60.2374851471278,53.90270877736712,300397,天和防务,bottom_area,2025-03-31,12.27,2025-03-31,11.81,3.895004233700246,4.995766299745977,28.42424242424242,False,-1.5249,7.6524,1,3,1,33.33333333333333,45.75260804769001,45.75260804769001,16.10499576629976,3.895004233700246,历史1/3次成功; 当前距低点3.90%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
26,60.09723191723496,51.84106267620907,300671,富满微,bottom_area,2025-03-31,27.0,2025-03-31,26.5,1.8867924528301887,14.943396226415098,30.023765513599148,False,-14.5028,7.3503,1,3,1,33.33333333333333,20.266753415744958,20.266753415744958,18.113207547169814,1.8867924528301887,历史1/3次成功; 当前距低点1.89%; 最新日涨幅-14.50%; 状态bottom_area; 底部未确认
27,59.77677472049025,51.94054534635798,688111,金山办公,bottom_area,2025-03-31,299.12,2025-03-31,292.44,2.284229243605528,3.2211735740664804,27.251921689594273,False,-1.5405,1.7581,1,5,1,20.0,27.68058076225045,27.68058076225045,17.715770756394473,2.284229243605528,历史1/5次成功; 当前距低点2.28%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
28,59.375736562019675,53.128568748697305,002599,盛通股份,bottom_area,2025-03-31,9.61,2025-03-31,9.25,3.8918918918918854,5.081081081081088,31.53219837157661,False,-1.8386,6.4902,1,2,1,50.0,22.107969151670947,22.107969151670947,16.108108108108116,3.8918918918918854,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
29,59.10881973490907,53.05967151642421,300451,创业慧康,bottom_area,2025-03-31,6.14,2025-03-31,5.9,4.06779661016948,4.745762711864396,27.60736196319018,False,-0.9677,4.3912,1,2,1,50.0,23.89380530973452,23.89380530973452,15.932203389830521,4.06779661016948,历史1/2次成功; 当前距低点4.07%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
30,58.75185185185185,48.95987654320988,002278,神开股份,bottom_area,2025-03-31,8.42,2025-03-31,8.42,0.0,3.087885985748216,29.833333333333336,False,-10.0427,5.4691,1,3,1,33.33333333333333,33.74485596707818,33.74485596707818,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
31,58.574621135137264,50.910652014652015,605228,神通科技,bottom_area,2025-03-31,10.23,2025-03-31,10.0,2.3000000000000043,8.800000000000008,27.79783393501805,False,-5.5402,2.6756,1,3,1,33.33333333333333,20.32967032967033,20.32967032967033,17.699999999999996,2.3000000000000043,历史1/3次成功; 当前距低点2.30%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
32,58.44834278094165,50.41324682538757,601798,蓝科高新,bottom_area,2025-03-31,6.5,2025-03-31,6.38,1.8808777429467103,4.231974921630101,29.96706915477497,False,-2.4024,4.5272,1,6,1,16.666666666666664,21.74721189591078,21.74721189591078,18.11912225705329,1.8808777429467103,历史1/6次成功; 当前距低点1.88%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
33,57.52263025481134,52.3296150234742,002279,久其软件,bottom_area,2025-03-31,6.55,2025-03-31,6.25,4.799999999999997,4.799999999999997,28.977272727272734,False,1.0802,3.5353,1,3,1,33.33333333333333,25.915492957746476,25.915492957746476,15.200000000000003,4.799999999999997,历史1/3次成功; 当前距低点4.80%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
34,57.10926355311559,49.97466859016234,002178,延华智能,bottom_area,2025-03-31,6.15,2025-03-31,5.99,2.67111853088481,4.674457429048403,27.305825242718445,False,-2.6899,3.3621,1,6,1,16.666666666666664,29.076086956521735,29.076086956521735,17.32888146911519,2.67111853088481,历史1/6次成功; 当前距低点2.67%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
