rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
41,60.837487045289166,52.40840743980987,688202,美迪西,bottom_area,2024-04-15,35.95,2024-04-15,35.31,1.8125177003681694,7.278391390540924,31.008206330597886,False,-4.566,2.2393,1,4,1,25.0,23.795418261555337,23.795418261555337,18.18748229963183,1.8125177003681694,历史1/4次成功; 当前距低点1.81%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
42,60.42121235164041,52.150721465164864,603131,上海沪工,bottom_area,2024-04-15,12.75,2024-04-15,12.51,1.9184652278177474,8.153477218225417,29.640044994375707,False,-4.6372,3.6404,1,4,1,25.0,23.708721422523276,23.708721422523276,18.081534772182252,1.9184652278177474,历史1/4次成功; 当前距低点1.92%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
43,60.40803883495144,50.34003236245954,002167,东方锆业,bottom_area,2024-04-15,6.59,2024-04-15,6.59,0.0,10.470409711684377,29.215896885069824,False,-9.9727,16.5213,1,3,1,33.33333333333333,41.1650485436893,41.1650485436893,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
44,59.76875844628954,51.65512428958412,002156,通富微电,bottom_area,2024-04-15,20.5,2024-04-15,20.1,1.9900497512437738,5.721393034825863,27.173913043478258,False,-3.9363,4.6008,1,4,1,25.0,21.92170818505337,21.92170818505337,18.009950248756226,1.9900497512437738,历史1/4次成功; 当前距低点1.99%; 最新日涨幅-3.94%; 状态bottom_area; 底部未确认
45,58.962858355835834,52.1440243963174,300758,七彩化学,bottom_area,2024-04-15,8.58,2024-04-15,8.31,3.2490974729241824,12.876052948255118,30.109335576114383,False,-4.6667,6.3387,1,3,1,33.33333333333333,38.59480269489894,38.59480269489894,16.750902527075816,3.2490974729241824,历史1/3次成功; 当前距低点3.25%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
46,58.70904609193201,51.04981685911263,300473,德尔股份,bottom_area,2024-04-15,14.53,2024-04-15,14.2,2.323943661971832,15.211267605633804,27.84552845528456,False,-10.4744,6.5101,1,3,1,33.33333333333333,21.37137137137137,21.37137137137137,17.676056338028168,2.323943661971832,历史1/3次成功; 当前距低点2.32%; 最新日涨幅-10.47%; 状态bottom_area; 底部未确认
47,57.86215825759685,50.305919343814075,688071,华依科技,bottom_area,2024-04-15,24.3,2024-04-15,23.75,2.3157894736842133,11.747368421052629,32.45164960182024,False,-8.059,5.7083,1,5,1,20.0,29.494190020505805,29.494190020505805,17.684210526315788,2.3157894736842133,历史1/5次成功; 当前距低点2.32%; 最新日涨幅-8.06%; 状态bottom_area; 底部未确认
48,57.55218323305078,50.69950608891849,300654,世纪天鸿,bottom_area,2024-04-15,9.84,2024-04-15,9.55,3.036649214659677,12.774869109947632,30.036630036630036,False,-7.6056,7.6115,1,4,1,25.0,29.61325966850828,29.61325966850828,16.963350785340324,3.036649214659677,历史1/4次成功; 当前距低点3.04%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
49,56.47250530342034,49.79793897062582,600203,福日电子,bottom_area,2024-04-15,6.67,2024-04-15,6.47,3.0911901081916566,11.282843894899543,30.802139037433157,False,-5.3901,11.251,1,3,1,33.33333333333333,24.045801526717554,24.045801526717554,16.908809891808342,3.0911901081916566,历史1/3次成功; 当前距低点3.09%; 最新日涨幅-5.39%; 状态bottom_area; 底部未确认
50,55.91131693354991,49.29498065904664,002425,凯撒文化,bottom_area,2024-04-15,3.01,2024-04-15,2.92,3.0821917808219133,10.273972602739736,32.40740740740741,False,-7.0988,3.8068,1,3,1,33.33333333333333,21.231422505307858,21.231422505307858,16.917808219178088,3.0821917808219133,历史1/3次成功; 当前距低点3.08%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
