rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.07045624255962,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,15.595158036314722,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
18,68.05768873843446,60.399161913119805,603132,金徽股份,bottom_area,2024-08-29,11.12,2024-08-29,10.75,3.441860465116272,4.558139534883723,28.285523682454972,False,1.7383,1.0897,1,2,1,50.0,33.20754716981132,33.20754716981132,16.55813953488373,3.441860465116272,历史1/2次成功; 当前距低点3.44%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
19,67.30343693251214,59.08185685233305,600956,新天绿能,bottom_area,2024-08-29,6.87,2024-08-29,6.68,2.844311377245515,3.293413173652705,28.860489882854107,False,-0.1453,0.2882,1,2,1,50.0,41.27358490566036,41.27358490566036,17.155688622754486,2.844311377245515,历史1/2次成功; 当前距低点2.84%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
20,66.5793180711949,59.35038493038496,000597,东北制药,bottom_area,2024-08-29,4.22,2024-08-26,4.07,3.6855036855036722,4.422604422604415,32.053422370617696,False,0.9569,2.3981,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,16.31449631449633,3.6855036855036722,历史1/3次成功; 当前距低点3.69%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
21,65.82236639818258,59.5612144725018,688262,国芯科技,bottom_area,2024-08-29,14.84,2024-08-29,14.2,4.507042253521131,5.985915492957757,27.142124166239096,False,-0.2017,1.9494,2,4,2,50.0,30.89930543295688,34.73541383989144,15.492957746478869,4.507042253521131,历史2/4次成功; 当前距低点4.51%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
22,65.03623669109562,58.83628416606901,000155,川能动力,bottom_area,2024-08-29,9.3,2024-08-23,8.9,4.494382022471914,5.280898876404481,29.08366533864542,False,0.6494,0.6824,1,2,1,50.0,37.70685579196216,37.70685579196216,15.505617977528086,4.494382022471914,历史1/2次成功; 当前距低点4.49%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
23,61.54492072117964,55.66820965498596,600990,四创电子,bottom_area,2024-08-29,14.91,2024-08-29,14.27,4.484933426769451,5.886475122634898,29.356435643564353,False,1.1533,1.4708,1,2,1,50.0,20.55837563451777,20.55837563451777,15.515066573230552,4.484933426769451,历史1/2次成功; 当前距低点4.48%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
24,60.683733148624746,54.54013206539623,300653,正海生物,bottom_area,2024-08-29,19.14,2024-08-28,18.38,4.13492927094669,4.57018498367791,27.466456195737965,False,1.9712,0.8214,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,15.86507072905331,4.13492927094669,历史1/3次成功; 当前距低点4.13%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
25,59.180197618818326,53.3533936810633,002732,燕塘乳业,bottom_area,2024-08-29,13.57,2024-08-23,13.01,4.304381245196007,5.918524212144502,29.599567099567103,False,1.1177,0.3942,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,15.695618754803995,4.304381245196007,历史1/3次成功; 当前距低点4.30%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
26,57.757197698509216,51.89256809205906,002545,东方铁塔,bottom_area,2024-08-29,6.07,2024-07-25,5.83,4.116638078902233,7.375643224699823,29.247572815533985,True,-0.9788,1.2785,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,15.88336192109777,4.116638078902233,历史1/3次成功; 当前距低点4.12%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
27,57.26728569838,51.85620358514724,002403,爱仕达,bottom_area,2024-08-29,6.44,2024-08-28,6.16,4.545454545454549,6.493506493506485,27.444051825677267,False,0.3115,6.4847,1,4,1,25.0,21.63892445582587,21.63892445582587,15.454545454545451,4.545454545454549,历史1/4次成功; 当前距低点4.55%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
