rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.26433235462932,76.24613316261203,002401,中远海科,bottom_area,2025-04-03,15.66,2025-03-31,15.62,0.25608194622279723,5.953905249679908,28.414298808432637,False,-2.8536,2.9064,1,1,1,100.0,68.49925705794946,68.49925705794946,14.743918053777202,0.25608194622279723,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
20,72.47314308558215,65.07275367509517,300697,电工合金,bottom_area,2025-04-03,15.41,2025-04-03,15.15,1.7161716171617147,4.1584158415841515,28.571428571428577,False,-2.0343,6.4321,2,4,2,50.0,26.320564313031607,31.64400494437578,13.283828382838283,1.7161716171617147,历史2/4次成功; 当前距低点1.72%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
21,72.07801747546576,63.755841553399236,300402,宝色股份,bottom_area,2025-04-03,17.67,2025-04-03,17.51,0.913763563677899,5.653912050256986,28.821138211382113,False,-3.3898,6.7684,3,5,3,60.0,37.791518702069055,61.64021164021163,14.0862364363221,0.913763563677899,历史3/5次成功; 当前距低点0.91%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
22,71.98371047398919,66.80060642615656,000757,浩物股份,bottom_area,2025-04-03,3.86,2025-03-31,3.73,3.4852546916890055,5.361930294906172,28.952380952380953,False,-0.2584,3.052,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,11.514745308310994,3.4852546916890055,历史2/3次成功; 当前距低点3.49%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
23,71.9827135602032,67.14280470465263,603289,泰瑞机器,bottom_area,2025-04-03,8.83,2025-03-31,8.51,3.76028202115159,7.873090481786134,27.512776831345832,True,-2.4309,3.1166,2,3,2,66.66666666666666,33.86871530221285,40.702947845804985,11.23971797884841,3.76028202115159,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
24,71.14794142259665,65.3802049513167,600960,渤海汽车,bottom_area,2025-04-03,3.48,2025-03-31,3.38,2.9585798816568074,5.917159763313615,30.737704918032787,False,-0.5714,2.0316,2,4,2,50.0,43.20304882523773,69.9604743083004,12.041420118343192,2.9585798816568074,历史2/4次成功; 当前距低点2.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
25,69.94850509352467,64.21682369757266,002725,跃岭股份,bottom_area,2025-04-03,11.68,2025-03-31,11.35,2.907488986784142,6.1674008810572785,29.10680824484698,False,-0.3413,3.222,2,3,2,66.66666666666666,16.877590971902357,18.562874251497018,12.092511013215859,2.907488986784142,历史2/3次成功; 当前距低点2.91%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
26,68.99783118693362,61.85584146011331,000665,湖北广电,bottom_area,2025-04-03,4.98,2025-03-31,4.9,1.632653061224491,8.367346938775494,27.83505154639175,True,-0.994,4.0794,2,6,2,33.33333333333333,34.919124227805554,43.606557377049185,13.36734693877551,1.632653061224491,历史2/6次成功; 当前距低点1.63%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
27,68.19618822384139,61.24163021623505,601798,蓝科高新,bottom_area,2025-04-03,6.49,2025-03-31,6.38,1.724137931034488,5.799373040752353,29.96706915477497,False,0.0,3.1554,2,6,2,33.33333333333333,19.458770783120215,21.74721189591078,13.27586206896551,1.724137931034488,历史2/6次成功; 当前距低点1.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
28,67.6510166572828,63.43347681453149,300746,汉嘉数智,bottom_area,2025-04-03,12.1,2025-03-31,11.63,4.041272570937221,5.4170249355115985,27.584059775840586,False,-0.4934,1.3978,2,3,2,66.66666666666666,26.564040911837,36.90896259703598,10.958727429062778,4.041272570937221,历史2/3次成功; 当前距低点4.04%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
29,67.09876238765058,59.53721739734594,002599,盛通股份,bottom_area,2025-04-03,9.35,2025-03-31,9.25,1.0810810810810774,6.162162162162165,31.53219837157661,False,-2.9076,4.0259,1,2,1,50.0,22.107969151670947,22.107969151670947,13.918918918918921,1.0810810810810774,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
30,67.0153414628958,58.74969213635269,002342,巨力索具,bottom_area,2025-04-03,4.62,2025-04-03,4.6,0.43478260869566226,7.608695652173925,32.74853801169591,False,-7.9681,16.4245,2,4,2,50.0,26.67202410848819,33.45454545454545,14.565217391304335,0.43478260869566226,历史2/4次成功; 当前距低点0.43%; 最新日涨幅-7.97%; 状态bottom_area; 底部未确认
31,66.17695904476871,59.05498678453446,300676,华大基因,bottom_area,2025-04-03,51.92,2025-03-31,51.21,1.3864479593829346,6.22925209919937,27.155049786628734,False,-2.5526,0.9926,1,2,1,50.0,23.258538343696497,23.258538343696497,13.613552040617066,1.3864479593829346,历史1/2次成功; 当前距低点1.39%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
32,65.72062175549107,60.41712493632196,002329,皇氏集团,bottom_area,2025-04-03,3.11,2025-04-03,3.02,2.980132450331121,6.95364238410596,27.05314009661835,False,0.0,16.2672,1,2,1,50.0,27.644230769230756,27.644230769230756,12.019867549668877,2.980132450331121,历史1/2次成功; 当前距低点2.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
33,65.54231884057974,59.40781609195405,301428,世纪恒通,bottom_area,2025-04-03,40.48,2025-03-31,39.6,2.2222222222222103,8.005050505050509,27.999999999999996,True,-1.196,4.5403,1,2,1,50.0,26.206896551724135,26.206896551724135,12.777777777777787,2.2222222222222103,历史1/2次成功; 当前距低点2.22%; 最新日涨幅-1.20%; 状态bottom_area; 底部已确认
34,65.31427006978194,61.54035877718673,300671,富满微,bottom_area,2025-04-03,27.64,2025-03-31,26.5,4.301886792452833,14.943396226415098,30.023765513599148,False,-0.504,2.031,2,3,2,66.66666666666666,19.580612888777,20.266753415744958,10.698113207547166,4.301886792452833,历史2/3次成功; 当前距低点4.30%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
35,64.48495854509474,56.7244913267698,000555,神州信息,bottom_area,2025-04-03,11.41,2025-04-03,11.34,0.6172839506172865,3.703703703703703,29.080675422138842,False,-2.3952,2.588,1,2,1,50.0,41.139240506329116,41.139240506329116,14.382716049382713,0.6172839506172865,历史1/2次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
36,63.346868697122304,57.54812620889751,000779,甘咨询,bottom_area,2025-04-03,9.17,2025-03-31,8.96,2.34374999999999,10.491071428571422,31.81126331811263,True,-1.2917,3.1456,1,2,1,50.0,17.69825918762089,17.69825918762089,12.65625000000001,2.34374999999999,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
37,62.73418731720764,58.9062848227794,688111,金山办公,bottom_area,2025-04-03,304.48,2025-03-31,292.44,4.117083846259069,5.286554506907393,27.251921689594273,False,2.2225,1.086,2,5,2,40.0,21.791591356183137,27.68058076225045,10.882916153740931,4.117083846259069,历史2/5次成功; 当前距低点4.12%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
38,61.151636106083785,57.7226832860104,600097,开创国际,bottom_area,2025-04-03,9.73,2025-03-31,9.32,4.399141630901289,5.150214592274683,27.751937984496124,False,0.9336,3.2171,1,2,1,50.0,30.552291421856637,30.552291421856637,10.600858369098711,4.399141630901289,历史1/2次成功; 当前距低点4.40%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
39,60.76780922217179,56.38783659378597,000890,法尔胜,bottom_area,2025-04-03,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,0.0,2.2715,1,4,1,25.0,32.954545454545446,32.954545454545446,11.518987341772155,3.4810126582278436,历史1/4次成功; 当前距低点3.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
40,60.00927349361217,55.725604570821154,002163,海南发展,bottom_area,2025-04-03,7.35,2025-04-02,7.1,3.5211267605633805,9.014084507042263,32.892249527410215,True,-3.1621,3.8937,1,2,1,50.0,32.54716981132074,32.54716981132074,11.478873239436618,3.5211267605633805,历史1/2次成功; 当前距低点3.52%; 最新日涨幅-3.16%; 状态bottom_area; 底部已确认
41,59.75938991138344,52.584945459843304,002369,卓翼科技,bottom_area,2025-04-03,9.51,2025-04-03,9.45,0.6349206349206402,4.021164021164029,27.251732101616632,False,-3.4518,5.8239,2,6,2,33.33333333333333,32.0926407211238,46.84014869888477,14.365079365079358,0.6349206349206402,历史2/6次成功; 当前距低点0.63%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
42,57.13101959189768,54.20091871894242,000710,贝瑞基因,bottom_area,2025-04-03,13.67,2025-03-31,13.06,4.670750382848388,11.408882082695254,31.443569553805773,True,-0.942,5.9739,2,5,2,40.0,16.560374149659864,17.3469387755102,10.329249617151612,4.670750382848388,历史2/5次成功; 当前距低点4.67%; 最新日涨幅-0.94%; 状态bottom_area; 底部已确认
43,56.67802781471435,52.16241502347416,002279,久其软件,bottom_area,2025-04-03,6.44,2025-03-31,6.25,3.0400000000000063,6.079999999999998,28.977272727272734,False,-1.0753,1.8278,1,3,1,33.33333333333333,25.915492957746476,25.915492957746476,11.959999999999994,3.0400000000000063,历史1/3次成功; 当前距低点3.04%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
44,51.35070529901184,48.548242380481874,300608,思特奇,bottom_area,2025-04-03,11.65,2025-03-31,11.15,4.484304932735426,11.479820627802685,27.456083279115152,True,-2.592,3.627,1,4,1,25.0,16.384180790960464,16.384180790960464,10.515695067264573,4.484304932735426,历史1/4次成功; 当前距低点4.48%; 最新日涨幅-2.59%; 状态bottom_area; 底部已确认
45,50.11540734322571,44.231210262130546,605069,正和生态,bottom_area,2025-04-03,8.87,2025-04-03,8.8,0.7954545454545283,4.886363636363632,31.83578621223857,False,-4.315,19.6816,1,5,1,20.0,18.036809815950903,18.036809815950903,14.20454545454547,0.7954545454545283,历史1/5次成功; 当前距低点0.80%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
