rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.68110248796964,74.43050187101035,600996,贵广网络,bottom_area,2024-01-17,7.73,2024-01-17,7.7,0.3896103896103928,4.155844155844148,32.03883495145631,False,-3.736,0.9229,2,2,2,100.0,35.42372881355932,40.00000000000001,19.610389610389607,0.3896103896103928,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
12,66.78482941626754,55.88763295042156,688010,福光股份,bottom_area,2024-01-17,21.93,2024-01-17,21.88,0.2285191956124347,6.627056672760509,27.066666666666674,False,-5.27,0.9876,1,2,1,50.0,42.08955223880597,42.08955223880597,19.77148080438757,0.2285191956124347,历史1/2次成功; 当前距低点0.23%; 最新日涨幅-5.27%; 状态bottom_area; 底部未确认
13,65.75303149735244,55.14279680229092,601011,宝泰隆,bottom_area,2024-01-17,2.9,2024-01-16,2.89,0.34602076124566733,5.8823529411764675,28.817733990147776,False,-2.6846,1.8852,1,2,1,50.0,29.31034482758621,29.31034482758621,19.653979238754335,0.34602076124566733,历史1/2次成功; 当前距低点0.35%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
14,65.61562445951115,54.98609385425159,601777,千里科技,bottom_area,2024-01-17,3.29,2024-01-17,3.28,0.3048780487804949,2.1341463414634236,28.850325379609554,False,-2.0833,0.2977,1,2,1,50.0,27.96352583586626,27.96352583586626,19.69512195121951,0.3048780487804949,历史1/2次成功; 当前距低点0.30%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
15,64.5091070260774,54.05579064128357,605218,伟时电子,bottom_area,2024-01-17,19.94,2024-01-16,19.88,0.3018108651911583,3.571428571428576,31.941116056145162,False,-1.725,2.6155,1,3,1,33.33333333333333,42.36874236874236,42.36874236874236,19.698189134808842,0.3018108651911583,历史1/3次成功; 当前距低点0.30%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
16,63.585151623081245,53.11412140223963,603039,泛微网络,bottom_area,2024-01-17,38.49,2024-01-17,38.44,0.130072840790854,3.772112382934451,31.83188508600816,False,-3.0234,0.5195,1,2,1,50.0,25.971438060445035,25.971438060445035,19.869927159209148,0.130072840790854,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
17,63.37013276232889,53.05722036417687,002284,亚太股份,bottom_area,2024-01-17,7.82,2024-01-17,7.8,0.2564102564102623,3.205128205128217,31.33802816901408,False,-3.2178,1.2163,1,2,1,50.0,27.214170692431566,27.214170692431566,19.74358974358974,0.2564102564102623,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
18,63.03663243619107,53.546770078579456,002355,兴民智通,bottom_area,2024-01-17,4.83,2024-01-17,4.78,1.0460251046025069,3.7656903765690317,31.024531024531015,False,-2.621,1.7274,1,5,1,20.0,21.138211382113823,21.138211382113823,18.953974895397494,1.0460251046025069,历史1/5次成功; 当前距低点1.05%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
19,62.80836424957842,52.34030354131535,600986,浙文互联,bottom_area,2024-01-17,4.88,2024-01-17,4.88,0.0,3.0737704918032858,31.748251748251754,False,-2.008,1.837,1,2,1,50.0,22.25969645868466,22.25969645868466,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
20,62.71771324914208,53.1048237232219,688156,路德科技,bottom_area,2024-01-17,22.02,2024-01-16,21.83,0.8703618873110457,3.527256069628966,27.49916971105945,False,-1.0337,0.8468,1,3,1,33.33333333333333,44.22535211267606,44.22535211267606,19.129638112688955,0.8703618873110457,历史1/3次成功; 当前距低点0.87%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
21,62.327699484466564,52.89825423591783,688105,诺唯赞,bottom_area,2024-01-17,28.33,2024-01-17,28.05,0.9982174688056955,3.2798573975044496,27.556818181818176,False,-2.646,0.6655,1,2,1,50.0,25.237580993520524,25.237580993520524,19.001782531194305,0.9982174688056955,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
22,62.04106309420915,51.70088591184096,300609,汇纳科技,bottom_area,2024-01-17,23.39,2024-01-17,23.39,0.0,3.8905515177426255,29.33534743202417,False,-3.8635,1.93,1,4,1,25.0,49.87035436473638,49.87035436473638,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
23,60.82478568934584,50.90267889542267,300678,中科信息,bottom_area,2024-01-17,26.0,2024-01-16,25.94,0.23130300693908526,3.6237471087124042,29.58740499457112,False,-1.7385,1.9222,1,3,1,33.33333333333333,24.552238805970156,24.552238805970156,19.768696993060917,0.23130300693908526,历史1/3次成功; 当前距低点0.23%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
24,60.33538781884435,50.27948984903696,002041,登海种业,bottom_area,2024-01-17,11.86,2024-01-17,11.86,0.0,3.709949409780787,29.780935464772064,False,-3.2626,0.4194,1,2,1,50.0,21.395106715252467,21.395106715252467,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
25,59.77304129863929,49.81086774886608,300454,深信服,bottom_area,2024-01-17,62.5,2024-01-17,62.5,0.0,4.6400000000000095,31.303583205100026,False,-2.8749,1.1503,1,4,1,25.0,29.49391262831224,29.49391262831224,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
26,57.53649779209765,48.23735001098629,002403,爱仕达,bottom_area,2024-01-17,9.14,2024-01-17,9.11,0.32930845225028693,8.562019758507148,32.91605301914581,False,-9.6838,12.3583,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,19.670691547749712,0.32930845225028693,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-9.68%; 状态bottom_area; 底部未确认
27,56.79855020632737,47.332125171939474,688027,国盾量子,bottom_area,2024-01-17,103.06,2024-01-17,103.06,0.0,3.5319231515621974,28.28114126652748,False,-3.6732,0.5992,1,4,1,25.0,26.382393397524062,26.382393397524062,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
