rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.54543717156973,81.21098439032069,301313,凡拓数创,bottom_area,2023-10-18,27.61,2023-10-18,27.42,0.6929248723559362,2.4799416484318004,31.875776397515526,False,-1.9879,4.4496,4,4,4,100.0,32.04759730802268,52.43243243243245,7.3070751276440635,0.6929248723559362,历史4/4次成功; 当前距低点0.69%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
18,78.32138399699168,72.92929392705003,603326,我乐家居,bottom_area,2023-10-18,10.29,2023-10-18,10.26,0.2923976608187072,2.436647173489279,28.251748251748253,False,-2.0932,2.8579,2,2,2,100.0,15.946024697401477,20.141843971631218,7.7076023391812925,0.2923976608187072,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
19,78.06616946897348,72.62772886915671,603025,大豪科技,bottom_area,2023-10-18,12.19,2023-10-18,12.16,0.24671052631578422,1.9736842105263175,28.930450029222676,False,-1.6142,0.3381,2,2,2,100.0,13.76467133955222,13.87573964497043,7.753289473684216,0.24671052631578422,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
20,78.04199687165834,73.25999905709936,601226,华电科工,bottom_area,2023-10-18,5.65,2023-10-18,5.61,0.7130124777183606,3.3868092691622014,31.16564417177914,False,-2.7539,0.4544,1,1,1,100.0,39.54659949622166,39.54659949622166,7.286987522281639,0.7130124777183606,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
21,77.06681436705065,73.56325691699605,300512,中亚股份,confirmed_rebound,2023-10-18,7.71,2023-08-25,7.59,1.581027667984191,9.090909090909085,28.260869565217394,True,-2.1574,0.4224,1,1,1,100.0,12.999999999999995,12.999999999999995,6.41897233201581,1.581027667984191,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-2.16%; 状态confirmed_rebound; 底部已确认
22,77.01308653846155,71.30841346153846,600004,白云机场,bottom_area,2023-10-18,10.5,2023-10-18,10.5,0.0,1.6190476190476182,28.8135593220339,False,-1.6854,0.403,1,1,1,100.0,32.57211538461537,32.57211538461537,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
23,76.56780113390336,72.0285335501702,600408,安泰集团,bottom_area,2023-10-18,2.45,2023-10-18,2.43,0.8230452674897125,2.880658436213985,28.947368421052627,False,-1.2097,2.259,2,2,2,100.0,17.60793957014374,21.457489878542503,7.176954732510287,0.8230452674897125,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
24,76.39793594164456,70.73882957559681,002314,南山控股,bottom_area,2023-10-18,3.01,2023-10-18,3.01,0.0,1.9933554817275767,27.118644067796616,False,-1.634,0.9541,2,2,2,100.0,12.843169761273208,13.750000000000004,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
25,76.3239268689316,71.25176717194562,000560,我爱我家,bottom_area,2023-10-18,2.36,2023-10-18,2.35,0.4255319148936079,2.1276595744680775,31.686046511627904,False,-1.6667,1.3699,2,2,2,100.0,8.559031924209851,8.679245283018867,7.574468085106393,0.4255319148936079,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
26,75.97209232660032,70.45204611440361,001322,箭牌家居,bottom_area,2023-10-18,12.62,2023-10-18,12.61,0.07930214115780956,3.0927835051546437,27.942857142857147,False,-3.1466,3.6234,1,1,1,100.0,26.897069872276486,26.897069872276486,7.920697858842191,0.07930214115780956,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
27,75.83774693214656,72.60486073032497,603301,振德医疗,confirmed_rebound,2023-10-18,25.8,2023-09-11,25.36,1.7350157728706677,8.911671924290228,31.58888589155652,True,-2.7882,0.5224,1,1,1,100.0,9.734928454140272,9.734928454140272,6.264984227129333,1.7350157728706677,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-2.79%; 状态confirmed_rebound; 底部已确认
28,75.78608073225193,74.0254748440687,002145,钛能化学,confirmed_rebound,2023-10-18,4.44,2023-09-26,4.32,2.77777777777778,10.416666666666648,30.32258064516129,True,-1.5521,1.0485,2,2,2,100.0,13.488216007537837,16.649537512846855,5.22222222222222,2.77777777777778,历史2/2次成功; 当前距低点2.78%; 最新日涨幅-1.55%; 状态confirmed_rebound; 底部已确认
29,75.47821379648771,70.7539835714328,688220,翱捷科技,bottom_area,2023-10-18,58.17,2023-10-18,57.8,0.6401384083045062,3.6678200692041605,28.287841191067,False,-2.5465,0.7605,1,1,1,100.0,25.180102915951984,25.180102915951984,7.359861591695493,0.6401384083045062,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
30,74.8466722991814,69.58641137175705,000729,燕京啤酒,bottom_area,2023-10-18,9.44,2023-10-18,9.42,0.21231422505307404,1.8046709129511669,29.438202247191008,False,-1.6667,0.3212,1,1,1,100.0,13.658536585365852,13.658536585365852,7.787685774946926,0.21231422505307404,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
31,74.8226081777026,70.11687119630035,000524,岭南控股,bottom_area,2023-10-18,8.07,2023-10-17,8.02,0.6234413965087371,3.366583541147127,28.392857142857142,False,-1.4652,0.8487,1,1,1,100.0,21.550094517958406,21.550094517958406,7.376558603491263,0.6234413965087371,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
32,74.35021441774492,68.84279112754159,600032,浙江新能,bottom_area,2023-10-18,9.36,2023-10-18,9.36,0.0,2.670940170940171,29.940119760479046,False,-1.9895,0.9895,1,1,1,100.0,19.31608133086876,19.31608133086876,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
33,74.24854894433783,68.74865642994243,000006,深振业A,bottom_area,2023-10-18,4.21,2023-10-18,4.21,0.0,2.3752969121140057,30.983606557377048,False,-1.6355,1.0904,1,1,1,100.0,18.809980806142043,18.809980806142043,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
34,74.00699727630082,68.92961576767792,688281,华秦科技,bottom_area,2023-10-18,137.8,2023-10-18,137.38,0.3057213568205095,3.748726161013252,28.954853389874337,False,-2.8894,1.8503,1,1,1,100.0,11.272368071121925,11.272368071121925,7.694278643179491,0.3057213568205095,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
35,73.89664683103717,68.88752259603315,601156,东航物流,bottom_area,2023-10-18,11.42,2023-10-18,11.38,0.35149384885763746,2.7240773286467372,30.184049079754597,False,-2.226,0.9197,1,1,1,100.0,11.607142857142852,11.607142857142852,7.648506151142363,0.35149384885763746,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
36,73.818,68.35,000965,天保基建,bottom_area,2023-10-18,3.27,2023-10-18,3.27,0.0,1.8348623853211024,28.75816993464052,False,-2.0958,1.1676,1,1,1,100.0,16.666666666666664,16.666666666666664,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
37,72.22301161767992,67.78223666931687,002853,皮阿诺,bottom_area,2023-10-18,14.36,2023-10-18,14.26,0.7012622720897591,2.945301542776998,28.34170854271356,False,-2.1132,0.6929,1,1,1,100.0,9.952229299363056,9.952229299363056,7.2987377279102414,0.7012622720897591,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
38,71.89693218555774,67.33894214374017,301378,通达海,bottom_area,2023-10-18,48.99,2023-10-18,48.7,0.5954825462012302,3.5934291581108826,27.59440975319655,False,-3.2774,3.2383,1,1,1,100.0,16.487324457413823,16.487324457413823,7.40451745379877,0.5954825462012302,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-3.28%; 状态bottom_area; 底部未确认
39,71.20968700607729,67.10089250558494,603128,华贸物流,bottom_area,2023-10-18,6.65,2023-10-18,6.59,0.9104704097116919,2.5796661608497713,31.354166666666668,False,-1.7725,0.9064,1,1,1,100.0,8.853575482406349,8.853575482406349,7.089529590288309,0.9104704097116919,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
40,66.92672554165395,61.96919031634624,000428,华天酒店,bottom_area,2023-10-18,3.95,2023-10-18,3.95,0.0,2.531645569620244,29.464285714285705,False,-2.7094,1.4912,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,8.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
41,53.298481078605064,50.22396411802652,605365,立达信,bottom_area,2023-10-18,16.61,2023-09-28,16.46,0.9113001215066742,6.98663426488456,32.51332513325133,False,-1.9481,7.3169,1,2,1,50.0,9.794238683127569,9.794238683127569,7.088699878493326,0.9113001215066742,历史1/2次成功; 当前距低点0.91%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
