rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.20527140276192,84.45449810458759,300455,航天智装,bottom_area,2024-09-10,10.2,2024-09-10,9.93,2.7190332326283944,3.625377643504526,27.939042089985485,False,1.6949,1.1391,3,3,3,100.0,28.676848790216763,53.103448275862064,7.2809667673716065,2.7190332326283944,历史3/3次成功; 当前距低点2.72%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
12,81.26729286729662,75.68854801039969,688187,时代电气,bottom_area,2024-09-10,42.33,2024-09-10,41.8,1.2679425837320604,3.6842105263158045,27.114210985178733,False,-0.8665,1.2054,1,1,1,100.0,19.566973662950396,19.566973662950396,8.73205741626794,1.2679425837320604,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
13,80.73789964507476,79.28239137999917,000155,川能动力,bottom_area,2024-09-10,9.26,2024-08-23,8.9,4.044943820224713,7.752808988764039,29.08366533864542,True,0.8715,0.4164,2,2,2,100.0,24.596039194147934,37.70685579196216,5.955056179775287,4.044943820224713,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.87%; 状态bottom_area; 底部已确认
14,80.48006191950465,76.00894736842106,300761,立华股份,bottom_area,2024-09-10,18.36,2024-09-10,18.0,1.999999999999997,3.4999999999999947,27.710843373493972,False,-1.1841,0.4921,1,1,1,100.0,30.263157894736853,30.263157894736853,8.000000000000004,1.999999999999997,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
15,79.89167238483883,76.08156546156549,601117,中国化学,bottom_area,2024-09-10,6.31,2024-09-10,6.16,2.4350649350649265,2.7597402597402585,28.78612716763006,False,0.638,0.5446,1,1,1,100.0,13.513513513513523,13.513513513513523,7.564935064935074,2.4350649350649265,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
16,79.78784443347347,74.788803366354,000898,鞍钢股份,bottom_area,2024-09-10,1.9,2024-09-10,1.87,1.6042780748662995,3.208556149732611,28.076923076923077,False,-1.0417,0.3173,1,1,1,100.0,18.852459016393443,18.852459016393443,8.395721925133701,1.6042780748662995,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
17,79.44635745925432,76.45256091501223,603079,圣达生物,bottom_area,2024-09-10,10.7,2024-08-26,10.39,2.983638113570729,6.929740134744936,28.83561643835616,False,0.0935,1.0123,1,1,1,100.0,22.232558139534888,22.232558139534888,7.016361886429272,2.983638113570729,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
18,79.34990003998399,74.46682926829267,601808,中海油服,bottom_area,2024-09-10,13.42,2024-09-10,13.2,1.6666666666666714,2.8787878787878847,29.5624332977588,False,-0.223,0.1582,1,1,1,100.0,17.88617886178861,17.88617886178861,8.333333333333329,1.6666666666666714,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
19,79.34559996273458,76.58315197645024,600183,生益科技,bottom_area,2024-09-10,17.41,2024-08-29,16.88,3.1398104265402913,7.760663507109018,29.519832985386223,True,1.8129,0.7745,3,4,3,75.0,19.822149187968265,25.158227848101262,6.86018957345971,3.1398104265402913,历史3/4次成功; 当前距低点3.14%; 最新日涨幅1.81%; 状态bottom_area; 底部已确认
20,79.28730650669196,74.3218388264749,000037,深南电A,bottom_area,2024-09-10,6.96,2024-09-10,6.85,1.605839416058399,2.1897810218978155,29.235537190082646,False,0.4329,0.9873,5,8,5,62.5,25.1379177155272,45.16765285996055,8.394160583941602,1.605839416058399,历史5/8次成功; 当前距低点1.61%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
21,79.0481241243778,78.5927270145737,000532,华金资本,bottom_area,2024-09-10,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.0,2.6206,2,2,2,100.0,28.877106921355356,32.044198895027606,5.303326810176139,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
22,78.68533446510315,74.22479455480267,000539,粤电力A,bottom_area,2024-09-10,4.21,2024-08-26,4.13,1.9370460048426168,6.7796610169491585,31.395348837209298,False,-0.237,0.4534,1,1,1,100.0,19.89924433249369,19.89924433249369,8.062953995157383,1.9370460048426168,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
23,77.74357371626034,75.8885209811652,603291,联合水务,bottom_area,2024-09-10,9.45,2024-08-28,9.11,3.7321624588364424,5.92755214050495,29.65250965250965,False,1.5038,0.8072,2,2,2,100.0,11.708878426410102,12.102772143340088,6.2678375411635585,3.7321624588364424,历史2/2次成功; 当前距低点3.73%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
24,77.55375035660552,76.3870320004034,002682,龙洲股份,bottom_area,2024-09-10,3.47,2024-08-28,3.33,4.204204204204208,6.606606606606599,30.76923076923076,False,1.1662,1.6995,2,2,2,100.0,20.175363365532185,26.929674099485425,5.795795795795793,4.204204204204208,历史2/2次成功; 当前距低点4.20%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
25,77.26479421227951,74.40984248900763,301518,长华化学,bottom_area,2024-09-10,13.97,2024-08-28,13.56,3.0235988200589983,6.12094395280236,28.21598729486501,False,1.1586,0.9677,1,1,1,100.0,11.740041928721173,11.740041928721173,6.976401179941003,3.0235988200589983,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
26,76.54620730877507,74.96106231515422,600345,长江通信,bottom_area,2024-09-10,15.18,2024-09-10,14.61,3.9014373716632464,4.449007529089667,27.529761904761905,False,2.6369,2.23,1,1,1,100.0,25.46419098143237,25.46419098143237,6.0985626283367536,3.9014373716632464,历史1/1次成功; 当前距低点3.90%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
27,76.22248329841545,70.92594622862893,601919,中远海控,bottom_area,2024-09-10,11.61,2024-09-10,11.47,1.2205754141237906,2.7027027027026915,29.328404189772023,False,-0.172,0.3902,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,8.77942458587621,1.2205754141237906,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
28,76.07173749560344,71.329110469693,002302,西部建设,bottom_area,2024-09-10,5.64,2024-09-10,5.55,1.6216216216216193,4.324324324324328,31.650246305418715,False,-3.4247,4.6216,1,1,1,100.0,10.679611650485443,10.679611650485443,8.378378378378383,1.6216216216216193,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
29,75.01490347257545,72.77877762383393,301509,金凯生科,bottom_area,2024-09-10,26.07,2024-08-28,25.21,3.4113447044823455,6.902023006743349,29.6792189679219,False,-0.0767,1.9707,2,2,2,100.0,13.530341666955287,15.05054819877544,6.588655295517655,3.4113447044823455,历史2/2次成功; 当前距低点3.41%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
30,73.8717972556296,68.03110300787284,301607,富特科技,confirmed_rebound,2024-09-10,40.08,2024-09-10,39.81,0.6782215523737655,11.780959557900019,29.41489361702127,False,-3.8618,55.0296,1,1,1,100.0,31.437893264973205,31.437893264973205,9.321778447626235,0.6782215523737655,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.86%; 状态confirmed_rebound; 底部未确认
31,73.64926858234631,72.17833567522095,002369,卓翼科技,bottom_area,2024-09-10,4.22,2024-09-10,4.06,3.9408866995073932,4.187192118226622,28.268551236749122,False,0.2375,9.7203,3,4,3,75.0,15.15353414031079,17.345132743362825,6.059113300492607,3.9408866995073932,历史3/4次成功; 当前距低点3.94%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
32,72.68744754123138,72.12581211899331,002230,科大讯飞,bottom_area,2024-09-10,34.16,2024-08-28,32.66,4.592774035517453,6.429883649724438,28.093350946719518,False,1.4854,0.7667,1,1,1,100.0,18.69535978480161,18.69535978480161,5.4072259644825476,4.592774035517453,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
33,72.38076772389488,71.93036679110493,600262,北方股份,bottom_area,2024-09-10,16.13,2024-08-29,15.41,4.672290720311478,7.722258273848159,31.48065807025344,True,-1.2852,2.9308,2,2,2,100.0,15.232202330188693,17.269624573378834,5.327709279688523,4.672290720311478,历史2/2次成功; 当前距低点4.67%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
34,72.10031066666234,69.77870153159253,000726,鲁泰A,bottom_area,2024-09-10,5.35,2024-08-29,5.18,3.281853281853281,6.370656370656372,31.390728476821195,False,-0.1866,0.4143,1,1,1,100.0,12.480252764612954,12.480252764612954,6.71814671814672,3.281853281853281,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
35,71.94074522143737,71.91065708039955,300478,杭州高新,bottom_area,2024-09-10,7.17,2024-08-28,6.83,4.9780380673499245,8.052708638360173,28.10526315789474,True,0.561,2.0161,1,1,1,100.0,13.067655236329937,13.067655236329937,5.021961932650076,4.9780380673499245,历史1/1次成功; 当前距低点4.98%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
36,71.10296568720464,67.42076161266822,300573,兴齐眼药,bottom_area,2024-09-10,76.81,2024-09-10,75.15,2.2089155023286713,3.353293413173647,29.357021996615895,False,-0.6467,3.5578,3,5,3,60.0,23.31768256977187,42.86062675283501,7.79108449767133,2.2089155023286713,历史3/5次成功; 当前距低点2.21%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
37,64.88704296712197,61.323837449483634,000966,长源电力,bottom_area,2024-09-10,4.01,2024-09-10,3.93,2.035623409669202,2.5445292620865163,27.222222222222225,False,0.0,0.3269,1,2,1,50.0,20.94117647058823,20.94117647058823,7.964376590330799,2.035623409669202,历史1/2次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
38,63.796071921481236,60.55270819039846,000591,太阳能,bottom_area,2024-09-10,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,-0.2451,0.453,1,2,1,50.0,32.84132841328414,32.84132841328414,7.738693467336677,2.2613065326633244,历史1/2次成功; 当前距低点2.26%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
39,62.99344016264556,59.45918412186402,301538,骏鼎达,bottom_area,2024-09-10,66.79,2024-09-09,65.5,1.9694656488549713,2.8244274809160217,31.6640584246218,False,0.5571,3.3669,1,2,1,50.0,10.10519247985676,10.10519247985676,8.03053435114503,1.9694656488549713,历史1/2次成功; 当前距低点1.97%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
40,60.91769552341716,59.64402237625881,603282,亚光股份,bottom_area,2024-09-10,12.55,2024-09-09,12.08,3.8907284768211974,4.304635761589401,27.880597014925375,False,0.2396,1.4648,1,2,1,50.0,34.64991023339317,34.64991023339317,6.109271523178803,3.8907284768211974,历史1/2次成功; 当前距低点3.89%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
41,60.914978439716315,56.21191489361702,000922,佳电股份,bottom_area,2024-09-10,9.0,2024-09-10,8.93,0.7838745800671924,2.799552071668533,28.84462151394423,False,-1.4239,1.2641,1,2,1,50.0,40.42553191489362,40.42553191489362,9.216125419932808,0.7838745800671924,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
42,58.70156783564905,56.10044691765934,000683,博源化工,bottom_area,2024-09-10,5.09,2024-09-10,4.96,2.6209677419354818,4.435483870967737,28.837876614060253,False,-0.9728,1.337,1,2,1,50.0,22.50673854447439,22.50673854447439,7.379032258064519,2.6209677419354818,历史1/2次成功; 当前距低点2.62%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
43,58.11804418820355,57.90454720659649,300399,天利科技,confirmed_rebound,2024-09-10,11.12,2024-09-09,10.61,4.80678605089538,11.215834118755904,28.116531165311653,True,-3.5559,10.6715,2,3,2,66.66666666666666,17.458885677265013,17.594936708860743,5.193213949104621,4.80678605089538,历史2/3次成功; 当前距低点4.81%; 最新日涨幅-3.56%; 状态confirmed_rebound; 底部已确认
44,57.9448779813903,56.97298586949886,000625,长安汽车,bottom_area,2024-09-10,11.9,2024-08-29,11.43,4.111986001749787,8.136482939632543,29.138251704897705,True,0.5068,0.9741,1,2,1,50.0,13.808139534883724,13.808139534883724,5.888013998250213,4.111986001749787,历史1/2次成功; 当前距低点4.11%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
