rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.00577394358437,82.13169548745265,000567,海德股份,bottom_area,2026-04-10,5.16,7.02,2026-03-23,5.03,2.5844930417495005,7.355864811133203,28.347578347578338,26.49572649572649,True,1.1765,0.569,1,1,1,100.0,38.67924528301886,38.67924528301886,17.4155069582505,2.5844930417495005,历史1/1次成功; 当前距低点2.58%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
12,70.76744193690529,61.41127981433323,603017,中衡设计,bottom_area,2026-04-10,13.39,17.95,2026-04-07,13.1,2.213740458015274,8.244274809160306,27.019498607242337,25.403899721448465,True,-1.7608,7.9188,1,2,1,50.0,36.87423687423689,36.87423687423689,17.786259541984727,2.213740458015274,历史1/2次成功; 当前距低点2.21%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
13,69.92690933031372,60.921171007470264,000625,长安汽车,bottom_area,2026-04-10,10.12,13.84,2026-03-30,9.88,2.429149797570834,3.441295546558703,28.612716763005775,26.878612716763012,False,0.998,0.7962,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,17.570850202429167,2.429149797570834,历史1/3次成功; 当前距低点2.43%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
14,68.26419785578942,60.58952472407346,600121,郑州煤电,bottom_area,2026-04-10,4.2,5.69,2026-04-07,4.06,3.44827586206898,6.896551724137938,28.646748681898078,26.18629173989455,False,-0.4739,3.4145,3,6,3,50.0,23.44942843865986,29.452054794520542,16.55172413793102,3.44827586206898,历史3/6次成功; 当前距低点3.45%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
15,67.87154535077406,61.86423845411602,002481,双塔食品,bottom_area,2026-04-10,4.49,6.06,2026-03-23,4.28,4.906542056074765,9.345794392523352,29.37293729372936,25.907590759075898,True,0.4474,0.674,2,5,2,40.0,38.17824915035744,54.6583850931677,15.093457943925237,4.906542056074765,历史2/5次成功; 当前距低点4.91%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
16,66.62036927666688,58.63272296033182,600325,华发股份,bottom_area,2026-04-10,3.45,4.6,2026-04-07,3.35,2.9850746268656745,5.07462686567164,27.173913043478255,24.999999999999993,False,-0.289,1.2971,2,5,2,40.0,28.917704890244938,32.553606237816766,17.014925373134325,2.9850746268656745,历史2/5次成功; 当前距低点2.99%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
17,66.20031841763013,55.494067460600995,000037,深南电A,bottom_area,2026-04-10,9.33,13.02,2026-04-07,9.3,0.32258064516128343,6.666666666666658,28.571428571428566,28.341013824884794,False,-1.8927,8.1063,3,10,3,30.0,40.91156629875658,45.16765285996055,19.67741935483872,0.32258064516128343,历史3/10次成功; 当前距低点0.32%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
18,66.19166457205115,57.3588394808878,600982,宁波能源,bottom_area,2026-04-10,5.26,7.25,2026-04-07,5.15,2.135922330097076,6.601941747572812,28.965517241379306,27.448275862068964,False,-1.3133,4.6388,1,2,1,50.0,23.3265720081136,23.3265720081136,17.864077669902926,2.135922330097076,历史1/2次成功; 当前距低点2.14%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
19,65.69833779688813,59.83792268824553,002584,西陇科学,bottom_area,2026-04-10,7.76,10.48,2026-03-23,7.4,4.864864864864857,9.729729729729714,29.389312977099237,25.954198473282446,True,-0.5128,2.9267,2,5,2,40.0,49.24631494697527,68.08510638297875,15.135135135135144,4.864864864864857,历史2/5次成功; 当前距低点4.86%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
20,65.38567294888871,58.621637816245034,002373,千方科技,bottom_area,2026-04-10,9.62,13.46,2026-04-07,9.25,3.9999999999999916,6.05405405405406,31.27786032689451,28.52897473997029,False,1.0504,1.2032,1,2,1,50.0,30.49267643142478,30.49267643142478,16.000000000000007,3.9999999999999916,历史1/2次成功; 当前距低点4.00%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
21,65.34978892321006,55.26223761291589,600696,退市岩石,bottom_area,2026-04-10,1.26,1.82,2026-04-10,1.25,0.8000000000000007,5.600000000000005,31.318681318681318,30.76923076923077,False,-4.5455,2.6518,2,5,2,40.0,34.06579361782736,46.45858343337334,19.2,0.8000000000000007,历史2/5次成功; 当前距低点0.80%; 最新日涨幅-4.55%; 状态bottom_area; 底部未确认
22,63.90358374536319,57.06030303477958,600185,珠免集团,bottom_area,2026-04-10,5.77,8.28,2026-04-03,5.56,3.7769784172661867,4.676258992805768,32.850241545893724,30.31400966183575,False,1.5845,0.982,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,16.223021582733814,3.7769784172661867,历史1/3次成功; 当前距低点3.78%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
23,62.57214767130149,52.95050084345312,001258,立新能源,bottom_area,2026-04-10,8.42,12.33,2026-04-07,8.35,0.8383233532934166,4.071856287425148,32.27899432278994,31.71127331711273,False,-0.7075,2.2492,1,2,1,50.0,23.55848434925864,23.55848434925864,19.161676646706585,0.8383233532934166,历史1/2次成功; 当前距低点0.84%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
24,55.32706269295762,46.293498540140014,300683,海特生物,bottom_area,2026-04-10,36.19,50.68,2026-04-10,36.11,0.22154527831625115,3.8216560509554216,28.749013417521706,28.591160220994478,False,-3.3387,9.2567,1,5,1,20.0,22.089364380113267,22.089364380113267,19.77845472168375,0.22154527831625115,历史1/5次成功; 当前距低点0.22%; 最新日涨幅-3.34%; 状态bottom_area; 底部未确认
25,53.855492600026054,48.33461360123648,300749,顶固集创,bottom_area,2026-04-10,26.93,35.99,2026-04-03,25.88,4.0571870170015485,12.326120556414224,28.091136426785223,25.1736593498194,True,-1.9301,5.8584,1,5,1,20.0,20.833333333333336,20.833333333333336,15.942812982998452,4.0571870170015485,历史1/5次成功; 当前距低点4.06%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
