rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
33,80.42788517059664,77.28235763189495,300538,同益股份,confirmed_rebound,2024-01-22,14.82,2024-01-22,14.54,1.925722145804685,9.697386519944981,28.899755501222497,False,-6.3211,4.5996,3,3,3,100.0,23.295721098546444,30.150753768844226,6.074277854195316,1.925722145804685,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-6.32%; 状态confirmed_rebound; 底部未确认
34,80.14305107300932,76.67049013712067,603289,泰瑞机器,confirmed_rebound,2024-01-22,8.39,2024-01-22,8.25,1.6969696969697037,10.909090909090914,28.509532062391674,False,-8.0044,2.2586,2,2,2,100.0,33.86871530221285,40.702947845804985,6.3030303030302965,1.6969696969697037,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-8.00%; 状态confirmed_rebound; 底部未确认
35,79.90316343741365,76.49194805194806,002337,赛象科技,confirmed_rebound,2024-01-22,4.7,2024-01-22,4.62,1.731601731601733,8.874458874458877,28.037383177570092,False,-6.0,3.785,1,1,1,100.0,60.465116279069754,60.465116279069754,6.2683982683982675,1.731601731601733,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-6.00%; 状态confirmed_rebound; 底部未确认
36,79.81001584814418,75.6113614254598,002442,龙星科技,confirmed_rebound,2024-01-22,5.1,2024-01-22,5.04,1.1904761904761827,9.920634920634921,28.712871287128717,False,-7.6087,4.1785,2,2,2,100.0,21.965844837341393,32.75434243176177,6.809523809523818,1.1904761904761827,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-7.61%; 状态confirmed_rebound; 底部未确认
37,79.74427547442525,75.41604999637255,000701,厦门信达,confirmed_rebound,2024-01-22,4.6,2024-01-22,4.55,1.098901098901095,9.670329670329679,27.083333333333336,False,-7.4447,3.2889,2,2,2,100.0,19.793250010037795,30.161579892280066,6.901098901098905,1.098901098901095,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-7.44%; 状态confirmed_rebound; 底部未确认
38,79.51462798457278,74.42618010698787,603229,奥翔药业,bottom_area,2024-01-22,10.73,2024-01-22,10.67,0.5623242736644846,7.7788191190253055,32.382762991128004,False,-6.2882,0.9228,3,3,3,100.0,20.85096479001555,41.48479427549196,7.437675726335516,0.5623242736644846,历史3/3次成功; 当前距低点0.56%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
39,79.40513041028083,76.03909923972438,688337,普源精电,confirmed_rebound,2024-01-22,36.09,2024-01-22,35.47,1.7479560191711434,10.769664505215676,30.01183898973954,False,-6.3327,3.2266,2,2,2,100.0,31.09913421201392,33.36842105263158,6.252043980828857,1.7479560191711434,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-6.33%; 状态confirmed_rebound; 底部未确认
40,79.39360263555578,75.68972121307691,688196,卓越新能,bottom_area,2024-01-22,30.8,2024-01-22,30.34,1.5161502966381044,6.526038233355308,29.04583723105706,False,-4.703,0.4533,2,2,2,100.0,16.16421445920315,19.41979522184301,6.483849703361896,1.5161502966381044,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-4.70%; 状态bottom_area; 底部未确认
41,79.34814644162695,76.16833723653396,002666,德联集团,confirmed_rebound,2024-01-22,4.35,2024-01-22,4.27,1.8735362997658096,9.836065573770512,27.13310580204779,False,-7.2495,3.2653,1,1,1,100.0,51.275510204081634,51.275510204081634,6.12646370023419,1.8735362997658096,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-7.25%; 状态confirmed_rebound; 底部未确认
42,79.06231046513291,73.85834625213822,300446,航天智造,bottom_area,2024-01-22,13.08,2024-01-22,13.02,0.46082949308756144,6.758832565284184,27.384272169548247,False,-6.2366,3.5822,2,2,2,100.0,33.22063170095625,51.92697768762679,7.539170506912439,0.46082949308756144,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-6.24%; 状态bottom_area; 底部未确认
43,79.03458690837437,75.08029240184861,300353,东土科技,confirmed_rebound,2024-01-22,7.61,2024-01-22,7.51,1.3315579227696475,9.187749667110513,31.54056517775753,False,-6.3961,2.3211,2,2,2,100.0,20.840024009480672,21.377672209026137,6.6684420772303525,1.3315579227696475,历史2/2次成功; 当前距低点1.33%; 最新日涨幅-6.40%; 状态confirmed_rebound; 底部未确认
44,78.97153281829158,74.63080167618091,600386,北巴传媒,confirmed_rebound,2024-01-22,3.81,2024-01-22,3.77,1.0610079575596827,8.222811671087534,28.867924528301884,False,-6.3882,1.4186,2,2,2,100.0,15.106988276435352,16.708229426433917,6.938992042440317,1.0610079575596827,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-6.39%; 状态confirmed_rebound; 底部未确认
