rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.71769210672356,85.22309531077894,603033,三维股份,bottom_area,2023-08-08,15.26,2023-08-07,15.06,1.3280212483399687,1.7928286852589612,30.180806675938804,False,0.4608,0.1415,3,3,3,100.0,15.757977188140112,24.922480620155024,6.671978751660032,1.3280212483399687,历史3/3次成功; 当前距低点1.33%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
12,77.33163082879989,75.6892297899705,688322,奥比中光,confirmed_rebound,2023-08-08,34.25,2023-07-28,33.29,2.8837488735355987,20.30639831781315,27.6304347826087,True,-12.516,7.5263,3,3,3,100.0,17.28052269694434,28.749462827675128,5.116251126464402,2.8837488735355987,历史3/3次成功; 当前距低点2.88%; 最新日涨幅-12.52%; 状态confirmed_rebound; 底部已确认
13,77.19395857652195,76.11746878057504,002219,新里程,bottom_area,2023-08-08,3.79,2023-08-07,3.67,3.2697547683923736,4.632152588555857,29.42307692307693,False,0.7979,0.6311,1,1,1,100.0,23.938223938223942,23.938223938223942,4.730245231607626,3.2697547683923736,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
14,77.02742642321212,73.33563854364367,688314,康拓医疗,bottom_area,2023-08-08,32.26,2023-08-08,31.8,1.4465408805031361,3.1446540880503036,27.562642369020494,False,-1.1945,1.1625,1,1,1,100.0,9.106192210703279,9.106192210703279,6.553459119496864,1.4465408805031361,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
15,76.67286313016152,76.69746328719812,688027,国盾量子,bottom_area,2023-08-08,142.17,2023-07-28,136.68,4.016681299385412,7.952882645595555,27.096223597183695,True,-0.9958,0.473,3,3,3,100.0,16.15858413869275,26.382393397524062,3.9833187006145883,4.016681299385412,历史3/3次成功; 当前距低点4.02%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
16,76.60116273669036,76.76276856524875,600935,华塑股份,bottom_area,2023-08-08,3.8,2023-06-27,3.65,4.109589041095888,7.671232876712336,28.571428571428577,True,0.0,0.3339,1,1,1,100.0,28.50877192982458,28.50877192982458,3.8904109589041123,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
17,75.79550414340108,72.84641939285112,600990,四创电子,bottom_area,2023-08-08,23.16,2023-07-24,22.72,1.9366197183098648,3.521126760563384,29.199127454035533,False,-1.1524,0.478,1,1,1,100.0,12.483399734395755,12.483399734395755,6.063380281690136,1.9366197183098648,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
18,75.71004887168004,71.44490829485832,300455,航天智装,bottom_area,2023-08-08,11.27,2023-08-08,11.16,0.9856630824372709,4.838709677419347,28.46153846153846,False,-2.8448,2.1833,2,2,2,100.0,16.463549047394118,18.904109589041095,7.014336917562729,0.9856630824372709,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
19,74.29186243607954,70.10760268664427,688143,长盈通,bottom_area,2023-08-08,29.69,2023-08-08,29.4,0.9863945578231386,2.687074829931982,29.64824120603015,False,-1.0333,1.1436,1,1,1,100.0,25.949367088607595,25.949367088607595,7.013605442176862,0.9863945578231386,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
20,73.5873624985479,73.72839008013578,002864,盘龙药业,bottom_area,2023-08-08,35.55,2023-08-08,34.15,4.099560761346995,4.743777452415826,27.340425531914896,False,2.9241,8.4452,1,1,1,100.0,21.26553019358567,21.26553019358567,3.900439238653006,4.099560761346995,历史1/1次成功; 当前距低点4.10%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
21,73.36156694730721,68.79047358834244,002377,国创高新,bottom_area,2023-08-08,3.07,2023-08-08,3.05,0.6557377049180334,3.606557377049191,32.07126948775056,False,-1.6026,11.2352,1,1,1,100.0,14.814814814814808,14.814814814814808,7.344262295081967,0.6557377049180334,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
22,73.11155990232105,73.67545403801059,002403,爱仕达,bottom_area,2023-08-08,8.78,2023-07-28,8.41,4.3995243757431535,6.658739595719387,32.61217948717949,False,-0.5663,1.6527,3,3,3,100.0,13.797686100564366,21.63892445582587,3.6004756242568465,4.3995243757431535,历史3/3次成功; 当前距低点4.40%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
23,72.65330472159033,68.16055483198753,300375,鹏翎股份,bottom_area,2023-08-08,4.43,2023-08-07,4.4,0.6818181818181672,4.772727272727272,28.455284552845526,False,-1.1161,11.734,1,1,1,100.0,11.74785100286532,11.74785100286532,7.318181818181833,0.6818181818181672,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
24,72.17709326941568,68.04404742577597,688287,退市观典,bottom_area,2023-08-08,10.8,2023-08-07,10.7,0.9345794392523498,1.9626168224299148,28.475935828877013,False,-0.5525,0.3763,1,1,1,100.0,14.219830899308223,14.219830899308223,7.0654205607476515,0.9345794392523498,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
25,71.80967221651251,70.67881123672491,688278,特宝生物,confirmed_rebound,2023-08-08,33.8,2023-07-28,32.76,3.174603174603172,10.012210012210017,28.205128205128215,True,-0.8507,0.3771,1,1,1,100.0,17.0263788968825,17.0263788968825,4.825396825396828,3.174603174603172,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
26,71.4415758456852,71.44463066687888,002626,金达威,confirmed_rebound,2023-08-08,18.71,2023-06-26,17.99,4.002223457476389,8.115619788771546,27.165991902834012,True,0.4834,0.5225,1,1,1,100.0,8.815592203898044,8.815592203898044,3.997776542523611,4.002223457476389,历史1/1次成功; 当前距低点4.00%; 最新日涨幅0.48%; 状态confirmed_rebound; 底部已确认
27,70.07284385368942,69.39354835920273,601360,三六零,bottom_area,2023-08-08,11.85,2023-07-24,11.45,3.493449781659392,6.637554585152852,29.1460396039604,False,-1.4143,1.0886,1,1,1,100.0,13.003300330033007,13.003300330033007,4.5065502183406085,3.493449781659392,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
28,67.73307767005174,68.47674990015015,605118,力鼎光电,bottom_area,2023-08-08,14.88,2023-07-28,14.23,4.56781447645819,7.027406886858749,30.210887690044142,True,-1.9763,0.6809,1,1,1,100.0,12.050359712230225,12.050359712230225,3.432185523541811,4.56781447645819,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
29,66.27200048950954,66.6911782282161,300389,艾比森,bottom_area,2023-08-08,15.91,2023-08-01,15.25,4.327868852459018,5.7704918032786825,27.895981087470446,False,-0.8723,1.3304,1,1,1,100.0,8.702791461412156,8.702791461412156,3.6721311475409824,4.327868852459018,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
