rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.22483502249882,80.75162790697674,603013,亚普股份,bottom_area,2024-01-16,16.59,2024-01-10,16.34,1.5299877600979193,3.671970624235015,28.175824175824175,False,-0.1805,0.4763,1,1,1,100.0,53.30739299610896,53.30739299610896,18.470012239902083,1.5299877600979193,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
12,71.28875755833702,61.93689903993152,002284,亚太股份,bottom_area,2024-01-16,8.08,2024-01-10,7.9,2.278481012658224,5.69620253164556,30.457746478873233,False,0.6227,1.4634,1,2,1,50.0,27.214170692431566,27.214170692431566,17.721518987341778,2.278481012658224,历史1/2次成功; 当前距低点2.28%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
13,68.41918717680497,58.94576126001658,601777,千里科技,bottom_area,2024-01-16,3.36,2024-01-08,3.3,1.81818181818182,4.242424242424246,28.41648590021693,False,-0.2967,0.2905,1,2,1,50.0,27.96352583586626,27.96352583586626,18.181818181818183,1.81818181818182,历史1/2次成功; 当前距低点1.82%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
14,68.28012666111468,59.053628173790784,300454,深信服,bottom_area,2024-01-16,64.35,2024-01-16,63.07,2.029491041699689,3.7577295068970944,30.677071883930534,False,0.0,1.1838,1,4,1,25.0,29.49391262831224,29.49391262831224,17.970508958300314,2.029491041699689,历史1/4次成功; 当前距低点2.03%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,67.90874627670611,58.307854561723516,600986,浙文互联,bottom_area,2024-01-16,4.98,2024-01-16,4.9,1.632653061224491,2.6530612244897935,31.46853146853147,False,-0.7968,2.2044,1,2,1,50.0,22.25969645868466,22.25969645868466,18.367346938775512,1.632653061224491,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
16,67.61736193638731,58.21587219156512,002095,生意宝,bottom_area,2024-01-16,17.14,2024-01-10,16.84,1.7814726840855148,7.422802850356295,30.240265120132566,True,-0.9821,1.2741,1,3,1,33.33333333333333,33.84030418250951,33.84030418250951,18.218527315914486,1.7814726840855148,历史1/3次成功; 当前距低点1.78%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
17,67.46885169987873,58.26962146331678,603039,泛微网络,bottom_area,2024-01-16,39.69,2024-01-16,38.93,1.9522219368096532,3.1081428204469583,30.962936690902644,False,-0.6757,0.3845,1,2,1,50.0,25.971438060445035,25.971438060445035,18.047778063190346,1.9522219368096532,历史1/2次成功; 当前距低点1.95%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
18,67.32184358604667,58.112624914243426,688156,路德科技,bottom_area,2024-01-16,22.25,2024-01-16,21.83,1.9239578561612538,3.527256069628966,27.49916971105945,False,-1.1111,1.1883,1,3,1,33.33333333333333,44.22535211267606,44.22535211267606,18.076042143838748,1.9239578561612538,历史1/3次成功; 当前距低点1.92%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
19,66.9010187354903,58.11560217918019,300609,汇纳科技,bottom_area,2024-01-16,24.33,2024-01-16,23.79,2.2698612862547254,3.8251366120218586,28.126888217522666,False,-0.6939,2.4385,1,4,1,25.0,49.87035436473638,49.87035436473638,17.730138713745276,2.2698612862547254,历史1/4次成功; 当前距低点2.27%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
20,66.38800897109034,57.451706134241356,605218,伟时电子,bottom_area,2024-01-16,20.29,2024-01-16,19.88,2.0623742454728378,3.370221327967816,31.941116056145162,False,-1.0244,2.8724,1,3,1,33.33333333333333,42.36874236874236,42.36874236874236,17.937625754527165,2.0623742454728378,历史1/3次成功; 当前距低点2.06%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
21,65.98221303065287,57.26758112094399,300451,创业慧康,bottom_area,2024-01-16,5.52,2024-01-16,5.4,2.2222222222222077,2.962962962962949,32.1608040201005,False,-0.5405,1.8614,1,2,1,50.0,23.89380530973452,23.89380530973452,17.777777777777793,2.2222222222222077,历史1/2次成功; 当前距低点2.22%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
22,63.752810496577055,56.2413781171698,601011,宝泰隆,bottom_area,2024-01-16,2.98,2024-01-16,2.89,3.1141868512110675,4.152249134948085,28.817733990147776,False,-2.6144,3.289,1,2,1,50.0,29.31034482758621,29.31034482758621,16.885813148788934,3.1141868512110675,历史1/2次成功; 当前距低点3.11%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
23,62.77705697063381,54.269502334127374,300678,中科信息,bottom_area,2024-01-16,26.46,2024-01-16,25.94,2.00462606013878,3.6237471087124042,29.58740499457112,False,-1.4158,2.2384,1,3,1,33.33333333333333,24.552238805970156,24.552238805970156,17.99537393986122,2.00462606013878,历史1/3次成功; 当前距低点2.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
24,62.738133412437406,55.1692379598682,002041,登海种业,bottom_area,2024-01-16,12.26,2024-01-10,11.91,2.9387069689336665,6.5491183879093136,29.484902309058615,False,-0.487,0.381,1,2,1,50.0,21.395106715252467,21.395106715252467,17.061293031066334,2.9387069689336665,历史1/2次成功; 当前距低点2.94%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
25,59.21566172256707,51.24034929238183,002355,兴民智通,bottom_area,2024-01-16,4.96,2024-01-16,4.86,2.0576131687242727,3.0864197530864086,29.870129870129862,False,-0.8,2.0432,1,5,1,20.0,21.138211382113823,21.138211382113823,17.942386831275726,2.0576131687242727,历史1/5次成功; 当前距低点2.06%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
