rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.80524152673152,77.22194915367959,600403,大有能源,bottom_area,2025-11-20,8.31,2025-11-20,8.31,0.0,9.26594464500601,30.749999999999993,False,-9.9675,4.6362,4,4,4,100.0,24.58037179397625,37.18411552346569,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
12,79.63761115699877,69.89809190480815,688411,海博思创,bottom_area,2025-11-20,302.5,2025-11-20,301.0,0.4983388704318937,7.142857142857142,29.344381587286684,False,-1.7857,9.7061,1,1,1,100.0,18.84034693221972,18.84034693221972,14.501661129568106,0.4983388704318937,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
13,79.07088346656239,69.47662347623293,300258,精锻科技,bottom_area,2025-11-20,12.64,2025-11-20,12.57,0.5568814638027071,2.7048528241845653,27.63385146804836,False,-1.25,1.5194,1,1,1,100.0,17.29200652528549,17.29200652528549,14.443118536197291,0.5568814638027071,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
14,77.0529296965864,67.52168198884023,300475,香农芯创,bottom_area,2025-11-20,145.9,2025-11-20,145.3,0.41293874741912884,13.558155540261518,27.90155311864238,False,-9.6315,12.8598,1,1,1,100.0,15.232163080407707,15.232163080407707,14.587061252580872,0.41293874741912884,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-9.63%; 状态bottom_area; 底部未确认
15,75.50200291842724,66.73889573880965,300730,科创信息,bottom_area,2025-11-20,13.8,2025-11-19,13.68,0.8771929824561476,7.967836257309941,29.84615384615385,False,-4.3659,10.7699,3,4,3,75.0,20.881159886073412,24.329896907216508,14.12280701754385,0.8771929824561476,历史3/4次成功; 当前距低点0.88%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
16,74.90074733102618,69.30190207511357,002062,宏润建设,bottom_area,2025-11-20,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.0,2.1012,2,3,2,66.66666666666666,26.875948363286994,33.22683706070288,11.673819742489263,3.326180257510735,历史2/3次成功; 当前距低点3.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,73.4662978018094,65.15969402883866,300563,神宇股份,bottom_area,2025-11-20,36.28,2025-11-19,35.9,1.0584958217270266,4.6518105849582225,30.29126213592233,False,-0.0551,2.1957,2,4,2,50.0,18.72615323858206,20.477137176938378,13.941504178272973,1.0584958217270266,历史2/4次成功; 当前距低点1.06%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
18,71.6459274877245,62.79337846742218,002338,奥普光电,bottom_area,2025-11-20,50.05,2025-11-20,49.84,0.421348314606729,2.8290529695024005,29.15422885572138,False,-1.3015,1.4964,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,14.57865168539327,0.421348314606729,历史2/3次成功; 当前距低点0.42%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
19,69.80210945322449,60.91028864322998,300680,隆盛科技,bottom_area,2025-11-20,42.81,2025-11-20,42.73,0.18722209220689306,5.1486075356892185,27.32993197278912,False,-2.8591,3.6422,2,4,2,50.0,25.038467814310184,34.71428571428571,14.812777907793107,0.18722209220689306,历史2/4次成功; 当前距低点0.19%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
20,69.6368069897525,65.95842051565526,002767,先锋电子,bottom_area,2025-11-20,19.85,2025-10-31,18.98,4.583772391991575,11.064278187565847,27.47420710737486,True,-1.0469,4.0434,3,5,3,60.0,35.37323424406471,52.04379562043795,10.416227608008425,4.583772391991575,历史3/5次成功; 当前距低点4.58%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
21,69.40411612629256,61.451620096493976,300669,沪宁股份,bottom_area,2025-11-20,27.15,2025-11-20,26.89,0.9669021941242023,2.5660096690219327,31.01590559261159,False,-1.2727,0.8335,2,3,2,66.66666666666666,18.061776518443477,19.86588432523052,14.033097805875796,0.9669021941242023,历史2/3次成功; 当前距低点0.97%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
22,64.49099160734715,58.9725013245587,002468,申通快递,bottom_area,2025-11-20,14.48,2025-11-18,14.1,2.6950354609929135,4.1843971631205665,29.745889387145,False,1.3296,1.3799,1,2,1,50.0,16.382699868938413,16.382699868938413,12.304964539007086,2.6950354609929135,历史1/2次成功; 当前距低点2.70%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
23,63.693155263359046,55.941237400362695,300611,美力科技,bottom_area,2025-11-20,26.34,2025-11-20,26.2,0.5343511450381702,3.0534351145038197,29.81516206804179,False,-1.089,2.9032,1,2,1,50.0,35.911602209944746,35.911602209944746,14.46564885496183,0.5343511450381702,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
24,63.02334141979181,54.87120471409865,600104,上汽集团,bottom_area,2025-11-20,15.02,2025-11-20,15.01,0.06662225183211051,2.4650233177881478,27.24188075618032,False,-1.8301,0.507,1,2,1,50.0,24.425287356321842,24.425287356321842,14.933377748167889,0.06662225183211051,历史1/2次成功; 当前距低点0.07%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
25,60.81986677559726,53.3460916216911,600292,电投水电,bottom_area,2025-11-20,13.03,2025-11-20,12.97,0.4626060138781705,2.775636083269078,30.08086253369272,False,-1.063,2.078,1,3,1,33.33333333333333,40.524193548387096,40.524193548387096,14.53739398612183,0.4626060138781705,历史1/3次成功; 当前距低点0.46%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
26,60.599041823977245,54.333197296986114,600693,东百集团,bottom_area,2025-11-20,8.68,2025-11-20,8.54,1.6393442622950887,7.611241217798599,29.421487603305792,False,-8.4388,17.2505,1,3,1,33.33333333333333,30.632090761750412,30.632090761750412,13.36065573770491,1.6393442622950887,历史1/3次成功; 当前距低点1.64%; 最新日涨幅-8.44%; 状态bottom_area; 底部未确认
27,58.80807169669244,51.25052222286964,000661,长春高新,bottom_area,2025-11-20,101.69,2025-11-19,101.57,0.11814512159102546,1.3389780446982513,28.355787543203792,False,-0.6157,0.9658,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.881854878408973,0.11814512159102546,历史1/3次成功; 当前距低点0.12%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
28,57.770134088292494,54.21493974137756,000096,广聚能源,bottom_area,2025-11-20,11.46,2025-09-23,11.01,4.0871934604904725,10.808356039963666,28.039215686274517,True,-2.799,1.6989,1,2,1,50.0,21.149144254278735,21.149144254278735,10.912806539509527,4.0871934604904725,历史1/2次成功; 当前距低点4.09%; 最新日涨幅-2.80%; 状态bottom_area; 底部已确认
29,56.167950273072535,49.368104008081126,001209,洪兴股份,bottom_area,2025-11-20,21.04,2025-11-20,20.92,0.5736137667303892,2.5334608030592616,32.18800648298217,False,-0.473,4.6481,1,4,1,25.0,21.88679245283018,21.88679245283018,14.42638623326961,0.5736137667303892,历史1/4次成功; 当前距低点0.57%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
