rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
101,58.10849951982289,52.061152260316604,605208,永茂泰,bottom_area,2024-02-02,6.56,2024-02-02,6.31,3.961965134706815,13.62916006339145,27.22029988465975,False,-6.4194,5.1854,1,3,1,33.33333333333333,46.887631366208595,46.887631366208595,16.038034865293184,3.961965134706815,历史1/3次成功; 当前距低点3.96%; 最新日涨幅-6.42%; 状态bottom_area; 底部未确认
102,57.779963143548194,52.63770491803279,300418,昆仑万维,bottom_area,2024-02-02,29.89,2024-02-01,28.5,4.877192982456142,12.280701754385964,27.203065134099614,True,-3.2373,6.7384,1,2,1,50.0,32.568306010928964,32.568306010928964,15.12280701754386,4.877192982456142,历史1/2次成功; 当前距低点4.88%; 最新日涨幅-3.24%; 状态bottom_area; 底部已确认
103,57.759066365652394,50.55385762948996,002723,小崧股份,bottom_area,2024-02-02,6.89,2024-02-02,6.71,2.6825633383010388,16.840536512667658,30.824742268041234,False,-7.6408,4.9132,1,4,1,25.0,24.489795918367328,24.489795918367328,17.317436661698963,2.6825633383010388,历史1/4次成功; 当前距低点2.68%; 最新日涨幅-7.64%; 状态bottom_area; 底部未确认
104,57.6439060939061,48.03658841158842,002116,中国海诚,bottom_area,2024-02-02,10.33,2024-02-02,10.33,0.0,4.54985479186835,28.758620689655174,False,-10.0174,11.5425,1,4,1,25.0,30.169830169830163,30.169830169830163,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
105,57.56911664625021,50.98978902953589,002186,全聚德,bottom_area,2024-02-02,9.61,2024-02-02,9.3,3.3333333333333193,9.35483870967741,27.400468384074937,False,-2.7328,3.9827,1,3,1,33.33333333333333,23.20675105485231,23.20675105485231,16.666666666666682,3.3333333333333193,历史1/3次成功; 当前距低点3.33%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
106,57.53035458494801,51.705470333929625,002329,皇氏集团,bottom_area,2024-02-02,4.03,2024-02-02,3.87,4.134366925064603,12.403100775193785,27.25563909774436,False,-6.2791,7.1987,1,2,1,50.0,27.644230769230756,27.644230769230756,15.865633074935397,4.134366925064603,历史1/2次成功; 当前距低点4.13%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
107,57.49181075644786,51.59699300699301,603022,新通联,bottom_area,2024-02-02,7.44,2024-02-02,7.15,4.055944055944057,14.545454545454534,27.337398373983735,False,-6.2972,2.2922,1,2,1,50.0,26.099706744868023,26.099706744868023,15.944055944055947,4.055944055944057,历史1/2次成功; 当前距低点4.06%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
108,57.08483141220088,51.05340579710145,300749,顶固集创,bottom_area,2024-02-02,6.45,2024-02-02,6.21,3.8647342995169116,15.780998389694048,28.538550057537392,False,-6.3861,4.5313,1,2,1,50.0,20.833333333333336,20.833333333333336,16.13526570048309,3.8647342995169116,历史1/2次成功; 当前距低点3.86%; 最新日涨幅-6.39%; 状态bottom_area; 底部未确认
109,56.507462948412694,50.837430830039544,300520,科大国创,bottom_area,2024-02-02,13.18,2024-02-02,12.65,4.189723320158097,14.545454545454545,31.137724550898206,False,-6.392,3.9518,1,2,1,50.0,23.65591397849461,23.65591397849461,15.810276679841904,4.189723320158097,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-6.39%; 状态bottom_area; 底部未确认
110,56.37662600169529,50.78697664038092,688058,宝兰德,bottom_area,2024-02-02,31.31,2024-02-02,30.03,4.262404262404254,13.78621378621379,27.53378378378378,False,-7.0644,1.7749,1,2,1,50.0,24.27558257345491,24.27558257345491,15.737595737595747,4.262404262404254,历史1/2次成功; 当前距低点4.26%; 最新日涨幅-7.06%; 状态bottom_area; 底部未确认
