rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
60,72.89116509269576,66.20092270760605,688329,艾隆科技,bottom_area,2025-01-10,12.74,2025-01-06,12.45,2.329317269076313,7.871485943775104,31.21546961325968,True,-3.265,2.2298,2,3,2,66.66666666666666,21.479029109856874,21.72890326374596,12.670682730923687,2.329317269076313,历史2/3次成功; 当前距低点2.33%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
61,72.56552010033388,63.669998744625445,002210,飞马国际,bottom_area,2025-01-10,2.09,2025-01-06,2.08,0.48076923076922046,7.692307692307699,31.57894736842105,True,-4.1284,3.4557,2,3,2,66.66666666666666,25.050999592003254,32.558139534883715,14.519230769230779,0.48076923076922046,历史2/3次成功; 当前距低点0.48%; 最新日涨幅-4.13%; 状态bottom_area; 底部已确认
62,72.12778009917125,66.0652825774686,603026,石大胜华,bottom_area,2025-01-10,32.12,2025-01-08,31.25,2.783999999999992,5.920000000000004,27.05415499533147,False,-1.2907,1.2851,2,3,2,66.66666666666666,25.30180597205321,31.14618918600542,12.216000000000008,2.783999999999992,历史2/3次成功; 当前距低点2.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
63,72.06206467333288,63.190405899895154,688135,利扬芯片,bottom_area,2025-01-10,15.67,2025-01-08,15.6,0.44871794871795057,7.435897435897449,27.97783933518006,True,-2.6103,2.141,2,4,2,50.0,31.309047435333802,40.41850220264317,14.55128205128205,0.44871794871795057,历史2/4次成功; 当前距低点0.45%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
64,71.97939000766549,66.18873485546133,600990,四创电子,bottom_area,2025-01-10,19.26,2025-01-06,18.7,2.9946524064171247,7.593582887700544,27.123928293063138,True,-2.8254,1.5305,2,3,2,66.66666666666666,19.35417029798769,20.55837563451777,12.005347593582874,2.9946524064171247,历史2/3次成功; 当前距低点2.99%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
65,71.94496743552226,68.53423121980471,603058,永吉股份,bottom_area,2025-01-10,8.58,2025-01-06,8.18,4.889975550122254,9.168704156479219,32.508250825082506,True,-1.8307,1.7158,1,1,1,100.0,16.308470290771165,16.308470290771165,10.110024449877745,4.889975550122254,历史1/1次成功; 当前距低点4.89%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
66,71.79946961480962,62.89093775257585,002186,全聚德,bottom_area,2025-01-10,10.3,2025-01-06,10.26,0.38986354775829357,7.0175438596491295,32.27722772277228,True,-4.7179,2.0416,2,3,2,66.66666666666666,19.74817190751665,23.20675105485231,14.610136452241706,0.38986354775829357,历史2/3次成功; 当前距低点0.39%; 最新日涨幅-4.72%; 状态bottom_area; 底部已确认
67,71.64762348478243,65.57273620203897,300588,熙菱信息,bottom_area,2025-01-10,12.37,2025-01-06,12.04,2.740863787375416,11.461794019933562,29.093050647820974,True,-3.7354,4.3241,2,3,2,66.66666666666666,23.146446078431378,25.98039215686274,12.259136212624583,2.740863787375416,历史2/3次成功; 当前距低点2.74%; 最新日涨幅-3.74%; 状态bottom_area; 底部已确认
68,71.45052662979857,62.13089272156398,688318,财富趋势,bottom_area,2025-01-10,149.0,2025-01-10,149.0,0.0,5.020134228187913,29.003668937913947,False,-3.209,1.5269,3,5,3,60.0,30.11232646002135,36.949152542372886,15.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
69,71.06054046928328,61.90844960745533,000014,沙河股份,bottom_area,2025-01-10,9.92,2025-01-10,9.91,0.10090817356205638,4.339051463168514,28.602305475504323,False,-3.408,1.4355,2,3,2,66.66666666666666,20.11749234682878,20.605355064027936,14.899091826437944,0.10090817356205638,历史2/3次成功; 当前距低点0.10%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
