rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.06392146863844,81.8909433962264,603004,鼎龙科技,bottom_area,2024-09-10,16.28,2024-09-10,15.9,2.389937106918244,3.773584905660375,28.184281842818425,False,-0.489,11.8217,2,2,2,100.0,52.20363732099522,55.7168784029038,17.610062893081757,2.389937106918244,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
12,71.14014819089475,61.5715902470902,000899,赣能股份,bottom_area,2024-09-10,7.4,2024-09-10,7.25,2.0689655172413843,2.620689655172419,27.427427427427432,False,0.4071,0.7309,2,6,2,33.33333333333333,25.459668242296914,27.473958333333325,17.93103448275862,2.0689655172413843,历史2/6次成功; 当前距低点2.07%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
13,70.89708489172223,61.323837449483634,000966,长源电力,bottom_area,2024-09-10,4.01,2024-09-10,3.93,2.035623409669202,2.5445292620865163,27.222222222222225,False,0.0,0.3269,1,2,1,50.0,20.94117647058823,20.94117647058823,17.9643765903308,2.035623409669202,历史1/2次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,70.29688657222191,60.13216186039092,300401,花园生物,bottom_area,2024-09-10,12.08,2024-09-10,11.91,1.42737195633921,2.85474391267842,30.023501762632193,False,-0.1653,2.0262,1,2,1,50.0,29.551451187335093,29.551451187335093,18.572628043660792,1.42737195633921,历史1/2次成功; 当前距低点1.43%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
15,70.2801134174516,61.5539375629406,300455,航天智装,bottom_area,2024-09-10,10.2,2024-09-10,9.93,2.7190332326283944,3.625377643504526,27.939042089985485,False,1.6949,1.1391,1,3,1,33.33333333333333,53.103448275862064,53.103448275862064,17.28096676737161,2.7190332326283944,历史1/3次成功; 当前距低点2.72%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
16,70.08019370730506,61.599373452885175,603132,金徽股份,bottom_area,2024-09-10,10.59,2024-09-10,10.29,2.915451895043739,3.012633624878528,31.354236157438297,False,0.8571,1.0373,1,2,1,50.0,33.20754716981132,33.20754716981132,17.084548104956262,2.915451895043739,历史1/2次成功; 当前距低点2.92%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
17,69.7174424029993,60.55270819039846,000591,太阳能,bottom_area,2024-09-10,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,-0.2451,0.453,1,2,1,50.0,32.84132841328414,32.84132841328414,17.738693467336677,2.2613065326633244,历史1/2次成功; 当前距低点2.26%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
18,68.61908787445225,61.571003267192616,000155,川能动力,bottom_area,2024-09-10,9.26,2024-08-23,8.9,4.044943820224713,7.752808988764039,29.08366533864542,True,0.8715,0.4164,1,2,1,50.0,37.70685579196216,37.70685579196216,15.955056179775287,4.044943820224713,历史1/2次成功; 当前距低点4.04%; 最新日涨幅0.87%; 状态bottom_area; 底部已确认
19,66.65872970911602,59.64402237625881,603282,亚光股份,bottom_area,2024-09-10,12.55,2024-09-09,12.08,3.8907284768211974,4.304635761589401,27.880597014925375,False,0.2396,1.4648,1,2,1,50.0,34.64991023339317,34.64991023339317,16.109271523178805,3.8907284768211974,历史1/2次成功; 当前距低点3.89%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
20,66.49244955082742,56.21191489361702,000922,佳电股份,bottom_area,2024-09-10,9.0,2024-09-10,8.93,0.7838745800671924,2.799552071668533,28.84462151394423,False,-1.4239,1.2641,1,2,1,50.0,40.42553191489362,40.42553191489362,19.21612541993281,0.7838745800671924,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
21,64.80816524767489,57.61465872480862,300653,正海生物,bottom_area,2024-09-10,19.03,2024-08-28,18.38,3.5364526659412525,7.83460282916214,27.466456195737965,True,0.0,1.0034,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,16.46354733405875,3.5364526659412525,历史1/3次成功; 当前距低点3.54%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
22,64.63915108512722,56.85097461097462,000597,东北制药,bottom_area,2024-09-10,4.19,2024-08-26,4.07,2.948402948402951,5.65110565110564,32.053422370617696,False,-0.7109,1.6552,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,17.05159705159705,2.948402948402951,历史1/3次成功; 当前距低点2.95%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
23,64.16833044294945,56.10044691765934,000683,博源化工,bottom_area,2024-09-10,5.09,2024-09-10,4.96,2.6209677419354818,4.435483870967737,28.837876614060253,False,-0.9728,1.337,1,2,1,50.0,22.50673854447439,22.50673854447439,17.37903225806452,2.6209677419354818,历史1/2次成功; 当前距低点2.62%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
24,63.88884585617248,57.4933337969187,002682,龙洲股份,bottom_area,2024-09-10,3.47,2024-08-28,3.33,4.204204204204208,6.606606606606599,30.76923076923076,False,1.1662,1.6995,1,2,1,50.0,26.929674099485425,26.929674099485425,15.795795795795792,4.204204204204208,历史1/2次成功; 当前距低点4.20%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
25,63.31092985162286,54.93574923071793,300573,兴齐眼药,bottom_area,2024-09-10,76.81,2024-09-10,75.15,2.2089155023286713,3.353293413173647,29.357021996615895,False,-0.6467,3.5578,1,5,1,20.0,42.86062675283501,42.86062675283501,17.79108449767133,2.2089155023286713,历史1/5次成功; 当前距低点2.21%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
