rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.78016159687688,83.3421675249846,000619,海螺新材,bottom_area,2025-11-26,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,-0.313,3.7817,4,4,4,100.0,30.81836553898465,43.133047210300425,12.09208400646204,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
17,79.92929332931094,72.77431828626253,301291,明阳电气,bottom_area,2025-11-26,41.6,2025-11-24,40.6,2.463054187192118,4.926108374384236,27.0440251572327,False,-1.5385,2.9232,1,1,1,100.0,18.54882705946537,18.54882705946537,12.53694581280788,2.463054187192118,历史1/1次成功; 当前距低点2.46%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
18,78.60497607719104,74.42338708383735,688008,澜起科技,bottom_area,2025-11-26,117.11,2025-11-24,112.0,4.562499999999999,6.46428571428571,29.506545820745217,False,0.7051,1.9365,3,4,3,75.0,34.8434789453621,62.20095693779905,10.4375,4.562499999999999,历史3/4次成功; 当前距低点4.56%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
19,78.43158901672552,74.56552846480054,300072,海新能科,bottom_area,2025-11-26,4.6,2025-11-24,4.39,4.783599088838268,7.5170842824601385,31.29890453834116,True,-1.2876,2.3256,1,1,1,100.0,47.4308300395257,47.4308300395257,10.216400911161731,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
20,77.25434257001424,71.27380963518173,688665,四方光电,bottom_area,2025-11-26,47.17,2025-11-21,45.72,3.171478565179359,5.380577427821525,27.715415019762844,False,-0.9034,0.565,1,1,1,100.0,19.16548797736917,19.16548797736917,11.82852143482064,3.171478565179359,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
21,76.93942565412597,69.63232936295198,603197,保隆科技,bottom_area,2025-11-26,34.83,2025-11-21,34.1,2.140762463343099,3.988269794721406,27.431368376250266,False,-0.5993,0.7664,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,12.8592375366569,2.140762463343099,历史4/6次成功; 当前距低点2.14%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
22,76.42899537766999,71.85040609670801,600333,长春燃气,bottom_area,2025-11-26,6.23,2025-11-24,5.98,4.1806020066889635,6.521739130434777,27.51515151515151,False,-0.638,4.1321,2,2,2,100.0,17.96870253741318,19.69026548672568,10.819397993311036,4.1806020066889635,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
23,76.30489848244953,70.4819205695094,300730,科创信息,bottom_area,2025-11-26,13.72,2025-11-24,13.29,3.2355154251316893,8.803611738148998,31.84615384615385,True,-3.7193,5.2483,3,4,3,75.0,20.881159886073412,24.329896907216508,11.76448457486831,3.2355154251316893,历史3/4次成功; 当前距低点3.24%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
24,75.47667606893776,67.64139355029042,688337,普源精电,bottom_area,2025-11-26,36.5,2025-11-21,35.92,1.6146993318485476,5.066815144766148,28.159999999999997,False,-1.8817,0.9428,3,6,3,50.0,38.886602295188766,54.46153846153845,13.385300668151451,1.6146993318485476,历史3/6次成功; 当前距低点1.61%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
25,74.4534939745814,66.72984298267815,002208,合肥城建,bottom_area,2025-11-26,10.67,2025-11-26,10.5,1.6190476190476182,5.809523809523804,27.785419532324617,False,-4.219,9.3902,2,3,2,66.66666666666666,24.80970369591419,27.071823204419903,13.380952380952383,1.6190476190476182,历史2/3次成功; 当前距低点1.62%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
26,73.86658316538487,64.70065678719843,605333,沪光股份,bottom_area,2025-11-26,28.38,2025-11-24,28.27,0.38910505836575676,2.9006013441811116,29.112337011033105,False,-1.4583,0.6042,3,5,3,60.0,26.224818926195436,29.01840490797546,14.610894941634243,0.38910505836575676,历史3/5次成功; 当前距低点0.39%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
27,73.27822192345617,68.10577953938038,600319,亚星化学,bottom_area,2025-11-26,8.71,2025-11-25,8.41,3.5671819262782485,4.518430439952425,29.0295358649789,False,0.6936,3.92,2,3,2,66.66666666666666,23.3993960463877,29.282868525896426,11.432818073721752,3.5671819262782485,历史2/3次成功; 当前距低点3.57%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
28,72.75071882216429,64.91529322952319,603366,日出东方,bottom_area,2025-11-26,9.54,2025-11-24,9.41,1.3815090329436663,4.463336875664186,29.776119402985074,False,-2.0534,4.9552,2,4,2,50.0,21.371687229219,25.15964240102172,13.618490967056331,1.3815090329436663,历史2/4次成功; 当前距低点1.38%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
29,72.6132536031708,69.21921739130435,600815,厦工股份,bottom_area,2025-11-26,3.62,2025-11-24,3.45,4.927536231884055,11.594202898550723,29.591836734693878,True,-3.2086,6.2711,1,1,1,100.0,30.666666666666664,30.666666666666664,10.072463768115943,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.21%; 状态bottom_area; 底部已确认
30,71.54121402121989,67.74195758564436,300258,精锻科技,bottom_area,2025-11-26,12.82,2025-11-21,12.26,4.567699836867868,6.117455138662317,29.418537708693155,False,-0.6202,1.448,1,1,1,100.0,17.29200652528549,17.29200652528549,10.432300163132133,4.567699836867868,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
31,71.33979001509401,64.45789078336372,002326,永太科技,bottom_area,2025-11-26,23.87,2025-11-25,23.39,2.052159042325782,6.113723813595552,29.12121212121212,False,-1.8503,9.2598,2,4,2,50.0,27.133405375626396,29.837587006960554,12.947840957674217,2.052159042325782,历史2/4次成功; 当前距低点2.05%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
32,70.81882660369989,65.19509886258837,000572,海马汽车,bottom_area,2025-11-26,8.77,2025-11-24,8.51,3.055229142185661,14.218566392479445,29.260182876142977,True,-2.2297,17.8176,3,7,3,42.857142857142854,49.67522975990913,95.5116696588869,11.944770857814339,3.055229142185661,历史3/7次成功; 当前距低点3.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部已确认
33,70.29479326335468,61.677298612609086,001216,华瓷股份,bottom_area,2025-11-26,16.73,2025-11-26,16.65,0.48048048048049163,5.885885885885889,32.454361054766736,False,-7.9758,12.1784,2,3,2,66.66666666666666,23.527566889451258,28.282828282828277,14.519519519519509,0.48048048048049163,历史2/3次成功; 当前距低点0.48%; 最新日涨幅-7.98%; 状态bottom_area; 底部未确认
34,69.24650201626977,64.22335636408701,002337,赛象科技,bottom_area,2025-11-26,5.99,2025-11-21,5.79,3.4542314335060476,5.1813471502590644,29.47624847746651,False,-0.3328,1.9672,2,4,2,50.0,43.059161464950556,60.465116279069754,11.545768566493953,3.4542314335060476,历史2/4次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
35,68.31828202696356,61.01381162156494,600939,重庆建工,bottom_area,2025-11-26,3.55,2025-11-21,3.5,1.4285714285714235,4.571428571428576,27.23492723492723,False,0.2825,1.405,1,3,1,33.33333333333333,31.277533039647576,31.277533039647576,13.571428571428577,1.4285714285714235,历史1/3次成功; 当前距低点1.43%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
36,67.5563511753613,59.95147079521463,600104,上汽集团,bottom_area,2025-11-26,14.86,2025-11-21,14.7,1.0884353741496609,2.108843537414969,28.74454677653902,False,-0.4021,0.2732,1,2,1,50.0,24.425287356321842,24.425287356321842,13.911564625850339,1.0884353741496609,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
37,67.36776765796684,62.75421655915173,002338,奥普光电,bottom_area,2025-11-26,50.6,2025-11-21,48.8,3.688524590163943,5.389344262295088,30.632551528073915,False,-0.5112,1.2927,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,11.311475409836055,3.688524590163943,历史2/3次成功; 当前距低点3.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
38,65.79364605115873,59.15354746029165,601566,九牧王,bottom_area,2025-11-26,13.1,2025-11-26,12.87,1.7871017871017907,8.624708624708635,30.092341118957094,False,-8.3916,11.7656,1,2,1,50.0,38.914728682170555,38.914728682170555,13.212898212898208,1.7871017871017907,历史1/2次成功; 当前距低点1.79%; 最新日涨幅-8.39%; 状态bottom_area; 底部未确认
39,65.24445139424516,61.040704746601826,002309,中利集团,bottom_area,2025-11-26,3.18,2025-11-21,3.06,3.921568627450984,6.862745098039215,29.49308755760368,False,-2.1538,3.7058,4,8,4,50.0,31.676780737581,55.97014925373133,11.078431372549016,3.921568627450984,历史4/8次成功; 当前距低点3.92%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
40,64.73839267432088,58.159780273308215,002136,安纳达,bottom_area,2025-11-26,12.24,2025-11-24,12.03,1.745635910224446,6.733167082294268,30.381944444444454,False,-2.1583,5.3058,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,13.254364089775553,1.745635910224446,历史1/3次成功; 当前距低点1.75%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
41,64.44547101004274,60.71382821849423,603026,石大胜华,bottom_area,2025-11-26,81.35,2025-11-24,78.0,4.294871794871788,8.987179487179493,29.450072358900147,True,-1.5967,8.3839,2,4,2,50.0,25.30180597205321,31.14618918600542,10.705128205128212,4.294871794871788,历史2/4次成功; 当前距低点4.29%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
42,62.998299802617694,57.55027857829009,002017,东信和平,bottom_area,2025-11-26,21.37,2025-11-24,20.82,2.641690682036507,4.514889529298757,27.88361621059924,False,-0.8353,1.7991,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,12.358309317963492,2.641690682036507,历史1/3次成功; 当前距低点2.64%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
43,60.77106753773643,54.88296171171172,601279,英利汽车,bottom_area,2025-11-26,4.53,2025-11-25,4.44,2.0270270270270236,5.63063063063063,30.18867924528302,False,-1.3072,3.6743,1,3,1,33.33333333333333,28.125000000000007,28.125000000000007,12.972972972972977,2.0270270270270236,历史1/3次成功; 当前距低点2.03%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
44,60.6967920144484,53.666654348577126,000661,长春高新,bottom_area,2025-11-26,99.56,2025-11-24,98.68,0.8917713822456378,2.452371301175504,30.394300627777387,False,0.1005,1.2244,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.108228617754362,0.8917713822456378,历史1/3次成功; 当前距低点0.89%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
45,60.20732646085214,55.328081291920874,000753,漳州发展,bottom_area,2025-11-26,8.0,2025-11-24,7.77,2.9601029601029656,5.534105534105531,31.360424028268557,False,-1.599,4.1117,1,4,1,25.0,43.344709897610926,43.344709897610926,12.039897039897033,2.9601029601029656,历史1/4次成功; 当前距低点2.96%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
46,55.823247085811296,52.32025973851181,300769,德方纳米,bottom_area,2025-11-26,46.6,2025-11-24,44.8,4.017857142857153,7.1428571428571495,27.107061503416862,True,-0.7243,9.202,2,8,2,25.0,30.946096904441454,41.300000000000004,10.982142857142845,4.017857142857153,历史2/8次成功; 当前距低点4.02%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
47,54.84830350307439,52.33268396729469,603059,倍加洁,bottom_area,2025-11-26,29.53,2025-11-24,28.13,4.976892996800577,8.602915037326705,27.275077559462257,True,-0.906,3.0509,1,2,1,50.0,21.935483870967733,21.935483870967733,10.023107003199422,4.976892996800577,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
48,54.48685174681731,50.95093669786358,603767,中马传动,bottom_area,2025-11-26,22.94,2025-11-21,22.08,3.894927536231898,5.9329710144927645,27.725040916530286,False,-0.6066,1.7467,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,11.105072463768101,3.894927536231898,历史1/3次成功; 当前距低点3.89%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
49,54.45284400612596,49.63544264063011,000592,平潭发展,bottom_area,2025-11-26,9.34,2025-11-26,9.11,2.524698133918775,11.635565312843035,28.154574132492115,False,-5.9416,25.1186,1,3,1,33.33333333333333,16.228070175438603,16.228070175438603,12.475301866081224,2.524698133918775,历史1/3次成功; 当前距低点2.52%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
50,54.27334826346138,49.19357675111771,002706,良信股份,bottom_area,2025-11-26,9.66,2025-11-24,9.45,2.222222222222231,4.550264550264567,27.083333333333343,False,-1.1259,2.2473,1,6,1,16.666666666666664,19.37406855439642,19.37406855439642,12.777777777777768,2.222222222222231,历史1/6次成功; 当前距低点2.22%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
51,53.576143516860405,51.10770498560544,002250,联化科技,bottom_area,2025-11-26,12.05,2025-11-24,11.48,4.96515679442509,6.794425087108008,29.17951881554596,False,-0.4955,4.0307,1,2,1,50.0,24.399260628465807,24.399260628465807,10.03484320557491,4.96515679442509,历史1/2次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
52,48.97268589917791,46.6406532373123,000797,中国武夷,bottom_area,2025-11-26,3.44,2025-11-25,3.28,4.878048780487809,12.500000000000005,32.64887063655031,True,-6.7751,13.7786,1,4,1,25.0,21.169916434540383,21.169916434540383,10.12195121951219,4.878048780487809,历史1/4次成功; 当前距低点4.88%; 最新日涨幅-6.78%; 状态bottom_area; 底部已确认
