rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.91748530827488,83.85799726298396,600009,上海机场,bottom_area,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,3,3,3,100.0,21.829065044759854,27.704918032786885,8.66131191432396,1.3386880856760406,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
13,77.04146355538727,73.73892251092688,600995,南网储能,bottom_area,2023-06-29,11.03,2023-06-07,10.74,2.7001862197392845,6.983240223463687,32.7909887359199,False,-1.6057,1.2915,1,1,1,100.0,26.64165103189493,26.64165103189493,7.299813780260717,2.7001862197392845,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
14,76.97691407249083,73.25368936509155,600283,钱江水利,bottom_area,2023-06-29,14.52,2023-06-15,14.18,2.39774330042313,8.321579689703807,27.095115681233935,True,-2.0243,3.5859,1,1,1,100.0,11.131957473420883,11.131957473420883,7.60225669957687,2.39774330042313,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
15,76.8391976621154,72.54923538981355,000703,恒逸石化,bottom_area,2023-06-29,6.68,2023-06-12,6.55,1.9847328244274793,5.954198473282451,27.222222222222225,False,-1.62,0.2088,1,1,1,100.0,11.475409836065575,11.475409836065575,8.015267175572522,1.9847328244274793,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
16,76.76365871178238,70.87634907119148,300601,康泰生物,bottom_area,2023-06-29,24.8,2023-06-26,24.6,0.8130081300812979,4.308943089430889,28.44677137870855,False,-1.077,0.6509,2,2,2,100.0,11.290363482671175,11.580726965342352,9.186991869918701,0.8130081300812979,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
17,76.41084874982364,76.13413093715401,688048,长光华芯,confirmed_rebound,2023-06-29,93.27,2023-06-28,88.99,4.809529160579841,11.866501854140918,28.04237082558422,False,0.5498,6.2024,3,3,3,100.0,19.78417969503248,23.810089020771517,5.190470839420159,4.809529160579841,历史3/3次成功; 当前距低点4.81%; 最新日涨幅0.55%; 状态confirmed_rebound; 底部未确认
18,76.31688114402651,70.27337121917728,002146,荣盛发展,bottom_area,2023-06-29,1.5,2023-06-29,1.49,0.671140939597316,3.35570469798658,28.01932367149758,False,-3.2258,3.2624,2,2,2,100.0,16.524583663758918,19.587628865979376,9.328859060402685,0.671140939597316,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
19,75.21906163970372,72.17321935499741,002481,双塔食品,bottom_area,2023-06-29,4.36,2023-06-26,4.24,2.8301886792452855,5.896226415094339,31.61290322580645,False,-2.0225,0.7122,1,1,1,100.0,19.817470664928287,19.817470664928287,7.169811320754715,2.8301886792452855,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
20,75.03379773428962,73.07329470560273,002378,章源钨业,bottom_area,2023-06-29,5.74,2023-06-27,5.54,3.610108303249101,5.234657039711192,28.79177377892031,False,1.0563,0.6559,1,1,1,100.0,11.743772241992884,11.743772241992884,6.389891696750899,3.610108303249101,历史1/1次成功; 当前距低点3.61%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
21,74.8269575512684,74.20890521034367,002174,游族网络,bottom_area,2023-06-29,17.41,2023-06-28,16.65,4.5645645645645745,9.309309309309315,27.450980392156865,False,0.4037,4.4018,2,2,2,100.0,12.88232482554249,14.303030303030301,5.435435435435426,4.5645645645645745,历史2/2次成功; 当前距低点4.56%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
22,74.38885884068726,74.12692623913554,601388,怡球资源,bottom_area,2023-06-29,2.83,2023-06-26,2.7,4.81481481481481,5.185185185185174,28.571428571428566,False,0.7117,0.3999,2,2,2,100.0,15.509161381254394,18.333333333333325,5.18518518518519,4.81481481481481,历史2/2次成功; 当前距低点4.81%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
23,72.8660084568617,72.6302453567508,000657,中钨高新,bottom_area,2023-06-29,9.55,2023-06-14,9.11,4.8298572996707065,8.12294182217344,27.294493216280923,True,0.9514,0.4876,1,1,1,100.0,15.120000000000006,15.120000000000006,5.170142700329294,4.8298572996707065,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
24,72.73348359587087,71.01814686570596,601086,国芳集团,bottom_area,2023-06-29,4.43,2023-06-26,4.27,3.747072599531619,5.152224824355987,28.83333333333334,False,-0.8949,1.0365,1,1,1,100.0,24.846625766871185,24.846625766871185,6.252927400468381,3.747072599531619,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
25,71.92369454071189,70.97835812539296,001219,青岛食品,bottom_area,2023-06-29,18.17,2023-06-26,17.42,4.305396096440872,6.3145809414466,29.158194387962578,False,0.0,2.9579,3,4,3,75.0,13.170221641280364,16.264559068219636,5.694603903559129,4.305396096440872,历史3/4次成功; 当前距低点4.31%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,71.19110195972418,70.8461692980276,002768,国恩股份,bottom_area,2023-06-29,23.62,2023-06-26,22.55,4.745011086474502,5.365853658536588,28.526148969889064,False,0.3825,0.7723,1,1,1,100.0,13.681691264459511,13.681691264459511,5.254988913525498,4.745011086474502,历史1/1次成功; 当前距低点4.75%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
27,69.41293706582299,68.238933901919,300370,安控科技,bottom_area,2023-06-29,2.79,2023-06-28,2.68,4.104477611940293,6.3432835820895495,28.533333333333328,False,-0.3571,1.675,1,1,1,100.0,14.285714285714285,14.285714285714285,5.895522388059708,4.104477611940293,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
28,68.61993047248802,66.86044507575757,000545,金浦钛业,bottom_area,2023-06-29,2.85,2023-06-26,2.75,3.63636363636364,4.363636363636368,29.30591259640103,False,0.3521,0.4465,2,3,2,66.66666666666666,17.55208333333334,24.6875,6.36363636363636,3.63636363636364,历史2/3次成功; 当前距低点3.64%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
29,68.54458277888622,65.36231258171884,300688,创业黑马,confirmed_rebound,2023-06-29,32.74,2023-06-28,31.94,2.5046963055729514,10.363180964308073,29.55447728275254,False,-0.9679,7.7114,2,3,2,66.66666666666666,28.3137284503145,39.651707970529145,7.49530369442705,2.5046963055729514,历史2/3次成功; 当前距低点2.50%; 最新日涨幅-0.97%; 状态confirmed_rebound; 底部未确认
30,68.31281199839704,66.41764872330789,002414,高德红外,bottom_area,2023-06-29,7.64,2023-06-28,7.38,3.5230352303523005,4.065040650406502,27.859237536656895,False,1.3263,0.3717,2,3,2,66.66666666666666,13.782270870131494,16.372549019607842,6.4769647696477,3.5230352303523005,历史2/3次成功; 当前距低点3.52%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
31,67.63532798327502,67.08348440972458,002084,海鸥住工,bottom_area,2023-06-29,3.89,2023-06-26,3.72,4.569892473118277,5.645161290322579,28.598848368522066,False,-0.5115,0.5513,1,1,1,100.0,13.778705636743219,13.778705636743219,5.430107526881723,4.569892473118277,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
32,67.3744485620042,66.77906891146822,000572,海马汽车,confirmed_rebound,2023-06-29,4.15,2023-05-26,3.97,4.53400503778338,10.579345088161196,32.59762308998301,True,-2.3529,0.9351,1,1,1,100.0,12.723658051689855,12.723658051689855,5.46599496221662,4.53400503778338,历史1/1次成功; 当前距低点4.53%; 最新日涨幅-2.35%; 状态confirmed_rebound; 底部已确认
33,65.75384735709105,61.27434607020816,000792,盐湖股份,bottom_area,2023-06-29,18.74,2023-05-30,18.5,1.297297297297289,7.5675675675675595,29.49695121951219,True,-1.056,0.2453,1,2,1,50.0,24.904214559386965,24.904214559386965,8.70270270270271,1.297297297297289,历史1/2次成功; 当前距低点1.30%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
34,63.35978457729042,61.13663424124513,002554,惠博普,bottom_area,2023-06-29,3.63,2023-06-26,3.52,3.1249999999999964,4.261363636363634,27.27272727272727,False,-0.5479,0.8599,2,4,2,50.0,22.428141081963094,28.404669260700388,6.8750000000000036,3.1249999999999964,历史2/4次成功; 当前距低点3.12%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
35,62.52072765799033,61.40428609266907,600409,三友化工,bottom_area,2023-06-29,5.39,2023-06-14,5.18,4.0540540540540535,6.370656370656372,30.000000000000004,False,-0.1852,0.4258,2,3,2,66.66666666666666,15.81108961960026,18.95551257253386,5.945945945945947,4.0540540540540535,历史2/3次成功; 当前距低点4.05%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
36,57.076322350964304,55.46381646076923,688228,开普云,bottom_area,2023-06-29,52.11,2023-06-29,50.35,3.495531281032767,4.32969215491559,29.7768479776848,False,-0.1533,4.3992,1,2,1,50.0,29.80445043830074,29.80445043830074,6.504468718967233,3.495531281032767,历史1/2次成功; 当前距低点3.50%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
37,56.22106168891761,54.50303135279684,603335,迪生力,bottom_area,2023-06-29,6.44,2023-06-27,6.23,3.370786516853932,4.654895666131607,27.134502923976612,False,0.3115,4.2719,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,6.629213483146068,3.370786516853932,历史1/3次成功; 当前距低点3.37%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
38,54.7022665130497,52.8035693031074,688229,博睿数据,bottom_area,2023-06-29,50.17,2023-06-28,48.64,3.1455592105263177,8.943256578947372,30.514285714285716,False,-1.3954,2.6263,1,2,1,50.0,11.21206614573869,11.21206614573869,6.854440789473683,3.1455592105263177,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
39,54.687944069973334,50.49851362895084,600063,皖维高新,bottom_area,2023-06-29,4.93,2023-06-26,4.89,0.8179959100204507,2.65848670756646,27.876106194690276,False,-1.004,0.4372,1,2,1,50.0,10.126582278481,10.126582278481,9.18200408997955,0.8179959100204507,历史1/2次成功; 当前距低点0.82%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
40,51.67873381568926,50.703663366336635,300499,高澜股份,bottom_area,2023-06-29,17.16,2023-06-28,16.5,4.000000000000001,8.969696969696972,31.592039800995025,False,-0.464,9.5969,1,2,1,50.0,10.396039603960403,10.396039603960403,6.0,4.000000000000001,历史1/2次成功; 当前距低点4.00%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
