rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.38279704352885,79.65314477387079,000690,宝新能源,bottom_area,2024-09-12,3.86,2024-09-11,3.81,1.3123359580052447,2.624671916010501,27.15105162523901,False,0.2597,0.6333,1,1,1,100.0,18.953068592057758,18.953068592057758,13.687664041994754,1.3123359580052447,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
16,77.39717714633191,71.13035773691139,601919,中远海控,bottom_area,2024-09-12,11.81,2024-09-10,11.47,2.9642545771578015,4.097646033129894,29.328404189772023,False,1.8982,0.4749,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,12.035745422842197,2.9642545771578015,历史2/3次成功; 当前距低点2.96%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
17,72.7208481536777,63.85895871342097,300337,银邦股份,bottom_area,2024-09-12,7.66,2024-09-12,7.62,0.5249343832021002,3.8057742782152237,27.290076335877867,False,-1.9206,4.7334,2,3,2,66.66666666666666,25.586787314274673,34.09610983981694,14.475065616797899,0.5249343832021002,历史2/3次成功; 当前距低点0.52%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
18,72.64309450381566,68.50429344171222,002230,科大讯飞,bottom_area,2024-09-12,34.08,2024-08-28,32.66,4.347826086956527,6.705450091855496,28.093350946719518,False,-0.7571,0.6526,1,1,1,100.0,18.69535978480161,18.69535978480161,10.652173913043473,4.347826086956527,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
19,72.60299734170414,64.17636198536492,000037,深南电A,bottom_area,2024-09-12,6.9,2024-09-11,6.84,0.8771929824561476,2.192982456140356,29.338842975206607,False,0.5831,0.9582,4,8,4,50.0,28.58259131916628,45.16765285996055,14.12280701754385,0.8771929824561476,历史4/8次成功; 当前距低点0.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
20,72.48035390208565,63.21579542232363,000058,深赛格,bottom_area,2024-09-12,6.24,2024-09-12,6.23,0.16051364365970766,4.654895666131607,30.46875,False,-5.7402,6.2341,2,3,2,66.66666666666666,27.87688098495213,34.82352941176472,14.839486356340291,0.16051364365970766,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
21,71.8124195031438,63.64444813650651,000966,长源电力,bottom_area,2024-09-12,3.97,2024-09-10,3.93,1.0178117048346065,2.5445292620865163,27.222222222222225,False,0.2525,0.2671,1,2,1,50.0,20.94117647058823,20.94117647058823,13.982188295165393,1.0178117048346065,历史1/2次成功; 当前距低点1.02%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
22,71.53392173213591,62.57598948012446,002600,领益智造,bottom_area,2024-09-12,6.28,2024-09-12,6.26,0.3194888178913812,5.750798722044734,27.124563445867288,False,-3.3846,3.185,3,5,3,60.0,24.163569811380693,38.381201044386415,14.680511182108619,0.3194888178913812,历史3/5次成功; 当前距低点0.32%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
23,71.36502743251054,64.73270819039847,000591,太阳能,bottom_area,2024-09-12,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,0.7426,0.5334,1,2,1,50.0,32.84132841328414,32.84132841328414,12.738693467336676,2.2613065326633244,历史1/2次成功; 当前距低点2.26%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
24,71.16200453156878,62.15471384855174,600183,生益科技,bottom_area,2024-09-12,16.92,2024-08-29,16.88,0.23696682464456578,7.760663507109018,29.519832985386223,True,-1.5134,0.6194,2,4,2,50.0,23.14515165989969,25.158227848101262,14.763033175355433,0.23696682464456578,历史2/4次成功; 当前距低点0.24%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
25,68.54572452582175,59.78201010839979,605218,伟时电子,bottom_area,2024-09-12,18.94,2024-09-12,18.91,0.15864621893178812,6.821787414066627,30.272861356932157,False,-5.5362,11.2407,2,4,2,50.0,28.83722305142083,42.36874236874236,14.84135378106821,0.15864621893178812,历史2/4次成功; 当前距低点0.16%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
26,66.69160515680088,59.31818885314322,000683,博源化工,bottom_area,2024-09-12,5.02,2024-09-10,4.96,1.209677419354831,4.435483870967737,28.837876614060253,False,-0.1988,0.8944,1,2,1,50.0,22.50673854447439,22.50673854447439,13.790322580645167,1.209677419354831,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
27,64.80049226910121,58.600675714295214,300401,花园生物,bottom_area,2024-09-12,12.16,2024-09-10,11.91,2.0990764063811924,5.289672544080596,30.023501762632193,False,-0.491,3.5529,1,2,1,50.0,29.551451187335093,29.551451187335093,12.900923593618806,2.0990764063811924,历史1/2次成功; 当前距低点2.10%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
28,64.53498530514833,56.991935074676434,000899,赣能股份,bottom_area,2024-09-12,7.31,2024-09-10,7.25,0.8275862068965464,2.758620689655175,27.427427427427432,False,0.2743,0.7893,2,6,2,33.33333333333333,25.459668242296914,27.473958333333325,14.172413793103452,0.8275862068965464,历史2/6次成功; 当前距低点0.83%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
29,64.1184782527492,56.46207028448481,000922,佳电股份,bottom_area,2024-09-12,8.96,2024-09-11,8.9,0.674157303370792,2.471910112359538,29.08366533864542,False,-0.1115,0.7098,1,2,1,50.0,40.42553191489362,40.42553191489362,14.325842696629207,0.674157303370792,历史1/2次成功; 当前距低点0.67%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
30,63.55812046445973,59.002533038915836,600262,北方股份,bottom_area,2024-09-12,15.95,2024-08-29,15.41,3.5042180402336087,7.722258273848159,31.48065807025344,True,0.3776,2.2819,1,2,1,50.0,17.269624573378834,17.269624573378834,11.49578195976639,3.5042180402336087,历史1/2次成功; 当前距低点3.50%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
31,63.51381980819981,59.38363001265194,603132,金徽股份,bottom_area,2024-09-12,10.69,2024-09-10,10.29,3.8872691933916457,6.122448979591845,31.354236157438297,False,0.0,1.1972,1,2,1,50.0,33.20754716981132,33.20754716981132,11.112730806608354,3.8872691933916457,历史1/2次成功; 当前距低点3.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
32,61.13015995496586,57.4933337969187,002682,龙洲股份,bottom_area,2024-09-12,3.47,2024-08-28,3.33,4.204204204204208,6.606606606606599,30.76923076923076,False,1.1662,2.1101,1,2,1,50.0,26.929674099485425,26.929674099485425,10.795795795795792,4.204204204204208,历史1/2次成功; 当前距低点4.20%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
33,60.68284430128946,52.940725906104724,603060,国检集团,bottom_area,2024-09-12,5.72,2024-09-12,5.71,0.17513134851137982,2.2767075306479843,27.168367346938776,False,-1.209,0.7724,1,4,1,25.0,36.2098138747885,36.2098138747885,14.824868651488622,0.17513134851137982,历史1/4次成功; 当前距低点0.18%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
34,60.07037078605067,54.810782369573595,301509,金凯生科,bottom_area,2024-09-12,25.86,2024-08-28,25.21,2.57834192780642,6.902023006743349,29.6792189679219,False,-1.2223,2.0888,1,2,1,50.0,15.05054819877544,15.05054819877544,12.42165807219358,2.57834192780642,历史1/2次成功; 当前距低点2.58%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
35,60.043796837453655,52.31701410121876,300573,兴齐眼药,bottom_area,2024-09-12,74.51,2024-09-12,74.43,0.10748354158269285,4.285906220609966,30.03384094754652,False,-2.3204,3.1765,1,5,1,20.0,42.86062675283501,42.86062675283501,14.892516458417306,0.10748354158269285,历史1/5次成功; 当前距低点0.11%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
36,59.265985811753936,54.551089627964224,300653,正海生物,bottom_area,2024-09-12,18.94,2024-08-28,18.38,3.04678998911862,7.83460282916214,27.466456195737965,True,-0.9932,0.6247,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,11.95321001088138,3.04678998911862,历史1/3次成功; 当前距低点3.05%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
37,57.895280101193755,54.04905454394554,301591,肯特股份,bottom_area,2024-09-12,29.18,2024-08-28,28.11,3.806474564212025,9.605122732123798,27.644787644787648,True,-1.3523,4.5387,1,2,1,50.0,16.816218012628774,16.816218012628774,11.193525435787974,3.806474564212025,历史1/2次成功; 当前距低点3.81%; 最新日涨幅-1.35%; 状态bottom_area; 底部已确认
38,53.47599823409172,50.53289406538306,002732,燕塘乳业,bottom_area,2024-09-12,13.59,2024-08-23,13.01,4.458109146810147,7.455803228285938,29.599567099567103,True,-0.8753,0.3013,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,10.541890853189853,4.458109146810147,历史1/3次成功; 当前距低点4.46%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
