rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.19875289575289,77.11107142857144,600429,三元股份,bottom_area,2025-01-09,4.07,2025-01-06,3.99,2.0050125313283225,6.265664160401002,31.79487179487179,False,-1.9277,0.6863,1,1,1,100.0,36.25000000000001,36.25000000000001,17.994987468671678,2.0050125313283225,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
25,68.79408116183272,62.50341488912117,688277,天智航,bottom_area,2025-01-09,9.3,2025-01-06,8.88,4.729729729729729,7.319819819819803,32.67626990144048,True,-0.641,0.4993,2,3,2,66.66666666666666,20.809311861496127,21.148825065274142,15.270270270270272,4.729729729729729,历史2/3次成功; 当前距低点4.73%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
26,68.26614023144997,61.54846153846154,000420,吉林化纤,bottom_area,2025-01-09,3.39,2025-01-08,3.25,4.307692307692312,5.230769230769228,30.257510729613735,False,0.8929,1.4933,1,2,1,50.0,53.9249146757679,53.9249146757679,15.692307692307688,4.307692307692312,历史1/2次成功; 当前距低点4.31%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
27,67.47228825198148,59.90456745235386,300363,博腾股份,bottom_area,2025-01-09,15.23,2025-01-08,14.72,3.464673913043477,5.095108695652174,29.93812470252261,False,-0.4575,1.1592,2,5,2,40.0,41.63453749512357,46.29503738953092,16.535326086956527,3.464673913043477,历史2/5次成功; 当前距低点3.46%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
28,67.39114412111451,58.67558882235529,688121,卓然股份,bottom_area,2025-01-09,10.26,2025-01-08,10.02,2.3952095808383254,3.4930139720558846,27.809798270893378,False,0.0976,0.8576,1,6,1,16.666666666666664,55.206611570247944,55.206611570247944,17.604790419161674,2.3952095808383254,历史1/6次成功; 当前距低点2.40%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
29,67.21694003124858,60.77040309257913,605168,三人行,bottom_area,2025-01-09,30.92,2025-01-08,29.6,4.4594594594594605,6.520270270270269,29.52380952380952,False,0.1295,2.3571,1,2,1,50.0,47.67726161369193,47.67726161369193,15.54054054054054,4.4594594594594605,历史1/2次成功; 当前距低点4.46%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
30,66.95503382591814,59.70173322776762,300562,乐心医疗,bottom_area,2025-01-09,12.33,2025-01-08,11.89,3.7005887300252267,10.008410428931871,27.411477411477403,False,-0.4039,9.332,2,4,2,50.0,21.769223291533006,22.71604938271605,16.299411269974772,3.7005887300252267,历史2/4次成功; 当前距低点3.70%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
31,66.777506417107,57.74281298672953,600158,中体产业,bottom_area,2025-01-09,7.58,2025-01-08,7.43,2.0188425302826425,4.037685060565285,31.772268135904508,False,-0.2632,1.5202,1,2,1,50.0,23.955773955773946,23.955773955773946,17.981157469717356,2.0188425302826425,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
32,66.00535987951595,59.40546403665097,605186,健麾信息,bottom_area,2025-01-09,18.56,2025-01-06,17.81,4.211117349803482,5.109489051094892,31.42087023488641,False,0.3786,0.985,1,2,1,50.0,37.29468599033817,37.29468599033817,15.78888265019652,4.211117349803482,历史1/2次成功; 当前距低点4.21%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
33,65.45924313965344,57.84889908256883,000718,苏宁环球,bottom_area,2025-01-09,2.25,2025-01-08,2.18,3.2110091743119193,4.1284403669724705,28.75816993464052,False,0.0,1.1322,1,3,1,33.33333333333333,36.111111111111114,36.111111111111114,16.78899082568808,3.2110091743119193,历史1/3次成功; 当前距低点3.21%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,64.54499271687267,57.50051875050186,002153,石基信息,bottom_area,2025-01-09,6.53,2025-01-08,6.3,3.650793650793658,5.396825396825395,27.33564013840831,False,0.3072,0.7021,1,3,1,33.33333333333333,39.629005059021914,39.629005059021914,16.349206349206344,3.650793650793658,历史1/3次成功; 当前距低点3.65%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
35,64.380094441366,56.26798494954623,688225,亚信安全,bottom_area,2025-01-09,16.55,2025-01-06,16.13,2.6038437693738485,7.5635461872287815,31.068376068376068,False,0.6079,0.784,1,4,1,25.0,21.557788944723633,21.557788944723633,17.396156230626154,2.6038437693738485,历史1/4次成功; 当前距低点2.60%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
36,64.11036345420854,57.91937512846867,000503,国新健康,bottom_area,2025-01-09,10.16,2025-01-08,9.73,4.4193216855087325,5.858170606372048,32.89655172413793,False,1.1952,1.6691,1,2,1,50.0,31.85714285714286,31.85714285714286,15.58067831449127,4.4193216855087325,历史1/2次成功; 当前距低点4.42%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
37,63.763290946066164,55.798065271606355,300682,朗新科技,bottom_area,2025-01-09,10.76,2025-01-08,10.48,2.6717557251908333,5.248091603053425,27.17164697706741,False,-0.738,0.914,1,2,1,50.0,21.503593145384194,21.503593145384194,17.32824427480917,2.6717557251908333,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
38,63.62770568828254,54.761549977620206,600322,津投城开,bottom_area,2025-01-09,2.31,2025-01-09,2.27,1.7621145374449354,3.9647577092510953,31.00303951367781,False,-3.3473,6.0475,1,4,1,25.0,35.828877005347586,35.828877005347586,18.237885462555063,1.7621145374449354,历史1/4次成功; 当前距低点1.76%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
39,62.28236668378997,55.89783933766229,000062,深圳华强,bottom_area,2025-01-09,21.03,2025-01-08,20.21,4.057397328055419,5.78921326076199,27.35442127965492,False,0.4778,1.1868,1,4,1,25.0,37.385512073272274,37.385512073272274,15.942602671944584,4.057397328055419,历史1/4次成功; 当前距低点4.06%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
40,61.01917414072213,54.834684521930356,603026,石大胜华,bottom_area,2025-01-09,32.54,2025-01-08,31.25,4.127999999999997,4.959999999999991,27.05415499533147,False,1.7511,1.072,1,3,1,33.33333333333333,31.14618918600542,31.14618918600542,15.872000000000005,4.127999999999997,历史1/3次成功; 当前距低点4.13%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
41,60.732674653843404,55.257608825283235,002210,飞马国际,bottom_area,2025-01-09,2.18,2025-01-06,2.08,4.807692307692312,7.692307692307699,31.57894736842105,True,0.0,3.1245,1,3,1,33.33333333333333,32.558139534883715,32.558139534883715,15.192307692307688,4.807692307692312,历史1/3次成功; 当前距低点4.81%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
42,60.58546977461584,55.254988528351355,300451,创业慧康,bottom_area,2025-01-09,4.25,2025-01-08,4.05,4.938271604938276,6.913580246913586,31.58783783783784,False,0.9501,2.5939,1,2,1,50.0,23.89380530973452,23.89380530973452,15.061728395061724,4.938271604938276,历史1/2次成功; 当前距低点4.94%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
43,60.56870832201741,54.51962600781678,002183,怡亚通,bottom_area,2025-01-09,4.2,2025-01-06,4.03,4.21836228287841,5.459057071960291,27.90697674418604,False,0.0,1.002,1,4,1,25.0,31.948881789137378,31.948881789137378,15.78163771712159,4.21836228287841,历史1/4次成功; 当前距低点4.22%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
44,59.33521631661101,51.94992937524254,000014,沙河股份,bottom_area,2025-01-09,10.27,2025-01-06,10.0,2.6999999999999957,4.299999999999997,27.953890489913547,False,-0.677,1.3032,1,3,1,33.33333333333333,20.605355064027936,20.605355064027936,17.300000000000004,2.6999999999999957,历史1/3次成功; 当前距低点2.70%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
45,59.25776258550708,52.30067098803539,603335,迪生力,bottom_area,2025-01-09,4.27,2025-01-07,4.14,3.140096618357486,14.49275362318842,32.901134521880074,True,-0.9281,2.8792,1,4,1,25.0,20.081135902636923,20.081135902636923,16.859903381642518,3.140096618357486,历史1/4次成功; 当前距低点3.14%; 最新日涨幅-0.93%; 状态bottom_area; 底部已确认
46,58.941785595783664,53.66087416957181,002617,露笑科技,bottom_area,2025-01-09,6.93,2025-01-08,6.61,4.841149773071095,7.11043872919818,28.9247311827957,True,0.1445,6.6222,1,5,1,20.0,36.60589060308556,36.60589060308556,15.158850226928905,4.841149773071095,历史1/5次成功; 当前距低点4.84%; 最新日涨幅0.14%; 状态bottom_area; 底部已确认
47,57.85751053594324,49.88393644307395,688202,美迪西,bottom_area,2025-01-09,27.94,2025-01-08,27.43,1.8592781625957038,4.775792927451691,32.76960784313725,False,-0.6048,1.1709,1,7,1,14.285714285714285,23.795418261555337,23.795418261555337,18.140721837404296,1.8592781625957038,历史1/7次成功; 当前距低点1.86%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
48,57.48680789937225,51.38575238703071,601858,中国科传,bottom_area,2025-01-09,19.22,2025-01-06,18.51,3.8357644516477434,4.592112371690966,27.6387802971071,False,0.1563,0.6448,1,5,1,20.0,21.243523316062173,21.243523316062173,16.164235548352256,3.8357644516477434,历史1/5次成功; 当前距低点3.84%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
49,56.98393626339577,51.69470925470928,688310,迈得医疗,bottom_area,2025-01-09,10.36,2025-01-06,9.9,4.646464646464636,6.3636363636363535,27.631578947368418,False,-0.0964,0.8204,1,2,1,50.0,23.648648648648653,23.648648648648653,15.353535353535364,4.646464646464636,历史1/2次成功; 当前距低点4.65%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
50,56.85475162573902,50.62106579430108,002314,南山控股,bottom_area,2025-01-09,2.29,2025-01-06,2.21,3.6199095022624466,4.977375565610854,28.938906752411576,False,-0.4348,1.148,1,4,1,25.0,26.12612612612611,26.12612612612611,16.380090497737555,3.6199095022624466,历史1/4次成功; 当前距低点3.62%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
51,56.66012326034464,51.551824624194694,002605,姚记科技,bottom_area,2025-01-09,25.29,2025-01-08,24.13,4.807293825113967,6.423539162867803,32.4468085106383,False,0.8775,2.7186,1,4,1,25.0,23.2121212121212,23.2121212121212,15.192706174886034,4.807293825113967,历史1/4次成功; 当前距低点4.81%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
52,56.64765377531035,50.16829139512625,601798,蓝科高新,bottom_area,2025-01-09,5.9,2025-01-07,5.71,3.3274956217162943,8.931698774080557,31.780167264038226,True,-1.1725,2.727,1,5,1,20.0,21.74721189591078,21.74721189591078,16.672504378283705,3.3274956217162943,历史1/5次成功; 当前距低点3.33%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
53,54.87982325428399,49.648891036410134,001219,青岛食品,bottom_area,2025-01-09,13.25,2025-01-06,12.68,4.495268138801264,6.0725552050473155,27.749287749287753,False,0.3788,1.4818,1,6,1,16.666666666666664,27.212020033388985,27.212020033388985,15.504731861198737,4.495268138801264,历史1/6次成功; 当前距低点4.50%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
54,54.73439252050565,49.661847922192734,002350,北京科锐,bottom_area,2025-01-09,6.07,2025-01-07,5.8,4.655172413793111,10.000000000000002,28.571428571428566,True,-0.3284,4.1018,1,3,1,33.33333333333333,23.07692307692308,23.07692307692308,15.344827586206888,4.655172413793111,历史1/3次成功; 当前距低点4.66%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
55,53.56897069867775,48.61289302534203,002798,帝欧水华,bottom_area,2025-01-09,3.59,2025-01-07,3.43,4.664723032069961,7.5801749271136964,28.838174273858925,True,-0.554,3.8056,1,5,1,20.0,29.776674937965264,29.776674937965264,15.335276967930039,4.664723032069961,历史1/5次成功; 当前距低点4.66%; 最新日涨幅-0.55%; 状态bottom_area; 底部已确认
56,53.12541296056446,47.83950607902738,688238,和元生物,bottom_area,2025-01-09,4.67,2025-01-06,4.48,4.241071428571417,9.151785714285698,31.914893617021274,True,-1.2685,1.0227,1,5,1,20.0,20.425531914893615,20.425531914893615,15.758928571428585,4.241071428571417,历史1/5次成功; 当前距低点4.24%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
