rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.57582249815385,85.36157669138326,688188,柏楚电子,bottom_area,2025-06-13,139.5,2025-06-11,136.66,2.078150153666035,2.2976730572223145,31.8675840063815,False,0.9407,0.4896,3,3,3,100.0,25.69762925667648,34.07281509974057,5.9218498463339655,2.078150153666035,历史3/3次成功; 当前距低点2.08%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
12,81.81524946852916,80.68686132378484,688318,财富趋势,confirmed_rebound,2025-06-13,99.88,2025-06-06,96.71,3.2778409678420037,8.458277323958233,30.906622847753095,True,-0.6466,1.7396,7,7,7,100.0,22.098595325078524,36.949152542372886,4.722159032157997,3.2778409678420037,历史7/7次成功; 当前距低点3.28%; 最新日涨幅-0.65%; 状态confirmed_rebound; 底部已确认
13,81.78270945911171,75.72473098065899,603192,汇得科技,bottom_area,2025-06-13,20.16,2025-06-13,20.16,0.0,4.662698412698419,32.777592530843606,False,-5.4409,5.1851,4,4,4,100.0,16.530811723972995,25.562817719680464,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
14,81.39053965413835,76.33897304290419,002136,安纳达,bottom_area,2025-06-13,10.53,2025-06-13,10.46,0.6692160611854541,2.963671128107062,30.0334448160535,False,-1.8639,4.5696,3,3,3,100.0,22.230030443048534,42.29299363057326,7.330783938814546,0.6692160611854541,历史3/3次成功; 当前距低点0.67%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
15,80.70605644380413,74.80608695652172,605005,合兴股份,bottom_area,2025-06-13,18.41,2025-06-13,18.4,0.05434782608696502,3.315217391304364,30.85306275836152,False,-3.6126,1.9787,1,1,1,100.0,96.96521095484826,96.96521095484826,7.945652173913036,0.05434782608696502,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
16,80.29850826706873,74.39536485608488,002304,洋河股份,bottom_area,2025-06-13,63.83,2025-06-13,63.81,0.0313430496787275,2.9932612443190667,32.83157894736842,False,-2.9939,0.8249,2,2,2,100.0,20.62810220081931,20.781426953567394,7.968656950321272,0.0313430496787275,历史2/2次成功; 当前距低点0.03%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
17,79.62886571179442,73.97977044092536,688152,麒麟信安,bottom_area,2025-06-13,40.0,2025-06-13,39.93,0.17530678687703552,4.182319058352121,32.09183673469387,False,-3.4283,3.6191,3,3,3,100.0,13.706827500026916,21.006836544437533,7.8246932131229645,0.17530678687703552,历史3/3次成功; 当前距低点0.18%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
18,79.34132715995095,77.5640674580274,688682,霍莱沃,bottom_area,2025-06-13,28.42,2025-06-13,27.64,2.821997105643998,4.522431259044862,32.25490196078431,False,1.1748,2.3117,1,1,1,100.0,26.22699386503069,26.22699386503069,5.178002894356002,2.821997105643998,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
19,79.1643778032359,73.9251028403526,001230,劲旅环境,bottom_area,2025-06-13,20.51,2025-06-13,20.42,0.44074436826640473,3.91772771792359,27.356812522234076,False,-3.1176,8.152,1,1,1,100.0,84.69119579500656,84.69119579500656,7.5592556317335955,0.44074436826640473,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
20,78.03800103216324,72.94835820402655,002909,集泰股份,bottom_area,2025-06-13,6.1,2025-06-13,6.07,0.49423393739702404,2.6359143327841865,27.479091995221015,False,-2.2436,5.7915,1,1,1,100.0,35.18930957683742,35.18930957683742,7.505766062602976,0.49423393739702404,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
21,77.69270246846756,72.28456801127822,688179,阿拉丁,bottom_area,2025-06-13,12.04,2025-06-13,12.01,0.24979184013321698,3.6636136552872567,31.214203894616272,False,-2.8249,1.8362,2,2,2,100.0,11.957491434311619,12.021924482338617,7.750208159866784,0.24979184013321698,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
22,77.53140692175172,71.94816307869026,605377,华旺科技,bottom_area,2025-06-13,8.67,2025-06-13,8.66,0.11547344110854256,1.6166281755196372,28.311258278145697,False,-1.2528,0.8131,1,1,1,100.0,25.16904583020285,25.16904583020285,7.884526558891459,0.11547344110854256,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
23,76.977332597123,71.8072132435849,600770,综艺股份,bottom_area,2025-06-13,5.2,2025-06-13,5.18,0.38610038610039504,3.281853281853281,31.390728476821195,False,-2.8037,3.9841,1,1,1,100.0,27.72861356932153,27.72861356932153,7.613899613899605,0.38610038610039504,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
24,75.8816606630757,70.98156263117326,688448,磁谷科技,bottom_area,2025-06-13,28.45,2025-06-13,28.3,0.5300353356890409,2.65017667844523,28.154353896928153,False,-1.9304,3.1111,1,1,1,100.0,25.053995680345576,25.053995680345576,7.469964664310959,0.5300353356890409,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
25,75.7525741873449,70.43910003334749,688135,利扬芯片,bottom_area,2025-06-13,18.22,2025-06-13,18.18,0.22002200220021534,4.6204620462046195,29.725550831078472,False,-4.1053,3.0667,4,5,4,80.0,21.885753754645094,40.41850220264317,7.779977997799785,0.22002200220021534,历史4/5次成功; 当前距低点0.22%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
26,74.75212993021576,69.42483636430197,000695,滨海能源,bottom_area,2025-06-13,12.74,2025-06-13,12.72,0.15723270440251236,5.18867924528302,29.136490250696372,False,-5.3492,11.9061,4,5,4,80.0,15.663048012579045,21.910112359550556,7.842767295597487,0.15723270440251236,历史4/5次成功; 当前距低点0.16%; 最新日涨幅-5.35%; 状态bottom_area; 底部未确认
27,74.68616471476696,69.68596638655463,300817,双飞集团,bottom_area,2025-06-13,22.7,2025-06-13,22.61,0.39805395842547486,2.874834144183999,28.539823008849563,False,-2.4495,3.1277,1,1,1,100.0,16.470588235294116,16.470588235294116,7.601946041574525,0.39805395842547486,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
28,74.54664895421142,69.02467495760317,000999,华润三九,bottom_area,2025-06-13,31.65,2025-06-13,31.65,0.0,2.1484992101105838,27.207911683532654,False,-1.5858,0.6894,1,1,1,100.0,20.293951384963254,20.293951384963254,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
29,74.11675417285588,74.93035049019086,001223,欧克科技,confirmed_rebound,2025-06-13,38.46,2025-05-26,36.78,4.567699836867862,10.250135943447516,31.661092530657747,True,-1.8627,3.0932,3,3,3,100.0,23.627452248653626,30.11687144141446,3.4323001631321377,4.567699836867862,历史3/3次成功; 当前距低点4.57%; 最新日涨幅-1.86%; 状态confirmed_rebound; 底部已确认
30,73.66507828227677,69.4742743712896,002811,郑中设计,bottom_area,2025-06-13,10.57,2025-06-10,10.47,0.9551098376313242,6.781279847182417,29.01694915254237,False,-3.1164,5.8024,2,2,2,100.0,15.709273124134537,16.78832116788322,7.044890162368676,0.9551098376313242,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
31,72.4191827428833,72.99491730188407,000096,广聚能源,bottom_area,2025-06-13,14.2,2025-06-10,13.6,4.411764705882351,4.632352941176476,29.166666666666668,False,3.4985,5.1218,1,1,1,100.0,21.149144254278735,21.149144254278735,3.58823529411765,4.411764705882351,历史1/1次成功; 当前距低点4.41%; 最新日涨幅3.50%; 状态bottom_area; 底部未确认
32,70.06310355043229,65.51274066131586,300530,领湃科技,confirmed_rebound,2025-06-13,39.46,2025-06-13,39.26,0.5094243504839604,8.380030565461027,27.2962962962963,False,-10.0934,11.8665,6,8,6,75.0,19.995850432361813,34.07510431154381,7.490575649516041,0.5094243504839604,历史6/8次成功; 当前距低点0.51%; 最新日涨幅-10.09%; 状态confirmed_rebound; 底部未确认
33,61.51920216185449,61.37465971590748,300492,华图山鼎,bottom_area,2025-06-13,65.9,2025-06-11,63.44,3.8776796973518413,5.42244640605296,29.72972972972973,False,-0.0152,0.6204,2,3,2,66.66666666666666,13.489799780661322,14.94511680270195,4.122320302648159,3.8776796973518413,历史2/3次成功; 当前距低点3.88%; 最新日涨幅-0.02%; 状态bottom_area; 底部未确认
