rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.95753999230278,78.75341136319402,601238,广汽集团,bottom_area,2026-05-21,6.34,8.67,2026-05-20,6.32,0.3164556962025249,2.531645569620255,27.104959630911186,26.874279123414073,False,0.0,0.3296,2,2,2,100.0,25.08027070180526,26.42487046632124,19.683544303797476,0.3164556962025249,历史2/2次成功; 当前距低点0.32%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,83.20838697941107,70.3008054638736,002773,康弘药业,bottom_area,2026-05-21,21.47,30.6,2026-05-20,21.31,0.750821210699203,4.270295635851714,30.359477124183016,29.836601307189547,False,-0.8772,1.5441,1,1,1,100.0,24.10041841004185,24.10041841004185,19.249178789300796,0.750821210699203,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
13,81.8526131779471,68.21051098162259,688819,天能股份,bottom_area,2026-05-21,25.78,36.54,2026-05-21,25.78,0.0,5.081458494957326,29.447181171319098,29.447181171319098,False,-3.7701,0.5427,1,1,1,100.0,26.131779471089207,26.131779471089207,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
14,80.80612095386502,68.13065100031756,600507,方大特钢,bottom_area,2026-05-21,4.73,6.5,2026-05-21,4.7,0.6382978723404308,7.446808510638291,27.69230769230769,27.230769230769226,False,-3.0738,2.035,1,1,1,100.0,21.2686567164179,21.2686567164179,19.36170212765957,0.6382978723404308,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
15,77.59422270554589,66.07432392089274,601567,三星电气,bottom_area,2026-05-21,18.01,26.41,2026-05-15,17.8,1.179775280898881,8.370786516853922,32.601287391139714,31.806134040136307,True,-3.6383,1.3635,2,4,2,50.0,26.151675060979485,31.09512390087929,18.82022471910112,1.179775280898881,历史2/4次成功; 当前距低点1.18%; 最新日涨幅-3.64%; 状态bottom_area; 底部已确认
16,75.10320735597676,63.94314948906321,300651,金陵体育,bottom_area,2026-05-21,25.05,35.7,2026-05-21,24.76,1.1712439418416767,8.44103392568659,30.644257703081234,29.831932773109248,False,-5.9685,13.2506,3,6,3,50.0,23.782718690657177,25.720461095100855,18.828756058158326,1.1712439418416767,历史3/6次成功; 当前距低点1.17%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
17,74.52696367872987,62.66956262471178,002083,孚日股份,bottom_area,2026-05-21,10.19,14.53,2026-05-20,10.14,0.4930966469427902,6.0157790927021635,30.213351686166547,29.869236063317274,False,-3.3207,2.8155,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,19.50690335305721,0.4930966469427902,历史2/3次成功; 当前距低点0.49%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
18,74.23060506072015,63.400403506777295,002309,中利集团,bottom_area,2026-05-21,3.77,5.34,2026-05-21,3.72,1.3440860215053716,8.870967741935473,30.33707865168539,29.40074906367041,False,-5.985,12.1153,4,9,4,44.44444444444444,35.0204759392389,55.97014925373133,18.655913978494628,1.3440860215053716,历史4/9次成功; 当前距低点1.34%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
19,72.95330915306997,61.07718905838415,000723,美锦能源,bottom_area,2026-05-21,3.96,5.67,2026-05-21,3.95,0.2531645569620199,2.784810126582264,30.335097001763668,30.158730158730158,False,-1.737,1.1107,2,4,2,50.0,26.74410886159975,30.434782608695667,19.74683544303798,0.2531645569620199,历史2/4次成功; 当前距低点0.25%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
20,72.06691258764235,63.810172993753,688336,三生国健,bottom_area,2026-05-21,64.5,91.44,2026-05-20,62.43,3.315713599231139,6.823642479577123,31.7257217847769,29.461942257217842,False,1.6068,0.9826,1,2,1,50.0,51.08359133126935,51.08359133126935,16.684286400768862,3.315713599231139,历史1/2次成功; 当前距低点3.32%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
21,70.38444888523024,61.70549873725535,605116,奥锐特,bottom_area,2026-05-21,21.5,28.8,2026-05-20,20.92,2.7724665391969325,5.162523900573605,27.361111111111107,25.347222222222225,False,1.5588,1.2239,1,2,1,50.0,32.02538949798039,32.02538949798039,17.22753346080307,2.7724665391969325,历史1/2次成功; 当前距低点2.77%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
22,70.20334513225968,59.499248426203344,688159,有方科技,bottom_area,2026-05-21,53.64,73.58,2026-05-21,53.15,0.9219190968955824,14.299153339604894,27.76569720032618,27.099755368306607,False,-10.7933,12.9293,3,6,3,50.0,36.67324713508211,61.150808574652125,19.078080903104418,0.9219190968955824,历史3/6次成功; 当前距低点0.92%; 最新日涨幅-10.79%; 状态bottom_area; 底部未确认
23,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-21,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,67.90142337957023,56.840558032671936,300072,海新能科,bottom_area,2026-05-21,4.07,5.92,2026-05-21,4.06,0.24630541871922848,6.896551724137938,31.418918918918926,31.249999999999993,False,-5.787,1.9279,1,2,1,50.0,47.4308300395257,47.4308300395257,19.753694581280772,0.24630541871922848,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
25,67.83877751308071,59.157063288040156,002379,宏桥控股,bottom_area,2026-05-21,20.66,29.92,2026-05-20,20.16,2.4801587301587302,7.4900793650793736,32.62032085561498,30.949197860962567,True,-0.5296,2.5609,1,2,1,50.0,28.020565552699235,28.020565552699235,17.519841269841272,2.4801587301587302,历史1/2次成功; 当前距低点2.48%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
26,67.20241390169043,56.17959075090868,002676,顺威股份,bottom_area,2026-05-21,5.8,8.23,2026-05-21,5.79,0.17271157167529858,4.4905008635578545,29.647630619684083,29.52612393681653,False,-3.6545,2.1294,2,5,2,40.0,31.308457711442777,39.33333333333333,19.827288428324703,0.17271157167529858,历史2/5次成功; 当前距低点0.17%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
27,67.09731572457821,56.09390415842329,603313,梦百合,bottom_area,2026-05-21,5.73,8.27,2026-05-21,5.72,0.17482517482518664,4.370629370629371,30.83434099153567,30.713422007255133,False,-3.0457,1.4209,2,5,2,40.0,30.87368579045548,36.22250970245794,19.825174825174816,0.17482517482518664,历史2/5次成功; 当前距低点0.17%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
28,66.18360107258785,55.153000893823204,603113,金能科技,bottom_area,2026-05-21,5.18,7.5,2026-05-21,5.18,0.0,3.0888030888030915,30.933333333333334,30.933333333333334,False,-2.4482,1.231,2,5,2,40.0,25.71505856894199,31.03448275862069,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
29,64.53173171823289,55.14538703870389,301316,慧博云通,confirmed_rebound,2026-05-21,45.05,61.47,2026-05-21,44.44,1.3726372637263715,27.340234023402353,27.70457133561087,26.712217341792748,False,-18.5647,14.2898,1,4,1,25.0,43.333333333333336,43.333333333333336,18.62736273627363,1.3726372637263715,历史1/4次成功; 当前距低点1.37%; 最新日涨幅-18.56%; 状态confirmed_rebound; 底部未确认
30,62.64698582003399,55.7113178560513,000978,桂林旅游,bottom_area,2026-05-21,6.41,8.66,2026-05-18,6.19,3.5541195476575074,6.623586429725351,28.52193995381062,25.981524249422634,False,-0.9274,2.8875,1,2,1,50.0,31.85328185328186,31.85328185328186,16.445880452342493,3.5541195476575074,历史1/2次成功; 当前距低点3.55%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
31,62.57082503531786,52.40703619709364,603036,如通股份,bottom_area,2026-05-21,14.52,19.88,2026-05-21,14.48,0.276243093922646,5.45580110497237,27.162977867203214,26.961770623742453,False,-3.1354,2.4419,1,3,1,33.33333333333333,43.40611353711793,43.40611353711793,19.723756906077355,0.276243093922646,历史1/3次成功; 当前距低点0.28%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
32,61.024983178692324,51.033618699323505,301076,新瀚新材,bottom_area,2026-05-21,31.28,45.03,2026-05-21,31.22,0.19218449711723984,5.509288917360663,30.66844326004886,30.53519875638463,False,-1.7588,5.5496,1,3,1,33.33333333333333,24.776699029126224,24.776699029126224,19.80781550288276,0.19218449711723984,历史1/3次成功; 当前距低点0.19%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
33,60.60826316753299,50.968327622198615,000889,中嘉博创,bottom_area,2026-05-21,4.05,5.85,2026-05-21,4.03,0.49627791563274376,11.414392059553348,31.1111111111111,30.769230769230766,False,-8.9888,13.1862,2,7,2,28.57142857142857,32.019115890083626,34.408602150537625,19.503722084367258,0.49627791563274376,历史2/7次成功; 当前距低点0.50%; 最新日涨幅-8.99%; 状态bottom_area; 底部未确认
34,59.42987897521658,52.234465113360365,300390,天华新能,bottom_area,2026-05-21,88.71,119.06,2026-05-20,86.2,2.91183294663572,9.860788863109049,27.59952964891651,25.49134889971444,True,-4.0454,8.3225,1,4,1,25.0,27.142173288654863,27.142173288654863,17.08816705336428,2.91183294663572,历史1/4次成功; 当前距低点2.91%; 最新日涨幅-4.05%; 状态bottom_area; 底部已确认
35,59.327999999999996,49.44,002320,海峡股份,bottom_area,2026-05-21,7.93,11.0,2026-05-21,7.93,0.0,4.035308953341744,27.90909090909091,27.90909090909091,False,-2.2195,1.033,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
36,58.71095890410959,48.92579908675799,002092,中泰化学,bottom_area,2026-05-21,5.04,7.1,2026-05-21,5.04,0.0,5.753968253968254,29.01408450704225,29.01408450704225,False,-5.618,3.0457,1,3,1,33.33333333333333,33.56164383561644,33.56164383561644,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
37,58.331227984145414,49.30197702027835,002828,贝肯能源,bottom_area,2026-05-21,10.44,15.17,2026-05-21,10.36,0.7722007722007729,6.274131274131278,31.70731707317074,31.179960448253137,False,-6.4516,6.985,1,3,1,33.33333333333333,32.79172821270311,32.79172821270311,19.227799227799228,0.7722007722007729,历史1/3次成功; 当前距低点0.77%; 最新日涨幅-6.45%; 状态bottom_area; 底部未确认
38,58.16884961029211,49.22738191094233,002738,中矿资源,bottom_area,2026-05-21,65.89,94.6,2026-05-20,65.34,0.8417508417508374,8.29507193143557,30.930232558139526,30.34883720930232,True,-4.2575,4.5505,1,3,1,33.33333333333333,24.04968009032744,24.04968009032744,19.158249158249163,0.8417508417508374,历史1/3次成功; 当前距低点0.84%; 最新日涨幅-4.26%; 状态bottom_area; 底部已确认
39,57.87106071498714,48.33421244114711,000925,众合科技,bottom_area,2026-05-21,8.18,11.84,2026-05-21,8.17,0.12239902080783092,6.119951040391677,30.99662162162162,30.912162162162165,False,-4.8837,10.0211,1,4,1,25.0,21.01226993865031,21.01226993865031,19.87760097919217,0.12239902080783092,历史1/4次成功; 当前距低点0.12%; 最新日涨幅-4.88%; 状态bottom_area; 底部未确认
40,56.132746502389985,47.2093208059563,000546,金圆股份,bottom_area,2026-05-21,6.01,8.27,2026-05-20,5.98,0.5016722408026648,10.20066889632106,27.69044740024183,27.327690447400236,True,-3.3762,8.354,1,5,1,20.0,21.253405994550416,21.253405994550416,19.498327759197338,0.5016722408026648,历史1/5次成功; 当前距低点0.50%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
41,55.38707653169387,46.15589710974489,688356,键凯科技,bottom_area,2026-05-21,81.2,111.43,2026-05-21,81.2,0.0,5.036945812807886,27.129139370008076,27.129139370008076,False,-2.0625,1.8849,1,6,1,16.666666666666664,27.899088403646378,27.899088403646378,20.0,0.0,历史1/6次成功; 当前距低点0.00%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
