rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
143,68.8645292774391,62.56907790692694,601566,九牧王,bottom_area,2026-06-12,9.74,13.0,2026-06-12,9.3,4.731182795698919,6.881720430107513,28.461538461538456,25.076923076923073,False,-1.5166835187057637,2.5711705281390227,2,3,2,66.66666666666666,30.373699002439853,38.914728682170555,15.268817204301083,4.731182795698919,历史2/3次成功; 当前距低点4.73%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
144,68.78629567591538,58.91702298360285,300779,惠城环保,bottom_area,2026-06-12,54.85,80.3,2026-06-12,54.04,1.4988897113249486,4.200592153960035,32.70236612702366,31.69364881693648,False,-27.762412748584232,5.195681540463786,1,2,1,50.0,34.11016949152542,34.11016949152542,18.50111028867505,1.4988897113249486,历史1/2次成功; 当前距低点1.50%; 最新日涨幅-27.76%; 状态bottom_area; 底部未确认
145,68.71437051638627,60.868682198303034,002580,圣阳股份,bottom_area,2026-06-12,20.73,28.49,2026-06-11,20.06,3.3399800598205474,7.676969092721849,29.589329589329587,27.237627237627233,False,1.023391812865504,10.360092595841415,2,5,2,40.0,22.81632653061224,24.0,16.660019940179456,3.3399800598205474,历史2/5次成功; 当前距低点3.34%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
146,68.70696092924766,61.07947524065814,300753,爱朋医疗,bottom_area,2026-06-12,20.5,29.2,2026-06-11,19.8,3.535353535353532,4.242424242424241,32.1917808219178,29.794520547945204,False,1.888667992047699,3.027282728908422,2,5,2,40.0,26.344523125076314,28.044496487119456,16.46464646464647,3.535353535353532,历史2/5次成功; 当前距低点3.54%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
147,68.64882985751011,60.039587741064835,688122,西部超导,bottom_area,2026-06-12,54.41,73.88,2026-06-11,53.01,2.6410111299754737,5.829088851160165,28.248511099079586,26.353546291283163,False,1.3221601489757706,2.734442194952671,1,2,1,50.0,21.457489878542514,21.457489878542514,17.35898887002453,2.6410111299754737,历史1/2次成功; 当前距低点2.64%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
148,68.07553149169294,59.19890292710814,002163,海南发展,bottom_area,2026-06-12,9.23,13.15,2026-06-11,9.02,2.3281596452328257,3.991130820399127,31.406844106463883,29.80988593155893,False,1.317233809001106,2.812087705458189,1,3,1,33.33333333333333,32.54716981132074,32.54716981132074,17.671840354767177,2.3281596452328257,历史1/3次成功; 当前距低点2.33%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
149,67.97594561222378,60.33367953747675,002437,誉衡药业,bottom_area,2026-06-12,2.7,3.79,2026-06-11,2.61,3.4482758620689773,4.2145593869731925,31.13456464379948,28.759894459102895,False,1.5037593984962516,2.3798874859245807,1,2,1,50.0,32.934131736526965,32.934131736526965,16.551724137931025,3.4482758620689773,历史1/2次成功; 当前距低点3.45%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
150,67.75492466323402,58.5258485463151,600104,上汽集团,bottom_area,2026-06-12,10.92,14.84,2026-06-11,10.71,1.9607843137254815,3.4547152194210944,27.83018867924528,26.41509433962264,False,0.4599816007359703,1.2625349844751463,1,3,1,33.33333333333333,24.425287356321842,24.425287356321842,18.03921568627452,1.9607843137254815,历史1/3次成功; 当前距低点1.96%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
151,67.4629174920619,60.44779214096563,603759,海天股份,bottom_area,2026-06-12,7.6,10.36,2026-06-12,7.31,3.9671682626538995,4.103967168262663,29.440154440154444,26.640926640926637,False,1.8766756032171594,1.0187759875259876,1,2,1,50.0,39.90825688073395,39.90825688073395,16.0328317373461,3.9671682626538995,历史1/2次成功; 当前距低点3.97%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
152,67.4191216080181,59.60765774314728,603758,秦安股份,bottom_area,2026-06-12,10.21,13.77,2026-06-11,9.89,3.235591506572298,3.9433771486349722,28.17719680464778,25.853304284676824,False,2.202202202202219,0.8787434892790595,1,2,1,50.0,26.423690205011397,26.423690205011397,16.764408493427702,3.235591506572298,历史1/2次成功; 当前距低点3.24%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
153,67.31679727985751,60.071107048262895,000566,海南海药,bottom_area,2026-06-12,3.88,5.57,2026-06-12,3.74,3.743315508021382,4.278074866310152,32.85457809694793,30.3411131059246,False,2.37467018469657,1.9133583994810046,2,6,2,33.33333333333333,37.916844479668356,38.29787234042554,16.256684491978618,3.743315508021382,历史2/6次成功; 当前距低点3.74%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
154,67.24712790263423,60.99717142196044,002177,御银股份,bottom_area,2026-06-12,6.09,8.28,2026-06-11,5.82,4.639175257731951,6.185567010309268,29.710144927536223,26.449275362318836,False,1.8394648829431315,4.532529193608075,3,7,3,42.857142857142854,33.24227117290702,48.84393063583816,15.36082474226805,4.639175257731951,历史3/7次成功; 当前距低点4.64%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
155,67.23879574602134,60.46654293706953,688355,明志科技,bottom_area,2026-06-12,18.0,24.07,2026-06-11,17.28,4.16666666666666,5.497685185185181,28.209389281262983,25.218113834648943,False,1.1235955056179803,1.1364506950820938,2,5,2,40.0,30.787865253061884,35.08474576271185,15.833333333333341,4.16666666666666,历史2/5次成功; 当前距低点4.17%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
156,67.16289478475464,59.299292900167224,300386,飞天诚信,bottom_area,2026-06-12,10.12,13.57,2026-06-11,9.81,3.160040774719661,5.09683995922528,27.708179808400885,25.423728813559332,False,1.810865191146882,2.4936821947606607,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,16.83995922528034,3.160040774719661,历史3/9次成功; 当前距低点3.16%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
157,66.88568147772087,59.011892077388154,603069,海汽集团,bottom_area,2026-06-12,14.21,19.06,2026-06-11,13.78,3.120464441219169,4.281567489114658,27.701993704092338,25.445960125918145,False,2.083333333333348,1.3041139240506328,2,9,2,22.22222222222222,48.661265848453205,76.0375880971026,16.879535558780834,3.120464441219169,历史2/9次成功; 当前距低点3.12%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
158,66.59882198689027,59.64587350125363,600550,保变电气,bottom_area,2026-06-12,12.13,17.32,2026-06-11,11.67,3.941730934018859,5.3984575835475646,32.621247113163975,29.965357967667433,False,2.2765598650927643,1.8015361220833712,1,2,1,50.0,35.285053929121716,35.285053929121716,16.058269065981143,3.941730934018859,历史1/2次成功; 当前距低点3.94%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
159,66.4476786429442,59.50940006805325,300520,科大国创,bottom_area,2026-06-12,28.75,40.38,2026-06-11,27.66,3.940708604483007,7.230657989877079,31.500742942050525,28.801386825160975,True,2.678571428571419,4.513796380708341,2,6,2,33.33333333333333,28.123023402909546,32.59013282732449,16.059291395516993,3.940708604483007,历史2/6次成功; 当前距低点3.94%; 最新日涨幅2.68%; 状态bottom_area; 底部已确认
160,66.36391652250195,60.409355589304695,688302,海创药业,bottom_area,2026-06-12,34.27,47.07,2026-06-11,32.69,4.833282349342324,5.842765371673306,30.550244316974723,27.193541533885696,False,2.5740796168811864,1.0554902917854343,2,5,2,40.0,38.6518244398128,40.24920312952768,15.166717650657677,4.833282349342324,历史2/5次成功; 当前距低点4.83%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
161,66.35515086749785,57.746002609938266,000856,冀东装备,bottom_area,2026-06-12,8.21,11.03,2026-06-11,8.02,2.369077306733183,3.865336658354121,27.28921124206709,25.566636446056197,False,1.1083743842364768,2.202114537444934,1,3,1,33.33333333333333,25.237449118046136,25.237449118046136,17.630922693266818,2.369077306733183,历史1/3次成功; 当前距低点2.37%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
162,66.30804987691506,58.28041789382543,688137,近岸蛋白,bottom_area,2026-06-12,36.75,49.2,2026-06-11,35.71,2.91234948193783,6.356762811537372,27.418699186991873,25.304878048780495,False,0.27285129604366354,1.1390031201115618,1,4,1,25.0,36.159003831417635,36.159003831417635,17.08765051806217,2.91234948193783,历史1/4次成功; 当前距低点2.91%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
163,66.24836941570943,60.305466282350864,688293,奥浦迈,bottom_area,2026-06-12,35.78,46.83,2026-06-11,34.13,4.834456489891586,5.566949897450919,27.119367926542807,23.595985479393548,False,3.680092726745876,1.3803350061792226,1,2,1,50.0,49.77433913604127,49.77433913604127,15.165543510108414,4.834456489891586,历史1/2次成功; 当前距低点4.83%; 最新日涨幅3.68%; 状态bottom_area; 底部未确认
164,66.18876330010357,59.31298994358596,300111,向日葵,bottom_area,2026-06-12,3.14,4.16,2026-06-11,3.02,3.973509933774838,9.602649006622517,27.403846153846157,24.519230769230766,True,2.28013029315961,2.3416523749238074,1,2,1,50.0,24.691358024691343,24.691358024691343,16.026490066225165,3.973509933774838,历史1/2次成功; 当前距低点3.97%; 最新日涨幅2.28%; 状态bottom_area; 底部已确认
165,65.93554983326925,59.16598619535661,603196,璞源材料,bottom_area,2026-06-12,21.85,30.09,2026-06-12,21.0,4.047619047619054,5.904761904761897,30.209371884346957,27.38451312728481,False,2.389878163074055,2.016344260137446,2,5,2,40.0,22.33633131144113,22.85714285714286,15.952380952380949,4.047619047619054,历史2/5次成功; 当前距低点4.05%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
166,65.7841836520796,59.1782405238373,000707,双环科技,bottom_area,2026-06-12,4.73,6.48,2026-06-11,4.54,4.185022026431726,5.066079295154175,29.938271604938276,27.00617283950617,False,2.159827213822907,1.742026038848598,1,2,1,50.0,35.75317604355718,35.75317604355718,15.814977973568276,4.185022026431726,历史1/2次成功; 当前距低点4.19%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
167,65.77696957568064,55.99718033421254,001258,立新能源,bottom_area,2026-06-12,7.81,11.18,2026-06-11,7.72,1.1658031088082883,6.865284974093268,30.948121645796068,30.14311270125224,False,-0.12787723785167016,2.9621023389027554,1,3,1,33.33333333333333,23.55848434925864,23.55848434925864,18.834196891191713,1.1658031088082883,历史1/3次成功; 当前距低点1.17%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
168,65.47019046366037,58.358282747247856,688289,圣湘生物,bottom_area,2026-06-12,14.36,19.1,2026-06-12,13.85,3.6823104693140785,4.4765342960288885,27.486910994764408,24.81675392670158,False,0.1394700139470073,1.6555572208363984,1,2,1,50.0,25.182530200451346,25.182530200451346,16.31768953068592,3.6823104693140785,历史1/2次成功; 当前距低点3.68%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
169,65.46906143640027,58.08455382863269,000006,深振业A,bottom_area,2026-06-12,7.85,11.25,2026-06-09,7.59,3.425559947299075,7.905138339920945,32.53333333333334,30.22222222222223,True,0.0,1.761419775198865,1,4,1,25.0,32.20338983050848,32.20338983050848,16.574440052700925,3.425559947299075,历史1/4次成功; 当前距低点3.43%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
170,65.42115044072108,59.62140306122452,000017,深中华A,bottom_area,2026-06-12,5.14,7.11,2026-06-11,4.9,4.897959183673455,6.326530612244889,31.082981715893105,27.70745428973278,False,2.39043824701195,2.0931578196024594,1,2,1,50.0,46.874999999999986,46.874999999999986,15.102040816326545,4.897959183673455,历史1/2次成功; 当前距低点4.90%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
171,65.15134584933426,57.8740810484778,002487,大金重工,bottom_area,2026-06-12,59.55,79.81,2026-06-11,57.54,3.493222106360789,5.822036843934657,27.90377145721088,25.38529006390177,False,1.8296853625171083,3.655849961242134,1,3,1,33.33333333333333,39.70588235294118,39.70588235294118,16.506777893639214,3.493222106360789,历史1/3次成功; 当前距低点3.49%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
