rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
96,60.29452214252058,55.90427042253523,688298,东方生物,bottom_area,2022-04-25,215.2,2022-04-25,213.0,1.0328638497652527,9.859154929577464,31.73076923076923,False,-5.7793,4.5542,1,2,1,50.0,12.200000000000008,12.200000000000008,8.967136150234747,1.0328638497652527,历史1/2次成功; 当前距低点1.03%; 最新日涨幅-5.78%; 状态bottom_area; 底部未确认
97,59.44990189748327,55.53513040959387,002353,杰瑞股份,bottom_area,2022-04-25,29.89,2022-04-25,29.47,1.4251781472684144,9.365456396335249,28.261927945472248,False,-7.6614,1.5615,1,2,1,50.0,15.024390243902431,15.024390243902431,8.574821852731587,1.4251781472684144,历史1/2次成功; 当前距低点1.43%; 最新日涨幅-7.66%; 状态bottom_area; 底部未确认
98,59.07000000000001,53.7,605299,舒华体育,confirmed_rebound,2022-04-25,9.47,2022-04-25,9.47,0.0,11.40443505807814,28.796992481203006,False,-9.981,4.3563,1,2,1,50.0,56.12903225806454,56.12903225806454,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态confirmed_rebound; 底部未确认
99,58.770180024258764,54.53802897574125,002355,兴民智通,confirmed_rebound,2022-04-25,3.75,2022-04-25,3.71,1.078167115902966,10.242587601078164,28.653846153846157,False,-8.9806,1.5211,1,2,1,50.0,15.624999999999991,15.624999999999991,8.921832884097034,1.078167115902966,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-8.98%; 状态confirmed_rebound; 底部未确认
100,58.19833258797376,53.31144969890727,000676,智度股份,bottom_area,2022-04-25,5.04,2022-04-25,5.02,0.3984063745020013,7.569721115537866,30.853994490358133,False,-8.6957,1.7117,1,2,1,50.0,30.321592649310862,30.321592649310862,9.601593625498,0.3984063745020013,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-8.70%; 状态bottom_area; 底部未确认
101,58.018663555423046,52.95267561983472,688070,纵横股份,bottom_area,2022-04-25,19.4,2022-04-25,19.36,0.20661157024792948,9.400826446280993,32.09400210452473,False,-10.7636,1.054,1,2,1,50.0,26.04166666666665,26.04166666666665,9.793388429752072,0.20661157024792948,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-10.76%; 状态bottom_area; 底部未确认
102,55.980241799299364,51.02036710263459,688021,奥福科技,confirmed_rebound,2022-04-25,22.61,2022-04-25,22.58,0.13286093888397316,10.806023029229413,32.02889825406382,False,-9.7405,1.1184,1,2,1,50.0,24.96392496392497,24.96392496392497,9.867139061116028,0.13286093888397316,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-9.74%; 状态confirmed_rebound; 底部未确认
103,55.87405023959788,50.92851283609298,002092,中泰化学,bottom_area,2022-04-25,7.26,2022-04-25,7.25,0.13793103448275568,9.655172413793107,29.268292682926827,False,-9.9256,3.4798,1,2,1,50.0,14.317180616740096,14.317180616740096,9.862068965517246,0.13793103448275568,历史1/2次成功; 当前距低点0.14%; 最新日涨幅-9.93%; 状态bottom_area; 底部未确认
104,55.74443833254541,51.37863318696271,300337,银邦股份,confirmed_rebound,2022-04-25,5.59,2022-04-25,5.55,0.7207207207207215,10.450450450450452,28.754813863928113,False,-10.4167,3.2379,1,2,1,50.0,34.09610983981694,34.09610983981694,9.27927927927928,0.7207207207207215,历史1/2次成功; 当前距低点0.72%; 最新日涨幅-10.42%; 状态confirmed_rebound; 底部未确认
105,55.56681113494321,50.736425426527255,002108,沧州明珠,bottom_area,2022-04-25,4.38,2022-04-25,4.37,0.2288329519450752,9.839816933638437,27.408637873754145,False,-9.3168,1.3515,1,2,1,50.0,14.398734177215191,14.398734177215191,9.771167048054926,0.2288329519450752,历史1/2次成功; 当前距低点0.23%; 最新日涨幅-9.32%; 状态bottom_area; 底部未确认
106,54.48826086956523,49.53478260869566,002622,皓宸医疗,bottom_area,2022-04-25,2.85,2022-04-25,2.85,0.0,8.421052631578938,30.487804878048774,False,-8.9457,1.6775,1,2,1,50.0,17.391304347826082,17.391304347826082,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-8.95%; 状态bottom_area; 底部未确认
107,54.398699216845785,50.0263925113535,688108,赛诺医疗,bottom_area,2022-04-25,5.0,2022-04-25,4.97,0.6036217303822987,8.651911468812889,30.0,False,-8.7591,1.5616,1,2,1,50.0,15.175537938844846,15.175537938844846,9.396378269617701,0.6036217303822987,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-8.76%; 状态bottom_area; 底部未确认
108,53.88734513274337,48.98849557522124,000428,华天酒店,bottom_area,2022-04-25,3.41,2022-04-25,3.41,0.0,6.744868035190615,27.13675213675213,False,-10.0264,4.5616,1,2,1,50.0,14.454277286135685,14.454277286135685,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
109,53.75900353371479,49.394541293073985,688229,博睿数据,bottom_area,2022-04-25,36.08,2022-04-25,35.88,0.5574136008918498,8.249721293199556,30.893682588597844,False,-7.4635,0.7189,1,2,1,50.0,11.21206614573869,11.21206614573869,9.442586399108151,0.5574136008918498,历史1/2次成功; 当前距低点0.56%; 最新日涨幅-7.46%; 状态bottom_area; 底部未确认
110,53.66165469951692,49.34528063926058,688121,卓然股份,bottom_area,2022-04-25,18.44,2022-04-25,18.33,0.6001091107474249,6.382978723404264,29.904397705544937,False,-5.5328,2.8865,1,2,1,50.0,11.470588235294118,11.470588235294118,9.399890889252575,0.6001091107474249,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-5.53%; 状态bottom_area; 底部未确认
111,53.32758221398797,48.47962019453451,002007,华兰生物,bottom_area,2022-04-25,15.81,2022-04-25,15.81,0.0,6.135357368753957,32.2041166380789,False,-6.6706,1.5236,1,2,1,50.0,11.718388142658643,11.718388142658643,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-6.67%; 状态bottom_area; 底部未确认
112,53.15529942714048,48.73838342889671,601369,陕鼓动力,confirmed_rebound,2022-04-25,6.72,2022-04-25,6.69,0.44843049327353307,10.61285500747384,29.94764397905759,False,-8.9431,0.9727,1,2,1,50.0,16.563467492260067,16.563467492260067,9.551569506726468,0.44843049327353307,历史1/2次成功; 当前距低点0.45%; 最新日涨幅-8.94%; 状态confirmed_rebound; 底部未确认
113,52.6372372881356,47.85203389830509,300543,朗科智能,confirmed_rebound,2022-04-25,8.8,2022-04-25,8.8,0.0,11.13636363636362,27.39273927392738,False,-11.4688,1.6445,1,2,1,50.0,18.559322033898297,18.559322033898297,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-11.47%; 状态confirmed_rebound; 底部未确认
