rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.14044988071416,86.82083441845265,605136,丽人丽妆,bottom_area,2025-06-26,10.54,2025-06-26,10.27,2.629016553067182,4.67380720545278,29.318651066758434,False,0.7648,7.0042,4,4,4,100.0,23.62899010454739,52.667814113597245,5.370983446932819,2.629016553067182,历史4/4次成功; 当前距低点2.63%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
12,78.54433204620098,79.32041669879348,000605,渤海股份,bottom_area,2025-06-26,6.95,2025-06-20,6.65,4.5112781954887184,6.46616541353383,29.25531914893617,False,-0.5722,2.6305,4,4,4,100.0,28.850166583374982,56.66666666666668,3.4887218045112816,4.5112781954887184,历史4/4次成功; 当前距低点4.51%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
13,78.41805556434356,73.4725708750423,001282,三联锻造,bottom_area,2025-06-26,19.67,2025-06-26,19.55,0.6138107416879846,2.3529411764705923,30.62455642299503,False,-1.0065,5.2548,2,2,2,100.0,22.80677078543491,37.31343283582089,7.386189258312016,0.6138107416879846,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
14,77.87177648202422,75.68414072553585,002041,登海种业,bottom_area,2025-06-26,9.77,2025-06-23,9.53,2.518363064008397,3.147953830010501,29.719764011799416,False,-0.3061,0.5626,2,2,2,100.0,18.2043468358871,21.395106715252467,5.481636935991603,2.518363064008397,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
15,77.85478189533121,76.28217226648101,605198,安德利,bottom_area,2025-06-26,40.28,2025-06-20,39.13,2.9389215435727025,5.877843087145405,29.748653500897664,False,-0.2476,1.0234,1,1,1,100.0,43.241469816272954,43.241469816272954,5.061078456427298,2.9389215435727025,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
16,77.50225372833272,74.76463779068987,605377,华旺科技,bottom_area,2025-06-26,8.63,2025-06-23,8.45,2.130177514792917,3.0769230769230957,30.04966887417219,False,-0.8046,0.4691,1,1,1,100.0,25.16904583020285,25.16904583020285,5.8698224852070835,2.130177514792917,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
17,77.35865053680956,75.8340292164372,002172,澳洋健康,bottom_area,2025-06-26,3.82,2025-06-23,3.71,2.9649595687331503,7.277628032345014,27.11198428290766,True,-0.7792,5.8364,5,6,5,83.33333333333334,18.06883709578199,29.824561403508774,5.03504043126685,2.9649595687331503,历史5/6次成功; 当前距低点2.96%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
18,76.84443797774122,76.92368968636852,300346,南大光电,bottom_area,2025-06-26,31.06,2025-06-13,29.85,4.053601340033492,5.862646566164154,27.513355998057303,False,-1.0198,2.2795,3,3,3,100.0,27.020971729273548,46.69811320754715,3.946398659966509,4.053601340033492,历史3/3次成功; 当前距低点4.05%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
19,76.29618241119348,73.14403153990267,300871,回盛生物,bottom_area,2025-06-26,20.29,2025-06-23,19.93,1.8063221274460584,4.66633216256899,29.301170627882232,False,-1.5526,4.2058,1,1,1,100.0,12.486268766019775,12.486268766019775,6.193677872553942,1.8063221274460584,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
20,75.87503379013735,70.88488731533766,688059,华锐精密,bottom_area,2025-06-26,45.49,2025-06-26,45.28,0.4637809187279171,4.350706713780916,31.87904317737325,False,-0.8932,2.0916,4,5,4,80.0,17.05541833353391,38.29213483146067,7.536219081272083,0.4637809187279171,历史4/5次成功; 当前距低点0.46%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
21,74.94804443269226,73.7466096007854,605189,富春染织,bottom_area,2025-06-26,12.08,2025-06-26,11.71,3.1596925704525978,4.8676345004269725,27.0404984423676,False,0.4992,2.3195,1,1,1,100.0,9.842519685039358,9.842519685039358,4.840307429547402,3.1596925704525978,历史1/1次成功; 当前距低点3.16%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
22,74.81384732747898,73.33862884326138,600770,综艺股份,bottom_area,2025-06-26,5.21,2025-06-23,5.06,2.964426877470363,4.545454545454554,32.980132450331126,False,-0.9506,2.2972,1,1,1,100.0,27.72861356932153,27.72861356932153,5.035573122529637,2.964426877470363,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
23,74.73859492231905,74.88615384615385,001230,劲旅环境,bottom_area,2025-06-26,20.3,2025-06-23,19.5,4.102564102564106,6.9230769230769305,30.629669156883672,False,-1.1203,6.2329,1,1,1,100.0,84.69119579500656,84.69119579500656,3.8974358974358942,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
24,74.5190898615118,73.49022668788147,002811,郑中设计,bottom_area,2025-06-26,10.4,2025-06-23,10.07,3.277060575968223,5.56107249255214,31.728813559322035,False,-0.7634,2.4628,2,2,2,100.0,15.709273124134537,16.78832116788322,4.722939424031777,3.277060575968223,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
25,74.17520522877892,72.60483373927778,603681,永冠新材,bottom_area,2025-06-26,14.61,2025-06-20,14.2,2.887323943661973,5.492957746478881,29.000000000000004,False,-0.8147,3.5774,1,1,1,100.0,22.83834586466165,22.83834586466165,5.112676056338027,2.887323943661973,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
26,73.956611930263,69.58592568866112,600980,北矿科技,bottom_area,2025-06-26,21.78,2025-06-20,21.6,0.8333333333333319,4.675925925925917,28.66578599735799,False,-1.5816,9.4414,1,1,1,100.0,21.268417680973737,21.268417680973737,7.166666666666669,0.8333333333333319,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
27,73.91807085842318,74.38054054054054,301260,格力博,bottom_area,2025-06-26,19.3,2025-06-23,18.5,4.324324324324328,5.999999999999997,29.3353705118411,False,-0.924,2.941,1,1,1,100.0,58.71313672922254,58.71313672922254,3.6756756756756723,4.324324324324328,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
28,73.4790179831741,68.46737814773628,301287,康力源,bottom_area,2025-06-26,39.75,2025-06-25,39.62,0.32811711256941584,3.43260979303382,32.0644718792867,False,-1.2668,12.5381,1,1,1,100.0,9.0617481956696,9.0617481956696,7.671882887430584,0.32811711256941584,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
29,73.33536290552615,73.50337060977708,000999,华润三九,bottom_area,2025-06-26,31.85,2025-06-23,30.59,4.118993135011447,4.347826086956528,29.645814167433297,False,0.315,0.4035,1,1,1,100.0,20.293951384963254,20.293951384963254,3.881006864988553,4.118993135011447,历史1/1次成功; 当前距低点4.12%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
30,71.07605535466763,71.2859772508665,300640,德艺文创,bottom_area,2025-06-26,6.52,2025-06-23,6.26,4.153354632587856,6.230031948881798,27.880184331797235,False,-0.3058,6.8301,2,2,2,100.0,14.600138780466654,17.724867724867735,3.8466453674121444,4.153354632587856,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
31,66.64679730182739,67.80686658558069,003025,思进智能,bottom_area,2025-06-26,13.28,2025-06-23,12.66,4.897314375987356,6.161137440758289,27.98634812286689,False,-0.8955,1.3884,1,1,1,100.0,21.681415929203535,21.681415929203535,3.1026856240126444,4.897314375987356,历史1/1次成功; 当前距低点4.90%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
32,63.88491771304351,63.84094363132944,002615,哈尔斯,bottom_area,2025-06-26,8.13,2025-06-23,7.82,3.964194373401541,5.1150895140665,30.673758865248217,False,-0.4896,10.048,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,4.035805626598459,3.964194373401541,历史2/3次成功; 当前距低点3.96%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
