rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.38327467519267,83.70063372728102,688318,财富趋势,bottom_area,2023-07-24,89.55,2023-07-19,88.0,1.7613636363636331,5.113636363636364,28.837134077308747,False,0.3924,0.6727,3,3,3,100.0,12.884638807473594,22.012826837691176,6.238636363636367,1.7613636363636331,历史3/3次成功; 当前距低点1.76%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
12,76.49467274767484,75.81830798578724,600995,南网储能,confirmed_rebound,2023-07-24,11.12,2023-06-07,10.74,3.5381750465549255,8.379888268156428,32.7909887359199,True,0.0,0.4841,1,1,1,100.0,26.64165103189493,26.64165103189493,4.461824953445075,3.5381750465549255,历史1/1次成功; 当前距低点3.54%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
13,75.72310673185976,72.59970604511865,002507,涪陵榨菜,bottom_area,2023-07-24,18.0,2023-06-26,17.68,1.8099547511312233,4.8076923076923155,28.967456809963842,False,-1.1532,0.5052,1,1,1,100.0,9.604316546762583,9.604316546762583,6.190045248868777,1.8099547511312233,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
14,75.15246952660404,75.37851392143492,002755,奥赛康,bottom_area,2023-07-24,8.27,2023-07-17,7.94,4.15617128463475,4.282115869017619,28.853046594982075,False,2.0988,0.4474,1,1,1,100.0,30.831099195710454,30.831099195710454,3.8438287153652504,4.15617128463475,历史1/1次成功; 当前距低点4.16%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
15,75.03048651833716,70.72226764526765,600081,东风科技,bottom_area,2023-07-24,11.99,2023-07-24,11.88,0.925925925925921,1.6835016835016776,28.13067150635209,False,-0.1665,1.4321,2,2,2,100.0,11.84612234612234,13.923013923013915,7.07407407407408,0.925925925925921,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
16,74.87127377349778,73.71287345724974,000792,盐湖股份,confirmed_rebound,2023-07-24,19.09,2023-05-30,18.5,3.1891891891891886,10.486486486486493,29.49695121951219,True,-2.602,0.5669,2,2,2,100.0,16.850671013984325,24.904214559386965,4.810810810810811,3.1891891891891886,历史2/2次成功; 当前距低点3.19%; 最新日涨幅-2.60%; 状态confirmed_rebound; 底部已确认
17,73.72872240892373,68.84839122383704,600990,四创电子,bottom_area,2023-07-24,22.82,2023-07-24,22.72,0.4401408450704288,1.6725352112676168,29.199127454035533,False,-0.6963,0.6087,1,1,1,100.0,12.483399734395755,12.483399734395755,7.559859154929571,0.4401408450704288,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
18,73.52195838376825,68.69661943172734,605118,力鼎光电,bottom_area,2023-07-24,14.92,2023-07-24,14.85,0.47138047138047334,3.3670033670033668,27.170181461500743,False,-1.9066,8.2473,1,1,1,100.0,12.050359712230225,12.050359712230225,7.528619528619526,0.47138047138047334,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
19,70.68998182132606,69.62341042754244,600105,永鼎股份,bottom_area,2023-07-24,6.11,2023-07-24,5.92,3.2094594594594663,4.5608108108108185,27.628361858190708,False,-0.4886,3.6445,1,1,1,100.0,10.757946210268958,10.757946210268958,4.790540540540534,3.2094594594594663,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
20,69.7714847188828,70.20030720262282,002654,万润科技,bottom_area,2023-07-24,10.87,2023-07-24,10.42,4.318618042226481,7.005758157389639,27.63888888888889,False,-0.3666,12.872,2,2,2,100.0,10.789012574726865,11.22448979591837,3.681381957773519,4.318618042226481,历史2/2次成功; 当前距低点4.32%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
21,68.74860381930947,69.6234534967556,600935,华塑股份,bottom_area,2023-07-24,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,-0.2611,0.188,1,1,1,100.0,28.50877192982458,28.50877192982458,3.3424657534246593,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
22,65.8092663291718,61.905249137105635,605333,沪光股份,bottom_area,2023-07-24,13.51,2023-07-24,13.4,0.8208955223880555,3.134328358208954,27.879440258342296,False,-2.3138,4.2608,2,3,2,66.66666666666666,18.710883126256636,29.01840490797546,7.179104477611944,0.8208955223880555,历史2/3次成功; 当前距低点0.82%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
23,64.08283663218863,65.06651075595796,301338,凯格精机,bottom_area,2023-07-24,47.89,2023-07-24,45.7,4.792122538293212,7.8774617067833566,27.25246736708054,False,-4.3157,48.3064,1,1,1,100.0,15.873925501432662,15.873925501432662,3.2078774617067887,4.792122538293212,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
24,57.1313866645974,56.279515615638644,002813,路畅科技,bottom_area,2023-07-24,33.35,2023-07-21,32.31,3.218817703497366,4.271123491179187,28.02405881042548,False,0.9383,2.0573,1,2,1,50.0,8.324838600067956,8.324838600067956,4.781182296502634,3.218817703497366,历史1/2次成功; 当前距低点3.22%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
