rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,107.76466395751818,91.62261265016353,002779,中坚科技,bottom_area,2025-06-04,97.9,2025-06-04,96.84,1.0945890128046285,1.5386204047914032,28.94563064054589,False,0.772,2.774,4,4,4,100.0,30.635890319129533,38.253119429590015,18.905410987195374,1.0945890128046285,历史4/4次成功; 当前距低点1.09%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
13,75.04664890883704,65.39230082119904,002819,东方中科,bottom_area,2025-06-04,28.57,2025-05-30,27.89,2.4381498745069905,4.195051989960553,31.575073601570164,False,0.9897,3.6148,2,5,2,40.0,36.08216416706984,51.677148846960186,17.561850125493013,2.4381498745069905,历史2/5次成功; 当前距低点2.44%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
14,74.55096461946994,63.76510542040119,300819,聚杰微纤,bottom_area,2025-06-04,22.82,2025-06-03,22.5,1.4222222222222236,3.1999999999999953,27.419354838709676,False,1.0181,2.2643,1,2,1,50.0,26.54716175842936,26.54716175842936,18.577777777777776,1.4222222222222236,历史1/2次成功; 当前距低点1.42%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
15,72.8000726648422,64.23863270777481,301518,长华化学,bottom_area,2025-06-04,23.08,2025-06-03,22.38,3.127792672028594,3.3958891867739123,27.005870841487283,False,0.6542,10.344,1,2,1,50.0,55.817490494296564,55.817490494296564,16.872207327971406,3.127792672028594,历史1/2次成功; 当前距低点3.13%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
16,72.45071340983645,63.55794246789929,002042,华孚时尚,bottom_area,2025-06-04,4.76,2025-06-03,4.63,2.8077753779697603,3.887688984881203,28.549382716049386,False,1.9272,1.6772,1,2,1,50.0,42.41758241758243,42.41758241758243,17.192224622030242,2.8077753779697603,历史1/2次成功; 当前距低点2.81%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
17,71.34487856409399,61.61096525887304,002041,登海种业,bottom_area,2025-06-04,9.95,2025-06-03,9.76,1.9467213114754047,2.0491803278688634,28.023598820059004,False,0.4036,0.7953,1,2,1,50.0,21.395106715252467,21.395106715252467,18.053278688524596,1.9467213114754047,历史1/2次成功; 当前距低点1.95%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
18,71.07874708655223,62.7907555502448,688135,利扬芯片,bottom_area,2025-06-04,19.41,2025-05-30,18.81,3.189792663476882,4.199893673577899,27.290297642056444,False,1.4107,2.7251,2,5,2,40.0,31.309047435333802,40.41850220264317,16.81020733652312,3.189792663476882,历史2/5次成功; 当前距低点3.19%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
19,70.96833301405908,61.482191772236185,002136,安纳达,bottom_area,2025-06-04,11.07,2025-06-03,10.84,2.121771217712181,2.583025830258297,27.491638795986617,False,1.0036,8.0917,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,17.87822878228782,2.121771217712181,历史1/3次成功; 当前距低点2.12%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
20,69.8612685752267,59.53921568627452,301316,慧博云通,bottom_area,2025-06-04,41.3,2025-06-03,40.8,1.2254901960784315,5.147058823529416,32.147014801263936,False,-0.8641,12.1177,1,3,1,33.33333333333333,43.333333333333336,43.333333333333336,18.774509803921568,1.2254901960784315,历史1/3次成功; 当前距低点1.23%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
21,69.40823666191912,61.00044722339977,605378,野马电池,bottom_area,2025-06-04,17.34,2025-06-04,16.85,2.9080118694361925,3.9762611275964277,32.24768797748291,False,2.06,3.2808,1,2,1,50.0,29.89631336405531,29.89631336405531,17.09198813056381,2.9080118694361925,历史1/2次成功; 当前距低点2.91%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
22,67.67440620956636,59.82672131147542,301618,长联科技,bottom_area,2025-06-04,62.97,2025-05-30,61.0,3.22950819672131,8.163934426229515,32.177006893484545,False,-2.5081,10.3804,1,2,1,50.0,50.278688524590166,50.278688524590166,16.77049180327869,3.22950819672131,历史1/2次成功; 当前距低点3.23%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
