rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.79996305903173,79.33067217141705,600345,长江通信,bottom_area,2024-09-12,14.9,2024-09-10,14.61,1.9849418206707798,4.449007529089667,27.529761904761905,False,0.0672,1.3428,1,1,1,100.0,25.46419098143237,25.46419098143237,18.01505817932922,1.9849418206707798,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
12,74.53009105164796,64.73270819039847,000591,太阳能,bottom_area,2024-09-12,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,0.7426,0.5334,1,2,1,50.0,32.84132841328414,32.84132841328414,17.738693467336677,2.2613065326633244,历史1/2次成功; 当前距低点2.26%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
13,74.26239333110648,62.15471384855174,600183,生益科技,bottom_area,2024-09-12,16.92,2024-08-29,16.88,0.23696682464456578,7.760663507109018,29.519832985386223,True,-1.5134,0.6194,2,4,2,50.0,23.14515165989969,25.158227848101262,19.763033175355435,0.23696682464456578,历史2/4次成功; 当前距低点0.24%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
14,73.242780513701,63.27176085176085,000597,东北制药,bottom_area,2024-09-12,4.15,2024-08-26,4.07,1.9656019656019672,5.65110565110564,32.053422370617696,False,0.0,0.9186,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,18.034398034398034,1.9656019656019672,历史1/3次成功; 当前距低点1.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,70.18655320577375,60.12922457200403,300455,航天智装,bottom_area,2024-09-12,10.08,2024-09-10,9.93,1.5105740181268918,3.625377643504526,27.939042089985485,False,-0.2967,0.8815,1,3,1,33.33333333333333,53.103448275862064,53.103448275862064,18.489425981873108,1.5105740181268918,历史1/3次成功; 当前距低点1.51%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
16,69.62206548261354,59.31818885314322,000683,博源化工,bottom_area,2024-09-12,5.02,2024-09-10,4.96,1.209677419354831,4.435483870967737,28.837876614060253,False,-0.1988,0.8944,1,2,1,50.0,22.50673854447439,22.50673854447439,18.790322580645167,1.209677419354831,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
17,67.67028687336624,58.600675714295214,300401,花园生物,bottom_area,2024-09-12,12.16,2024-09-10,11.91,2.0990764063811924,5.289672544080596,30.023501762632193,False,-0.491,3.5529,1,2,1,50.0,29.551451187335093,29.551451187335093,17.90092359361881,2.0990764063811924,历史1/2次成功; 当前距低点2.10%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
18,67.36119275584194,56.991935074676434,000899,赣能股份,bottom_area,2024-09-12,7.31,2024-09-10,7.25,0.8275862068965464,2.758620689655175,27.427427427427432,False,0.2743,0.7893,2,6,2,33.33333333333333,25.459668242296914,27.473958333333325,19.172413793103456,0.8275862068965464,历史2/6次成功; 当前距低点0.83%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
19,66.9226770559407,56.46207028448481,000922,佳电股份,bottom_area,2024-09-12,8.96,2024-09-11,8.9,0.674157303370792,2.471910112359538,29.08366533864542,False,-0.1115,0.7098,1,2,1,50.0,40.42553191489362,40.42553191489362,19.32584269662921,0.674157303370792,历史1/2次成功; 当前距低点0.67%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
20,66.37190003659171,59.38363001265194,603132,金徽股份,bottom_area,2024-09-12,10.69,2024-09-10,10.29,3.8872691933916457,6.122448979591845,31.354236157438297,False,0.0,1.1972,1,2,1,50.0,33.20754716981132,33.20754716981132,16.112730806608354,3.8872691933916457,历史1/2次成功; 当前距低点3.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
21,66.35050364933375,56.18783446003963,000037,深南电A,bottom_area,2024-09-12,6.9,2024-09-11,6.84,0.8771929824561476,2.192982456140356,29.338842975206607,False,0.5831,0.9582,2,8,2,25.0,39.8001852690304,45.16765285996055,19.122807017543852,0.8771929824561476,历史2/8次成功; 当前距低点0.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
22,63.88884585617248,57.4933337969187,002682,龙洲股份,bottom_area,2024-09-12,3.47,2024-08-28,3.33,4.204204204204208,6.606606606606599,30.76923076923076,False,1.1662,2.1101,1,2,1,50.0,26.929674099485425,26.929674099485425,15.795795795795792,4.204204204204208,历史1/2次成功; 当前距低点4.20%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
23,63.325252910763744,52.940725906104724,603060,国检集团,bottom_area,2024-09-12,5.72,2024-09-12,5.71,0.17513134851137982,2.2767075306479843,27.168367346938776,False,-1.209,0.7724,1,4,1,25.0,36.2098138747885,36.2098138747885,19.82486865148862,0.17513134851137982,历史1/4次成功; 当前距低点0.18%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
24,62.656838952306494,52.31701410121876,300573,兴齐眼药,bottom_area,2024-09-12,74.51,2024-09-12,74.43,0.10748354158269285,4.285906220609966,30.03384094754652,False,-2.3204,3.1765,1,5,1,20.0,42.86062675283501,42.86062675283501,19.892516458417308,0.10748354158269285,历史1/5次成功; 当前距低点0.11%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
25,62.48666331360171,52.223872701421605,605218,伟时电子,bottom_area,2024-09-12,18.94,2024-09-12,18.91,0.15864621893178812,6.821787414066627,30.272861356932157,False,-5.5362,11.2407,1,4,1,25.0,42.36874236874236,42.36874236874236,19.841353781068214,0.15864621893178812,历史1/4次成功; 当前距低点0.16%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
26,61.91289454291017,54.551089627964224,300653,正海生物,bottom_area,2024-09-12,18.94,2024-08-28,18.38,3.04678998911862,7.83460282916214,27.466456195737965,True,-0.9932,0.6247,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,16.95321001088138,3.04678998911862,历史1/3次成功; 当前距低点3.05%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
27,61.81254617532763,52.008359369838495,300337,银邦股份,bottom_area,2024-09-12,7.66,2024-09-12,7.62,0.5249343832021002,3.8057742782152237,27.290076335877867,False,-1.9206,4.7334,1,3,1,33.33333333333333,34.09610983981694,34.09610983981694,19.475065616797902,0.5249343832021002,历史1/3次成功; 当前距低点0.52%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
28,58.57654664328991,49.10046888946352,002600,领益智造,bottom_area,2024-09-12,6.28,2024-09-12,6.26,0.3194888178913812,5.750798722044734,27.124563445867288,False,-3.3846,3.185,1,5,1,20.0,38.381201044386415,38.381201044386415,19.68051118210862,0.3194888178913812,历史1/5次成功; 当前距低点0.32%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
29,55.894809682916716,50.53289406538306,002732,燕塘乳业,bottom_area,2024-09-12,13.59,2024-08-23,13.01,4.458109146810147,7.455803228285938,29.599567099567103,True,-0.8753,0.3013,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,15.541890853189855,4.458109146810147,历史1/3次成功; 当前距低点4.46%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
