rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.22287553933295,88.98223845063622,688075,安旭生物,bottom_area,2023-06-07,66.4,2023-05-10,64.65,2.7068832173240525,7.764887857695276,30.37906525953047,True,0.3931,0.8153,5,5,5,100.0,27.010388097500325,40.134529147982065,5.293116782675948,2.7068832173240525,历史5/5次成功; 当前距低点2.71%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
20,79.42702434295532,76.89770606675272,601669,中国电建,bottom_area,2023-06-07,5.74,2023-06-07,5.61,2.317290552584668,2.4955436720142545,29.78723404255319,False,0.5254,1.5071,1,1,1,100.0,16.457680250783696,16.457680250783696,5.682709447415332,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
21,79.18780995026165,75.86182753885984,600995,南网储能,bottom_area,2023-06-07,10.93,2023-06-07,10.74,1.7690875232774628,2.2346368715083815,32.7909887359199,False,-0.9964,1.7186,1,1,1,100.0,26.64165103189493,26.64165103189493,6.230912476722537,1.7690875232774628,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
22,79.04777285067313,74.42163227818364,688289,圣湘生物,bottom_area,2023-06-07,17.49,2023-06-06,17.34,0.8650519031141786,5.420991926182245,29.655172413793103,False,0.6329,0.6313,1,1,1,100.0,25.182530200451346,25.182530200451346,7.134948096885821,0.8650519031141786,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
23,78.7079307255918,76.1278346545413,000572,海马汽车,confirmed_rebound,2023-06-07,4.06,2023-05-26,3.97,2.267002518891673,10.579345088161196,32.59762308998301,True,0.2469,0.513,1,1,1,100.0,12.723658051689855,12.723658051689855,5.7329974811083275,2.267002518891673,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.25%; 状态confirmed_rebound; 底部已确认
24,78.3415397844791,77.1040182820881,300753,爱朋医疗,bottom_area,2023-06-07,19.19,2023-06-06,18.6,3.172043010752687,5.215053763440854,32.017543859649116,False,2.5655,22.8428,1,1,1,100.0,28.044496487119456,28.044496487119456,4.827956989247313,3.172043010752687,历史1/1次成功; 当前距低点3.17%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
25,77.94217442760937,72.67953918174847,601388,怡球资源,bottom_area,2023-06-07,2.74,2023-05-30,2.73,0.36630036630037477,4.3956043956043995,27.777777777777775,False,-0.7246,0.5226,2,2,2,100.0,15.509161381254394,18.333333333333325,7.633699633699625,0.36630036630037477,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
26,77.72555990733707,72.80980545500853,603078,江化微,bottom_area,2023-06-07,16.66,2023-06-07,16.56,0.6038647342995256,2.958937198067645,29.50191570881226,False,-1.4201,1.4847,2,2,2,100.0,19.12159703877122,24.563540397888758,7.396135265700475,0.6038647342995256,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
27,76.84473395685437,71.66215751664427,300363,博腾股份,bottom_area,2023-06-07,29.79,2023-06-07,29.68,0.3706199460916423,4.144204851752023,28.842004315511872,False,-3.0589,1.6622,1,1,1,100.0,36.97403760071621,36.97403760071621,7.629380053908358,0.3706199460916423,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
28,76.7102504238779,71.20869829230874,002041,登海种业,bottom_area,2023-06-07,15.18,2023-06-07,15.16,0.13192612137202883,1.3852242744063263,28.49056603773585,False,-0.3937,0.2859,1,1,1,100.0,21.395106715252467,21.395106715252467,7.868073878627971,0.13192612137202883,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
29,76.400231229848,72.39088964927289,002268,电科网安,confirmed_rebound,2023-06-07,28.73,2023-05-30,28.39,1.1976047904191611,10.954561465304682,32.725118483412324,False,-0.657,1.2963,1,1,1,100.0,11.190476190476202,11.190476190476202,6.802395209580839,1.1976047904191611,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.66%; 状态confirmed_rebound; 底部未确认
30,76.21298592213871,71.34609109609357,002132,恒星科技,bottom_area,2023-06-07,3.53,2023-06-07,3.51,0.5698005698005704,2.8490028490028516,31.844660194174768,False,-1.9444,0.9675,2,2,2,100.0,10.834604275477771,11.088295687885012,7.43019943019943,0.5698005698005704,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
31,76.09269304244815,71.73302247153492,300498,温氏股份,bottom_area,2023-06-07,16.23,2023-06-07,16.08,0.9328358208955356,1.2437810945273808,28.849557522123902,False,0.0,0.2727,1,1,1,100.0,11.558538404175993,11.558538404175993,7.067164179104464,0.9328358208955356,历史1/1次成功; 当前距低点0.93%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
32,75.9894731363124,74.08527333963113,600319,亚星化学,confirmed_rebound,2023-06-07,4.98,2023-04-25,4.85,2.680412371134037,9.69072164948455,28.4660766961652,True,-1.1905,0.8759,1,1,1,100.0,29.282868525896426,29.282868525896426,5.319587628865963,2.680412371134037,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-1.19%; 状态confirmed_rebound; 底部已确认
33,75.77225826653533,75.39335038816844,300546,雄帝科技,bottom_area,2023-06-07,19.42,2023-06-07,18.72,3.7393162393162545,4.113247863247861,27.441860465116285,False,1.569,3.0456,4,5,4,80.0,19.13436243983607,33.791666666666664,4.2606837606837455,3.7393162393162545,历史4/5次成功; 当前距低点3.74%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
34,75.40108895249983,72.70283924843423,002084,海鸥住工,bottom_area,2023-06-07,3.88,2023-06-01,3.8,2.105263157894739,4.473684210526326,27.06333973128599,False,-0.5128,0.541,1,1,1,100.0,13.778705636743219,13.778705636743219,5.894736842105261,2.105263157894739,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
35,75.17282001284555,70.20271621034335,002481,双塔食品,bottom_area,2023-06-07,4.52,2023-06-01,4.5,0.444444444444435,6.222222222222228,27.41935483870968,False,-0.6593,0.6162,1,1,1,100.0,19.817470664928287,19.817470664928287,7.555555555555565,0.444444444444435,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
36,73.46022526777857,68.44655017655019,603288,海天味业,bottom_area,2023-06-07,49.3,2023-06-07,49.14,0.32560032560031865,2.6658526658526704,32.314049586776854,False,-0.3033,0.1296,1,1,1,100.0,8.91891891891891,8.91891891891891,7.674399674399682,0.32560032560031865,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
37,72.81189325244894,68.06948566646335,603267,鸿远电子,bottom_area,2023-06-07,56.38,2023-06-07,56.1,0.4991087344028541,3.4402852049910866,31.751824817518248,False,-2.067,1.234,1,1,1,100.0,9.01856763925729,9.01856763925729,7.500891265597145,0.4991087344028541,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
38,72.30668499003455,67.7523327455584,300357,我武生物,bottom_area,2023-06-07,34.18,2023-06-07,33.97,0.6181925228142504,3.974094789520169,28.813914501257337,False,-2.4822,0.7701,1,1,1,100.0,8.773181169757484,8.773181169757484,7.381807477185749,0.6181925228142504,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
39,71.97847553604441,72.65503561941192,000792,盐湖股份,bottom_area,2023-06-07,19.33,2023-05-30,18.5,4.486486486486477,7.5675675675675595,29.49695121951219,True,-0.4634,0.2149,2,2,2,100.0,16.850671013984325,24.904214559386965,3.5135135135135234,4.486486486486477,历史2/2次成功; 当前距低点4.49%; 最新日涨幅-0.46%; 状态bottom_area; 底部已确认
40,71.09729719382484,71.35820470646273,601068,中铝国际,confirmed_rebound,2023-06-07,5.47,2023-05-26,5.25,4.190476190476185,10.0952380952381,29.90654205607477,True,-0.5455,0.4662,2,2,2,100.0,16.46500226208832,18.6700767263427,3.8095238095238146,4.190476190476185,历史2/2次成功; 当前距低点4.19%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部已确认
41,69.17163922427484,68.96729169333163,600160,巨化股份,confirmed_rebound,2023-06-07,13.5,2023-05-31,13.0,3.8461538461538463,10.384615384615383,31.758530183727036,True,-2.0319,0.5566,1,1,1,100.0,16.05657237936772,16.05657237936772,4.153846153846154,3.8461538461538463,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-2.03%; 状态confirmed_rebound; 底部已确认
42,67.3337964107227,62.90053234605776,600984,建设机械,bottom_area,2023-06-07,4.37,2023-06-07,4.35,0.4597701149425394,2.9885057471264553,30.400000000000006,False,-1.5766,1.1071,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,7.54022988505746,0.4597701149425394,历史2/3次成功; 当前距低点0.46%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
43,58.860097100277,55.27287733017354,688161,威高骨科,bottom_area,2023-06-07,44.08,2023-06-07,43.76,0.7312614259597813,2.39945155393054,27.30897009966778,False,0.3643,0.6406,1,2,1,50.0,12.258889147106666,12.258889147106666,7.268738574040219,0.7312614259597813,历史1/2次成功; 当前距低点0.73%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
