rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.1443253810415,79.10470657012797,300703,创源股份,bottom_area,2025-06-27,20.49,2025-06-26,20.27,1.0853478046373897,4.0947212629501815,31.404399323181053,False,-0.1462,6.4013,2,2,2,100.0,19.02849228333993,20.914127423822727,13.91465219536261,1.0853478046373897,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
12,77.51865013032547,70.0701375420175,603333,尚纬股份,bottom_area,2025-06-27,7.38,2025-06-23,7.23,2.0746887966804906,7.1922544951590535,28.838582677165352,True,-0.2703,2.8088,3,5,3,60.0,26.7227311744571,47.19626168224298,12.92531120331951,2.0746887966804906,历史3/5次成功; 当前距低点2.07%; 最新日涨幅-0.27%; 状态bottom_area; 底部已确认
13,77.48383642401225,71.4848612930069,000999,华润三九,bottom_area,2025-06-27,31.56,2025-06-23,30.59,3.1709709055246775,4.347826086956528,29.645814167433297,False,-0.9105,0.3718,1,1,1,100.0,20.293951384963254,20.293951384963254,11.829029094475322,3.1709709055246775,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
14,75.6160605798344,71.99259235532782,600980,北矿科技,bottom_area,2025-06-27,22.65,2025-06-20,21.6,4.861111111111097,6.388888888888884,28.66578599735799,False,3.9945,17.6776,1,1,1,100.0,21.268417680973737,21.268417680973737,10.138888888888903,4.861111111111097,历史1/1次成功; 当前距低点4.86%; 最新日涨幅3.99%; 状态bottom_area; 底部未确认
15,74.31064481275449,68.23887022030452,605136,丽人丽妆,bottom_area,2025-06-27,10.57,2025-06-26,10.27,2.9211295034079914,4.67380720545278,29.318651066758434,False,0.2846,4.0504,2,4,2,50.0,35.640029505778216,52.667814113597245,12.078870496592007,2.9211295034079914,历史2/4次成功; 当前距低点2.92%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
16,73.58287733711155,69.140662075128,300346,南大光电,bottom_area,2025-06-27,31.09,2025-06-13,29.85,4.154103852596309,5.862646566164154,27.513355998057303,False,0.0966,2.0786,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,10.84589614740369,4.154103852596309,历史2/3次成功; 当前距低点4.15%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
17,70.38130887057314,64.68341149659314,603011,合锻智能,bottom_area,2025-06-27,15.28,2025-06-20,14.84,2.9649595687331503,7.614555256064695,28.170377541142305,True,0.7916,7.4361,1,2,1,50.0,41.201716738197426,41.201716738197426,12.03504043126685,2.9649595687331503,历史1/2次成功; 当前距低点2.96%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
18,69.77531872528256,66.27158301751874,002615,哈尔斯,bottom_area,2025-06-27,8.19,2025-06-23,7.82,4.731457800511499,5.24296675191816,30.673758865248217,False,0.738,8.9114,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,10.2685421994885,4.731457800511499,历史2/3次成功; 当前距低点4.73%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
19,69.70234421458287,65.31845357736536,688114,华大智造,bottom_area,2025-06-27,64.59,2025-06-23,62.1,4.009661835748796,7.004830917874398,28.20809248554913,True,1.6365,2.0733,2,4,2,50.0,24.08861592942264,27.745919717688572,10.990338164251204,4.009661835748796,历史2/4次成功; 当前距低点4.01%; 最新日涨幅1.64%; 状态bottom_area; 底部已确认
20,69.00929115412389,63.606232011299014,001282,三联锻造,bottom_area,2025-06-27,20.16,2025-06-26,19.55,3.1202046035805595,7.161125319693087,30.62455642299503,True,2.4911,17.5209,1,2,1,50.0,37.31343283582089,37.31343283582089,11.879795396419441,3.1202046035805595,历史1/2次成功; 当前距低点3.12%; 最新日涨幅2.49%; 状态bottom_area; 底部已确认
21,68.41256354379793,64.4725729732127,002172,澳洋健康,bottom_area,2025-06-27,3.87,2025-06-23,3.71,4.312668463611864,7.277628032345014,27.11198428290766,True,1.3089,6.048,3,6,3,50.0,23.255145538966428,29.824561403508774,10.687331536388136,4.312668463611864,历史3/6次成功; 当前距低点4.31%; 最新日涨幅1.31%; 状态bottom_area; 底部已确认
22,67.18546696525749,60.01630603652308,688059,华锐精密,bottom_area,2025-06-27,45.75,2025-06-27,45.1,1.441241685144121,2.1064301552106333,32.1498420340003,False,0.5716,1.5951,1,5,1,20.0,38.29213483146067,38.29213483146067,13.55875831485588,1.441241685144121,历史1/5次成功; 当前距低点1.44%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
23,64.44815566275977,60.99397792243413,002575,群兴玩具,bottom_area,2025-06-27,8.52,2025-06-20,8.15,4.539877300613488,8.957055214723932,27.748226950354603,True,-1.9563,4.1992,2,4,2,50.0,29.811280472219792,39.02759526938239,10.460122699386512,4.539877300613488,历史2/4次成功; 当前距低点4.54%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
24,61.36492992791842,57.04168434099988,002811,郑中设计,bottom_area,2025-06-27,10.43,2025-06-23,10.07,3.5749751737835096,5.56107249255214,31.728813559322035,False,0.2885,1.8459,1,2,1,50.0,16.78832116788322,16.78832116788322,11.42502482621649,3.5749751737835096,历史1/2次成功; 当前距低点3.57%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
25,58.787475879136544,51.397128112712984,603139,康惠股份,bottom_area,2025-06-27,20.77,2025-06-20,20.71,0.2897151134717466,5.5528730082085875,31.42384105960264,False,-0.622,2.3387,1,4,1,25.0,29.315476190476186,29.315476190476186,14.710284886528251,0.2897151134717466,历史1/4次成功; 当前距低点0.29%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
26,55.59348809677662,52.08139408692125,300640,德艺文创,bottom_area,2025-06-27,6.51,2025-06-23,6.26,3.993610223642172,6.230031948881798,27.880184331797235,False,-0.1534,5.9281,1,2,1,50.0,17.724867724867735,17.724867724867735,11.006389776357828,3.993610223642172,历史1/2次成功; 当前距低点3.99%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
