rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
53,67.75263286517139,60.009474823437536,603918,金桥信息,bottom_area,2024-12-26,13.64,2024-12-10,18.35,2024-12-25,13.2,3.333333333333343,5.6818181818181825,28.065395095367858,25.66757493188011,False,2.2488755622188883,4.008791931143567,5,18,5,27.77777777777778,44.59693752146834,62.40097501523461,2015-07-09; 2015-09-02; 2016-02-01; 2016-09-27; 2018-02-09,16.666666666666657,3.333333333333343,历史5/18次成功; 当前距低点3.33%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
54,67.73328790220674,60.43429790582459,000510,新金路,bottom_area,2024-12-26,3.61,2024-12-05,4.95,2024-12-25,3.48,3.735632183908043,8.045977011494248,29.6969696969697,27.07070707070708,False,0.8379888268156277,2.1724322899286803,12,31,12,38.70967741935484,28.126555296424456,45.183887915936936,1994-12-13; 1996-12-25; 2005-07-18; 2008-09-18; 2012-07-17; 2015-07-09; 2016-01-14; 2016-12-05; 2018-02-09; 2020-02-04; 2022-04-27; 2024-04-17,16.26436781609196,3.735632183908043,历史12/31次成功; 当前距低点3.74%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
55,67.51712279610109,59.95262989641872,300222,科大智能,bottom_area,2024-12-26,10.43,2024-12-10,14.0,2024-12-25,10.08,3.4722222222222188,6.448412698412702,27.999999999999996,25.5,False,1.85546875,3.8075680246428893,4,11,4,36.36363636363637,27.391134992150107,31.02595797280593,2018-06-21; 2020-02-04; 2022-04-27; 2024-04-16,16.527777777777782,3.4722222222222188,历史4/11次成功; 当前距低点3.47%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
56,67.51077887216131,59.37885394139503,300340,科恒股份,bottom_area,2024-12-26,9.77,2024-12-05,13.5,2024-12-25,9.49,2.950474183350889,6.95468914646997,29.703703703703706,27.629629629629633,False,2.4109014675052443,2.383209972266169,3,10,3,30.0,31.69857569588738,42.54473161033797,2015-06-30; 2020-02-04; 2021-01-14,17.049525816649115,2.950474183350889,历史3/10次成功; 当前距低点2.95%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
57,67.32719539508582,61.406287795930204,600327,大东方,bottom_area,2024-12-26,5.31,2024-12-12,7.28,2024-12-25,5.06,4.940711462450594,6.719367588932822,30.494505494505503,27.06043956043957,False,1.3358778625954137,4.880029258701276,7,15,7,46.666666666666664,30.884103568015536,39.44444444444443,2005-07-18; 2007-06-05; 2013-06-25; 2015-06-30; 2020-11-02; 2022-04-28; 2024-02-06,15.05928853754941,4.940711462450594,历史7/15次成功; 当前距低点4.94%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
58,66.90893864403125,59.73813543438637,603990,麦迪科技,bottom_area,2024-12-26,10.73,2024-12-16,14.51,2024-12-25,10.34,3.771760154738884,6.866537717601556,28.738800827015854,26.05099931082012,False,1.9961977186311763,3.865872992896039,3,11,3,27.27272727272727,49.606663958505045,56.77339901477835,2020-07-03; 2022-04-27; 2024-02-08,16.228239845261115,3.771760154738884,历史3/11次成功; 当前距低点3.77%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
59,66.8789338235294,59.447941176470586,002887,绿茵生态,bottom_area,2024-12-26,7.04,2024-12-17,9.5,2024-12-25,6.8,3.529411764705886,5.588235294117646,28.421052631578945,25.894736842105264,False,1.2949640287769792,2.154661788993461,1,4,1,25.0,84.02282453637662,84.02282453637662,2022-04-27,16.470588235294116,3.529411764705886,历史1/4次成功; 当前距低点3.53%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
60,66.70851289274412,55.916123656434635,300142,沃森生物,bottom_area,2024-12-26,12.59,2024-11-12,17.24,2024-12-26,12.55,0.31872509960158685,2.0717131474103567,27.204176334106716,26.972157772621802,False,-1.1773940345368938,1.066874078447071,2,5,2,40.0,21.466757438313216,21.61764705882353,2020-12-14; 2024-10-18,19.681274900398414,0.31872509960158685,历史2/5次成功; 当前距低点0.32%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
61,66.6618679739373,57.53812076424041,002298,中电鑫龙,bottom_area,2024-12-26,5.31,2024-12-12,7.26,2024-12-25,5.21,1.9193857965450989,6.717850287907863,28.23691460055096,26.85950413223141,False,0.9505703422053147,3.6884965043646667,3,13,3,23.076923076923077,24.16301279765181,24.64589235127478,2015-09-02; 2018-02-09; 2022-10-10,18.080614203454903,1.9193857965450989,历史3/13次成功; 当前距低点1.92%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
62,66.33572519925625,57.79508632923825,600622,光大嘉宝,bottom_area,2024-12-26,3.37,2024-12-10,4.63,2024-12-26,3.29,2.4316109422492422,4.559270516717322,28.94168466522678,27.21382289416846,False,-0.8823529411764675,2.392314971878999,8,26,8,30.76923076923077,37.62988858906736,92.3076923076923,1993-12-20; 1994-07-29; 1994-08-10; 1997-07-07; 2016-01-18; 2018-06-01; 2022-04-14; 2022-10-31,17.568389057750757,2.4316109422492422,历史8/26次成功; 当前距低点2.43%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
63,65.89500636429499,57.04440256830634,002205,国统股份,bottom_area,2024-12-26,8.83,2024-12-19,12.43,2024-12-25,8.65,2.080924855491326,10.86705202312138,30.41029766693483,28.962188254223648,False,-0.8978675645342271,8.735912708672004,5,16,5,31.25,28.253555047454626,39.617083946980856,2015-06-23; 2018-02-07; 2020-02-04; 2020-04-28; 2021-01-14,17.919075144508675,2.080924855491326,历史5/16次成功; 当前距低点2.08%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
