rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.6802326831377,83.76308245054595,688327,云从科技,bottom_area,2024-04-10,11.72,2024-04-10,11.6,1.0344827586206984,6.2931034482758665,30.162552679108973,False,-3.6976,2.169,7,7,7,100.0,20.331737312909354,53.56783919597991,6.965517241379302,1.0344827586206984,历史7/7次成功; 当前距低点1.03%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
12,77.92834282610039,74.43659005619176,300375,鹏翎股份,bottom_area,2024-04-10,4.4,2024-04-10,4.33,1.6166281755196372,6.697459584295613,27.833333333333332,False,-5.3763,6.938,2,2,2,100.0,10.658614496647974,11.74785100286532,6.383371824480363,1.6166281755196372,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-5.38%; 状态bottom_area; 底部未确认
13,77.73625512086967,74.82135224265541,688220,翱捷科技,bottom_area,2024-04-10,38.01,2024-04-09,37.26,2.0128824476650564,5.475040257648951,31.254612546125472,False,-2.9367,1.2723,3,4,3,75.0,28.20281840500936,45.103092783505154,5.987117552334944,2.0128824476650564,历史3/4次成功; 当前距低点2.01%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
14,75.9521990308183,74.1772767727389,300637,扬帆新材,confirmed_rebound,2024-04-10,7.79,2024-04-10,7.58,2.7704485488126642,11.873350923482855,31.402714932126703,False,-8.1368,10.041,3,3,3,100.0,16.95644873135362,31.810193321616865,5.229551451187336,2.7704485488126642,历史3/3次成功; 当前距低点2.77%; 最新日涨幅-8.14%; 状态confirmed_rebound; 底部未确认
15,75.08840158669548,71.49965064863073,002229,鸿博股份,bottom_area,2024-04-10,22.33,2024-04-10,22.01,1.4538845979100259,4.952294411631076,30.126984126984123,False,-3.8329,7.9081,1,1,1,100.0,9.540363074546153,9.540363074546153,6.546115402089975,1.4538845979100259,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
16,75.02391392683467,70.62632818182276,300426,华智数媒,bottom_area,2024-04-10,8.21,2024-04-10,8.14,0.8599508599508634,6.019656019656021,27.9646017699115,False,-3.9766,1.6181,2,2,2,100.0,20.736645927476964,25.936811168258643,7.140049140049137,0.8599508599508634,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
17,74.71672253306569,71.9937859928925,301486,致尚科技,confirmed_rebound,2024-04-10,43.89,2024-04-10,43.0,2.0697674418604666,10.23255813953488,28.689883913764508,False,-7.6,20.6448,2,2,2,100.0,13.294923442657824,17.19539300868862,5.930232558139534,2.0697674418604666,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-7.60%; 状态confirmed_rebound; 底部未确认
18,74.11936019828646,71.7171279451639,600234,科新发展,confirmed_rebound,2024-04-10,4.92,2024-04-10,4.81,2.2869022869022935,9.35550935550936,29.781021897810223,False,-5.9273,5.1694,2,2,2,100.0,14.469167523124357,16.366906474820148,5.7130977130977065,2.2869022869022935,历史2/2次成功; 当前距低点2.29%; 最新日涨幅-5.93%; 状态confirmed_rebound; 底部未确认
19,73.80572094856564,69.5587118051956,603178,圣龙股份,bottom_area,2024-04-10,27.45,2024-04-10,27.2,0.9191176470588236,4.999999999999998,30.25641025641026,False,-3.9202,2.8625,4,5,4,80.0,25.72204322843939,44.66270354096666,7.0808823529411775,0.9191176470588236,历史4/5次成功; 当前距低点0.92%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
20,72.89169335195763,68.57913778407227,300548,长芯博创,bottom_area,2024-04-10,23.09,2024-04-10,22.9,0.8296943231441105,4.803493449781666,31.641791044776124,False,-3.9917,5.0337,1,1,1,100.0,26.026026026026024,26.026026026026024,7.1703056768558895,0.8296943231441105,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
21,69.05425896181274,65.45801157869413,002238,天威视讯,bottom_area,2024-04-10,9.96,2024-04-10,9.84,1.2195121951219614,4.674796747967489,30.704225352112672,False,-3.675,2.097,2,3,2,66.66666666666666,13.074369445728676,15.169902912621358,6.780487804878038,1.2195121951219614,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
22,66.48698173537605,67.16591517395757,688131,皓元医药,confirmed_rebound,2024-04-10,33.24,2024-04-09,31.8,4.528301886792456,8.144654088050315,27.727272727272727,True,-2.9489,1.4596,3,4,3,75.0,18.900233741098727,35.228598705844924,3.471698113207544,4.528301886792456,历史3/4次成功; 当前距低点4.53%; 最新日涨幅-2.95%; 状态confirmed_rebound; 底部已确认
23,66.00128187706461,66.99130110522059,002821,凯莱英,confirmed_rebound,2024-04-10,81.2,2024-04-09,77.5,4.7741935483871005,8.993548387096773,28.39985218033998,True,-2.0861,2.0305,1,1,1,100.0,16.80893761044718,16.80893761044718,3.2258064516128995,4.7741935483871005,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-2.09%; 状态confirmed_rebound; 底部已确认
24,65.64318538851411,65.89421095405336,002490,山东墨龙,confirmed_rebound,2024-04-10,2.73,2024-04-09,2.62,4.198473282442743,10.68702290076335,28.804347826086957,True,-4.878,6.2069,1,1,1,100.0,14.068441064638787,14.068441064638787,3.8015267175572576,4.198473282442743,历史1/1次成功; 当前距低点4.20%; 最新日涨幅-4.88%; 状态confirmed_rebound; 底部已确认
25,62.694611196923674,58.37084490748066,002769,普路通,confirmed_rebound,2024-04-10,7.02,2024-04-10,7.0,0.28571428571427965,8.142857142857148,30.761622156280904,False,-9.4194,15.8337,2,3,2,66.66666666666666,13.578531248615864,14.953271028037399,7.714285714285721,0.28571428571427965,历史2/3次成功; 当前距低点0.29%; 最新日涨幅-9.42%; 状态confirmed_rebound; 底部未确认
26,52.86895133056364,49.57601947785274,300496,中科创达,bottom_area,2024-04-10,49.02,2024-04-10,48.7,0.6570841889117048,5.954825462012317,27.400119260584372,False,-4.723,3.9539,1,2,1,50.0,13.409523809523808,13.409523809523808,7.342915811088295,0.6570841889117048,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
