rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.27053393789063,74.44420454545457,603122,合富中国,bottom_area,2022-04-13,14.11,2022-04-13,14.08,0.2130681818181773,5.610795454545448,27.46007212776919,False,-5.5556,18.0926,1,1,1,100.0,72.1590909090909,72.1590909090909,14.786931818181822,0.2130681818181773,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
12,79.11164825018402,69.42073726574776,688008,澜起科技,bottom_area,2022-04-13,55.8,2022-04-13,55.53,0.4862236628849199,6.446965604177919,28.348387096774193,False,-4.1402,0.8564,1,1,1,100.0,26.340468909276254,26.340468909276254,14.51377633711508,0.4862236628849199,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
13,78.42123832991854,68.5187512816362,002196,方正电机,bottom_area,2022-04-13,7.85,2022-04-13,7.83,0.25542784163473276,4.725415070242646,30.338078291814945,False,-3.681,1.8486,1,1,1,100.0,18.661971830985923,18.661971830985923,14.744572158365266,0.25542784163473276,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
14,78.21584277669076,68.43510638644379,000788,北大医药,bottom_area,2022-04-13,9.11,2022-04-13,9.08,0.3303964757709181,4.074889867841401,29.5577967416602,False,-4.5073,5.1122,1,1,1,100.0,19.13123844731978,19.13123844731978,14.66960352422908,0.3303964757709181,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
15,77.41792518584681,68.27247104247104,002482,广田集团,bottom_area,2022-04-13,2.68,2022-04-13,2.66,0.7518796992481209,7.518796992481193,27.717391304347828,False,-6.2937,4.6547,1,1,1,100.0,23.423423423423422,23.423423423423422,14.248120300751879,0.7518796992481209,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
16,74.78313358329726,66.22910413811202,688148,芳源股份,bottom_area,2022-04-13,19.6,2022-04-13,19.41,0.9788768675940304,5.564142194744968,30.280172413793103,False,-3.4958,2.1725,1,1,1,100.0,15.220125786163516,15.220125786163516,14.021123132405968,0.9788768675940304,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
17,73.14646021331444,63.72515436482864,300724,捷佳伟创,bottom_area,2022-04-13,59.8,2022-04-13,59.74,0.100435219283554,4.620020087043853,27.919884169884163,False,-5.2298,2.8903,2,3,2,66.66666666666666,29.87892472112087,30.55368319691865,14.899564780716446,0.100435219283554,历史2/3次成功; 当前距低点0.10%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
18,65.89885541034876,58.425884562721606,601137,博威合金,bottom_area,2022-04-13,12.65,2022-04-13,12.52,1.0383386581469711,5.111821086261985,30.211817168338918,False,-4.2392,2.5527,1,2,1,50.0,25.82417582417582,25.82417582417582,13.961661341853029,1.0383386581469711,历史1/2次成功; 当前距低点1.04%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
19,64.98073595685779,57.7070728720147,300631,久吾高科,bottom_area,2022-04-13,28.72,2022-04-13,28.4,1.1267605633802829,4.577464788732398,28.210313447927206,False,-3.2997,2.1411,1,2,1,50.0,23.04347826086956,23.04347826086956,13.873239436619716,1.1267605633802829,历史1/2次成功; 当前距低点1.13%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
20,62.949522562240986,56.63554684978136,688221,前沿生物,bottom_area,2022-04-13,15.63,2022-04-13,15.35,1.8241042345276948,4.16938110749186,29.58715596330276,False,-2.0677,1.9569,1,2,1,50.0,15.615615615615624,15.615615615615624,13.175895765472303,1.8241042345276948,历史1/2次成功; 当前距低点1.82%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
21,60.67448709307386,53.271161563031974,603348,文灿股份,bottom_area,2022-04-13,29.25,2022-04-13,29.1,0.5154639175257684,5.8075601374570365,31.384107521810883,False,-4.8471,1.6008,1,2,1,50.0,31.539888682745836,31.539888682745836,14.48453608247423,0.5154639175257684,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
22,58.6348202688388,51.514412624196396,603351,威尔药业,bottom_area,2022-04-13,23.73,2022-04-13,23.6,0.5508474576271144,6.228813559322028,32.97358704913377,False,-4.3145,1.0193,1,2,1,50.0,22.528735632183903,22.528735632183903,14.449152542372884,0.5508474576271144,历史1/2次成功; 当前距低点0.55%; 最新日涨幅-4.31%; 状态bottom_area; 底部未确认
23,57.62457778226937,50.76349582661148,002104,恒宝股份,bottom_area,2022-04-13,10.14,2022-04-13,10.07,0.6951340615690197,9.03674280039722,29.72784368457781,False,-8.7309,13.9687,1,2,1,50.0,20.260223048327138,20.260223048327138,14.30486593843098,0.6951340615690197,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-8.73%; 状态bottom_area; 底部未确认
