rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
113,72.1320443522311,66.74630779242827,000886,海南高速,bottom_area,2024-06-06,4.35,2024-06-06,4.31,0.928074245939676,5.80046403712297,30.818619582664535,False,-3.5477,2.1625,1,1,1,100.0,17.378048780487816,17.378048780487816,9.071925754060324,0.928074245939676,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
114,71.81610524871263,71.11422636127917,301517,陕西华达,bottom_area,2024-06-06,59.88,2024-06-06,57.31,4.4843831792008375,7.590298377246543,30.85183397683397,False,-2.7922,37.7096,1,1,1,100.0,34.40118284869394,34.40118284869394,5.515616820799163,4.4843831792008375,历史1/1次成功; 当前距低点4.48%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
115,71.67348538358544,66.5890026814026,688026,洁特生物,bottom_area,2024-06-06,9.77,2024-06-06,9.66,1.1387163561076545,9.73084886128364,29.591836734693878,False,-6.7748,1.7501,3,5,3,60.0,15.942343942623951,20.423991726990696,8.861283643892346,1.1387163561076545,历史3/5次成功; 当前距低点1.14%; 最新日涨幅-6.77%; 状态bottom_area; 底部未确认
116,70.90075145090537,66.05209807196306,300554,三超新材,bottom_area,2024-06-06,23.69,2024-06-06,23.39,1.2825994014536157,9.362975630611363,27.808641975308635,False,-4.3601,15.2597,2,3,2,66.66666666666666,17.041709895756142,21.15606936416185,8.717400598546385,1.2825994014536157,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
117,70.59083836405682,65.38240915980144,002420,毅昌科技,bottom_area,2024-06-06,4.13,2024-06-06,4.09,0.9779951100244507,9.5354523227384,32.84072249589491,False,-6.982,4.5166,1,1,1,100.0,10.657193605683846,10.657193605683846,9.02200488997555,0.9779951100244507,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-6.98%; 状态bottom_area; 底部未确认
118,70.21890148274878,67.41014542343883,002596,海南瑞泽,confirmed_rebound,2024-06-06,1.44,2024-06-06,1.4,2.85714285714286,12.85714285714287,30.6930693069307,False,-7.6923,3.258,1,1,1,100.0,14.970059880239523,14.970059880239523,7.1428571428571415,2.85714285714286,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-7.69%; 状态confirmed_rebound; 底部未确认
119,67.78015977414532,62.916856789848886,688202,美迪西,bottom_area,2024-06-06,29.6,2024-06-06,29.28,1.0928961748633887,7.445355191256829,30.23588277340957,False,-4.7925,2.9517,2,4,2,50.0,17.304624024394695,23.795418261555337,8.90710382513661,1.0928961748633887,历史2/4次成功; 当前距低点1.09%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
120,67.24589643694051,63.01630518105158,002455,百川股份,bottom_area,2024-06-06,9.58,2024-06-06,9.43,1.5906680805938531,8.907741251325556,31.11760409057706,False,-4.4865,14.386,2,4,2,50.0,23.941012929062143,35.42600896860987,8.409331919406148,1.5906680805938531,历史2/4次成功; 当前距低点1.59%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
121,67.08147380528443,61.50540893313989,300363,博腾股份,bottom_area,2024-06-06,13.49,2024-06-06,13.43,0.44676098287416605,6.55249441548772,27.601078167115904,False,-4.866,1.8744,2,4,2,50.0,41.63453749512357,46.29503738953092,9.553239017125835,0.44676098287416605,历史2/4次成功; 当前距低点0.45%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
122,66.90075885685833,63.85115161552005,002225,濮耐股份,bottom_area,2024-06-06,4.02,2024-06-06,3.92,2.5510204081632564,7.39795918367347,27.001862197392928,False,-3.3654,4.8343,2,3,2,66.66666666666666,20.75705096486887,29.457364341085263,7.448979591836744,2.5510204081632564,历史2/3次成功; 当前距低点2.55%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
123,66.3701472975974,60.92391824257898,300530,领湃科技,confirmed_rebound,2024-06-06,15.84,2024-06-06,15.76,0.5076142131979701,13.578680203045678,29.674252565818833,False,-5.6019,2.5455,3,5,3,60.0,27.802573379948058,34.07510431154381,9.49238578680203,0.5076142131979701,历史3/5次成功; 当前距低点0.51%; 最新日涨幅-5.60%; 状态confirmed_rebound; 底部未确认
124,66.12356186007456,65.94807770480855,300616,尚品宅配,bottom_area,2024-06-06,11.65,2024-06-06,11.11,4.860486048604868,7.020702070207031,30.562500000000004,False,-1.5216,4.2625,1,1,1,100.0,11.236483309826049,11.236483309826049,5.139513951395132,4.860486048604868,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
125,66.06249158032473,61.37178604740835,688021,奥福科技,confirmed_rebound,2024-06-06,8.91,2024-06-06,8.81,1.1350737797956827,10.556186152099881,27.37015663643858,False,-7.9545,2.5416,2,4,2,50.0,19.729861641626357,24.96392496392497,8.864926220204318,1.1350737797956827,历史2/4次成功; 当前距低点1.14%; 最新日涨幅-7.95%; 状态confirmed_rebound; 底部未确认
126,65.84403546740702,65.82001356464622,000965,天保基建,confirmed_rebound,2024-06-06,2.74,2024-06-06,2.61,4.980842911877407,11.49425287356323,30.400000000000006,False,-5.1903,3.2244,2,2,2,100.0,15.786749482401651,16.666666666666664,5.019157088122593,4.980842911877407,历史2/2次成功; 当前距低点4.98%; 最新日涨幅-5.19%; 状态confirmed_rebound; 底部未确认
127,65.24014575360587,59.30922341236897,000955,欣龙控股,confirmed_rebound,2024-06-06,3.13,2024-06-06,3.13,0.0,16.293929712460073,31.65938864628821,False,-10.0575,4.8552,2,3,2,66.66666666666666,27.37933734248553,28.498727735368945,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态confirmed_rebound; 底部未确认
128,65.15629718326227,60.27868105601289,688170,德龙激光,bottom_area,2024-06-06,22.01,2024-06-06,21.81,0.9170105456212878,9.812012838147641,27.178631051752923,False,-5.8597,3.0502,2,3,2,66.66666666666666,21.359131362165336,25.624999999999996,9.082989454378712,0.9170105456212878,历史2/3次成功; 当前距低点0.92%; 最新日涨幅-5.86%; 状态bottom_area; 底部未确认
129,64.11864737143343,59.386135240113006,300749,顶固集创,bottom_area,2024-06-06,5.17,2024-06-06,5.12,0.9765624999999966,9.765625,28.391608391608393,False,-5.6569,3.8244,2,3,2,66.66666666666666,17.290489642184564,20.833333333333336,9.023437500000004,0.9765624999999966,历史2/3次成功; 当前距低点0.98%; 最新日涨幅-5.66%; 状态bottom_area; 底部未确认
130,63.82988757968492,61.16916600889445,603188,亚邦股份,confirmed_rebound,2024-06-06,2.23,2024-06-06,2.17,2.7649769585253483,10.599078341013826,27.666666666666668,False,-6.3025,2.6298,2,3,2,66.66666666666666,19.175520471320297,26.005361930294914,7.235023041474653,2.7649769585253483,历史2/3次成功; 当前距低点2.76%; 最新日涨幅-6.30%; 状态confirmed_rebound; 底部未确认
