rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.19829223036106,86.50064499656975,002167,东方锆业,bottom_area,2024-12-24,7.67,2024-12-24,7.49,2.4032042723631473,3.337783711615487,28.049951969260327,False,0.0,4.2358,4,4,4,100.0,19.139520094396374,41.1650485436893,5.596795727636852,2.4032042723631473,历史4/4次成功; 当前距低点2.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
38,75.14761569353826,73.46646098003629,600982,宁波能源,bottom_area,2024-12-24,4.37,2024-12-24,4.25,2.8235294117647083,4.941176470588235,31.11831442463533,False,-6.2232,13.1592,2,2,2,100.0,20.23713999387005,23.3265720081136,5.176470588235292,2.8235294117647083,历史2/2次成功; 当前距低点2.82%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
39,74.87385196720466,72.501089052751,002321,华英农业,bottom_area,2024-12-24,2.64,2024-12-24,2.58,2.325581395348839,5.426356589147292,27.11864406779661,False,-4.0,3.3482,1,1,1,100.0,25.609756097560986,25.609756097560986,5.674418604651161,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
40,73.5584012173188,72.9340059673883,300377,赢时胜,bottom_area,2024-12-24,27.66,2024-12-24,26.71,3.5567203294646172,4.8296518157993225,27.021857923497265,False,-0.2524,12.3475,2,2,2,100.0,16.14692644391201,20.843471208434714,4.443279670535382,3.5567203294646172,历史2/2次成功; 当前距低点3.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
41,71.53345255994793,70.31662584322824,002712,思美传媒,bottom_area,2024-12-24,5.64,2024-12-24,5.47,3.1078610603290664,7.312614259597813,32.55240443896424,False,-2.926,8.0099,3,4,3,75.0,17.40617774612109,22.379603399433442,4.892138939670934,3.1078610603290664,历史3/4次成功; 当前距低点3.11%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
42,70.56123820980145,70.88396193895441,002638,勤上股份,bottom_area,2024-12-24,2.46,2024-12-24,2.36,4.237288135593224,7.627118644067804,31.3953488372093,False,-1.992,5.0746,2,2,2,100.0,13.467628430682618,17.241379310344833,3.762711864406776,4.237288135593224,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
43,69.60806481862798,68.94618147645402,000564,供销大集,confirmed_rebound,2024-12-24,3.25,2024-12-24,3.14,3.503184713375792,8.280254777070056,28.310502283105016,False,-4.1298,5.5906,1,1,1,100.0,31.147540983606568,31.147540983606568,4.496815286624209,3.503184713375792,历史1/1次成功; 当前距低点3.50%; 最新日涨幅-4.13%; 状态confirmed_rebound; 底部未确认
44,69.30588259261573,70.28683278222435,300749,顶固集创,bottom_area,2024-12-24,6.42,2024-12-24,6.13,4.730831973898859,7.340946166394782,31.35498320268757,False,0.156,6.009,3,4,3,75.0,14.667363885557775,20.833333333333336,3.2691680261011413,4.730831973898859,历史3/4次成功; 当前距低点4.73%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
45,68.56751577919387,67.29502797743865,000668,荣丰控股,confirmed_rebound,2024-12-24,7.15,2024-12-24,6.94,3.0259365994236305,8.64553314121037,29.75708502024292,False,-6.658,6.0782,1,1,1,100.0,16.420233463035032,16.420233463035032,4.97406340057637,3.0259365994236305,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-6.66%; 状态confirmed_rebound; 底部未确认
46,68.4140624937076,68.2877498927499,000716,黑芝麻,bottom_area,2024-12-24,6.92,2024-12-24,6.66,3.9039039039039007,5.855855855855851,32.86290322580645,False,0.4354,10.8435,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,4.096096096096099,3.9039039039039007,历史2/3次成功; 当前距低点3.90%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
47,61.90671046941099,62.73616338588543,000692,惠天热电,bottom_area,2024-12-24,3.57,2024-12-24,3.41,4.6920821114369415,7.038123167155417,29.69072164948453,False,-4.5455,7.8837,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,3.3079178885630585,4.6920821114369415,历史2/3次成功; 当前距低点4.69%; 最新日涨幅-4.55%; 状态bottom_area; 底部未确认
48,58.8277142857143,59.97000000000001,002021,中捷资源,bottom_area,2024-12-24,2.73,2024-12-24,2.6,4.999999999999996,5.3846153846153895,27.170868347338928,False,0.738,4.5427,1,2,1,50.0,50.76923076923077,50.76923076923077,3.000000000000005,4.999999999999996,历史1/2次成功; 当前距低点5.00%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
