rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.6206947874364,80.27622338982152,300644,南京聚隆,bottom_area,2024-06-05,21.51,2024-06-05,21.5,0.046511627906984016,5.069767441860464,30.37564766839378,False,-4.7809,11.0913,3,3,3,100.0,45.97994570671739,78.38246409674981,7.953488372093016,0.046511627906984016,历史3/3次成功; 当前距低点0.05%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
19,77.67287892848171,74.22500760736538,002629,仁智股份,confirmed_rebound,2024-06-05,1.86,2024-06-05,1.83,1.6393442622950833,9.836065573770476,29.615384615384617,False,-8.3744,6.5854,2,2,2,100.0,20.014583469882684,20.890410958904106,6.360655737704916,1.6393442622950833,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-8.37%; 状态confirmed_rebound; 底部未确认
20,77.64009806478784,72.56411549309682,300746,汉嘉数智,bottom_area,2024-06-05,6.21,2024-06-05,6.18,0.48543689320388755,5.987055016181231,27.294117647058826,False,-5.1908,1.7857,2,2,2,100.0,26.564040911837,36.90896259703598,7.514563106796112,0.48543689320388755,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-5.19%; 状态bottom_area; 底部未确认
21,76.82923278017317,73.01308234304345,000668,荣丰控股,bottom_area,2024-06-05,6.0,2024-06-05,5.92,1.3513513513513526,6.4189189189189175,28.502415458937193,False,-4.4586,2.4855,1,1,1,100.0,16.420233463035032,16.420233463035032,6.648648648648647,1.3513513513513526,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
22,76.59216813136686,71.37689624568235,002329,皇氏集团,bottom_area,2024-06-05,3.0,2024-06-05,2.99,0.3344481605351099,3.3444816053511586,30.140186915887853,False,-3.537,3.1073,2,2,2,100.0,18.330312105926858,27.644230769230756,7.66555183946489,0.3344481605351099,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
23,76.36574253843258,74.40213967685779,300405,科隆股份,bottom_area,2024-06-05,3.88,2024-06-05,3.78,2.6455026455026482,5.2910052910052965,28.409090909090917,False,-2.7569,7.9584,2,2,2,100.0,12.870353272063518,14.767255216693417,5.354497354497352,2.6455026455026482,历史2/2次成功; 当前距低点2.65%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
24,76.11070458720751,70.81729092230773,002645,华宏科技,bottom_area,2024-06-05,7.92,2024-06-05,7.9,0.2531645569620199,3.9240506329113987,27.054478301015696,False,-4.0,1.6075,2,2,2,100.0,14.325301678393142,16.50485436893203,7.74683544303798,0.2531645569620199,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
25,76.03994388562596,75.8959515664485,605108,同庆楼,bottom_area,2024-06-05,25.3,2024-05-31,24.35,3.901437371663241,4.6817248459958805,29.725829725829715,False,0.5964,0.6299,2,2,2,100.0,13.82381061204675,17.52165223184544,4.098562628336759,3.901437371663241,历史2/2次成功; 当前距低点3.90%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
26,75.81339802063654,70.77454965968064,300497,富祥股份,bottom_area,2024-06-05,9.45,2024-06-05,9.41,0.42507970244419924,5.313496280552603,28.92749244712991,False,-3.8657,2.3828,2,2,2,100.0,16.202856888459234,24.094025465230157,7.574920297555801,0.42507970244419924,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
27,75.50731318054079,70.94935464002978,688357,建龙微纳,bottom_area,2024-06-05,26.4,2024-06-04,26.2,0.7633587786259515,5.038167938931299,29.871520342612424,False,-0.8637,0.4019,4,5,4,80.0,21.074261587618047,31.65083135391925,7.2366412213740485,0.7633587786259515,历史4/5次成功; 当前距低点0.76%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
28,75.03010891466589,69.68569267515925,605180,华生科技,bottom_area,2024-06-05,12.58,2024-06-05,12.56,0.15923566878980552,3.105095541401264,30.14460511679644,False,-2.8571,1.5258,1,1,1,100.0,13.541666666666663,13.541666666666663,7.8407643312101944,0.15923566878980552,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
29,75.0093764973626,69.96482411556208,600201,生物股份,bottom_area,2024-06-05,7.9,2024-06-05,7.87,0.381194409148669,3.049555273189318,28.12785388127853,False,-1.9851,2.2632,1,1,1,100.0,17.76315789473684,17.76315789473684,7.6188055908513315,0.381194409148669,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
30,74.91058260159073,72.9648531833676,300500,启迪设计,bottom_area,2024-06-05,9.75,2024-06-05,9.5,2.631578947368421,5.578947368421046,29.315476190476186,False,-6.6092,6.8782,2,2,2,100.0,15.187382706277363,22.2972972972973,5.36842105263158,2.631578947368421,历史2/2次成功; 当前距低点2.63%; 最新日涨幅-6.61%; 状态bottom_area; 底部未确认
31,74.51260580912864,68.99315352697096,688205,德科立,bottom_area,2024-06-05,30.37,2024-06-05,30.37,0.0,3.0622324662495872,29.174440298507463,False,-2.7538,1.8385,1,1,1,100.0,20.12448132780082,20.12448132780082,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
32,73.9609024390244,68.48231707317073,000886,海南高速,bottom_area,2024-06-05,4.51,2024-06-05,4.51,0.0,1.7738359201773852,27.608346709470315,False,-1.9565,1.0964,1,1,1,100.0,17.378048780487816,17.378048780487816,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
33,73.92023556580385,71.1781385819489,002455,百川股份,bottom_area,2024-06-05,10.03,2024-06-05,9.83,2.0345879959308166,5.696846388606312,28.195763330898465,False,-4.0191,13.7326,3,4,3,75.0,19.096769960597644,35.42600896860987,5.965412004069184,2.0345879959308166,历史3/4次成功; 当前距低点2.03%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
34,73.79097578475336,68.32497757847533,300683,海特生物,bottom_area,2024-06-05,22.39,2024-06-05,22.39,0.0,2.903081732916474,28.283151825752718,False,-2.7368,0.8507,1,1,1,100.0,16.532137518684582,16.532137518684582,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
35,73.448033418444,69.05324251844938,300621,维业股份,bottom_area,2024-06-05,7.63,2024-06-05,7.57,0.7926023778071282,5.151915455746363,29.11985018726591,False,-4.0252,1.9886,1,1,1,100.0,28.120300751879686,28.120300751879686,7.207397622192873,0.7926023778071282,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
36,73.23025276575608,69.2636771559508,601011,宝泰隆,bottom_area,2024-06-05,1.83,2024-06-05,1.81,1.1049723756906087,5.524861878453031,27.888446215139435,False,-3.6842,2.92,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,6.895027624309391,1.1049723756906087,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
37,73.1124163841091,67.69668183713804,002742,三圣股份,confirmed_rebound,2024-06-05,1.33,2024-06-05,1.33,0.0,10.526315789473676,32.82828282828282,False,-5.0,6.2438,2,2,2,100.0,16.91764428568838,24.809160305343507,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.00%; 状态confirmed_rebound; 底部未确认
38,73.10581748376624,67.690571744228,000545,金浦钛业,bottom_area,2024-06-05,1.89,2024-06-05,1.89,0.0,3.703703703703707,28.13688212927757,False,-4.0609,1.222,4,5,4,80.0,16.669740560365565,24.6875,8.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
39,72.6290895210851,67.3289542430706,688236,春立医疗,bottom_area,2024-06-05,16.25,2024-06-05,16.24,0.06157635467981258,3.633004926108374,32.33333333333334,False,-1.7533,4.1171,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,7.938423645320188,0.06157635467981258,历史2/3次成功; 当前距低点0.06%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
40,72.15103961372608,67.09756532442692,002420,毅昌科技,bottom_area,2024-06-05,4.44,2024-06-05,4.43,0.22573363431152765,3.6117381489842018,27.25779967159278,False,-3.6876,2.461,1,1,1,100.0,10.657193605683846,10.657193605683846,7.774266365688473,0.22573363431152765,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
41,71.95374184152837,67.87815778356429,002670,国盛证券,bottom_area,2024-06-05,9.38,2024-06-03,9.29,0.9687836383207927,3.3369214208826747,30.671641791044784,False,-2.0877,1.4442,1,1,1,100.0,13.747228381374727,13.747228381374727,7.031216361679207,0.9687836383207927,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
42,71.19954006955862,71.1072927708289,600310,广西能源,confirmed_rebound,2024-06-05,3.7,2024-06-04,3.56,3.9325842696629247,10.674157303370784,30.19607843137254,True,-4.3928,4.7664,2,2,2,100.0,22.169811320754725,34.33962264150944,4.067415730337076,3.9325842696629247,历史2/2次成功; 当前距低点3.93%; 最新日涨幅-4.39%; 状态confirmed_rebound; 底部已确认
43,71.0018681926612,72.25255570664764,603023,威帝股份,confirmed_rebound,2024-06-05,1.71,2024-06-05,1.63,4.907975460122705,8.588957055214733,27.55555555555556,False,1.1834,2.5357,2,2,2,100.0,16.788923417889233,19.22141119221411,3.092024539877295,4.907975460122705,历史2/2次成功; 当前距低点4.91%; 最新日涨幅1.18%; 状态confirmed_rebound; 底部未确认
44,69.69553573996625,69.52698547215496,002453,华软科技,bottom_area,2024-06-05,4.29,2024-06-05,4.13,3.8740920096852336,7.748184019370467,30.471380471380478,False,-3.1603,4.248,1,1,1,100.0,28.60169491525425,28.60169491525425,4.125907990314767,3.8740920096852336,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
45,69.39310246028406,65.34004400697862,688015,交控科技,bottom_area,2024-06-05,18.52,2024-06-05,18.36,0.8714596949891076,4.139433551198265,28.365197034724932,False,-3.1381,1.3946,1,1,1,100.0,9.123505976095615,9.123505976095615,7.128540305010893,0.8714596949891076,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
46,59.223698703224706,59.442337184824055,000955,欣龙控股,confirmed_rebound,2024-06-05,3.48,2024-06-05,3.34,4.19161676646707,8.083832335329342,27.074235807860266,False,-6.1995,4.3016,2,3,2,66.66666666666666,27.37933734248553,28.498727735368945,3.8083832335329304,4.19161676646707,历史2/3次成功; 当前距低点4.19%; 最新日涨幅-6.20%; 状态confirmed_rebound; 底部未确认
47,58.73302365477551,56.77084681345605,600383,金地集团,confirmed_rebound,2024-06-05,4.12,2024-06-04,4.03,2.233250620347391,11.414392059553348,27.51798561151078,True,-5.5046,4.5878,1,2,1,50.0,32.594936708860764,32.594936708860764,5.766749379652609,2.233250620347391,历史1/2次成功; 当前距低点2.23%; 最新日涨幅-5.50%; 状态confirmed_rebound; 底部已确认
48,55.41841872249861,51.88600744219342,000514,渝开发,bottom_area,2024-06-05,3.49,2024-06-05,3.47,0.5763688760806921,6.051873198847261,31.01391650099404,False,-5.6757,5.0655,1,2,1,50.0,24.839400428265527,24.839400428265527,7.423631123919308,0.5763688760806921,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
