rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.6433112150062,77.85755565000562,300454,深信服,bottom_area,2024-01-17,62.5,2024-01-17,62.5,0.0,4.6400000000000095,31.303583205100026,False,-2.8749,1.1503,4,4,4,100.0,17.782557258094812,29.49391262831224,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
15,78.9325263736882,74.5629756501067,600006,东风股份,bottom_area,2024-01-17,5.58,2024-01-10,5.47,2.0109689213894026,4.021937842778805,27.645502645502646,False,-0.3571,0.8498,1,1,1,100.0,22.6235741444867,22.6235741444867,7.989031078610598,2.0109689213894026,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
16,78.79711655405409,72.87594594594596,600172,黄河旋风,bottom_area,2024-01-17,3.36,2024-01-17,3.33,0.900900900900895,4.204204204204208,31.762295081967213,False,-3.17,1.3482,1,1,1,100.0,51.074589127686465,51.074589127686465,9.099099099099107,0.900900900900895,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
17,78.61398834187737,71.81791925624779,002284,亚太股份,bottom_area,2024-01-17,7.82,2024-01-17,7.8,0.2564102564102623,3.205128205128217,31.33802816901408,False,-3.2178,1.2163,2,2,2,100.0,19.744809897113992,27.214170692431566,9.743589743589737,0.2564102564102623,历史2/2次成功; 当前距低点0.26%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
18,78.40178554179364,71.40613214448095,688072,拓荆科技,bottom_area,2024-01-17,186.2,2024-01-17,186.02,0.09676378883989807,5.139232340608538,31.04240806642941,False,-4.5128,1.5713,2,2,2,100.0,15.573943994816789,19.9367088607595,9.903236211160102,0.09676378883989807,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
19,77.68680904522614,70.62437185929649,002413,雷科防务,bottom_area,2024-01-17,4.9,2024-01-17,4.9,0.0,2.4489795918367188,28.779069767441857,False,-2.1956,0.9868,1,1,1,100.0,28.894472361809044,28.894472361809044,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
20,77.58217458940693,70.57033690597683,601995,中金公司,bottom_area,2024-01-17,32.79,2024-01-15,32.78,0.030506406345326448,2.104942037827937,27.63796909492273,False,-1.8263,0.3353,1,1,1,100.0,16.719846841097638,16.719846841097638,9.969493593654674,0.030506406345326448,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
21,77.31852921587587,71.64133876323018,688105,诺唯赞,bottom_area,2024-01-17,28.33,2024-01-17,28.05,0.9982174688056955,3.2798573975044496,27.556818181818176,False,-2.646,0.6655,2,2,2,100.0,17.673519312404096,25.237580993520524,9.001782531194305,0.9982174688056955,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
22,76.85767938803265,70.45457211081265,600399,抚顺特钢,bottom_area,2024-01-17,6.91,2024-01-17,6.88,0.43604651162791064,8.284883720930235,32.21674876847291,False,-5.0824,4.2161,2,2,2,100.0,14.616979340453145,15.078707539353772,9.56395348837209,0.43604651162791064,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
23,76.8196093626225,69.836008511475,002041,登海种业,bottom_area,2024-01-17,11.86,2024-01-17,11.86,0.0,3.709949409780787,29.780935464772064,False,-3.2626,0.4194,2,2,2,100.0,18.2043468358871,21.395106715252467,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
24,76.52196050415706,69.62710052628715,300413,芒果超媒,bottom_area,2024-01-17,21.55,2024-01-17,21.54,0.04642525533891162,2.599814298978655,31.226053639846747,False,-2.5328,1.0023,1,1,1,100.0,11.843817787418656,11.843817787418656,9.95357474466109,0.04642525533891162,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
25,76.4113186340242,69.77864851058034,002544,普天科技,bottom_area,2024-01-17,16.98,2024-01-17,16.94,0.23612750885477654,3.8370720188901917,30.516817063166524,False,-2.8604,0.6136,1,1,1,100.0,14.983974358974352,14.983974358974352,9.763872491145225,0.23612750885477654,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
26,76.06730939879289,69.15209945344807,002641,公元股份,bottom_area,2024-01-17,5.66,2024-01-17,5.66,0.0,9.187279151943455,28.081321473951714,False,-10.0159,12.9931,2,2,2,100.0,14.527416416387467,17.038539553752532,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
27,75.96179536679539,69.05617760617761,600981,苏豪汇鸿,bottom_area,2024-01-17,2.75,2024-01-17,2.75,0.0,3.2727272727272676,29.48717948717949,False,-2.1352,0.7993,1,1,1,100.0,20.463320463320475,20.463320463320475,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
28,75.91279901233361,71.91475444635199,002594,比亚迪,bottom_area,2024-01-17,186.8,2023-12-21,182.85,2.160240634399791,9.269893355209199,27.15139442231076,True,-4.3523,1.3805,1,1,1,100.0,11.237113402061862,11.237113402061862,7.8397593656002105,2.160240634399791,历史1/1次成功; 当前距低点2.16%; 最新日涨幅-4.35%; 状态bottom_area; 底部已确认
29,75.9089471266943,69.00813375154027,301396,宏景科技,bottom_area,2024-01-17,24.2,2024-01-17,24.2,0.0,3.719008264462819,29.753265602322216,False,-4.0444,4.6754,2,2,2,100.0,13.753407266345539,14.060963618485728,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
30,75.65937643321075,69.11234729772947,301419,阿莱德,bottom_area,2024-01-17,31.88,2024-01-17,31.8,0.25157232704401983,3.6163522012578686,27.347498286497608,False,-2.3583,2.9029,1,1,1,100.0,11.591033351558234,11.591033351558234,9.74842767295598,0.25157232704401983,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
31,75.40082278481013,68.54620253164556,002195,岩山科技,bottom_area,2024-01-17,2.73,2024-01-17,2.73,0.0,2.9304029304029333,30.0,False,-2.5,1.3497,1,1,1,100.0,17.72151898734177,17.72151898734177,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
32,75.20514247555084,68.85698885610338,601933,永辉超市,bottom_area,2024-01-17,2.69,2024-01-10,2.68,0.373134328358201,4.104477611940293,32.83208020050125,False,-1.8248,0.3082,1,1,1,100.0,11.70825335892515,11.70825335892515,9.6268656716418,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
33,74.95600729927008,68.14182481751826,001366,播恩集团,bottom_area,2024-01-17,14.98,2024-01-17,14.98,0.0,3.2042723631508707,27.911453320500485,False,-2.7273,5.8762,1,1,1,100.0,15.547445255474459,15.547445255474459,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
34,74.75163553057136,68.08562516996284,300513,恒实科技,bottom_area,2024-01-17,10.03,2024-01-17,10.02,0.09980039920159467,4.690618762475056,30.319888734353274,False,-3.1853,2.0645,1,1,1,100.0,14.42564559216384,14.42564559216384,9.900199600798405,0.09980039920159467,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
35,74.69711015092919,68.65832795946568,002385,大北农,bottom_area,2024-01-17,5.23,2024-01-17,5.2,0.5769230769230818,4.4230769230769145,30.201342281879196,False,-3.3272,1.1905,1,1,1,100.0,23.353293413173663,23.353293413173663,9.423076923076918,0.5769230769230818,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
36,74.17739123581337,67.56615384615385,000603,盛达资源,bottom_area,2024-01-17,9.76,2024-01-17,9.75,0.10256410256410037,4.307692307692307,27.670623145400597,False,-3.7475,1.7085,1,1,1,100.0,11.666666666666679,11.666666666666679,9.897435897435901,0.10256410256410037,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
37,74.02564081452748,67.4811342592156,001311,多利科技,bottom_area,2024-01-17,41.76,2024-01-17,41.7,0.14388489208631933,3.4772182254196538,28.717948717948715,False,-3.2437,3.4222,1,1,1,100.0,11.7160850170559,11.7160850170559,9.85611510791368,0.14388489208631933,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
38,72.7568287210172,66.81035714285714,002578,闽发铝业,bottom_area,2024-01-17,3.82,2024-01-17,3.8,0.5263157894736847,4.736842105263162,28.838951310861425,False,-4.2607,4.2248,1,1,1,100.0,12.797619047619053,12.797619047619053,9.473684210526317,0.5263157894736847,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
39,72.07920586230404,65.52655078391275,688122,西部超导,bottom_area,2024-01-17,38.81,2024-01-17,38.81,0.0,5.359443442411744,29.66654584994563,False,-5.11,1.3878,1,1,1,100.0,11.701885935014767,11.701885935014767,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
40,72.01356777493608,65.46687979539642,301339,通行宝,bottom_area,2024-01-17,17.39,2024-01-17,17.39,0.0,3.220241518113851,30.104501607717037,False,-3.0117,1.7438,1,1,1,100.0,11.381074168797946,11.381074168797946,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
41,71.05893060229818,64.9722613815951,605218,伟时电子,bottom_area,2024-01-17,19.94,2024-01-16,19.88,0.3018108651911583,3.571428571428576,31.941116056145162,False,-1.725,2.6155,2,3,2,66.66666666666666,28.83722305142083,42.36874236874236,9.698189134808842,0.3018108651911583,历史2/3次成功; 当前距低点0.30%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
42,69.3616620129666,63.33508507189476,300678,中科信息,bottom_area,2024-01-17,26.0,2024-01-16,25.94,0.23130300693908526,3.6237471087124042,29.58740499457112,False,-1.7385,1.9222,2,3,2,66.66666666666666,19.170910005640856,24.552238805970156,9.768696993060916,0.23130300693908526,历史2/3次成功; 当前距低点0.23%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
43,66.92653979684057,60.966658150698564,603123,翠微股份,bottom_area,2024-01-17,9.36,2024-01-17,9.35,0.10695187165775173,3.101604278074876,27.35042735042735,False,-3.2058,1.6234,2,3,2,66.66666666666666,15.128181459201945,16.108452950558224,9.89304812834225,0.10695187165775173,历史2/3次成功; 当前距低点0.11%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
44,66.3504661599886,60.698955129846446,002403,爱仕达,bottom_area,2024-01-17,9.14,2024-01-17,9.11,0.32930845225028693,8.562019758507148,32.91605301914581,False,-9.6838,12.3583,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,9.670691547749714,0.32930845225028693,历史2/3次成功; 当前距低点0.33%; 最新日涨幅-9.68%; 状态bottom_area; 底部未确认
45,66.23564216721114,60.308942697662935,300601,康泰生物,bottom_area,2024-01-17,24.31,2024-01-17,24.29,0.08233841086866849,4.116920543433512,28.93504973668812,False,-3.186,1.0714,2,3,2,66.66666666666666,11.290363482671175,11.580726965342352,9.917661589131333,0.08233841086866849,历史2/3次成功; 当前距低点0.08%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
46,61.69405598742386,56.085505443112595,688027,国盾量子,bottom_area,2024-01-17,103.06,2024-01-17,103.06,0.0,3.5319231515621974,28.28114126652748,False,-3.6732,0.5992,2,4,2,50.0,19.276910984476316,26.382393397524062,10.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
47,61.360608068925934,55.840881025714516,603037,凯众股份,bottom_area,2024-01-17,18.22,2024-01-17,18.21,0.05491488193299292,2.9654036243822026,27.101681345076056,False,-3.0335,2.1608,1,2,1,50.0,39.71014492753625,39.71014492753625,9.945085118067007,0.05491488193299292,历史1/2次成功; 当前距低点0.05%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
48,60.257766574641366,55.14279680229092,601011,宝泰隆,bottom_area,2024-01-17,2.9,2024-01-16,2.89,0.34602076124566733,5.8823529411764675,28.817733990147776,False,-2.6846,1.8852,1,2,1,50.0,29.31034482758621,29.31034482758621,9.653979238754333,0.34602076124566733,历史1/2次成功; 当前距低点0.35%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
49,60.13372817252194,54.98609385425159,601777,千里科技,bottom_area,2024-01-17,3.29,2024-01-17,3.28,0.3048780487804949,2.1341463414634236,28.850325379609554,False,-2.0833,0.2977,1,2,1,50.0,27.96352583586626,27.96352583586626,9.695121951219505,0.3048780487804949,历史1/2次成功; 当前距低点0.30%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
50,57.57433389544689,52.34030354131535,600986,浙文互联,bottom_area,2024-01-17,4.88,2024-01-17,4.88,0.0,3.0737704918032858,31.748251748251754,False,-2.008,1.837,1,2,1,50.0,22.25969645868466,22.25969645868466,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
51,55.48598268562185,50.67323741007195,002153,石基信息,bottom_area,2024-01-17,8.36,2024-01-17,8.34,0.23980815347721313,3.956834532374102,28.041415012942196,False,-3.5755,0.8037,1,2,1,50.0,14.193548387096769,14.193548387096769,9.760191846522789,0.23980815347721313,历史1/2次成功; 当前距低点0.24%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
52,53.64317391304349,48.76652173913044,002324,普利特,bottom_area,2024-01-17,10.52,2024-01-17,10.52,0.0,3.6121673003802353,31.599479843953194,False,-3.7511,1.0937,1,2,1,50.0,13.260869565217392,13.260869565217392,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
53,48.73949845976127,44.30863496341934,601633,长城汽车,bottom_area,2024-01-17,22.8,2024-01-17,22.8,0.0,3.4649122807017507,27.15654952076677,False,-3.1024,0.2289,1,4,1,25.0,10.12706969580286,10.12706969580286,10.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
