rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.72257628834602,86.75572375753356,603212,赛伍技术,bottom_area,2023-08-28,16.01,2023-08-25,15.81,1.2650221378874198,7.5268817204301035,30.198675496688736,True,0.4391,1.6737,2,2,2,100.0,30.698786193101522,32.01038575667657,18.734977862112583,1.2650221378874198,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
22,75.24779780240465,64.74875273522976,688148,芳源股份,bottom_area,2023-08-28,9.3,2023-08-23,9.14,1.7505470459518613,9.299781181619252,27.3449920508744,True,0.432,1.2798,1,2,1,50.0,26.66666666666668,26.66666666666668,18.249452954048138,1.7505470459518613,历史1/2次成功; 当前距低点1.75%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
23,74.70784958421982,63.625637590718995,000572,海马汽车,bottom_area,2023-08-28,4.26,2023-08-25,4.21,1.1876484560570029,6.650831353919245,31.096563011456634,False,0.4717,3.1939,1,2,1,50.0,22.92191435768261,22.92191435768261,18.812351543943,1.1876484560570029,历史1/2次成功; 当前距低点1.19%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
24,74.66322472585189,63.41351392422882,603236,移远通信,bottom_area,2023-08-28,43.81,2023-08-25,43.36,1.0378228782287888,6.134686346863477,30.30059475968494,False,0.5047,2.389,1,3,1,33.33333333333333,39.389337383102855,39.389337383102855,18.962177121771212,1.0378228782287888,历史1/3次成功; 当前距低点1.04%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
25,72.64069670378132,62.14359897973234,002765,蓝黛科技,bottom_area,2023-08-28,6.37,2023-08-25,6.28,1.433121019108278,7.802547770700626,29.675251959686445,True,0.9509,2.7624,1,3,1,33.33333333333333,28.213879408418663,28.213879408418663,18.566878980891723,1.433121019108278,历史1/3次成功; 当前距低点1.43%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
26,71.79325688073396,61.28692660550459,002265,建设工业,bottom_area,2023-08-28,12.32,2023-08-25,12.16,1.3157894736842117,6.907894736842104,28.344136711844424,False,0.9836,1.1537,1,4,1,25.0,32.75229357798165,32.75229357798165,18.684210526315788,1.3157894736842117,历史1/4次成功; 当前距低点1.32%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
27,71.71818241357157,62.32166315029177,002386,天原股份,bottom_area,2023-08-28,5.81,2023-08-25,5.68,2.2887323943661957,5.281690140845083,31.48371531966224,False,1.5734,1.4106,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,17.711267605633807,2.2887323943661957,历史1/3次成功; 当前距低点2.29%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
28,71.13104460451997,60.56991084222645,002845,同兴达,bottom_area,2023-08-28,13.73,2023-08-25,13.57,1.1790714812085494,5.600589535740603,29.322916666666664,False,0.7337,2.7206,1,3,1,33.33333333333333,25.83258325832584,25.83258325832584,18.82092851879145,1.1790714812085494,历史1/3次成功; 当前距低点1.18%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
29,70.69999999999996,62.619999999999976,002084,海鸥住工,bottom_area,2023-08-28,4.03,2023-08-25,3.9,3.3333333333333424,6.153846153846148,27.102803738317753,False,3.0691,4.12,1,2,1,50.0,43.81720430107525,43.81720430107525,16.666666666666657,3.3333333333333424,历史1/2次成功; 当前距低点3.33%; 最新日涨幅3.07%; 状态bottom_area; 底部未确认
30,68.73464035391038,59.65917499550777,603005,晶方科技,bottom_area,2023-08-28,18.38,2023-08-25,17.98,2.224694104560615,7.063403781979975,30.256012412723045,True,1.6593,2.809,1,3,1,33.33333333333333,24.55991516436903,24.55991516436903,17.775305895439388,2.224694104560615,历史1/3次成功; 当前距低点2.22%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
31,68.15392534934892,57.486026635927615,300423,昇辉科技,bottom_area,2023-08-28,9.15,2023-08-25,9.09,0.6600660066006655,5.720572057205716,29.37062937062937,False,0.5495,2.4041,1,2,1,50.0,23.28482328482329,23.28482328482329,19.339933993399335,0.6600660066006655,历史1/2次成功; 当前距低点0.66%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
32,67.80014292716544,57.473127570954595,605111,新洁能,bottom_area,2023-08-28,33.57,2023-08-25,33.26,0.9320505111244807,7.27600721587493,27.616974972796527,True,0.209,2.5983,1,3,1,33.33333333333333,36.800373134328346,36.800373134328346,19.06794948887552,0.9320505111244807,历史1/3次成功; 当前距低点0.93%; 最新日涨幅0.21%; 状态bottom_area; 底部已确认
33,67.55972786325924,57.03046854916338,300473,德尔股份,bottom_area,2023-08-28,15.74,2023-08-25,15.63,0.703774792066535,6.269993602047336,30.37861915367483,False,0.191,2.164,1,2,1,50.0,21.37137137137137,21.37137137137137,19.296225207933464,0.703774792066535,历史1/2次成功; 当前距低点0.70%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
34,67.1251714595689,56.31169399039824,300648,星云股份,bottom_area,2023-08-28,24.84,2023-08-28,24.75,0.3636363636363631,8.606060606060602,27.842565597667633,False,-0.64,1.9349,2,5,2,40.0,24.14400483596314,26.78362573099414,19.636363636363637,0.3636363636363631,历史2/5次成功; 当前距低点0.36%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
35,66.47557221475061,57.80104345428856,002838,道恩股份,bottom_area,2023-08-28,13.22,2023-08-25,12.92,2.3219814241486123,6.5789473684210495,29.629629629629626,False,1.6141,1.4902,1,3,1,33.33333333333333,24.95606326889279,24.95606326889279,17.67801857585139,2.3219814241486123,历史1/3次成功; 当前距低点2.32%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
36,65.29600950016193,58.01904458598726,002425,凯撒文化,bottom_area,2023-08-28,4.72,2023-08-25,4.56,3.5087719298245648,6.140350877192988,27.04000000000001,False,2.8322,2.5414,1,2,1,50.0,21.231422505307858,21.231422505307858,16.49122807017544,3.5087719298245648,历史1/2次成功; 当前距低点3.51%; 最新日涨幅2.83%; 状态bottom_area; 底部未确认
