rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
32,78.27403640813154,77.3675080312003,002326,永太科技,bottom_area,2024-07-02,7.92,2024-06-26,7.66,3.394255874673626,6.2663185378590125,27.393364928909957,False,-0.2519,0.6881,3,3,3,100.0,21.32479260997945,29.837587006960554,4.605744125326374,3.394255874673626,历史3/3次成功; 当前距低点3.39%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
33,77.96234395345468,73.27907904249682,600933,爱柯迪,bottom_area,2024-07-02,14.22,2024-07-02,14.11,0.779588944011348,5.457122608079386,29.66101694915254,False,-3.5278,0.8812,3,3,3,100.0,17.34699911205744,24.722838137472287,7.220411055988651,0.779588944011348,历史3/3次成功; 当前距低点0.78%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
34,77.90330911895782,77.0482805808351,002345,潮宏基,bottom_area,2024-07-02,4.83,2024-07-01,4.67,3.426124197002144,4.49678800856531,28.919330289193308,False,0.2075,0.6192,1,1,1,100.0,30.859375,30.859375,4.573875802997856,3.426124197002144,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
35,77.79883781522568,74.72468990004762,605089,味知香,bottom_area,2024-07-02,21.41,2024-07-01,21.01,1.9038553069966613,3.61732508329366,28.170940170940167,False,-0.4186,0.1864,1,1,1,100.0,22.180000000000007,22.180000000000007,6.096144693003339,1.9038553069966613,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
36,77.64260436175175,73.63070537305832,002572,索菲亚,bottom_area,2024-07-02,15.49,2024-06-28,15.3,1.2418300653594738,5.163398692810452,28.96935933147632,False,-3.0663,1.7947,1,1,1,100.0,18.398268398268392,18.398268398268392,6.758169934640526,1.2418300653594738,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
37,77.60533349369699,77.10402113016518,600268,国电南自,confirmed_rebound,2024-07-02,5.66,2024-06-28,5.46,3.663003663003666,8.424908424908423,30.08962868117797,True,-2.4138,1.7786,3,3,3,100.0,24.22402947211577,34.43298969072165,4.336996336996334,3.663003663003666,历史3/3次成功; 当前距低点3.66%; 最新日涨幅-2.41%; 状态confirmed_rebound; 底部已确认
38,77.45867629471718,77.85351621334517,603233,大参林,bottom_area,2024-07-02,14.67,2024-07-01,14.07,4.264392324093814,6.7519545131485375,30.859950859950864,False,-0.4749,1.0727,5,5,5,100.0,17.93726189397345,27.64192139737992,3.7356076759061865,4.264392324093814,历史5/5次成功; 当前距低点4.26%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
39,77.23370504614915,73.9850688773152,002557,洽洽食品,bottom_area,2024-07-02,28.24,2024-07-01,27.75,1.7657657657657602,2.990990990990985,27.82834850455137,False,-0.6334,0.6361,1,1,1,100.0,16.510832383124292,16.510832383124292,6.23423423423424,1.7657657657657602,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
40,77.06343135766808,76.66631089833854,002163,海南发展,bottom_area,2024-07-02,5.56,2024-07-01,5.36,3.731343283582076,5.037313432835813,29.100529100529094,False,0.5425,0.7157,1,1,1,100.0,32.54716981132074,32.54716981132074,4.268656716417924,3.731343283582076,历史1/1次成功; 当前距低点3.73%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
41,77.0556287403132,74.54905192206411,002416,爱施德,bottom_area,2024-07-02,8.97,2024-07-02,8.77,2.280501710376295,3.5347776510832443,28.349673202614383,False,-0.3333,0.802,2,2,2,100.0,9.185999041516526,9.811320754716984,5.719498289623705,2.280501710376295,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
42,76.85124780168007,72.17004238420603,001201,东瑞股份,confirmed_rebound,2024-07-02,16.49,2024-07-02,16.37,0.7330482590103692,8.063530849114235,30.48832271762208,False,-7.2553,6.7744,3,3,3,100.0,21.028991477148743,33.37921541637991,7.266951740989631,0.7330482590103692,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-7.26%; 状态confirmed_rebound; 底部未确认
43,76.80961644012261,76.33037761358668,000597,东北制药,bottom_area,2024-07-02,3.95,2024-06-24,3.81,3.6745406824147016,4.461942257217846,27.290076335877867,False,0.5089,0.5264,2,2,2,100.0,13.378120266087073,16.59751037344398,4.325459317585299,3.6745406824147016,历史2/2次成功; 当前距低点3.67%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
44,76.46779541337538,71.35225017546738,600345,长江通信,bottom_area,2024-07-02,17.53,2024-07-01,17.46,0.4009163802978252,3.8946162657502845,28.995526636844243,False,-2.9884,4.8291,1,1,1,100.0,25.46419098143237,25.46419098143237,7.599083619702175,0.4009163802978252,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
45,75.77747754065918,71.80490736885008,688141,杰华特,bottom_area,2024-07-02,14.33,2024-07-02,14.16,1.200564971751412,5.932203389830507,28.736789129340718,False,-4.5303,2.9658,1,1,1,100.0,8.076319916361745,8.076319916361745,6.799435028248587,1.200564971751412,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
46,75.6345764999587,74.89233335471867,600295,鄂尔多斯,bottom_area,2024-07-02,10.09,2024-06-27,9.75,3.4871794871794854,3.7948717948717867,27.61692650334076,False,0.1986,0.3324,1,1,1,100.0,20.016680567139286,20.016680567139286,4.5128205128205146,3.4871794871794854,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
47,75.61031163521704,75.7227247523752,000723,美锦能源,bottom_area,2024-07-02,4.85,2024-06-24,4.66,4.07725321888411,6.223175965665237,27.187500000000004,False,-0.2058,0.3414,3,3,3,100.0,20.85409726575785,30.434782608695667,3.9227467811158907,4.07725321888411,历史3/3次成功; 当前距低点4.08%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
48,75.56411064716892,75.39135834411388,002015,协鑫能科,bottom_area,2024-07-02,8.03,2024-06-25,7.73,3.8809831824061956,4.915912031047853,27.349624060150372,False,-0.1244,0.4093,1,1,1,100.0,65.95380667236954,65.95380667236954,4.1190168175938044,3.8809831824061956,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
49,75.53447614340014,76.69989328623912,002555,三七互娱,bottom_area,2024-07-02,13.11,2024-06-25,12.51,4.796163069544361,6.7146282973621085,28.391528334287347,False,0.306,1.6627,3,3,3,100.0,12.447016584947619,16.78160919540231,3.203836930455639,4.796163069544361,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
50,75.52926440852171,76.4374319164398,603037,凯众股份,confirmed_rebound,2024-07-02,13.13,2024-06-28,12.55,4.621513944223108,11.474103585657366,32.526881720430104,True,-2.7407,5.3516,3,3,3,100.0,32.38969736165862,47.48743718592965,3.378486055776892,4.621513944223108,历史3/3次成功; 当前距低点4.62%; 最新日涨幅-2.74%; 状态confirmed_rebound; 底部已确认
51,75.40350733669815,72.01972350230417,002035,华帝股份,bottom_area,2024-07-02,6.3,2024-06-28,6.2,1.6129032258064457,5.967741935483872,29.705215419501137,False,-3.0769,3.3661,1,1,1,100.0,14.285714285714274,14.285714285714274,6.387096774193554,1.6129032258064457,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
52,75.3218397966923,73.89408967861432,300740,水羊股份,bottom_area,2024-07-02,14.74,2024-07-01,14.31,3.004891684136965,4.751921733053806,30.364963503649633,False,0.9589,0.9224,1,1,1,100.0,8.73786407766991,8.73786407766991,4.995108315863035,3.004891684136965,历史1/1次成功; 当前距低点3.00%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
53,74.82735788779331,69.86818833647568,300450,先导智能,bottom_area,2024-07-02,16.14,2024-07-01,16.07,0.4355942750466726,2.8002489110143083,30.00871080139373,False,-2.1818,1.0972,1,1,1,100.0,17.91044776119403,17.91044776119403,7.5644057249533265,0.4355942750466726,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
54,74.76063915677135,73.65580212489787,000862,银星能源,bottom_area,2024-07-02,4.8,2024-06-26,4.65,3.2258064516128915,4.731182795698919,27.34375,False,-0.4149,1.0496,1,1,1,100.0,32.63785394932937,32.63785394932937,4.7741935483871085,3.2258064516128915,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
55,74.75062461786526,74.88094373397773,688206,概伦电子,confirmed_rebound,2024-07-02,14.25,2024-07-01,13.69,4.0905770635500405,8.61943024105186,27.18085106382979,False,-0.8351,2.4431,3,3,3,100.0,26.70677117673022,39.570720968629594,3.90942293644996,4.0905770635500405,历史3/3次成功; 当前距低点4.09%; 最新日涨幅-0.84%; 状态confirmed_rebound; 底部未确认
56,74.49522641995031,75.07214574314574,603217,元利科技,bottom_area,2024-07-02,14.47,2024-06-24,13.86,4.40115440115441,4.9783549783549885,32.5875486381323,False,0.5559,0.4757,2,2,2,100.0,15.520310633213857,19.81481481481482,3.5988455988455903,4.40115440115441,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
57,74.27871562479866,69.3012829395667,300693,盛弘股份,bottom_area,2024-07-02,20.35,2024-07-02,20.27,0.39467192895906195,4.0947212629501815,27.45168217609163,False,-3.463,2.8795,4,5,4,80.0,17.909327621469668,36.12334801762114,7.6053280710409386,0.39467192895906195,历史4/5次成功; 当前距低点0.39%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
