rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,66.76015561208591,63.664605356315484,002232,启明信息,bottom_area,2025-09-05,21.42,2025-09-05,20.41,4.9485546300833,7.202351788339044,27.521306818181817,False,2.0,8.4068,2,3,2,66.66666666666666,16.455071216337316,17.044757817290016,10.051445369916701,4.9485546300833,历史2/3次成功; 当前距低点4.95%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
28,63.81104207205349,59.56419988591366,300378,鼎捷数智,bottom_area,2025-09-05,48.9,2025-09-04,47.11,3.799617915516874,7.195924432180005,27.52307692307692,False,1.5998,6.4466,2,5,2,40.0,21.437251254258786,26.480086114101198,11.200382084483126,3.799617915516874,历史2/5次成功; 当前距低点3.80%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
29,63.45961791752159,58.916089018627446,002256,兆新股份,bottom_area,2025-09-05,2.95,2025-09-05,2.85,3.5087719298245648,5.964912280701752,28.571428571428577,False,-6.9401,22.9603,4,8,4,50.0,25.4090807453089,31.775700934579426,11.491228070175435,3.5087719298245648,历史4/8次成功; 当前距低点3.51%; 最新日涨幅-6.94%; 状态bottom_area; 底部未确认
30,62.952992479259386,58.649244162510215,300902,国安达,bottom_area,2025-09-05,23.01,2025-09-04,22.19,3.695358269490763,4.371338440739066,32.798304058146584,False,1.7691,5.0135,1,2,1,50.0,26.906779661016937,26.906779661016937,11.304641730509237,3.695358269490763,历史1/2次成功; 当前距低点3.70%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
31,62.71978973769976,59.64640621153299,688227,品高股份,bottom_area,2025-09-05,31.44,2025-09-04,30.0,4.800000000000004,7.999999999999995,31.818181818181817,False,2.1774,3.663,2,5,2,40.0,34.14196887920967,36.87150837988826,10.199999999999996,4.800000000000004,历史2/5次成功; 当前距低点4.80%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
32,62.67902192221714,58.6948459299673,002265,建设工业,bottom_area,2025-09-05,30.37,2025-09-05,29.21,3.971242725094146,9.448818897637787,28.756097560975608,False,-4.6468,9.9844,3,6,3,50.0,29.888598619257817,41.46981627296587,11.028757274905853,3.971242725094146,历史3/6次成功; 当前距低点3.97%; 最新日涨幅-4.65%; 状态bottom_area; 底部未确认
33,62.64392095464574,58.413461500606935,688682,霍莱沃,bottom_area,2025-09-05,29.1,2025-09-04,28.05,3.743315508021393,5.06238859180035,27.687548337200308,False,1.9979,1.8269,1,2,1,50.0,26.22699386503069,26.22699386503069,11.256684491978607,3.743315508021393,历史1/2次成功; 当前距低点3.74%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
34,61.765446172263076,57.62778737182943,603080,新疆火炬,bottom_area,2025-09-05,21.17,2025-08-28,20.4,3.7745098039215845,5.490196078431378,29.655172413793107,False,1.0019,2.5738,1,2,1,50.0,22.385321100917427,22.385321100917427,11.225490196078415,3.7745098039215845,历史1/2次成功; 当前距低点3.77%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
35,60.608696030486925,57.7844655077171,002298,中电鑫龙,bottom_area,2025-09-05,9.78,2025-09-05,9.32,4.935622317596557,4.935622317596557,27.187500000000004,False,2.1944,9.7237,3,7,3,42.857142857142854,19.60352591617565,23.734729493891784,10.064377682403443,4.935622317596557,历史3/7次成功; 当前距低点4.94%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
36,58.88921456508243,52.60377557336987,601606,长城军工,bottom_area,2025-09-05,53.55,2025-09-05,52.79,1.439666603523391,11.119530214055688,29.98673740053051,False,-8.7112,14.8195,1,3,1,33.33333333333333,18.886462882096076,18.886462882096076,13.56033339647661,1.439666603523391,历史1/3次成功; 当前距低点1.44%; 最新日涨幅-8.71%; 状态bottom_area; 底部未确认
37,56.987473765061786,54.22282323811826,002229,鸿博股份,bottom_area,2025-09-05,18.24,2025-09-04,17.4,4.827586206896551,8.2183908045977,27.500000000000007,False,1.7857,9.0694,1,2,1,50.0,16.987740805604197,16.987740805604197,10.172413793103448,4.827586206896551,历史1/2次成功; 当前距低点4.83%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
38,53.38730040348439,50.96060493059873,688152,麒麟信安,bottom_area,2025-09-05,50.4,2025-09-04,48.0,4.9999999999999964,7.708333333333339,29.046563192904664,False,2.7104,5.3532,1,3,1,33.33333333333333,21.006836544437533,21.006836544437533,10.000000000000004,4.9999999999999964,历史1/3次成功; 当前距低点5.00%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
