rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
54,72.38755696185736,67.95108139941614,601011,宝泰隆,bottom_area,2024-12-25,2.42,2024-12-25,2.38,1.6806722689075646,7.14285714285714,27.439024390243897,False,-4.7244,3.702,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,8.319327731092436,1.6806722689075646,历史2/3次成功; 当前距低点1.68%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
55,71.95880831694973,70.7520851412904,002481,双塔食品,bottom_area,2024-12-25,5.57,2024-12-25,5.35,4.112149532710293,5.4205607476635524,28.18791946308725,False,-1.0657,3.2668,3,4,3,75.0,32.057989655214385,54.6583850931677,5.887850467289707,4.112149532710293,历史3/4次成功; 当前距低点4.11%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
56,71.86135396645744,67.09111419566479,600382,广东明珠,bottom_area,2024-12-25,4.36,2024-12-25,4.3,1.395348837209314,3.720930232558143,31.200000000000006,False,-2.2422,1.2374,2,3,2,66.66666666666666,13.794854181910498,17.365269461077848,8.604651162790686,1.395348837209314,历史2/3次成功; 当前距低点1.40%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
57,71.51145396484112,68.0216476919498,000692,惠天热电,bottom_area,2024-12-25,3.45,2024-12-25,3.37,2.373887240356085,8.011869436201781,30.515463917525764,False,-3.3613,3.6459,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,7.626112759643916,2.373887240356085,历史2/3次成功; 当前距低点2.37%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
58,71.24669795374604,68.86925162805592,002659,凯文教育,bottom_area,2024-12-25,4.49,2024-12-25,4.35,3.218390804597714,6.666666666666668,29.611650485436897,False,-3.4409,4.333,1,1,1,100.0,17.027863777089777,17.027863777089777,6.781609195402286,3.218390804597714,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
59,70.70394076069194,69.23274493091009,002495,佳隆股份,bottom_area,2024-12-25,2.4,2024-12-25,2.31,3.89610389610389,6.926406926406932,30.630630630630627,False,-2.834,5.252,3,4,3,75.0,21.24119254853199,38.07339449541283,6.103896103896111,3.89610389610389,历史3/4次成功; 当前距低点3.90%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
60,69.30958282741673,65.4806306936363,300511,雪榕生物,bottom_area,2024-12-25,3.54,2024-12-25,3.47,2.0172910662824157,7.204610951008646,27.100840336134446,False,-3.8043,4.1062,3,5,3,60.0,20.752980240646266,29.220779220779214,7.982708933717585,2.0172910662824157,历史3/5次成功; 当前距低点2.02%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
61,68.91801743783999,66.34895033723978,002205,国统股份,confirmed_rebound,2024-12-25,8.91,2024-12-25,8.65,3.005780346820807,10.86705202312138,30.41029766693483,False,-7.0907,13.8725,1,1,1,100.0,11.086717892425904,11.086717892425904,6.9942196531791945,3.005780346820807,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-7.09%; 状态confirmed_rebound; 底部未确认
62,68.05832428514532,65.32585766268934,002162,悦心健康,bottom_area,2024-12-25,3.61,2024-12-24,3.51,2.8490028490028516,7.122507122507122,30.21868787276343,True,0.838,7.0544,1,2,1,50.0,43.23432343234324,43.23432343234324,7.150997150997148,2.8490028490028516,历史1/2次成功; 当前距低点2.85%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
63,67.98767947259559,66.3933651129748,002861,瀛通通讯,bottom_area,2024-12-25,12.16,2024-12-25,11.72,3.754266211604091,8.703071672354945,27.475247524752472,False,-4.7022,10.577,3,4,3,75.0,14.452107932430843,18.668012108980825,6.24573378839591,3.754266211604091,历史3/4次成功; 当前距低点3.75%; 最新日涨幅-4.70%; 状态bottom_area; 底部未确认
64,67.72979036679436,64.7970336313471,000955,欣龙控股,bottom_area,2024-12-25,4.22,2024-12-25,4.11,2.6763990267639763,7.785888077858866,29.743589743589734,False,-4.5249,3.8782,2,3,2,66.66666666666666,27.37933734248553,28.498727735368945,7.323600973236025,2.6763990267639763,历史2/3次成功; 当前距低点2.68%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
