rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.25745516973383,76.4917913212387,600203,福日电子,bottom_area,2025-03-28,9.29,2025-03-28,9.25,0.43243243243242324,3.135135135135126,30.711610486891384,False,-2.5184,4.904,3,3,3,100.0,20.149125092390385,24.045801526717554,14.567567567567577,0.43243243243242324,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
18,66.21284417195366,62.598261709440294,000736,中交地产,bottom_area,2025-03-28,5.36,2025-03-25,5.13,4.483430799220281,7.992202729044837,29.822161422708614,True,-0.1862,2.4183,2,3,2,66.66666666666666,18.300092822558383,19.029126213592225,10.516569200779719,4.483430799220281,历史2/3次成功; 当前距低点4.48%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
19,65.49499515536218,57.45888256957079,002724,海洋王,bottom_area,2025-03-28,6.36,2025-03-28,6.33,0.4739336492891035,6.9510268562401185,32.154340836012864,False,-7.6923,10.793,2,4,2,50.0,20.212103709408286,25.204081632653047,14.526066350710895,0.4739336492891035,历史2/4次成功; 当前距低点0.47%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
20,65.11773573941495,58.45959006211183,002580,圣阳股份,bottom_area,2025-03-28,13.1,2025-03-28,12.88,1.7080745341614818,3.027950310558997,30.340724716062727,False,-0.4559,7.1128,1,2,1,50.0,24.0,24.0,13.291925465838517,1.7080745341614818,历史1/2次成功; 当前距低点1.71%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
21,63.257957749101905,55.23205042213536,000710,贝瑞基因,bottom_area,2025-03-28,13.76,2025-03-28,13.73,0.2184996358339356,2.9133284777858726,27.926509186351705,False,-1.1494,6.1536,2,5,2,40.0,16.560374149659864,17.3469387755102,14.781500364166064,0.2184996358339356,历史2/5次成功; 当前距低点0.22%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
22,63.196517934815816,55.12907717006521,000409,云鼎科技,bottom_area,2025-03-28,11.74,2025-03-28,11.72,0.17064846416381887,3.668941979522182,30.238095238095237,False,-2.6534,9.0879,1,3,1,33.33333333333333,46.53130287648054,46.53130287648054,14.82935153583618,0.17064846416381887,历史1/3次成功; 当前距低点0.17%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
23,62.715589583088615,54.778264537681906,002164,宁波东力,bottom_area,2025-03-28,8.43,2025-03-28,8.41,0.2378121284185443,3.686087990487521,31.847649918962723,False,-1.0563,9.5641,1,3,1,33.33333333333333,45.468509984639034,45.468509984639034,14.762187871581457,0.2378121284185443,历史1/3次成功; 当前距低点0.24%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
24,62.39341773940821,54.35895342785497,002599,盛通股份,bottom_area,2025-03-28,9.79,2025-03-28,9.78,0.10224948875255406,1.9427402862985819,27.609178386380464,False,-1.3105,3.2488,1,2,1,50.0,22.107969151670947,22.107969151670947,14.897750511247446,0.10224948875255406,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
25,61.02447424961924,53.279435604145874,000779,甘咨询,bottom_area,2025-03-28,9.28,2025-03-28,9.26,0.21598272138228483,3.4557235421166337,29.528158295281585,False,-0.4292,4.9167,1,2,1,50.0,17.69825918762089,17.69825918762089,14.784017278617714,0.21598272138228483,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
26,60.390693467651886,52.9664320401655,301389,隆扬电子,bottom_area,2025-03-28,21.87,2025-03-28,21.77,0.45934772622876174,3.7666513550757936,29.31818181818182,False,-2.5401,6.0447,1,2,1,50.0,18.998628257887525,18.998628257887525,14.540652273771236,0.45934772622876174,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
27,59.557348065445076,52.423129253327915,300605,恒锋信息,bottom_area,2025-03-28,13.91,2025-03-28,13.82,0.6512301013024592,3.039073806078147,31.0379241516966,False,-1.2074,4.9884,1,2,1,50.0,18.429752066115707,18.429752066115707,14.348769898697542,0.6512301013024592,历史1/2次成功; 当前距低点0.65%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
28,57.36031795128216,50.17729443293661,001202,炬申股份,bottom_area,2025-03-28,15.7,2025-03-28,15.65,0.31948881789136696,2.492012779552708,29.914912673533355,False,-4.0929,10.6842,2,6,2,33.33333333333333,15.281696797825822,15.531135531135526,14.680511182108633,0.31948881789136696,历史2/6次成功; 当前距低点0.32%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
29,55.99922272904181,49.55277390197884,002279,久其软件,bottom_area,2025-03-28,6.48,2025-03-25,6.42,0.9345794392523442,3.4267912772585634,27.04545454545455,False,-1.0687,2.1955,1,3,1,33.33333333333333,25.915492957746476,25.915492957746476,14.065420560747654,0.9345794392523442,历史1/3次成功; 当前距低点0.93%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
30,55.16705666025456,48.260851400952475,605303,园林股份,bottom_area,2025-03-28,9.35,2025-03-28,9.32,0.3218884120171605,2.145922746781108,31.771595900439237,False,-1.4752,2.0344,1,5,1,20.0,23.681489141675293,23.681489141675293,14.678111587982839,0.3218884120171605,历史1/5次成功; 当前距低点0.32%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
31,54.72472903081609,48.28889271801019,002196,方正电机,bottom_area,2025-03-28,9.0,2025-03-28,8.93,0.7838745800671924,4.031354983202681,31.254811393379526,False,-1.2075,9.8687,1,4,1,25.0,18.661971830985923,18.661971830985923,14.216125419932807,0.7838745800671924,历史1/4次成功; 当前距低点0.78%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
