rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.34639164682307,77.70364958934958,002530,金财互联,bottom_area,2024-12-19,9.96,2024-12-19,9.84,1.2195121951219614,4.065040650406507,30.06396588486141,False,-1.1905,12.3567,3,4,3,75.0,33.97385695821315,54.814814814814795,13.780487804878039,1.2195121951219614,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
12,71.75089109183884,65.47582565402185,300497,富祥股份,bottom_area,2024-12-19,9.13,2024-12-19,8.9,2.584269662921353,2.696629213483148,31.274131274131268,False,-0.3275,1.7498,2,3,2,66.66666666666666,19.68437536997772,24.094025465230157,12.415730337078648,2.584269662921353,历史2/3次成功; 当前距低点2.58%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
13,63.97514690089765,59.79401946877041,000721,西安饮食,bottom_area,2024-12-19,10.74,2024-12-19,10.34,3.8684719535783403,6.673114119922626,27.183098591549292,False,-3.6771,16.348,4,7,4,57.14285714285714,19.062172550309644,20.485175202156327,11.13152804642166,3.8684719535783403,历史4/7次成功; 当前距低点3.87%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
14,62.580308350054885,57.341006795282354,688227,品高股份,bottom_area,2024-12-19,26.77,2024-12-19,26.04,2.8033794162826435,4.6850998463901785,28.657534246575345,False,-1.5447,3.9235,1,2,1,50.0,31.412429378531087,31.412429378531087,12.196620583717356,2.8033794162826435,历史1/2次成功; 当前距低点2.80%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
15,62.282242440828064,58.964485942948286,002148,北纬科技,bottom_area,2024-12-19,7.34,2024-12-19,7.02,4.558404558404563,7.407407407407414,27.47933884297521,False,-5.8974,30.8193,2,3,2,66.66666666666666,19.09129929808615,19.756097560975626,10.441595441595435,4.558404558404563,历史2/3次成功; 当前距低点4.56%; 最新日涨幅-5.90%; 状态bottom_area; 底部未确认
16,61.88441010069411,57.83311441418554,603078,江化微,bottom_area,2024-12-19,17.48,2024-12-18,16.83,3.8621509209744636,4.1592394533571175,27.799227799227804,False,1.1574,3.2452,1,2,1,50.0,24.563540397888758,24.563540397888758,11.137849079025536,3.8621509209744636,历史1/2次成功; 当前距低点3.86%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
17,60.58452308354492,52.68219398569124,002403,爱仕达,bottom_area,2024-12-19,17.78,2024-12-19,17.78,0.0,5.174353205849258,27.280163599181996,False,-9.9747,19.0989,2,6,2,33.33333333333333,37.090648668590894,52.542372881355924,15.0,0.0,历史2/6次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
18,59.35320564700165,53.420682372490816,688196,卓越新能,bottom_area,2024-12-19,35.33,2024-12-19,34.69,1.8449120784087651,4.554626693571651,27.517760133723364,False,-1.2853,1.553,1,4,1,25.0,19.41979522184301,19.41979522184301,13.155087921591235,1.8449120784087651,历史1/4次成功; 当前距低点1.84%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
19,58.68488175036863,52.963450444244216,600382,广东明珠,bottom_area,2024-12-19,4.61,2024-12-19,4.52,1.9911504424778927,1.9911504424778927,27.680000000000003,False,-0.2165,1.2412,1,3,1,33.33333333333333,17.365269461077848,17.365269461077848,13.008849557522106,1.9911504424778927,历史1/3次成功; 当前距低点1.99%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
20,55.86825083470303,52.6043876894272,603116,红蜻蜓,bottom_area,2024-12-19,6.6,2024-12-18,6.33,4.265402843601889,6.477093206951029,30.36303630363036,False,-1.6393,2.906,1,2,1,50.0,23.86831275720163,23.86831275720163,10.734597156398111,4.265402843601889,历史1/2次成功; 当前距低点4.27%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
21,53.227976517530074,46.73094466936571,002031,巨轮智能,bottom_area,2024-12-19,5.88,2024-12-19,5.85,0.5128205128205171,5.470085470085475,31.1764705882353,False,-5.7692,20.2257,1,3,1,33.33333333333333,15.789473684210522,15.789473684210522,14.487179487179484,0.5128205128205171,历史1/3次成功; 当前距低点0.51%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
