rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.73268077345634,74.3121138211382,688166,博瑞医药,bottom_area,2024-10-15,29.6,2024-10-15,29.52,0.2710027100271065,5.758807588075879,28.67842474027543,False,-3.9896,5.0743,1,1,1,100.0,50.993377483443716,50.993377483443716,19.728997289972895,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
12,78.27566848460786,66.10127812897953,688337,普源精电,bottom_area,2024-10-15,30.59,2024-10-14,30.37,0.7243990780375332,7.606190319394135,27.17026378896883,True,-5.2941,3.0736,3,5,3,60.0,38.886602295188766,54.46153846153845,19.275600921962468,0.7243990780375332,历史3/5次成功; 当前距低点0.72%; 最新日涨幅-5.29%; 状态bottom_area; 底部已确认
13,75.82242846423624,64.5432338308458,000430,张家界,bottom_area,2024-10-15,6.1,2024-10-14,6.03,1.1608623548921955,3.316749585406305,27.349397590361452,False,-1.7713,3.8622,1,2,1,50.0,53.99999999999999,53.99999999999999,18.839137645107805,1.1608623548921955,历史1/2次成功; 当前距低点1.16%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
14,71.8496712658964,62.94268722466959,688315,诺禾致源,bottom_area,2024-10-15,11.66,2024-10-14,11.35,2.731277533039652,8.01762114537445,27.70700636942675,True,-3.5567,0.9655,2,5,2,40.0,54.319731958499396,86.2826357231662,17.268722466960348,2.731277533039652,历史2/5次成功; 当前距低点2.73%; 最新日涨幅-3.56%; 状态bottom_area; 底部已确认
15,70.52543869107124,62.958944256604084,301499,维科精密,bottom_area,2024-10-15,26.46,2024-10-14,25.5,3.7647058823529442,8.78431372549019,29.166666666666668,True,-3.6066,13.0989,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,16.235294117647054,3.7647058823529442,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-3.61%; 状态bottom_area; 底部已确认
16,69.69989246322865,60.1737203746604,688331,荣昌生物,bottom_area,2024-10-15,30.08,2024-10-14,29.51,1.9315486275838587,7.760081328363263,29.721362229102166,True,-2.4327,1.9255,1,2,1,50.0,26.761565836298917,26.761565836298917,18.068451372416142,1.9315486275838587,历史1/2次成功; 当前距低点1.93%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
17,67.57004645314528,61.20383081065221,300560,中富通,bottom_area,2024-10-15,14.44,2024-10-11,13.81,4.5619116582186745,10.644460535843583,27.277514481305943,True,-2.6954,7.6986,2,4,2,50.0,31.209620383821402,41.47727272727274,15.438088341781325,4.5619116582186745,历史2/4次成功; 当前距低点4.56%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
18,66.17785711490075,57.24728124126363,688047,龙芯中科,bottom_area,2024-10-15,124.0,2024-10-14,121.52,2.0408163265306154,7.455562870309428,28.043581241117955,True,-2.6917,1.8719,1,4,1,25.0,33.20076594491089,33.20076594491089,17.959183673469386,2.0408163265306154,历史1/4次成功; 当前距低点2.04%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
19,65.95801929760363,59.27016544686396,688107,安路科技,bottom_area,2024-10-15,25.24,2024-10-14,24.24,4.125412541254125,10.396039603960409,30.74285714285715,True,-3.5168,2.4111,2,5,2,40.0,47.34465613399662,67.95615731785945,15.874587458745875,4.125412541254125,历史2/5次成功; 当前距低点4.13%; 最新日涨幅-3.52%; 状态bottom_area; 底部已确认
20,65.5627981432218,59.44530617766268,301360,荣旗科技,bottom_area,2024-10-15,51.21,2024-10-14,48.95,4.61695607763023,9.050051072522981,27.28758169934639,True,-1.6894,7.8903,2,4,2,50.0,22.42992491752477,23.857583403420236,15.38304392236977,4.61695607763023,历史2/4次成功; 当前距低点4.62%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
21,64.6150985685232,58.37528360897236,688320,禾川科技,bottom_area,2024-10-15,26.7,2024-10-14,25.57,4.419241298396555,9.307782557684781,30.440696409140365,True,-2.4479,2.7793,2,5,2,40.0,35.920181555465064,38.29133374308544,15.580758701603447,4.419241298396555,历史2/5次成功; 当前距低点4.42%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
22,64.05560157969185,53.914174846852184,688062,迈威生物,bottom_area,2024-10-15,24.04,2024-10-15,23.91,0.5437055625261356,5.604349644500208,27.545454545454547,False,-4.3755,2.2237,1,2,1,50.0,35.34313725490197,35.34313725490197,19.456294437473865,0.5437055625261356,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
23,62.617777719841456,55.58798763952295,688308,欧科亿,bottom_area,2024-10-15,17.95,2024-10-14,17.35,3.458213256484137,7.146974063400567,30.09669621273166,True,-2.973,1.2229,1,3,1,33.33333333333333,40.26548672566372,40.26548672566372,16.541786743515864,3.458213256484137,历史1/3次成功; 当前距低点3.46%; 最新日涨幅-2.97%; 状态bottom_area; 底部已确认
24,62.156105995017576,54.554770171898696,300769,德方纳米,bottom_area,2024-10-15,38.44,2024-10-11,37.38,2.835741037988216,11.3697164258962,29.471698113207545,True,-3.5141,11.5089,2,7,2,28.57142857142857,30.946096904441454,41.300000000000004,17.164258962011786,2.835741037988216,历史2/7次成功; 当前距低点2.84%; 最新日涨幅-3.51%; 状态bottom_area; 底部已确认
25,60.69407891436852,52.23210369250098,300347,泰格医药,bottom_area,2024-10-15,61.38,2024-10-14,60.32,1.7572944297082265,6.92970822281167,27.140959053025732,False,-3.8233,2.3423,1,3,1,33.33333333333333,20.78172934893761,20.78172934893761,18.242705570291776,1.7572944297082265,历史1/3次成功; 当前距低点1.76%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
26,59.993574690149984,52.12785388127852,688148,芳源股份,bottom_area,2024-10-15,4.48,2024-10-14,4.38,2.2831050228310628,6.164383561643846,27.0,False,-3.0303,1.6641,1,3,1,33.33333333333333,26.66666666666668,26.66666666666668,17.71689497716894,2.2831050228310628,历史1/3次成功; 当前距低点2.28%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
27,59.128618561414775,50.88521390827433,688202,美迪西,bottom_area,2024-10-15,33.0,2024-10-14,32.43,1.75763182238668,8.171446191797713,27.724537552930684,True,-4.5691,4.5067,1,6,1,16.666666666666664,23.795418261555337,23.795418261555337,18.242368177613322,1.75763182238668,历史1/6次成功; 当前距低点1.76%; 最新日涨幅-4.57%; 状态bottom_area; 底部已确认
28,57.941102048311606,51.57088776483849,300573,兴齐眼药,bottom_area,2024-10-15,88.89,2024-10-11,85.8,3.6013986013986052,9.615384615384617,32.80601456652831,True,-4.0893,8.4275,1,5,1,20.0,42.86062675283501,42.86062675283501,16.398601398601397,3.6013986013986052,历史1/5次成功; 当前距低点3.60%; 最新日涨幅-4.09%; 状态bottom_area; 底部已确认
29,57.853463228985305,48.583471130971,688117,圣诺生物,bottom_area,2024-10-15,26.32,2024-10-14,26.21,0.4196871423120924,5.036245707745136,29.123850730124385,False,-3.766,2.1687,1,3,1,33.33333333333333,24.6076585059636,24.6076585059636,19.580312857687908,0.4196871423120924,历史1/3次成功; 当前距低点0.42%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
30,56.98611459733063,48.13346614390021,688059,华锐精密,bottom_area,2024-10-15,49.25,2024-10-14,48.89,0.7363469012067896,5.338515033749232,31.140845070422536,False,-3.0893,1.9283,1,5,1,20.0,38.29213483146067,38.29213483146067,19.263653098793213,0.7363469012067896,历史1/5次成功; 当前距低点0.74%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
31,54.93074225879466,49.663377419370846,688017,绿的谐波,bottom_area,2024-10-15,81.5,2024-10-14,78.02,4.460394770571654,10.228146629069474,31.543388611037997,True,-2.5003,3.3024,1,4,1,25.0,22.08643815201191,22.08643815201191,15.539605229428346,4.460394770571654,历史1/4次成功; 当前距低点4.46%; 最新日涨幅-2.50%; 状态bottom_area; 底部已确认
32,54.445070963899994,49.43506036217305,300713,英可瑞,bottom_area,2024-10-15,15.61,2024-10-11,14.91,4.694835680751169,9.993293091884631,27.23279648609077,True,-1.7621,7.2825,1,4,1,25.0,23.73271889400922,23.73271889400922,15.305164319248831,4.694835680751169,历史1/4次成功; 当前距低点4.69%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
33,50.94052319651427,45.66448080710145,688173,希荻微,bottom_area,2024-10-15,10.94,2024-10-14,10.52,3.9923954372623567,10.266159695817493,29.63210702341137,True,-3.0142,2.9529,1,6,1,16.666666666666664,23.120837297811605,23.120837297811605,16.007604562737644,3.9923954372623567,历史1/6次成功; 当前距低点3.99%; 最新日涨幅-3.01%; 状态bottom_area; 底部已确认
