rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.10249425319348,83.6594236605443,002219,新里程,bottom_area,2024-09-04,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.0,0.666,2,2,2,100.0,34.81175156302061,45.685279187817265,17.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
13,76.38479821656476,64.8876652355666,600956,新天绿能,bottom_area,2024-09-04,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-1.6035,0.2632,1,2,1,50.0,41.27358490566036,41.27358490566036,18.95209580838323,1.0479041916167708,历史1/2次成功; 当前距低点1.05%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
14,73.1076111134524,62.114180789602294,603069,海汽集团,bottom_area,2024-09-04,14.34,2024-09-04,14.19,1.0570824524312923,4.862579281183941,30.982490272373536,False,-5.0331,2.7047,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,18.942917547568708,1.0570824524312923,历史2/6次成功; 当前距低点1.06%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
15,71.18634782282075,62.21186582685251,300562,乐心医疗,bottom_area,2024-09-04,11.84,2024-09-04,11.54,2.5996533795494,7.972270363951489,32.672112018669786,False,-1.5794,30.3589,2,4,2,50.0,21.769223291533006,22.71604938271605,17.400346620450602,2.5996533795494,历史2/4次成功; 当前距低点2.60%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
16,71.16386194644858,60.15817949601485,002357,富临运业,bottom_area,2024-09-04,5.16,2024-08-29,5.12,0.7812500000000007,4.492187499999991,28.08988764044944,False,-0.7692,2.0124,2,4,2,50.0,28.276502666746573,31.941031941031934,19.21875,0.7812500000000007,历史2/4次成功; 当前距低点0.78%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
17,71.08982879846873,62.811159346182066,600183,生益科技,bottom_area,2024-09-04,17.42,2024-08-29,16.88,3.1990521327014383,7.2274881516587826,29.519832985386223,True,-1.1351,0.6502,2,4,2,50.0,23.14515165989969,25.158227848101262,16.800947867298564,3.1990521327014383,历史2/4次成功; 当前距低点3.20%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
18,68.86008878759269,60.38271284613958,688287,退市观典,bottom_area,2024-09-04,4.06,2024-08-30,3.95,2.784810126582264,9.87341772151898,31.77892918825561,True,0.0,1.7502,1,4,1,25.0,36.70473083197391,36.70473083197391,17.215189873417735,2.784810126582264,历史1/4次成功; 当前距低点2.78%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
19,66.56952001585624,56.256790857567594,000922,佳电股份,bottom_area,2024-09-04,9.23,2024-09-04,9.16,0.7641921397379944,2.18340611353711,27.01195219123506,False,-1.8085,1.0516,1,2,1,50.0,40.42553191489362,40.42553191489362,19.235807860262007,0.7641921397379944,历史1/2次成功; 当前距低点0.76%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
20,66.5484495396323,58.45104105781611,300686,智动力,bottom_area,2024-09-04,8.59,2024-09-04,8.35,2.8742514970059907,8.982035928143713,31.78104575163399,False,-8.4222,28.7117,1,2,1,50.0,48.46416382252562,48.46416382252562,17.12574850299401,2.8742514970059907,历史1/2次成功; 当前距低点2.87%; 最新日涨幅-8.42%; 状态bottom_area; 底部未确认
21,66.50719981459552,57.97136773136775,000597,东北制药,bottom_area,2024-09-04,4.17,2024-08-26,4.07,2.457002457002448,5.65110565110564,32.053422370617696,False,-0.9501,1.2232,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,17.54299754299755,2.457002457002448,历史1/3次成功; 当前距低点2.46%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
22,66.20477924614288,55.41865801219833,300401,花园生物,bottom_area,2024-09-04,12.29,2024-09-04,12.26,0.24469820554648744,2.3654159869494364,27.967097532314924,False,-1.8371,3.1102,1,2,1,50.0,29.551451187335093,29.551451187335093,19.755301794453516,0.24469820554648744,历史1/2次成功; 当前距低点0.24%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
23,65.94204296190175,57.4214419050268,002682,龙洲股份,bottom_area,2024-09-04,3.41,2024-08-28,3.33,2.4024024024024047,6.606606606606599,30.76923076923076,False,-1.4451,1.8129,1,2,1,50.0,26.929674099485425,26.929674099485425,17.5975975975976,2.4024024024024047,历史1/2次成功; 当前距低点2.40%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
24,65.4958731178022,57.607014450952086,603282,亚光股份,bottom_area,2024-09-04,12.56,2024-08-26,12.2,2.9508196721311575,6.311475409836078,27.164179104477615,False,-0.5542,1.6275,1,2,1,50.0,34.64991023339317,34.64991023339317,17.049180327868843,2.9508196721311575,历史1/2次成功; 当前距低点2.95%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
25,65.39482303613268,55.1566037735849,603132,金徽股份,bottom_area,2024-09-04,10.71,2024-09-04,10.64,0.6578947368421079,1.879699248120294,29.019346230820542,False,-1.108,1.1573,1,2,1,50.0,33.20754716981132,33.20754716981132,19.342105263157894,0.6578947368421079,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
26,63.273871061664316,56.650160041434994,000037,深南电A,bottom_area,2024-09-04,7.15,2024-08-28,6.88,3.9244186046511698,5.523255813953487,28.92561983471074,False,1.2748,2.364,2,8,2,25.0,39.8001852690304,45.16765285996055,16.07558139534883,3.9244186046511698,历史2/8次成功; 当前距低点3.92%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
27,62.95199999999999,52.459999999999994,002110,三钢闽光,bottom_area,2024-09-04,2.6,2024-09-04,2.6,0.0,1.5384615384615397,30.85106382978723,False,-1.1407,0.2627,1,2,1,50.0,22.90322580645161,22.90322580645161,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
28,58.995696846296546,52.67472932705049,002545,东方铁塔,bottom_area,2024-09-04,6.05,2024-07-25,5.83,3.773584905660373,7.375643224699823,29.247572815533985,True,-0.4934,0.3859,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,16.22641509433963,3.773584905660373,历史1/3次成功; 当前距低点3.77%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
29,55.61345078971265,50.5815575278554,300653,正海生物,bottom_area,2024-09-04,19.26,2024-08-28,18.38,4.78781284004354,7.83460282916214,27.466456195737965,True,-0.1037,0.5791,1,3,1,33.33333333333333,29.647513278609367,29.647513278609367,15.21218715995646,4.78781284004354,历史1/3次成功; 当前距低点4.79%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
30,52.39804609589898,47.77139521834231,002732,燕塘乳业,bottom_area,2024-09-04,13.65,2024-08-23,13.01,4.919292851652579,5.918524212144502,29.599567099567103,False,-0.365,0.2639,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,15.080707148347422,4.919292851652579,历史1/3次成功; 当前距低点4.92%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
