rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.91669442317706,87.03708683828252,300355,蒙草生态,bottom_area,2026-06-09,3.03,4.38,2026-06-08,2.99,1.3377926421404545,4.682274247491628,31.735159817351594,30.82191780821918,False,0.3311258278145601,1.0874363456109826,3,3,3,100.0,25.63039818474601,33.201581027668,18.662207357859547,1.3377926421404545,历史3/3次成功; 当前距低点1.34%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
62,83.14575586356679,72.37383607557433,002322,理工能科,bottom_area,2026-06-09,10.75,14.57,2026-06-08,10.5,2.380952380952381,4.571428571428576,27.934111187371315,26.218256691832536,False,0.9389671361502261,0.5718559439527106,3,5,3,60.0,29.58283604379443,38.507109004739334,17.61904761904762,2.380952380952381,历史3/5次成功; 当前距低点2.38%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
63,82.64118685255201,74.37878592216798,603912,佳力图,bottom_area,2026-06-09,8.66,11.6,2026-06-08,8.31,4.211793020457276,6.137184115523462,28.362068965517235,25.344827586206893,False,2.2432113341204207,2.768830957247761,1,1,1,100.0,26.13803230543319,26.13803230543319,15.788206979542723,4.211793020457276,历史1/1次成功; 当前距低点4.21%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
64,82.47658605117462,71.22840260109702,300471,厚普股份,bottom_area,2026-06-09,9.41,13.73,2026-06-08,9.23,1.950162513542792,5.850487540628376,32.77494537509104,31.4639475600874,False,0.7494646680942241,1.5246950280224358,2,3,2,66.66666666666666,20.366163791978032,20.386007237635724,18.04983748645721,1.950162513542792,历史2/3次成功; 当前距低点1.95%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
65,82.3136419179779,71.4773080568089,603178,圣龙股份,bottom_area,2026-06-09,16.82,24.0,2026-06-05,16.45,2.249240121580553,7.659574468085116,31.45833333333334,29.916666666666664,False,-0.414446417998815,2.204246114744947,6,9,6,66.66666666666666,31.176929394332788,47.51869476546566,17.750759878419448,2.249240121580553,历史6/9次成功; 当前距低点2.25%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
66,82.29903326441287,74.45340557967313,002052,同洲电子,bottom_area,2026-06-09,9.3,12.23,2026-06-08,8.9,4.494382022471914,7.415730337078654,27.22812755519215,23.957481602616514,True,2.310231023102327,1.9797873020377246,1,1,1,100.0,20.8096590909091,20.8096590909091,15.505617977528086,4.494382022471914,历史1/1次成功; 当前距低点4.49%; 最新日涨幅2.31%; 状态bottom_area; 底部已确认
67,82.03063113982232,69.55748948540577,301513,尚水智能,bottom_area,2026-06-09,62.77,91.98,2026-06-09,62.18,0.948858153747191,4.358314570601482,32.39834746684062,31.756903674711896,False,-2.1206923436769,9.183085897961966,1,1,1,100.0,22.53164556962025,22.53164556962025,19.05114184625281,0.948858153747191,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
68,81.5887632693162,69.71237520355069,603230,内蒙新华,bottom_area,2026-06-09,9.65,13.4,2026-06-08,9.52,1.3655462184874032,3.4663865546218497,28.95522388059702,27.985074626865668,False,-0.8221993833504637,0.41100578120523235,2,3,2,66.66666666666666,27.522332876533863,31.521142229544196,18.634453781512597,1.3655462184874032,历史2/3次成功; 当前距低点1.37%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
69,80.13915464313615,69.1683185840708,002685,华东重机,bottom_area,2026-06-09,6.91,9.78,2026-06-08,6.78,1.9174041297935085,5.457227138643069,30.674846625766865,29.345603271983634,False,0.8759124087591275,2.4949494871172573,2,5,2,40.0,67.4891774891775,109.52380952380952,18.082595870206493,1.9174041297935085,历史2/5次成功; 当前距低点1.92%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
70,80.10587098263288,69.95099179930673,002519,银河电子,bottom_area,2026-06-09,6.42,9.11,2026-06-08,6.26,2.5559105431309925,7.028753993610231,31.284302963776067,29.52799121844127,False,1.2618296529968376,2.689090743609134,2,3,2,66.66666666666666,20.923662209562995,20.959595959595962,17.44408945686901,2.5559105431309925,历史2/3次成功; 当前距低点2.56%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
71,79.89425475570742,68.87916553109856,002408,齐翔腾达,bottom_area,2026-06-09,4.94,6.79,2026-06-09,4.85,1.8556701030927991,3.9175257731958846,28.571428571428577,27.24594992636229,False,-0.8032128514056214,0.8165106872145315,2,3,2,66.66666666666666,29.05068118001871,37.91208791208789,18.1443298969072,1.8556701030927991,历史2/3次成功; 当前距低点1.86%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
72,79.8030102718268,70.99896897329228,603185,弘元绿能,bottom_area,2026-06-09,16.79,22.5,2026-06-09,16.21,3.5780382479950545,3.9481801357186956,27.95555555555555,25.377777777777784,False,2.004860267314701,1.636485552984968,5,8,5,62.5,31.44836655226342,43.51028702057404,16.421961752004947,3.5780382479950545,历史5/8次成功; 当前距低点3.58%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
73,78.69920718151812,69.86906261451622,002755,奥赛康,bottom_area,2026-06-09,12.85,17.77,2026-06-09,12.42,3.462157809983895,4.106280193236713,30.106921778277997,27.687113111986495,False,1.500789889415488,0.8793940502979464,2,3,2,66.66666666666666,31.59202018609052,32.35294117647059,16.537842190016107,3.462157809983895,历史2/3次成功; 当前距低点3.46%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
