rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.8455899616493,80.2726628918449,603198,迎驾贡酒,bottom_area,2025-06-19,38.55,2025-06-16,37.79,2.0111140513363273,6.774278909764495,29.78446674098848,False,-1.0015,0.7188,2,2,2,100.0,36.655929725224325,39.66017405719024,17.988885948663675,2.0111140513363273,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
12,84.63797356768445,70.98350724371905,603681,永冠新材,bottom_area,2025-06-19,14.4,2025-06-19,14.35,0.3484320557491339,3.8327526132404235,28.250000000000004,False,-2.571,4.2753,1,1,1,100.0,22.83834586466165,22.83834586466165,19.651567944250868,0.3484320557491339,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
13,84.28472469784738,70.9441415572,688448,磁谷科技,bottom_area,2025-06-19,27.6,2025-06-19,27.45,0.5464480874317018,4.189435336976328,30.31226199543032,False,-2.1624,2.3862,1,1,1,100.0,25.053995680345576,25.053995680345576,19.453551912568297,0.5464480874317018,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
14,83.87738340615788,70.9804385061967,002155,湖南黄金,bottom_area,2025-06-19,18.03,2025-06-19,17.88,0.8389261744966563,3.1319910514541514,27.28751525010167,False,-2.6983,2.8582,1,1,1,100.0,28.834355828220854,28.834355828220854,19.161073825503344,0.8389261744966563,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
15,83.69143603709288,70.7620701357466,603577,汇金通,bottom_area,2025-06-19,8.91,2025-06-19,8.84,0.7918552036199128,3.8461538461538445,31.259720062208395,False,-2.7293,3.4701,1,1,1,100.0,27.083333333333325,27.083333333333325,19.20814479638009,0.7918552036199128,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
16,83.33846994047616,70.11562671770747,000999,华润三九,bottom_area,2025-06-19,30.84,2025-06-19,30.68,0.521512385919166,1.597131681877451,29.438822447102115,False,-0.5803,0.5531,1,1,1,100.0,20.293951384963254,20.293951384963254,19.478487614080837,0.521512385919166,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
17,79.83522308012442,67.59968084684542,600980,北矿科技,bottom_area,2025-06-19,22.0,2025-06-19,21.81,0.8711600183402168,5.685465382851912,27.97225891677676,False,-6.383,19.9007,1,1,1,100.0,21.268417680973737,21.268417680973737,19.128839981659784,0.8711600183402168,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-6.38%; 状态bottom_area; 底部未确认
18,79.02313507695254,66.25819976357022,300346,南大光电,bottom_area,2025-06-19,29.95,2025-06-13,29.85,0.3350083752093731,3.1825795644891097,27.513355998057303,False,-0.959,1.5237,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,19.66499162479063,0.3350083752093731,历史2/3次成功; 当前距低点0.34%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
19,78.48832244807056,68.27066506783392,688188,柏楚电子,bottom_area,2025-06-19,139.86,2025-06-11,136.66,2.34157763793357,4.200204888043326,31.8675840063815,False,-0.5758,0.2818,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,17.658422362066432,2.34157763793357,历史2/3次成功; 当前距低点2.34%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
20,77.50088972873357,68.11425895677716,001223,欧克科技,bottom_area,2025-06-19,37.85,2025-05-26,36.78,2.9091897770527466,10.250135943447516,31.661092530657747,True,-1.3295,2.6926,2,3,2,66.66666666666666,28.658843988122396,30.11687144141446,17.090810222947255,2.9091897770527466,历史2/3次成功; 当前距低点2.91%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
21,75.2711772847766,63.0091102424884,002615,哈尔斯,bottom_area,2025-06-19,8.16,2025-06-19,8.14,0.24570024570024046,7.248157248157246,27.836879432624105,False,-7.378,24.7315,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,19.754299754299762,0.24570024570024046,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-7.38%; 状态bottom_area; 底部未确认
22,73.46315434607307,62.31196484570778,688136,科兴制药,bottom_area,2025-06-19,41.82,2025-06-19,41.42,0.9657170449058391,5.383872525350065,28.83161512027492,False,-2.9248,1.9526,2,4,2,50.0,42.117202731683314,60.65012831479899,19.034282955094163,0.9657170449058391,历史2/4次成功; 当前距低点0.97%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
23,72.67776168683102,61.109983742404985,002575,群兴玩具,bottom_area,2025-06-19,8.22,2025-06-19,8.18,0.4889975550122362,3.422982885085588,27.482269503546096,False,-2.3753,2.3202,2,4,2,50.0,29.811280472219792,39.02759526938239,19.511002444987767,0.4889975550122362,历史2/4次成功; 当前距低点0.49%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
24,70.88165114572236,59.90319489500314,000715,中兴商业,bottom_area,2025-06-19,5.26,2025-06-19,5.22,0.7662835249042153,2.2988505747126458,31.31578947368421,False,-0.3788,1.9853,2,4,2,50.0,26.722157697767457,29.105691056910565,19.233716475095786,0.7662835249042153,历史2/4次成功; 当前距低点0.77%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
25,70.17021294033795,58.85988256508612,300697,电工合金,bottom_area,2025-06-19,11.22,2025-06-19,11.18,0.3577817531305986,3.130590339892662,29.329962073324907,False,-3.0251,2.0327,2,4,2,50.0,26.320564313031607,31.64400494437578,19.642218246869405,0.3577817531305986,历史2/4次成功; 当前距低点0.36%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
26,69.70466958599195,58.461501995813045,688114,华大智造,bottom_area,2025-06-19,63.0,2025-06-19,62.78,0.35043007327174075,5.383880216629493,27.421965317919074,False,-3.2258,2.246,2,4,2,50.0,24.08861592942264,27.745919717688572,19.64956992672826,0.35043007327174075,历史2/4次成功; 当前距低点0.35%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
27,68.84749127255662,57.72100757544736,688135,利扬芯片,bottom_area,2025-06-19,18.24,2025-06-13,18.18,0.33003300330032304,4.6204620462046195,29.725550831078472,False,-2.2508,1.865,2,5,2,40.0,31.309047435333802,40.41850220264317,19.669966996699678,0.33003300330032304,历史2/5次成功; 当前距低点0.33%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
28,68.43410690770861,58.12993716699568,002127,南极电商,bottom_area,2025-06-19,3.87,2025-06-19,3.83,1.044386422976502,2.088772845953004,28.411214953271024,False,-1.2755,1.9697,1,3,1,33.33333333333333,33.53658536585366,33.53658536585366,18.9556135770235,1.044386422976502,历史1/3次成功; 当前距低点1.04%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
29,68.24545806417629,60.261183780499515,000596,古井贡酒,bottom_area,2025-06-19,135.9,2025-06-16,131.73,3.165565930312014,4.676231686024441,27.152574240999844,False,0.831,1.0229,1,2,1,50.0,29.07889301941346,29.07889301941346,16.834434069687987,3.165565930312014,历史1/2次成功; 当前距低点3.17%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
30,67.1797821805401,56.98981780092276,001311,多利科技,bottom_area,2025-06-19,19.72,2025-06-19,19.53,0.9728622631848322,2.7137736815156046,32.72476748191526,False,-1.2024,1.6733,1,2,1,50.0,46.9244288224956,46.9244288224956,19.02713773681517,0.9728622631848322,历史1/2次成功; 当前距低点0.97%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
31,64.94268342715385,54.22223698743447,002041,登海种业,bottom_area,2025-06-19,9.62,2025-06-19,9.61,0.10405827263267209,2.3933402705515134,29.129793510324493,False,-2.0367,0.9037,1,2,1,50.0,21.395106715252467,21.395106715252467,19.89594172736733,0.10405827263267209,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
32,62.99573283730609,53.16205018791269,002136,安纳达,bottom_area,2025-06-19,10.25,2025-06-19,10.18,0.6876227897838928,3.5363457760314283,31.906354515050168,False,-1.6315,3.4311,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,19.31237721021611,0.6876227897838928,历史1/3次成功; 当前距低点0.69%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
33,61.47335719434274,51.97574798619103,600232,金鹰股份,bottom_area,2025-06-19,6.37,2025-06-19,6.32,0.7911392405063262,7.594936708860751,27.93614595210946,False,-8.477,15.3079,1,2,1,50.0,27.954545454545443,27.954545454545443,19.208860759493675,0.7911392405063262,历史1/2次成功; 当前距低点0.79%; 最新日涨幅-8.48%; 状态bottom_area; 底部未确认
34,60.26975353107818,50.87338904536887,300703,创源股份,bottom_area,2025-06-19,21.57,2025-06-19,21.42,0.7002801120448112,7.329598506069078,27.512690355329944,False,-6.0131,13.0873,1,2,1,50.0,20.914127423822727,20.914127423822727,19.29971988795519,0.7002801120448112,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-6.01%; 状态bottom_area; 底部未确认
35,59.40029929365277,49.982537049574965,000573,粤宏远A,bottom_area,2025-06-19,3.8,2025-06-19,3.78,0.5291005291005296,3.174603174603178,27.027027027027028,False,-2.5641,4.2563,1,4,1,25.0,24.644549763033176,24.644549763033176,19.47089947089947,0.5291005291005296,历史1/4次成功; 当前距低点0.53%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
36,59.333382110079626,50.19152546598802,603139,康惠股份,bottom_area,2025-06-19,20.94,2025-06-19,20.77,0.8184882041405956,4.236880115551271,31.225165562913908,False,-2.7404,6.2245,1,4,1,25.0,29.315476190476186,29.315476190476186,19.181511795859404,0.8184882041405956,历史1/4次成功; 当前距低点0.82%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
37,59.00779525589424,49.22736702127663,300436,广生堂,bottom_area,2025-06-19,33.3,2025-06-19,33.28,0.06009615384614189,12.379807692307685,28.027681660899656,False,-11.3182,14.7605,1,5,1,20.0,35.88379705400981,35.88379705400981,19.939903846153857,0.06009615384614189,历史1/5次成功; 当前距低点0.06%; 最新日涨幅-11.32%; 状态bottom_area; 底部未确认
38,56.710949641895404,47.54633485169961,000701,厦门信达,bottom_area,2025-06-19,6.07,2025-06-19,6.05,0.33057851239670183,7.27272727272728,27.54491017964072,False,-7.0444,16.4405,1,5,1,20.0,30.161579892280066,30.161579892280066,19.6694214876033,0.33057851239670183,历史1/5次成功; 当前距低点0.33%; 最新日涨幅-7.04%; 状态bottom_area; 底部未确认
39,53.13088214226163,44.66692635253053,002298,中电鑫龙,bottom_area,2025-06-19,6.28,2025-06-19,6.25,0.4800000000000039,4.319999999999993,27.071178529754963,False,-3.8285,12.0314,1,6,1,16.666666666666664,23.734729493891784,23.734729493891784,19.52,0.4800000000000039,历史1/6次成功; 当前距低点0.48%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
