rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.16991847441712,83.44083427591333,600178,东安动力,bottom_area,2024-01-08,12.96,2024-01-05,12.74,1.7268445839874462,7.927786499215069,27.572484366117113,False,0.856,7.0648,2,2,2,100.0,27.731397459165148,36.84210526315788,6.273155416012555,1.7268445839874462,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
16,78.18478324544876,76.49658279750386,605178,时空科技,bottom_area,2024-01-08,22.62,2024-01-08,21.99,2.864938608458402,5.502501136880404,27.901639344262303,False,-0.9632,12.6134,3,3,3,100.0,10.153993681661406,11.97247706422018,5.135061391541599,2.864938608458402,历史3/3次成功; 当前距低点2.86%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
17,77.44484754619037,71.70819217239848,601777,千里科技,bottom_area,2024-01-08,3.3,2024-01-08,3.3,0.0,2.4242424242424265,28.41648590021693,False,-2.3669,0.3163,2,2,2,100.0,18.054796625798296,27.96352583586626,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
18,77.23632703916775,71.7416242750218,002041,登海种业,bottom_area,2024-01-08,12.2,2024-01-08,12.18,0.16420361247947104,3.5303776683087005,27.88632326820604,False,-3.2514,0.6958,2,2,2,100.0,18.2043468358871,21.395106715252467,7.835796387520529,0.16420361247947104,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
19,77.19649462864317,71.7944035335005,601628,中国人寿,bottom_area,2024-01-08,26.24,2024-01-08,26.18,0.2291825821237537,3.0175706646294853,31.716223265519044,False,-2.0896,0.0697,1,1,1,100.0,25.736235595390532,25.736235595390532,7.770817417876247,0.2291825821237537,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
20,77.07228052520058,73.77979445952387,601016,节能风电,bottom_area,2024-01-08,2.94,2023-12-27,2.89,1.7301038062283676,5.8823529411764675,29.166666666666664,False,-2.0,0.3803,1,1,1,100.0,14.970059880239523,14.970059880239523,6.269896193771632,1.7301038062283676,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
21,76.71021436769324,74.36292413622634,601949,中国出版,confirmed_rebound,2024-01-08,7.73,2023-12-28,7.55,2.384105960264909,9.27152317880795,27.12355212355212,True,-1.9036,0.5018,2,2,2,100.0,10.476804976507188,11.050228310502291,5.615894039735092,2.384105960264909,历史2/2次成功; 当前距低点2.38%; 最新日涨幅-1.90%; 状态confirmed_rebound; 底部已确认
22,76.4205562849871,70.80360670754507,603186,华正新材,bottom_area,2024-01-08,31.11,2024-01-08,31.1,0.03215434083600647,3.086816720257237,29.15717539863325,False,-2.69,1.2195,1,1,1,100.0,17.994186046511643,17.994186046511643,7.967845659163994,0.03215434083600647,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
23,74.97694388170743,70.24281860599693,002409,雅克科技,bottom_area,2024-01-08,47.86,2024-01-08,47.57,0.6096279167542551,4.120243851166704,32.14947938953074,False,-2.3465,2.5117,1,1,1,100.0,22.057904603207675,22.057904603207675,7.390372083245746,0.6096279167542551,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
24,74.75858410504345,72.49652252252253,300466,赛摩智能,confirmed_rebound,2024-01-08,6.82,2023-12-26,6.66,2.4024024024024047,9.459459459459458,28.387096774193555,True,-1.3025,1.825,1,1,1,100.0,17.33333333333334,17.33333333333334,5.597597597597595,2.4024024024024047,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-1.30%; 状态confirmed_rebound; 底部已确认
25,74.30255504070472,69.00248673447396,000700,模塑科技,bottom_area,2024-01-08,6.52,2024-01-08,6.51,0.1536098310291826,1.8433179723502322,29.239130434782606,False,-1.2121,1.4136,1,1,1,100.0,9.799554565701547,9.799554565701547,7.846390168970818,0.1536098310291826,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
26,73.66673818595609,68.91826368814276,603259,药明康德,bottom_area,2024-01-08,67.46,2024-01-08,67.1,0.5365126676602079,1.6095380029806448,27.5377969762419,False,-0.9543,0.5771,1,1,1,100.0,14.040390163483993,14.040390163483993,7.463487332339793,0.5365126676602079,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
27,73.60432062435125,68.7201743287139,002508,老板电器,bottom_area,2024-01-08,20.97,2024-01-08,20.88,0.43103448275862,3.2088122605364067,32.53634894991922,False,-2.3743,0.854,1,1,1,100.0,11.682435211846977,11.682435211846977,7.56896551724138,0.43103448275862,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
28,73.05301786440154,69.0413519410878,002660,茂硕电源,bottom_area,2024-01-08,10.45,2024-01-08,10.34,1.0638297872340372,3.481624758220497,29.080932784636488,False,-1.7857,11.199,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,6.936170212765963,1.0638297872340372,历史2/3次成功; 当前距低点1.06%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
29,72.82195393474089,67.42773512476008,601933,永辉超市,bottom_area,2024-01-08,2.71,2024-01-08,2.71,0.0,1.8450184501844953,32.08020050125314,False,-1.8116,0.3103,1,1,1,100.0,11.70825335892515,11.70825335892515,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
30,72.27567065775152,66.92191727569585,301393,昊帆生物,bottom_area,2024-01-08,56.8,2024-01-08,56.8,0.0,3.8732394366197234,30.375091934297625,False,-3.2203,3.9017,1,1,1,100.0,19.203856320945413,19.203856320945413,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
31,71.44135412217001,66.14940196497223,301509,金凯生科,bottom_area,2024-01-08,60.17,2024-01-08,60.17,0.0,2.4264583679574554,28.547678422990135,False,-3.217,5.2121,1,1,1,100.0,15.05054819877544,15.05054819877544,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
32,69.22677585892085,68.67275280566292,002594,比亚迪,confirmed_rebound,2024-01-08,189.4,2023-12-21,182.85,3.582171178561669,9.269893355209199,27.15139442231076,True,-1.7023,0.6961,1,1,1,100.0,11.237113402061862,11.237113402061862,4.417828821438332,3.582171178561669,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-1.70%; 状态confirmed_rebound; 底部已确认
33,66.88017416071897,68.0093866177687,002451,摩恩电气,confirmed_rebound,2024-01-08,6.89,2023-12-27,6.57,4.870624048706231,9.893455098934542,30.476190476190467,True,-1.8519,2.2625,1,1,1,100.0,23.464566929133863,23.464566929133863,3.129375951293769,4.870624048706231,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.85%; 状态confirmed_rebound; 底部已确认
34,60.98566361332196,56.626262101937996,000058,深赛格,bottom_area,2024-01-08,6.9,2023-12-27,6.89,0.14513788098694738,5.370101596516692,27.320675105485236,False,-1.7094,0.5785,1,2,1,50.0,34.82352941176472,34.82352941176472,7.8548621190130525,0.14513788098694738,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
35,58.73226712149918,54.65513594164455,600960,渤海汽车,bottom_area,2024-01-08,3.85,2023-12-28,3.84,0.2604166666666727,7.291666666666674,30.935251798561147,True,-1.0283,1.3583,1,2,1,50.0,16.445623342175058,16.445623342175058,7.739583333333328,0.2604166666666727,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-1.03%; 状态bottom_area; 底部已确认
36,58.28383467635281,54.17148464367756,600986,浙文互联,bottom_area,2024-01-08,5.09,2024-01-08,5.08,0.1968503937007832,1.968503937007867,28.951048951048953,False,-1.7375,1.7497,1,2,1,50.0,22.25969645868466,22.25969645868466,7.803149606299217,0.1968503937007832,历史1/2次成功; 当前距低点0.20%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
37,56.86673568721796,55.093608071135435,000625,长安汽车,bottom_area,2024-01-08,14.79,2024-01-08,14.45,2.3529411764705874,3.4602076124567476,32.72811918063315,False,-0.6716,2.0269,1,2,1,50.0,13.808139534883724,13.808139534883724,5.647058823529413,2.3529411764705874,历史1/2次成功; 当前距低点2.35%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
38,54.229412878791734,50.39400045848983,605118,力鼎光电,bottom_area,2024-01-08,21.38,2024-01-08,21.34,0.18744142455482263,7.075913776944712,27.09258626580116,False,-9.8271,5.4917,1,2,1,50.0,12.050359712230225,12.050359712230225,7.812558575445178,0.18744142455482263,历史1/2次成功; 当前距低点0.19%; 最新日涨幅-9.83%; 状态bottom_area; 底部未确认
