rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.34369082016215,81.81940115451893,300559,佳发教育,bottom_area,2025-11-21,11.52,2025-11-21,11.34,1.5873015873015848,4.409171075837742,27.908455181182457,False,-1.9574,2.8404,3,3,3,100.0,23.109939642830778,29.09783989834816,13.412698412698415,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
12,82.63643324881937,72.57567789975306,300591,万里马,bottom_area,2025-11-21,9.45,2025-11-21,9.4,0.5319148936170099,8.404255319148927,27.131782945736433,False,-8.6957,15.6922,2,2,2,100.0,27.19593471612817,29.663608562691135,14.468085106382988,0.5319148936170099,历史2/2次成功; 当前距低点0.53%; 最新日涨幅-8.70%; 状态bottom_area; 底部未确认
13,82.01236624507001,72.42373283891362,603151,邦基科技,bottom_area,2025-11-21,18.32,2025-11-21,18.17,0.825536598789205,3.5773252614199147,32.62884686688913,False,-2.8117,1.9995,1,1,1,100.0,36.42987249544626,36.42987249544626,14.174463401210794,0.825536598789205,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
14,81.88839544226673,73.42444749021004,688766,普冉股份,bottom_area,2025-11-21,121.97,2025-11-21,120.0,1.6416666666666655,7.816666666666664,28.22966507177033,False,-12.9594,9.0341,1,1,1,100.0,22.190577904355056,22.190577904355056,13.358333333333333,1.6416666666666655,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-12.96%; 状态bottom_area; 底部未确认
15,81.7895948201771,71.3338238129714,301338,凯格精机,bottom_area,2025-11-21,56.5,2025-11-21,56.41,0.15954617975536856,4.18365538025174,27.540141297366734,False,-4.7218,3.5623,2,2,2,100.0,15.954780122653972,16.035634743875285,14.840453820244631,0.15954617975536856,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
16,81.44101495979876,71.2273805855162,301017,漱玉平民,bottom_area,2025-11-21,13.02,2025-11-21,12.98,0.30816640986131855,5.084745762711865,27.566964285714292,False,-2.8358,7.0636,1,1,1,100.0,23.655913978494613,23.655913978494613,14.691833590138682,0.30816640986131855,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
17,81.36910128248938,75.08345840130505,300258,精锻科技,bottom_area,2025-11-21,12.65,2025-11-21,12.26,3.181076672104409,4.812398042414355,29.418537708693155,False,0.0791,3.3054,1,1,1,100.0,17.29200652528549,17.29200652528549,11.81892332789559,3.181076672104409,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
18,81.30726031002791,70.93483167486637,688008,澜起科技,bottom_area,2025-11-21,113.9,2025-11-21,113.7,0.1759014951627114,2.902374670184694,28.43655589123867,False,-3.4909,2.0901,3,4,3,75.0,34.8434789453621,62.20095693779905,14.824098504837288,0.1759014951627114,历史3/4次成功; 当前距低点0.18%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
19,80.96642625474165,71.55721688905716,000803,山高环能,bottom_area,2025-11-21,6.97,2025-11-21,6.91,0.8683068017366079,4.920405209840808,27.94577685088634,False,-4.1265,5.5751,2,2,2,100.0,25.843851596863644,36.1111111111111,14.131693198263392,0.8683068017366079,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
20,80.66492420004262,70.22779244944262,003038,鑫铂股份,bottom_area,2025-11-21,15.56,2025-11-21,15.55,0.06430868167202435,5.016077170417991,27.975914775358955,False,-5.0641,4.1826,1,1,1,100.0,25.507614213197975,25.507614213197975,14.935691318327976,0.06430868167202435,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
21,80.45897206596321,73.11895399213714,688665,四方光电,bottom_area,2025-11-21,46.8,2025-11-21,45.72,2.3622047244094455,3.8713910761154926,27.715415019762844,False,-1.2241,1.0475,1,1,1,100.0,19.16548797736917,19.16548797736917,12.637795275590555,2.3622047244094455,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
22,80.41213439404197,69.9235951252539,603173,福斯达,bottom_area,2025-11-21,36.88,2025-11-21,36.88,0.0,3.9587852494577023,32.81107669885225,False,-3.6069,4.6577,1,1,1,100.0,35.34190927555856,35.34190927555856,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
23,80.1543930114391,70.16134262674899,600506,统一股份,bottom_area,2025-11-21,25.56,2025-11-21,25.47,0.3533568904593634,12.367491166077746,30.21917808219178,False,-8.812,20.0946,1,1,1,100.0,28.69352869352869,28.69352869352869,14.646643109540635,0.3533568904593634,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-8.81%; 状态bottom_area; 底部未确认
24,79.38966048599005,69.0705728732084,688411,海博思创,bottom_area,2025-11-21,286.28,2025-11-21,286.2,0.027952480782663904,5.5136268343815615,32.81847843947325,False,-5.362,8.5979,1,1,1,100.0,18.84034693221972,18.84034693221972,14.972047519217336,0.027952480782663904,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-5.36%; 状态bottom_area; 底部未确认
25,78.6127300996311,68.35889573880965,300730,科创信息,bottom_area,2025-11-21,13.48,2025-11-21,13.48,0.0,4.154302670623135,30.871794871794872,False,-2.3188,7.1134,3,4,3,75.0,20.881159886073412,24.329896907216508,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
26,78.28657315662336,68.51776261459442,603938,三孚股份,bottom_area,2025-11-21,17.37,2025-11-21,17.31,0.34662045060659896,8.08781051415368,27.45180217937972,False,-8.9145,5.1371,1,1,1,100.0,19.774501300954046,19.774501300954046,14.6533795493934,0.34662045060659896,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-8.91%; 状态bottom_area; 底部未确认
27,76.45571643717727,66.48323168450199,600376,首开股份,bottom_area,2025-11-21,5.68,2025-11-21,5.68,0.0,7.218309859154933,28.911138923654573,False,-5.3333,8.7566,3,4,3,75.0,21.011998303774103,24.99999999999999,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
28,76.22929283912096,66.28634159923563,601127,赛力斯,bottom_area,2025-11-21,123.4,2025-11-21,123.4,0.0,2.6742301458670967,28.255813953488367,False,-2.5815,1.6508,6,9,6,66.66666666666666,27.793951250370768,42.19143576826195,15.0,0.0,历史6/9次成功; 当前距低点0.00%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
29,75.14314407166127,65.4277039607218,605333,沪光股份,bottom_area,2025-11-21,28.5,2025-11-21,28.48,0.0702247191011221,2.844101123595501,28.58575727181545,False,-2.6972,0.5701,3,5,3,60.0,26.224818926195436,29.01840490797546,14.929775280898877,0.0702247191011221,历史3/5次成功; 当前距低点0.07%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
30,74.70873906018487,67.19707283759556,688337,普源精电,bottom_area,2025-11-21,36.57,2025-11-21,35.92,1.8095768374164771,3.674832962138085,28.159999999999997,False,-1.6142,1.3149,3,6,3,50.0,38.886602295188766,54.46153846153845,13.190423162583523,1.8095768374164771,历史3/6次成功; 当前距低点1.81%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
31,74.47520950455245,67.01659695703984,300560,中富通,bottom_area,2025-11-21,17.22,2025-11-21,16.91,1.833234772324061,11.235955056179767,31.70436187399031,False,-12.8101,29.5753,3,5,3,60.0,26.75468945128323,41.47727272727274,13.166765227675938,1.833234772324061,历史3/5次成功; 当前距低点1.83%; 最新日涨幅-12.81%; 状态bottom_area; 底部未确认
32,74.43337229930702,65.17079420510328,601126,四方股份,bottom_area,2025-11-21,24.58,2025-11-21,24.49,0.3674969375255201,5.716619028174774,27.864506627393236,False,-6.219,3.6182,2,3,2,66.66666666666666,40.9248416988967,46.85534591194968,14.63250306247448,0.3674969375255201,历史2/3次成功; 当前距低点0.37%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
33,73.99265179810172,65.44447750045245,688286,敏芯股份,bottom_area,2025-11-21,72.1,2025-11-21,71.45,0.9097270818754255,4.89853044086774,28.39963924240906,False,-4.033,2.9217,5,7,5,71.42857142857143,22.0588223731942,30.759999999999994,14.090272918124574,0.9097270818754255,历史5/7次成功; 当前距低点0.91%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
34,73.64143677805644,65.09740267673497,603197,保隆科技,bottom_area,2025-11-21,34.4,2025-11-21,34.1,0.8797653958944197,2.170087976539595,27.431368376250266,False,-0.8074,1.4436,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,14.12023460410558,0.8797653958944197,历史4/6次成功; 当前距低点0.88%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
35,73.04045782046643,63.91852582924237,000620,盈新发展,bottom_area,2025-11-21,2.95,2025-11-21,2.94,0.3401360544217766,8.163265306122456,28.11735941320293,False,-8.9506,9.606,6,10,6,60.0,31.634602329698986,58.4192439862543,14.659863945578222,0.3401360544217766,历史6/10次成功; 当前距低点0.34%; 最新日涨幅-8.95%; 状态bottom_area; 底部未确认
36,72.9224557913351,63.41083112290009,301038,深水规院,bottom_area,2025-11-21,23.5,2025-11-21,23.5,0.0,3.4893617021276606,27.803379416282638,False,-2.6915,1.5444,2,3,2,66.66666666666666,29.000884173297965,39.102564102564095,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
37,72.36438905145906,64.92623090525008,300680,隆盛科技,bottom_area,2025-11-21,42.47,2025-11-21,41.77,1.6758439071103561,4.357194158486952,28.9625850340136,False,-0.7942,5.3517,2,4,2,50.0,25.038467814310184,34.71428571428571,13.324156092889645,1.6758439071103561,历史2/4次成功; 当前距低点1.68%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
38,71.61055138200389,62.77290508374192,002338,奥普光电,bottom_area,2025-11-21,49.01,2025-11-21,48.8,0.43032786885246077,2.418032786885245,30.632551528073915,False,-2.0779,1.5974,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,14.569672131147538,0.43032786885246077,历史2/3次成功; 当前距低点0.43%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
39,70.36195585972955,62.70894730139558,688027,国盾量子,bottom_area,2025-11-21,436.0,2025-11-21,430.33,1.3175934747751763,4.496549159947023,29.45409836065574,False,-4.5952,5.095,2,5,2,40.0,40.60785174130632,54.833310085088584,13.682406525224822,1.3175934747751763,历史2/5次成功; 当前距低点1.32%; 最新日涨幅-4.60%; 状态bottom_area; 底部未确认
40,69.49297227621292,61.21387449880204,002337,赛象科技,bottom_area,2025-11-21,5.83,2025-11-21,5.79,0.6908462867012095,5.1813471502590644,29.47624847746651,False,-4.2693,3.8542,2,4,2,50.0,43.059161464950556,60.465116279069754,14.30915371329879,0.6908462867012095,历史2/4次成功; 当前距低点0.69%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
41,69.39315647596263,61.07222816143081,600408,安泰集团,bottom_area,2025-11-21,4.69,2025-11-21,4.66,0.64377682403434,13.090128755364795,32.46376811594203,False,-7.4951,19.556,3,5,3,60.0,20.053974839941382,22.6027397260274,14.35622317596566,0.64377682403434,历史3/5次成功; 当前距低点0.64%; 最新日涨幅-7.50%; 状态bottom_area; 底部未确认
42,69.36820913821504,61.160949386043725,688148,芳源股份,bottom_area,2025-11-21,9.52,2025-11-21,9.45,0.7407407407407438,11.11111111111112,31.322674418604656,False,-10.2733,8.4889,3,5,3,60.0,21.71956061791728,26.66666666666668,14.259259259259254,0.7407407407407438,历史3/5次成功; 当前距低点0.74%; 最新日涨幅-10.27%; 状态bottom_area; 底部未确认
43,68.21440626770898,59.372278232899255,603026,石大胜华,bottom_area,2025-11-21,80.14,2025-11-21,80.1,0.04993757802747347,8.913857677902623,27.55065123010131,False,-8.1595,11.4455,2,4,2,50.0,25.30180597205321,31.14618918600542,14.950062421972527,0.04993757802747347,历史2/4次成功; 当前距低点0.05%; 最新日涨幅-8.16%; 状态bottom_area; 底部未确认
44,67.87843965494257,60.13418521084812,688310,迈得医疗,bottom_area,2025-11-21,15.2,2025-11-21,15.05,0.9966777408637779,6.245847176079731,29.804104477611943,False,-4.6424,1.8179,2,3,2,66.66666666666666,21.558837598660606,23.648648648648653,14.003322259136223,0.9966777408637779,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
45,67.7599922813036,58.921732418524876,002682,龙洲股份,bottom_area,2025-11-21,5.72,2025-11-21,5.72,0.0,3.4965034965034993,27.226463104325703,False,-9.9213,18.9579,2,4,2,50.0,34.52544311034879,42.121212121212146,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
46,67.29237307529489,59.59153465919162,688171,纬德信息,bottom_area,2025-11-21,41.4,2025-11-21,41.0,0.9756097560975575,8.219512195121945,28.34673191191891,False,-5.5441,0.9909,2,3,2,66.66666666666666,18.383108797996737,20.508658008658003,14.024390243902443,0.9756097560975575,历史2/3次成功; 当前距低点0.98%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
47,67.18975778378007,59.6641763881125,300687,赛意信息,bottom_area,2025-11-21,22.52,2025-11-21,22.27,1.1225864391558151,3.771890435563538,27.055355388142814,False,-1.011,3.0287,1,2,1,50.0,23.299319727891156,23.299319727891156,13.877413560844184,1.1225864391558151,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
48,67.16309565907228,58.516889310528164,603366,日出东方,bottom_area,2025-11-21,9.58,2025-11-21,9.57,0.10449320794148158,8.150470219435729,28.582089552238806,False,-8.1496,9.2083,2,4,2,50.0,21.371687229219,25.15964240102172,14.89550679205852,0.10449320794148158,历史2/4次成功; 当前距低点0.10%; 最新日涨幅-8.15%; 状态bottom_area; 底部未确认
49,67.15066339976858,58.39188121719007,002309,中利集团,bottom_area,2025-11-21,3.06,2025-11-21,3.06,0.0,5.8823529411764754,29.49308755760368,False,-6.422,6.8203,4,8,4,50.0,31.676780737581,55.97014925373133,15.0,0.0,历史4/8次成功; 当前距低点0.00%; 最新日涨幅-6.42%; 状态bottom_area; 底部未确认
50,65.11929295040821,58.875094926456306,603127,昭衍新药,bottom_area,2025-11-21,27.4,2025-11-21,26.84,2.086438152011918,5.923994038748137,29.33122696155871,False,-3.1117,2.9714,1,2,1,50.0,41.08695652173912,41.08695652173912,12.913561847988081,2.086438152011918,历史1/2次成功; 当前距低点2.09%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
51,63.180005712297074,55.55369909145789,002374,中锐股份,bottom_area,2025-11-21,3.38,2025-11-21,3.36,0.5952380952380958,13.392857142857148,27.429805615550755,False,-2.3121,17.2435,2,5,2,40.0,22.907752411831932,24.873096446700508,14.404761904761903,0.5952380952380958,历史2/5次成功; 当前距低点0.60%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
52,61.29921710524599,55.3566165007332,600693,东百集团,bottom_area,2025-11-21,8.57,2025-11-21,8.4,2.023809523809523,8.928571428571429,30.578512396694208,False,-1.2673,15.2498,1,3,1,33.33333333333333,30.632090761750412,30.632090761750412,12.976190476190478,2.023809523809523,历史1/3次成功; 当前距低点2.02%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
53,60.654568965517235,52.74310344827586,600104,上汽集团,bottom_area,2025-11-21,14.7,2025-11-21,14.7,0.0,1.9047619047619126,28.74454677653902,False,-2.1305,0.4847,1,2,1,50.0,24.425287356321842,24.425287356321842,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
54,60.13938238146632,52.455753036232736,002136,安纳达,bottom_area,2025-11-21,12.21,2025-11-21,12.19,0.16406890894176662,10.172272354388845,29.45601851851853,False,-7.4299,10.5687,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,14.835931091058233,0.16406890894176662,历史1/3次成功; 当前距低点0.16%; 最新日涨幅-7.43%; 状态bottom_area; 底部未确认
55,59.78083333333333,51.983333333333334,002017,东信和平,bottom_area,2025-11-21,20.9,2025-11-21,20.9,0.0,3.7320574162679483,27.60651195012124,False,-3.7753,3.4133,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
56,59.780701743706274,52.1380648369133,600292,电投水电,bottom_area,2025-11-21,12.59,2025-11-21,12.57,0.1591089896579123,3.3412887828162283,32.23719676549865,False,-3.3768,2.7051,1,3,1,33.33333333333333,40.524193548387096,40.524193548387096,14.840891010342085,0.1591089896579123,历史1/3次成功; 当前距低点0.16%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
57,59.07324354477674,54.25586349430386,002468,申通快递,bottom_area,2025-11-21,14.05,2025-11-21,13.65,2.930402930402933,5.787545787545781,31.988041853512705,False,-2.9696,1.0725,1,2,1,50.0,16.382699868938413,16.382699868938413,12.069597069597068,2.930402930402933,历史1/2次成功; 当前距低点2.93%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
58,58.494655326378435,51.057933825454285,000661,长春高新,bottom_area,2025-11-21,98.91,2025-11-21,98.71,0.2026137169486403,2.7048931212643113,30.37313959229739,False,-2.7338,1.6844,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.797386283051358,0.2026137169486403,历史1/3次成功; 当前距低点0.20%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
59,58.060183447098986,50.48711604095564,000753,漳州发展,bottom_area,2025-11-21,7.91,2025-11-21,7.91,0.0,10.366624525916565,30.123674911660782,False,-9.3929,8.4292,1,4,1,25.0,43.344709897610926,43.344709897610926,15.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-9.39%; 状态bottom_area; 底部未确认
60,57.34189359479376,50.12952590727922,600939,重庆建工,bottom_area,2025-11-21,3.51,2025-11-21,3.5,0.28571428571427965,4.571428571428576,27.23492723492723,False,-4.3597,1.931,1,3,1,33.33333333333333,31.277533039647576,31.277533039647576,14.714285714285719,0.28571428571427965,历史1/3次成功; 当前距低点0.29%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
61,57.340065698478554,49.86092669432918,002578,闽发铝业,bottom_area,2025-11-21,3.73,2025-11-21,3.73,0.0,9.651474530831097,30.410447761194032,False,-9.6852,12.986,1,3,1,33.33333333333333,38.589211618257245,38.589211618257245,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-9.69%; 状态bottom_area; 底部未确认
62,56.79483355608632,49.581602519696986,000063,中兴通讯,bottom_area,2025-11-21,38.07,2025-11-21,37.99,0.21058173203474145,2.921821531982099,27.638095238095232,False,-2.8579,2.4815,1,3,1,33.33333333333333,17.19567492152075,17.19567492152075,14.789418267965257,0.21058173203474145,历史1/3次成功; 当前距低点0.21%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
63,54.789382128111235,48.45615408916793,603767,中马传动,bottom_area,2025-11-21,22.28,2025-11-21,22.08,0.9057971014492883,4.076086956521749,27.725040916530286,False,-3.0461,2.3806,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,14.094202898550712,0.9057971014492883,历史1/3次成功; 当前距低点0.91%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
64,52.20523001613458,46.077741444142994,002748,世龙实业,bottom_area,2025-11-21,11.37,2025-11-21,11.28,0.7978723404255307,5.6737588652482325,28.335451080050834,False,-5.25,7.4068,1,3,1,33.33333333333333,15.77181208053692,15.77181208053692,14.202127659574467,0.7978723404255307,历史1/3次成功; 当前距低点0.80%; 最新日涨幅-5.25%; 状态bottom_area; 底部未确认
