rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.51936920972801,82.96344773567209,600048,保利发展,bottom_area,2025-12-19,6.33,2025-12-17,6.19,2.2617124394184116,2.584814216478178,27.60233918128655,False,1.28,1.1238,2,2,2,100.0,31.721247836269217,31.987577639751546,17.73828756058159,2.2617124394184116,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
12,71.52531688205521,61.53549972026142,002728,特一药业,bottom_area,2025-12-19,11.1,2025-12-19,10.91,1.7415215398716728,2.01649862511458,27.508305647840537,False,0.1805,7.2026,1,4,1,25.0,39.3073593073593,39.3073593073593,18.258478460128327,1.7415215398716728,历史1/4次成功; 当前距低点1.74%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
13,71.45574134982971,65.03632823223109,600403,大有能源,bottom_area,2025-12-19,6.95,2025-12-17,6.63,4.826546003016595,7.993966817496233,27.934782608695645,True,0.4335,2.0681,2,4,2,50.0,32.585231823166296,37.18411552346569,15.173453996983405,4.826546003016595,历史2/4次成功; 当前距低点4.83%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
14,70.6706935671537,61.45712180967129,002632,道明光学,bottom_area,2025-12-19,12.3,2025-12-19,12.02,2.3294509151414404,4.908485856905157,27.28372655777375,False,2.1595,8.3076,1,2,1,50.0,25.259515570934255,25.259515570934255,17.67054908485856,2.3294509151414404,历史1/2次成功; 当前距低点2.33%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
15,69.99771668528986,62.476538162084694,603322,超讯通信,bottom_area,2025-12-19,40.62,2025-12-19,39.15,3.754789272030649,4.674329501915705,29.217139757729164,False,1.4232,9.0505,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,16.245210727969354,3.754789272030649,历史3/7次成功; 当前距低点3.75%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
16,69.51312268802003,60.98330368398936,002453,华软科技,bottom_area,2025-12-19,6.22,2025-12-17,6.05,2.8099173553718995,6.115702479338845,28.31753554502369,False,0.6472,4.2811,1,2,1,50.0,28.60169491525425,28.60169491525425,17.190082644628102,2.8099173553718995,历史1/2次成功; 当前距低点2.81%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
17,69.03729462946205,61.91401193271191,002184,海得控制,bottom_area,2025-12-19,12.69,2025-12-17,12.2,4.016393442622953,4.0983606557377055,29.357266936884773,False,1.6827,2.2502,2,5,2,40.0,36.72789775210886,50.27203482045704,15.983606557377048,4.016393442622953,历史2/5次成功; 当前距低点4.02%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
18,68.81644240526926,59.674774779477026,600696,退市岩石,bottom_area,2025-12-19,3.29,2025-12-18,3.22,2.1739130434782554,10.559006211180119,30.303030303030297,False,-4.9133,2.7947,1,2,1,50.0,46.45858343337334,46.45858343337334,17.82608695652175,2.1739130434782554,历史1/2次成功; 当前距低点2.17%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
19,67.75982249994003,58.92772884770592,002129,TCL中环,bottom_area,2025-12-19,8.34,2025-12-16,8.15,2.331288343558276,3.4355828220858817,29.253472222222214,False,0.8464,1.8246,1,3,1,33.33333333333333,31.12759643916912,31.12759643916912,17.668711656441726,2.331288343558276,历史1/3次成功; 当前距低点2.33%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
20,66.91629275097243,59.098739079110096,300681,英搏尔,bottom_area,2025-12-19,24.04,2025-12-17,23.3,3.1759656652360446,4.377682403433474,28.593319031566043,False,1.2211,3.5129,2,6,2,33.33333333333333,25.734448723198668,27.487589035182385,16.824034334763958,3.1759656652360446,历史2/6次成功; 当前距低点3.18%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
21,66.8128501956036,60.39908243248423,605228,神通科技,bottom_area,2025-12-19,14.54,2025-12-16,13.92,4.454022988505741,6.034482758620689,28.247422680412367,False,1.6783,1.9381,2,5,2,40.0,33.94760670041569,47.56554307116105,15.54597701149426,4.454022988505741,历史2/5次成功; 当前距低点4.45%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
22,65.47516268966201,58.1422915865786,603353,和顺石油,bottom_area,2025-12-19,26.8,2025-12-19,25.9,3.474903474903483,4.7104247104247206,31.8421052631579,False,1.1321,3.6318,2,6,2,33.33333333333333,24.256656860350496,27.079174983366617,16.525096525096515,3.474903474903483,历史2/6次成功; 当前距低点3.47%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
23,64.90538339458665,59.016260763330564,002176,江特电机,bottom_area,2025-12-19,9.44,2025-12-16,9.01,4.772475027746944,5.549389567147614,29.99222999222999,False,2.3861,3.5205,2,5,2,40.0,30.416687239750484,39.01808785529715,15.227524972253056,4.772475027746944,历史2/5次成功; 当前距低点4.77%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
24,64.2530341004352,56.830948130128235,600383,金地集团,bottom_area,2025-12-19,3.17,2025-12-15,3.07,3.257328990228016,3.9087947882736196,32.675438596491226,False,1.6026,2.1691,1,4,1,25.0,32.594936708860764,32.594936708860764,16.742671009771986,3.257328990228016,历史1/4次成功; 当前距低点3.26%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
25,64.15997276959234,57.3756856187291,600375,汉马科技,bottom_area,2025-12-19,5.92,2025-12-17,5.7,3.8596491228070127,4.210526315789477,28.571428571428577,False,2.4221,1.9397,1,2,1,50.0,22.073578595317713,22.073578595317713,16.140350877192986,3.8596491228070127,历史1/2次成功; 当前距低点3.86%; 最新日涨幅2.42%; 状态bottom_area; 底部未确认
26,63.63583678251289,57.549454666003626,002017,东信和平,bottom_area,2025-12-19,21.01,2025-12-16,20.11,4.475385380407769,10.691198408751875,30.342916522341532,False,3.3448,4.2494,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,15.524614619592233,4.475385380407769,历史1/3次成功; 当前距低点4.48%; 最新日涨幅3.34%; 状态bottom_area; 底部未确认
27,62.82815956515468,56.477556270096464,000819,岳阳兴长,bottom_area,2025-12-19,15.83,2025-12-17,15.2,4.144736842105268,5.0657894736842195,27.028324531925108,False,0.5079,1.1502,1,2,1,50.0,20.739549839228296,20.739549839228296,15.855263157894733,4.144736842105268,历史1/2次成功; 当前距低点4.14%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
28,62.47771591637613,56.09471599154461,001282,三联锻造,bottom_area,2025-12-19,20.16,2025-12-17,19.37,4.078471863706758,4.233350542075376,27.992565055762075,False,1.6641,2.4105,1,3,1,33.33333333333333,37.31343283582089,37.31343283582089,15.921528136293242,4.078471863706758,历史1/3次成功; 当前距低点4.08%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
29,61.426537713113014,55.66652771549505,000665,湖北广电,bottom_area,2025-12-19,5.47,2025-12-17,5.23,4.588910133843199,5.353728489483735,27.46185852981969,False,1.8622,1.6697,2,7,2,28.57142857142857,34.919124227805554,43.606557377049185,15.411089866156802,4.588910133843199,历史2/7次成功; 当前距低点4.59%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
30,60.66682443280413,53.273563312426134,002459,晶澳科技,bottom_area,2025-12-19,11.14,2025-12-16,10.83,2.8624192059095153,3.970452446906738,29.215686274509807,False,0.9973,1.1727,1,6,1,16.666666666666664,26.683937823834192,26.683937823834192,17.137580794090486,2.8624192059095153,历史1/6次成功; 当前距低点2.86%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
31,57.40177286667818,51.43852597402597,002605,姚记科技,bottom_area,2025-12-19,23.29,2025-12-17,22.4,3.9732142857142883,4.776785714285716,27.71861890932559,False,0.3447,1.2308,1,5,1,20.0,23.2121212121212,23.2121212121212,16.02678571428571,3.9732142857142883,历史1/5次成功; 当前距低点3.97%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
32,54.753306537180364,49.79821141884089,001330,博纳影业,bottom_area,2025-12-19,10.07,2025-12-18,9.61,4.786680541103027,14.151925078043718,28.01498127340824,True,-6.8455,17.8883,1,3,1,33.33333333333333,35.637149028077765,35.637149028077765,15.213319458896974,4.786680541103027,历史1/3次成功; 当前距低点4.79%; 最新日涨幅-6.85%; 状态bottom_area; 底部已确认
