rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,82.40451654493543,77.16950423089372,301499,维科精密,confirmed_rebound,2024-04-15,22.2,2024-04-15,21.86,1.5553522415370533,11.116193961573648,29.025974025974026,False,-6.9573,9.2578,3,3,3,100.0,18.148964202140924,21.950454687989964,8.444647758462947,1.5553522415370533,历史3/3次成功; 当前距低点1.56%; 最新日涨幅-6.96%; 状态confirmed_rebound; 底部未确认
13,82.31957462242764,77.99942440859786,002657,中科金财,bottom_area,2024-04-15,13.18,2024-04-15,12.9,2.1705426356589097,6.976744186046514,32.38993710691823,False,-4.1455,3.6467,2,2,2,100.0,36.60355708548481,56.540447504302946,7.829457364341091,2.1705426356589097,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
14,81.70332787111464,76.72982992837633,603259,药明康德,bottom_area,2024-04-15,42.38,2024-04-15,41.67,1.7038636909047296,3.479721622270208,29.2289402173913,False,-1.1891,3.2187,2,2,2,100.0,13.842145933543593,14.040390163483993,8.296136309095271,1.7038636909047296,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
15,81.48242065419254,76.0123714908335,001208,华菱线缆,bottom_area,2024-04-15,7.49,2024-04-15,7.39,1.3531799729364078,5.27740189445197,27.263779527559056,False,-3.3548,2.5891,2,2,2,100.0,15.901192629723221,21.34213421342134,8.646820027063592,1.3531799729364078,历史2/2次成功; 当前距低点1.35%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
16,81.12373676221,77.93136749147489,002235,安妮股份,bottom_area,2024-04-15,4.98,2024-04-15,4.84,2.892561983471086,8.677685950413222,30.35971223021583,False,-5.6818,5.2206,3,3,3,100.0,28.421552762306185,46.16438356164384,7.107438016528915,2.892561983471086,历史3/3次成功; 当前距低点2.89%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
17,81.11617963559591,76.15265816585702,300426,华智数媒,bottom_area,2024-04-15,7.84,2024-04-15,7.71,1.686121919584953,9.468223086900124,31.769911504424787,False,-7.109,2.2865,2,2,2,100.0,20.736645927476964,25.936811168258643,8.313878080415048,1.686121919584953,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-7.11%; 状态bottom_area; 底部未确认
18,79.31860895904536,74.14646365464496,688004,博汇科技,confirmed_rebound,2024-04-15,15.97,2024-04-15,15.74,1.4612452350698883,14.104193138500639,28.160657234139663,False,-12.8751,4.4311,2,2,2,100.0,17.409154788195142,21.87713310580205,8.538754764930111,1.4612452350698883,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-12.88%; 状态confirmed_rebound; 底部未确认
19,79.26562453871284,74.83372435827151,002712,思美传媒,bottom_area,2024-04-15,4.12,2024-04-15,4.04,1.980198019801982,9.15841584158416,30.940170940170937,False,-6.7873,5.4481,2,2,2,100.0,17.250407760322776,22.379603399433442,8.019801980198018,1.980198019801982,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-6.79%; 状态bottom_area; 底部未确认
20,79.15250760530834,75.21817760007391,300473,德尔股份,confirmed_rebound,2024-04-15,14.53,2024-04-15,14.2,2.323943661971832,15.211267605633804,27.84552845528456,False,-10.4744,6.5101,3,3,3,100.0,17.0794040288693,21.37137137137137,7.676056338028168,2.323943661971832,历史3/3次成功; 当前距低点2.32%; 最新日涨幅-10.47%; 状态confirmed_rebound; 底部未确认
21,79.14193716816305,76.14324564098897,688114,华大智造,bottom_area,2024-04-15,54.39,2024-04-15,52.82,2.9723589549413107,4.770920106020453,29.033991670025532,False,0.5546,0.8968,1,1,1,100.0,20.431312141156706,20.431312141156706,7.02764104505869,2.9723589549413107,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
